
[00:00:00.000 --> 00:00:10.700]   All right, hello, and welcome to episode one of the official unofficial Act 2 Network podcast.
[00:06:47.740 --> 00:06:50.980]   In retrospect, bad names.
[00:06:50.980 --> 00:06:53.980]   Co-vocational Network, Tent Makers.
[00:06:53.980 --> 00:06:57.180]   You know, Tent Makers was, Tent Makers was my thing.
[00:06:57.180 --> 00:06:58.520]   I still believe in that name.
[00:06:58.520 --> 00:06:59.680]   I was not for Tent Makers.
[00:06:59.680 --> 00:07:01.840]   We were on the opposite side of that debate.
[00:07:01.840 --> 00:07:13.620]   But I think Axe 2, that really being, it's that community, it's that togetherness, it's that, you know, church as family, that connection that really enables us to do everything that we do.
[00:07:13.620 --> 00:07:16.700]   You know, like, why do I feel like I can go to church plant?
[00:07:16.700 --> 00:07:18.280]   It's not because I'm doing it on my own.
[00:07:18.280 --> 00:07:19.520]   It's because I'm doing it on my friends, right?
[00:07:19.520 --> 00:07:21.740]   If my friends weren't doing it with me, I don't think I would go, you know?
[00:07:22.060 --> 00:07:26.480]   And so those close relationships, that community, we really wanted to, like, make sure that was preserved.
[00:07:26.480 --> 00:07:29.020]   And so that, so we took care of that.
[00:07:29.020 --> 00:07:29.240]   Yeah, so that carried over.
[00:07:29.240 --> 00:07:29.820]   That carried over.
[00:07:29.820 --> 00:07:29.960]   That made the move.
[00:07:29.960 --> 00:07:30.160]   Okay.
[00:07:30.160 --> 00:07:32.900]   And so then launching Life on Kingdom Works from a college town.
[00:07:32.900 --> 00:07:34.340]   College town, still there.
[00:07:34.340 --> 00:07:40.620]   Still believe, you know, college ministry, college campus, unique place, unique time in people's lives.
[00:07:40.620 --> 00:07:51.440]   There's a very special opportunity there for someone to receive the gospel and have their eternal trajectory changed and their lives transformed.
[00:07:51.440 --> 00:07:54.460]   You know, that's still a time where people are open and asking questions.
[00:07:54.460 --> 00:08:00.880]   And, yeah, we just felt like, okay, that needs to be preserved because we want to launch people from the college town, right?
[00:08:01.320 --> 00:08:17.640]   And then launching Kingdom Workers, I think the idea there is whether you stay with our network or not, you know, we want everyone to, when they encounter us, have this thing that gets rubbed off of them, which is, like, my primary identity is that I'm a gospel minister.
[00:08:17.640 --> 00:08:21.000]   You know, it's not just a pastor who's doing the ministry from the pulpit.
[00:08:21.000 --> 00:08:24.860]   Ministry is not just for the professionals, but every, it's the priesthood of all believers, right?
[00:08:24.860 --> 00:08:38.220]   Every believer is called to gospel ministry, and we want, like, you can come and experience that and see how that is lived out, and then wherever you go from there on, we hope you carry that identity with you, right?
[00:08:38.220 --> 00:08:51.660]   Yeah, and I think it's also kind of a reflection of sort of our changing picture of, like, what our church is going to look like or what our network is going to look like in the future, where I think for most of us, like, as, like, when we were in college, the picture was always, it was going to be pretty standard.
[00:08:51.660 --> 00:09:01.220]   Like, we're going to go to these college towns, we're going to start a college church that reaches, like, a big group of college students that are all coming together, and yeah, we had other ministries, but that was always the focus.
[00:09:01.220 --> 00:09:14.400]   But I do think as we've, as time has gone on, we're beginning to see, well, you know, maybe God wants more than that in the sense of, man, there's all these other ministries that we want to invest in, maybe just as heavily as college.
[00:09:14.400 --> 00:09:17.420]   Like, I feel like youth is really starting to kind of pick up steam.
[00:09:17.420 --> 00:09:20.380]   I think international ministry is really big for us.
[00:09:20.460 --> 00:09:26.360]   I mean, we've made the move to, like, foreign missions, so it's like, oh, it's not just that we want to build a lot of college churches.
[00:09:26.360 --> 00:09:36.040]   It's what we really are about is finding people and saying, hey, join us in this mission of doing kingdom work, wherever the context may be.
[00:09:36.640 --> 00:09:40.480]   And I think we're starting to sort of see the genesis of that in a lot of different areas.
[00:09:40.480 --> 00:09:48.440]   So we felt like, I think, yeah, this new motto sort of captures that reality in a way that the old one didn't, like, the old one's maybe a little too limited.
[00:09:48.440 --> 00:09:50.220]   Yeah, very kind of narrow scope.
[00:09:50.220 --> 00:09:51.760]   Yeah, for what we're thinking about now.
[00:09:51.760 --> 00:09:58.900]   Because, I mean, like, there's a bunch of college towns that can't sustain, like, the kind of, you know, co-vocational ministry that we do.
[00:09:58.900 --> 00:10:02.040]   You know, like, some places are so remote.
[00:10:02.040 --> 00:10:03.180]   There's not a lot of industry there.
[00:10:03.180 --> 00:10:05.820]   It's really hard for us to, like, move a team and start a church there.
[00:10:05.820 --> 00:10:06.080]   Yeah.
[00:10:06.160 --> 00:10:07.360]   But we still want to reach that campus.
[00:10:07.360 --> 00:10:14.420]   And so the idea is not going there and planning a college church, but launching people, you know, into kingdom work.
[00:10:14.420 --> 00:10:19.440]   And then I think that this last word, lifelong, that's the one that's been standing out to me personally.
[00:10:19.440 --> 00:10:28.600]   Just the idea that, you know, as our church has gotten older, as people have gotten older and, you know, maybe they can't do college ministry anymore, right, health reasons or whatever.
[00:10:28.600 --> 00:10:32.720]   It's like, what meaningful ministry are you able to do then?
[00:10:32.720 --> 00:10:36.740]   You know, like, can we continue to have you engaged because people want to stay engaged in ministry.
[00:10:36.740 --> 00:10:40.800]   So whatever season of life, you know, what support do you need?
[00:10:40.800 --> 00:10:46.020]   What meaningful opportunities, what context do you need to be meaningfully engaged in gospel ministry, right?
[00:10:46.020 --> 00:10:51.980]   And I think that's something that I was surprised, like, seems to be unique and distinctive, right?
[00:10:51.980 --> 00:11:02.660]   That, like, yeah, whether you're a young, single, 20-something-year-old or you're, you know, 30-whatever mom with two kids all the way up to, like, 50, 60, like, you can be engaged.
[00:11:02.660 --> 00:11:06.680]   Meaningful gospel ministry, you just need the right support and context for that, right?
[00:11:06.680 --> 00:11:18.120]   And I think it's really neat that, you know, you hear stories of people engaged in ministry in college or, like, through the 30s and then they burn out or, like, something happens in their life and they kind of step away.
[00:11:18.120 --> 00:11:19.980]   And a lot of them don't come back.
[00:11:19.980 --> 00:11:21.580]   A lot of them don't step back into it, right?
[00:11:21.680 --> 00:11:23.980]   And so we feel like that's tragic.
[00:11:23.980 --> 00:11:25.720]   You know, we want to support people.
[00:11:25.720 --> 00:11:31.400]   We want to enable people to stay engaged in that, to keep doing the good work that God has prepared for them to do.
[00:11:31.400 --> 00:11:32.080]   Yeah.
[00:11:32.080 --> 00:11:34.580]   So one thing we say a lot is, like, everyone needs ministry.
[00:11:34.580 --> 00:11:37.640]   I think that's really one of the driving principles behind everything we do.
[00:11:37.640 --> 00:11:48.900]   And the reality is we, like, if our whole thing is just, like, pouring back into our church and, like, trying to make our church as awesome as possible, like, you're just going to run out of things to do eventually.
[00:11:48.900 --> 00:11:57.120]   And, like, a lot of what I think motivates us is everyone needs ministry, not because, like, we just, like, keeping people busy, but because, like, that's the best thing for growth.
[00:11:57.280 --> 00:12:03.440]   It's the best life to live when you have people and, like, kingdom causes to actually, like, invest yourself in.
[00:12:03.440 --> 00:12:07.820]   And so, man, it's a lot of work sometimes because we're trying to just, like, construct ministry for people.
[00:12:07.820 --> 00:12:11.700]   Like, we're always in, like, okay, what is a new frontier we can open up?
[00:12:11.700 --> 00:12:21.800]   And how can, you know, this person who maybe, you know, doesn't like being on the front lines of college ministry, like, how can they still be a part of the team and still be a part of kind of the greater work that we're doing?
[00:12:21.800 --> 00:12:26.700]   So, yeah, I think in that way, like, that lifelong really captures kind of a pretty important aspect of us.
[00:12:26.700 --> 00:12:33.180]   Yeah, and it's, you know, another aspect of lifelong is not just, like, my life, but it's the relationships we have.
[00:12:33.180 --> 00:12:37.260]   We have to say we have covenantal relationships that I throw in my lot with you.
[00:12:37.260 --> 00:12:38.360]   We're in it for the long haul.
[00:12:38.360 --> 00:12:40.660]   Okay, we're in it for the long haul together.
[00:12:40.660 --> 00:12:49.760]   And how do we, yeah, like, all be actually and feel unified in this gospel work that we're doing, right?
[00:12:49.760 --> 00:12:56.680]   And maybe you can't do college ministry, but, like, man, you're engaged in youth or you're engaged, like, in ECM or these other things.
[00:12:56.680 --> 00:13:03.160]   And we can have that shared mission still, you know, because we're committed to one another, you know?
[00:13:03.160 --> 00:13:11.560]   Yeah, so one other new development since, in, like, the past, I guess, two years is this thing that we call the way of life.
[00:13:11.560 --> 00:13:12.960]   Yeah, go on our website.
[00:13:12.960 --> 00:13:13.820]   It's right there.
[00:13:13.820 --> 00:13:15.220]   Yeah, it's very front and center.
[00:13:16.360 --> 00:13:20.400]   Could you explain to the uninitiated, what is our way of life?
[00:13:20.400 --> 00:13:21.760]   Why did we come up with that?
[00:13:21.760 --> 00:13:22.560]   Why do we have that?
[00:13:22.560 --> 00:13:22.980]   Yeah.
[00:13:22.980 --> 00:13:35.080]   If I were to put it in just conventional terms, it's sort of, like, our core values, you know, but it's a little bit more than that because it's boiled down into, like, what does this look like?
[00:13:35.240 --> 00:13:37.000]   How is this actually lived out in practice?
[00:13:37.000 --> 00:13:39.580]   So it's a little more, like, concrete, I think.
[00:13:39.580 --> 00:13:46.320]   But I think as we were trying to figure out, as we were going through this name change and stuff, we were thinking about who we are.
[00:13:46.320 --> 00:13:49.900]   What are the things that we want to clarify for people?
[00:13:49.900 --> 00:13:51.680]   Like, what does it mean to be part of our network?
[00:13:51.680 --> 00:13:56.360]   You know, what are you, if you're embracing that, if you want to join that, what exactly are you joining?
[00:13:56.360 --> 00:13:57.380]   What are you committing to?
[00:13:57.380 --> 00:13:59.100]   We want to clarify that.
[00:13:59.620 --> 00:14:06.380]   We tried to boil it down to those essential things, right, and tried to do it in a way that was concise and memorable.
[00:14:06.380 --> 00:14:07.920]   It was very challenging.
[00:14:07.920 --> 00:14:08.360]   It was hard.
[00:14:08.360 --> 00:14:09.800]   We went through many, many iterations.
[00:14:09.800 --> 00:14:15.740]   And, you know, it's got a cool 5, 4, 3, 2, 1, but if you add it up, it's 15 things, so it's a lot.
[00:14:15.740 --> 00:14:16.100]   It's a lot.
[00:14:16.100 --> 00:14:20.820]   But, yeah, I think it's, again, trying to provide that clarity.
[00:14:21.760 --> 00:14:34.840]   But I like the phrase way of life because it really does capture that, like, the way we're able to do all these things is that all of us have sort of agreed, like, this is the way that we feel God has called us to live.
[00:14:34.840 --> 00:14:42.280]   It might not be how every Christian, like, needs to live or it's not for everyone, but this is the way we feel like God has called us to live.
[00:14:42.460 --> 00:14:53.840]   And when we do that, it enables so much, like, amazing, like, it's the branch that you're sitting on, you know, that you don't want to cut off, you know, but it's what makes the whole thing work.
[00:14:53.840 --> 00:14:54.340]   Yeah.
[00:14:54.340 --> 00:15:08.860]   So, like what you're saying about the clarity is kindness thing, I feel like the word of, I mean, word of life, way of life really feeds into that because we want people to be able to kind of have a picture, like, okay, hey, if you're considering joining the Ask2 Network, what does that mean?
[00:15:08.860 --> 00:15:09.640]   What does that look like?
[00:15:09.640 --> 00:15:14.220]   Like, well, here it is, you know, this is the way we set up our lives and it's not easy.
[00:15:14.220 --> 00:15:20.320]   It's a lot of stuff on there and we're not apologetic about that because we think it's a good way to live.
[00:15:20.320 --> 00:15:23.200]   It's not the only way to live, you know, you don't have to do this.
[00:15:23.200 --> 00:15:29.240]   Again, you know, we totally respect your decision if you feel like it's not for you, but we want to be upfront about it.
[00:15:29.240 --> 00:15:35.400]   And I feel like, yeah, maybe in times past, like, that was sort of in the air and we sort of kind of by default did it.
[00:15:35.400 --> 00:15:38.500]   It was the culture, but it wasn't ever, like, really spelled out.
[00:15:38.700 --> 00:15:40.540]   Yeah. So I'm glad we get confused.
[00:15:40.540 --> 00:15:40.980]   Yeah.
[00:15:40.980 --> 00:15:42.920]   Some people are like, is this like an essential part of the way of life?
[00:15:42.920 --> 00:15:43.180]   Yeah.
[00:15:43.180 --> 00:15:44.340]   No, no, that's not.
[00:15:44.340 --> 00:15:44.640]   Yeah.
[00:15:44.640 --> 00:15:47.920]   Like, what are the necessary parts almost?
[00:15:47.920 --> 00:15:59.220]   So kind of having laid that out, my hope is that, you know, like for college students or whoever is new to our group, like, that'll just give them more clarity and kind of, hey, like, here it is.
[00:15:59.220 --> 00:16:00.060]   You know, are you interested?
[00:16:00.060 --> 00:16:01.940]   If you're not again, that's fine.
[00:16:01.980 --> 00:16:03.980]   But if you're interested, yeah, this is what it looks like.
[00:16:03.980 --> 00:16:04.380]   Yeah.
[00:16:04.480 --> 00:16:07.900]   But I think to add to that, like, it is, it is hard.
[00:16:07.900 --> 00:16:08.780]   It's not easy.
[00:16:08.780 --> 00:16:09.340]   Right.
[00:16:09.420 --> 00:16:16.860]   But I think it's amazing to see the variety of people in our church who have embraced it and are growing in it.
[00:16:16.860 --> 00:16:23.760]   You know, it's not just for like, I don't know, like AP level, SWAT level, like Navy SEAL kind of Christians.
[00:16:23.760 --> 00:16:28.260]   You know, like it's hard, but the way we're able to do it is because, again, we're doing it together.
[00:16:28.260 --> 00:16:29.040]   Right.
[00:16:29.040 --> 00:16:37.480]   And then, you know, we're hoping to not just clarify it, but create tools and things like that to help people understand, like, how do you grow into this?
[00:16:37.480 --> 00:16:37.820]   Right.
[00:16:37.820 --> 00:16:42.000]   Because it's not something we expect like a college freshman to jump into or even a high school youth.
[00:16:42.000 --> 00:16:46.220]   It's something we expect people who graduate want to join us to embrace.
[00:16:46.220 --> 00:16:53.360]   And it's not like it's a surprise either, because our it's our college ministries have that same vibe, that same feel, that ethos.
[00:16:53.360 --> 00:16:53.680]   Right.
[00:16:53.860 --> 00:16:55.940]   That we're where people, they are living the way of life.
[00:16:55.940 --> 00:17:02.020]   And so it is something that's like, as you experience it, as you grow into it, as you practice it, maybe you begin to appreciate it.
[00:17:02.020 --> 00:17:08.180]   You begin to you feel your life kind of growing a capacity to handle it and you grow in your relationship with other people and you can tackle it together.
[00:17:08.180 --> 00:17:11.400]   And then there's like a, wow, yeah, this is the way I want to live.
[00:17:11.400 --> 00:17:14.740]   You know, so it's not so much like a take it or leave it kind of thing.
[00:17:14.740 --> 00:17:15.540]   It is a little bit of that.
[00:17:15.540 --> 00:17:17.240]   But then there's also this other, I think, softness.
[00:17:17.240 --> 00:17:17.760]   Yeah, yeah.
[00:17:18.040 --> 00:17:28.140]   And I think like, I think something that I have to explain to people sometimes who are kind of wondering about this whole way of life and like, why does your church like?
[00:17:28.140 --> 00:17:29.280]   Network.
[00:17:29.280 --> 00:17:31.520]   Well, why is your church like this, essentially?
[00:17:31.520 --> 00:17:34.980]   You know, and why do you like set the bar so high?
[00:17:35.180 --> 00:17:36.960]   I mean, just that's the reality of it.
[00:17:36.960 --> 00:17:37.880]   Like we set a high bar.
[00:17:37.880 --> 00:17:46.140]   And I don't know, I think my response to that is usually like, you know what, it takes all types to reach our world, you know?
[00:17:46.140 --> 00:17:50.320]   And like, you know, there's different, different denominations.
[00:17:50.320 --> 00:17:56.780]   I think, I don't think that's necessarily a bad thing because, you know, some people, some people, they need like that more charismatic aspect.
[00:17:56.780 --> 00:18:01.720]   You know, people like, people like you who are, I don't know, more emotional and like, like to cry and things, you know?
[00:18:01.940 --> 00:18:03.740]   I'm just kidding, but you know, I do like to cry.
[00:18:03.740 --> 00:18:05.620]   Okay, I don't know if you like to cry, but you cry.
[00:18:05.620 --> 00:18:06.080]   I don't know what that was going to happen.
[00:18:06.080 --> 00:18:11.520]   Yeah, but, you know, and for them, like that kind of charismatic, high emotion sort of experience is very helpful.
[00:18:11.520 --> 00:18:20.460]   You know, whereas for other people who are more reasonable like me, no, people who are just, you know, not as into that, right?
[00:18:20.460 --> 00:18:22.920]   You know, they'll find kind of a different expression.
[00:18:22.920 --> 00:18:30.980]   And I think sort of we look at our world and we say, hey, I think there's a need for this kind of church, you know, and this kind of group.
[00:18:31.180 --> 00:18:35.040]   And so we say, hey, we're going to try and fill that slot.
[00:18:35.040 --> 00:18:49.780]   And I don't know, I guess I say, you know, even if you're not into that, like I would ask that you respect our decision to be that way, you know, because I think we have a certain mission and a certain goal and a certain cause that we're set on.
[00:18:50.780 --> 00:18:56.180]   And I feel like, yeah, by kind of embracing this way of life, it positions us to to fill that.
[00:18:56.180 --> 00:18:56.540]   Yeah.
[00:18:56.540 --> 00:19:04.080]   I like the way you put that, because then I think it, you know, just it's kind of relevant with the thing I would add to that is we're not the first ones with the way of life.
[00:19:04.640 --> 00:19:09.640]   You know, like this whole idea came out of, again, this idea of a monastic order.
[00:19:09.640 --> 00:19:11.320]   You know, recent books.
[00:19:11.320 --> 00:19:12.000]   We're not monks.
[00:19:12.000 --> 00:19:13.100]   We're not actually monastic.
[00:19:13.100 --> 00:19:14.200]   But yeah, the idea.
[00:19:14.700 --> 00:19:22.280]   There have been times in Christian history where, like, yeah, that order came about, like the Benedict Option, you know, the Benedictine Order.
[00:19:22.280 --> 00:19:25.000]   And they had a way of life they wanted to commit to.
[00:19:25.160 --> 00:19:30.640]   And for, like, that time in culture and in history, it was like, wow, really glad they did that.
[00:19:30.640 --> 00:19:33.460]   Because without the monks, we wouldn't have, like, literature, right?
[00:19:33.460 --> 00:19:35.360]   We wouldn't have literacy and stuff like that.
[00:19:35.360 --> 00:19:39.020]   And yeah, so we're not the first ones to come up with it.
[00:19:39.020 --> 00:19:42.100]   We kind of took inspiration from them and mission organizations and stuff like that.
[00:19:42.100 --> 00:19:46.880]   We felt like, hey, if we were to define our core values, that actually fits us really well.
[00:19:46.880 --> 00:19:51.080]   And so we sort of adopted that as a way that we wanted to clarify that.
[00:19:51.080 --> 00:19:51.580]   Yeah.
[00:19:51.860 --> 00:20:08.580]   And I think that kind of brings us back to this podcast a little bit because I think overall, if you're kind of reading between the lines, like, as we've embraced this identity of a network and not just like a typical church, I think one of the upshots of that or one of the outcomes of that is that we've just gotten more complicated.
[00:20:08.580 --> 00:20:14.180]   You know, like, there's just, like, more types of ministries and more stuff going on and all sorts of things happening.
[00:20:14.180 --> 00:20:21.980]   And part of our hope for this podcast is that it'll help, you know, our people as well as people on the outside who are interested in learning more about us.
[00:20:21.980 --> 00:20:27.000]   Like, it'll just help people get a handle on, like, what is this thing and what does it look like on the day to day?
[00:20:27.000 --> 00:20:33.660]   And, you know, maybe if you are, like, a college student, you know, thinking about, like, hey, do I want to join this kind of weird group or not?
[00:20:33.660 --> 00:20:37.000]   Like, it'll help you sort of sort through some of those things and make that decision.
[00:20:37.000 --> 00:20:43.080]   So I feel like because it is hard to understand, even as we talk about it, some of us were, like, as we talk about it, like, well, this is kind of complicated.
[00:20:43.080 --> 00:20:45.140]   It's kind of hard to explain.
[00:20:45.140 --> 00:20:49.600]   So hopefully this will give you sort of that lived experience aspect of it.
[00:20:49.600 --> 00:20:50.180]   That's my hope.
[00:20:50.180 --> 00:20:50.540]   Yeah.
[00:20:50.540 --> 00:20:50.860]   Yeah.
[00:20:50.860 --> 00:21:02.020]   And so that, I mean, just to give a framework of that complication, you know, 70-plus campuses now, eight countries, we have ministries all the way from kids to, like, elderly care.
[00:21:02.020 --> 00:21:03.500]   Yeah, we go cradle to the grave, man.
[00:21:03.500 --> 00:21:04.400]   Cradle to the grave, man.
[00:21:04.400 --> 00:21:07.380]   And then ministry opportunities for everyone.
[00:21:07.380 --> 00:21:15.780]   Same way, even the kids are taking ownership over the younger kids, you know, all the way to, and reaching out to their friends in elementary school, all the way to, yeah, older people.
[00:21:18.080 --> 00:21:21.540]   That's just, I'm just humbled, actually, to be a part of that.
[00:21:21.540 --> 00:21:28.820]   I feel like that is, it would just be so much easier to just, like, pick one thing and just, like, be really good at that.
[00:21:28.820 --> 00:21:45.440]   But because we are covenanted to each other, it's produced something kind of complicated, but I think very beautiful as you hear all the different stories, as you see all the different things that people are trying to do to spread the gospel, as you see the way that people are trying to live life.
[00:21:45.440 --> 00:21:48.060]   I think if you step back, it is actually a very beautiful picture.
[00:21:48.060 --> 00:21:49.400]   You know, it can be intimidating.
[00:21:49.400 --> 00:21:50.540]   It can be kind of crazy.
[00:21:50.540 --> 00:21:52.140]   Messy but beautiful.
