
[00:00:00.000 --> 00:00:12.320]   all right welcome to the unofficial official grace this is the other way around i get it
[00:03:53.580 --> 00:04:00.780]   suppose um i i i kind of developed a reputation about myself um in college as a frat boy and when
[00:04:00.780 --> 00:04:07.660]   i stepped foot into our church uh several of the sisters came up to me and said what are you doing
[00:04:07.660 --> 00:04:13.500]   oh my gosh i was like we're not secret friendly at that time we're not friendly to newcomers and then i
[00:04:13.500 --> 00:04:18.940]   just wanted to say um because of god yeah that's a good answer but but but but i knew where they were
[00:04:18.940 --> 00:04:25.580]   coming from and believe me i i totally deserved it okay wow yeah that's a lot of humility i actually
[00:04:25.580 --> 00:04:30.620]   experienced you when you were like just coming back i think we were freshmen and you're like a senior yeah
[00:04:30.620 --> 00:04:38.540]   yeah i didn't i didn't have a very favorable impression just letting you know yeah it was a long time ago
[00:04:38.540 --> 00:04:44.220]   it was a long time ago i want to hear more details about that i don't think we have time but okay so
[00:04:44.220 --> 00:04:49.980]   maybe rick just yeah your graduating class major and kind of your spiritual story yeah so i graduated in
[00:04:49.980 --> 00:04:58.140]   well my class in 94 when i actually graduated is another story but i studied cognitive science and i
[00:04:58.140 --> 00:05:05.340]   worked as a software engineer for 20 years before i went full-time and my spiritual background is i grew up
[00:05:05.340 --> 00:05:13.180]   in hawaii so i didn't go to church um my parents my family we had some run-ins with some christians
[00:05:13.180 --> 00:05:20.860]   so i really had a negative view and i just thought they were all like to be honest idiots okay because
[00:05:20.860 --> 00:05:27.020]   yeah it was bad anyway so i came in not looking for church came to college not looking for church but
[00:05:27.020 --> 00:05:35.100]   then um i from hawaii this pre-internet guys no internet back then and i had to find housing and so
[00:05:35.100 --> 00:05:42.460]   um i arranged for a room a boarding room at a frat and um when my parents went there to move me in they
[00:05:42.460 --> 00:05:47.820]   said oh my gosh this place was so filthy they said you're not gonna live here and so then i had to
[00:05:47.820 --> 00:05:57.500]   scramble long story short um i ended up getting contacted by our church who had a house full of
[00:05:57.500 --> 00:06:04.540]   guys and this is not in the house but uh they one of the guys moved out for you know he had a dorm
[00:06:04.540 --> 00:06:09.260]   contract so then he moved out and so the space opened up for me that is the only reason i'm here
[00:06:09.260 --> 00:06:15.660]   who did you know from our church or how did you get in contact well we met someone at the housing office
[00:06:15.660 --> 00:06:20.380]   when we were looking for housing and my mom being korean started to talk to anyone who's korean
[00:06:20.380 --> 00:06:25.660]   started asking them where do you live where do you how did you get your housing and then so they
[00:06:25.660 --> 00:06:31.820]   led us to the church and so we called and that's how yeah it was every moment it was on region
[00:06:31.820 --> 00:06:37.340]   yeah yeah i came over we played a lot of card games like as our times oh yeah yeah that kind of stuff
[00:06:37.340 --> 00:06:44.940]   wow yeah yeah we had we had a we had like six freshmen and a bunch of seniors oh okay cool okay so the
[00:06:44.940 --> 00:06:49.820]   reason we wanted to have you guys on today is because today's theme um of today's episode is
[00:06:49.820 --> 00:06:56.620]   uh what's changed about our church um we've been around um not necessarily as grace point but basically
[00:06:56.620 --> 00:07:01.500]   our church has been around for about 30 years yeah a little over 30 years now um and so obviously
[00:07:01.500 --> 00:07:07.180]   a lot is different um but you know we were only around well i was around since 1990 but i wasn't in
[00:07:07.180 --> 00:07:12.780]   college ministry until much later right so we wanted to get your guys perspective and basically what we want
[00:07:12.780 --> 00:07:19.980]   historical yeah historical prehistorical perspective so we want to get you what are for you guys what
[00:07:19.980 --> 00:07:28.220]   are the top three things that you are glad have changed about our church and could be serious could
[00:07:28.220 --> 00:07:34.300]   be just kind of random cosmetic things like whatever you want it to be well i'll start because i came in as
[00:07:34.300 --> 00:07:42.860]   a non-christian so first time at church you walk in and uh you know i just want to be inconspicuous just
[00:07:42.860 --> 00:07:49.100]   kind of attending whatever next thing you know is like they made all the newcomers stand up oh and start
[00:07:49.100 --> 00:07:56.140]   introducing yourself to the rest of the church so i'm glad we don't do that anymore yeah yeah what did they
[00:07:56.140 --> 00:08:01.100]   make you do they just say you just have to say your name and no you gotta stand up and then yeah yeah
[00:08:01.100 --> 00:08:06.220]   so everybody's seated and then the newcomers all stand up yeah and then one by one you just say like
[00:08:06.220 --> 00:08:12.220]   what's your name where what are you studying those typical questions and oh yeah and then they all clap
[00:08:12.220 --> 00:08:17.500]   for you i'm like okay thank you yeah it's kind of like let us welcome brother rick but then you weren't
[00:08:17.500 --> 00:08:21.900]   even a christian wait there was a no yeah yeah there was a total oh yeah yeah i don't think they
[00:08:21.900 --> 00:08:26.940]   sang for me but i i heard that before my time oh that was even before your time yeah that that was
[00:08:26.940 --> 00:08:32.700]   before my time no yeah yeah when i came uh first thing was to your dad's bible study okay so i came in
[00:08:32.700 --> 00:08:39.100]   and this i mean i mean you were in your mother's womb and then um yeah i came in to say hey you know hey
[00:08:39.100 --> 00:08:44.620]   we have a newcomer here his name is william and let's let's welcome him and uniformly they all you're
[00:08:44.620 --> 00:08:50.220]   standing yeah yeah i'm standing and on cue i don't know how they started singing this song
[00:08:50.220 --> 00:08:55.100]   that is welcome brother will let us and i forgot how it goes but i remember standing there feeling
[00:08:55.100 --> 00:09:01.900]   wow this is really awkward i'm a frat guy right i'm coming in and i'm not i'm not used to listening to
[00:09:01.900 --> 00:09:08.380]   that kind of music you know other type of music right yeah uh but uh it was weird but um i i came
[00:09:08.380 --> 00:09:13.740]   because i was hungry for god's word wow and um i loved hearing your dad you were like push through this
[00:09:13.740 --> 00:09:18.780]   yeah so it was well it was worth it it was it was worth it pushing through all of that just to hear
[00:09:18.780 --> 00:09:23.980]   the word when did we stop doing that when did we stop doing the song because i i don't remember that
[00:09:23.980 --> 00:09:29.180]   yeah yeah i think it must have been before you guys so sometime in between yeah yeah okay
[00:09:29.180 --> 00:09:35.900]   three years yeah but even afterwards we were still welcoming people yeah i remember the standing
[00:09:35.900 --> 00:09:40.860]   because i remember i brought some friends during high school and then we try to make it a little less
[00:09:40.860 --> 00:09:45.260]   awkward by having their friends stand up with them oh yeah yeah yeah i remember but then it was really
[00:09:45.260 --> 00:09:49.100]   awkward for the person introducing them too so i had to do that for this guy that i had literally just
[00:09:49.100 --> 00:09:53.980]   met like a week before that was that was rough and then i forgot i don't want him i don't want to invite
[00:09:53.980 --> 00:09:59.900]   anyone to church again yeah it was very while we're on the topic like anything else around those
[00:09:59.900 --> 00:10:04.860]   gatherings and services well yeah because well okay so that's a front end so you when you're a newcomer you
[00:10:04.860 --> 00:10:10.700]   come into our church you're getting sung to right and then toward the end of service there was this
[00:10:10.700 --> 00:10:16.140]   weird thing in which um uh the pastor would say his closing prayer and then he'd have us all stand and
[00:10:16.140 --> 00:10:22.140]   then like on mass like everyone knew what to do they all reached down they started holding each other's
[00:10:22.140 --> 00:10:28.860]   hands i'm like whoa this is kind of weird right because um you know you do that and then the guy next
[00:10:28.860 --> 00:10:33.900]   to you could have really clammy hands and after you come start coming to our church for a while you
[00:10:33.900 --> 00:10:40.300]   know who they are yeah you don't want to sit next to them at the beginning of service knowing what's
[00:10:40.300 --> 00:10:45.340]   coming at the end oh man right and what really made it awkward was sometimes you know you know you do that
[00:10:45.340 --> 00:10:52.060]   with um with you know with girls too and and i'm like whoa you know um this is kind of weird and
[00:10:52.060 --> 00:10:58.780]   like okay i get it but sometimes you know um you know a girl comes by and kind of like her and you
[00:10:58.780 --> 00:11:03.660]   didn't mind and you know at the beginning if you sit down and you think strategically you kind of like
[00:11:03.660 --> 00:11:07.980]   okay well you know what's coming up yeah yeah that's kind of hard to focus on the message and everything
[00:11:07.980 --> 00:11:16.380]   yeah yeah exactly exactly and then that's ideal right yeah hold hands and um yeah and yeah just
[00:11:16.380 --> 00:11:22.700]   is that why they stopped them yeah well i don't know when we stopped that either but it's like stuff
[00:11:22.700 --> 00:11:30.060]   like that happened because of tradition until someone was bold enough to say hey why are we doing this
[00:11:30.060 --> 00:11:37.100]   and then we're all like yeah why are we doing this and then we just stop are the is that a korean thing
[00:11:37.100 --> 00:11:41.900]   the holding the hands and is that or yeah i don't know because i went to a korean church in high
[00:11:41.900 --> 00:11:46.540]   school and i don't remember doing that okay so i think it was just kind of i didn't do that yeah
[00:11:46.540 --> 00:11:51.740]   thank the lord we used to do foot washing too we did yeah yeah i've heard of that i didn't know our
[00:11:51.740 --> 00:11:57.900]   church did that yeah yeah it was a tradition every new year's eve you did that yeah it happened like twice
[00:11:57.900 --> 00:12:03.340]   like it was like pretty pretty special occasions though yeah and so literally you just yeah so um new
[00:12:03.340 --> 00:12:09.020]   year's eve you came and you came with your own bucket so you had to bring you bring your own
[00:12:09.020 --> 00:12:14.140]   book yeah yeah b-y-o yeah bring your own b-y-o-b means something different and then um and then you
[00:12:14.140 --> 00:12:18.860]   know there would be a message and then it's about you know foot washing yeah john 13. yeah in light of
[00:12:18.860 --> 00:12:24.300]   what jesus said right we got to serve and love and everything and um i remember when we did that um
[00:12:25.020 --> 00:12:33.340]   your dad would magically disappear yeah yeah he hates stuff like that yeah he hates stuff like that
[00:12:33.340 --> 00:12:38.220]   so we're all doing it and i'm like wait where's where's ed because i just knew him as ed back then
[00:12:38.220 --> 00:12:44.140]   because he was just a lawyer um but then he would somehow find like some technical issue or some sound
[00:12:44.140 --> 00:12:50.620]   and go to the bathroom or something that was really oh i did i actually did not know we did that kind
[00:12:50.620 --> 00:12:56.380]   of disgusting oh gosh but you don't remember that no and how did they we probably i'm thankful so you
[00:12:56.380 --> 00:13:04.940]   were the cusp of a new generation yeah how can you oh anyways you know okay so so come to think of it um
[00:13:05.660 --> 00:13:12.220]   your dad he went to he went to boston to planet church right right and then when he came back
[00:13:12.220 --> 00:13:16.860]   that's when he took over the college ministry right and i think that's when he started to
[00:13:16.860 --> 00:13:22.380]   change stop a lot of those yeah yeah stop a lot of the things that okay they were kind of nice
[00:13:22.380 --> 00:13:28.300]   back in the day i suppose but then we started to ask where he started to ask hey why are we doing this
[00:13:28.300 --> 00:13:33.100]   let's yeah if there wasn't a good reason that i can praise the lord i'm very thankful i don't think i
[00:13:33.100 --> 00:13:38.780]   would have stayed at our church if we had to it's just one of those things i think yeah yeah
[00:13:38.780 --> 00:13:43.260]   wow just just mentally i can't even imagine how how did they pair you up for the foot washing
[00:13:43.260 --> 00:13:49.260]   um you have a morbid fascination with this whole topic yeah yeah you just go to the person that you
[00:13:49.260 --> 00:13:55.820]   want to yeah and so that makes it worse i think no no yeah it was worse but then here's the thing like
[00:13:55.820 --> 00:14:01.900]   you're thinking okay well i gotta submit to this and i gotta humble myself and i have to love like jesus
[00:14:02.540 --> 00:14:07.420]   yeah love someone like jesus did and for me it was like okay who do i have a tough time loving
[00:14:07.420 --> 00:14:13.900]   it was my my roommate wow and so i'd have to come to him and he come to me there's something powerful
[00:14:13.900 --> 00:14:20.940]   about that there is there is so it's a it's a practical way to love your brother humble yourself
[00:14:20.940 --> 00:14:31.180]   and humble yourself um but then maybe not the most hygienic yeah or newcomer friendly yeah or or newcomer
[00:14:31.180 --> 00:14:37.260]   friendly but um but yeah i i think it was helpful but yeah i think there are other ways to to humble
[00:14:37.260 --> 00:14:44.780]   yourself yeah like saying sorry or exactly other things exactly wow okay okay gosh all right well
[00:14:44.780 --> 00:14:49.740]   thank you for that okay so we have the we have the weird welcoming tradition we got the holding
[00:14:49.740 --> 00:14:54.940]   hands and praying we got the foot washing yeah um were there other things that come to mind what
[00:14:54.940 --> 00:15:01.100]   else yeah well i think for me um i think one thing that's definitely changed is the segregation between the genders
[00:15:01.660 --> 00:15:07.820]   yeah because um when i came like it was like on one side of the church with all the brothers and
[00:15:07.820 --> 00:15:13.020]   on the other side the sisters except when the holding of hands yeah anyways but that's kind of
[00:15:13.020 --> 00:15:17.660]   it's in the aisle yeah but when it came to like fellowship time it's pretty much the guys gathered
[00:15:17.660 --> 00:15:24.620]   and the girls gathered and um i i i spotted that immediately and i knew it was different it wasn't
[00:15:24.620 --> 00:15:31.500]   something that i experienced at my church growing up uh but then i i kind of appreciated that because um
[00:15:31.500 --> 00:15:40.140]   there was a kind of a um a reverence or or or respect uh for the other gender and it gave time for
[00:15:40.140 --> 00:15:47.180]   relationships uh between between peers of same genders to form and me coming from a fraternity
[00:15:47.180 --> 00:15:53.260]   background you know coming in like i i loved it because i could just focus on god right i don't
[00:15:53.260 --> 00:15:59.740]   i don't have to worry about the game the drama the game the potential marketplace type values and stuff
[00:15:59.740 --> 00:16:06.060]   like that uh so i i i definitely appreciated that yeah you know honestly in the back of my mind i'm like
[00:16:06.060 --> 00:16:13.740]   i don't know that's changed i mean it depends on which church well i think during our undergrad days
[00:16:13.740 --> 00:16:18.940]   or maybe a little after there was a shift definitely the um segregated seating not that it was ever like
[00:16:18.940 --> 00:16:22.700]   a rule but that i remember that did happen yeah but there was a conscious effort like we gotta yeah
[00:16:22.700 --> 00:16:27.100]   and then we said okay this is weird guys let's start integrating the seating please and then it would
[00:16:27.100 --> 00:16:32.620]   be like one row of brothers on the sister side yeah yeah and then but over time i think that has that
[00:16:32.620 --> 00:16:37.900]   aspect at least has gotten better but you know coming from a non-christian perspective i had no
[00:16:38.620 --> 00:16:44.780]   preconceived notion of what church was supposed to be like i just thought it's holy it's like this place
[00:16:44.780 --> 00:16:51.340]   where you come to you know meet god or whatever so when i first came surprisingly i didn't have a lot
[00:16:51.340 --> 00:16:57.580]   of besides the cringy holding hands washing feet stuff like um like in terms of like church i just
[00:16:57.580 --> 00:17:03.100]   thought like okay this supposed to be a holy somber kind of place maybe you know you can't you know so
[00:17:03.100 --> 00:17:07.340]   you kind of expected yeah i kind of expected a lot but then you know getting to know a lot of my
[00:17:07.340 --> 00:17:13.580]   friends who grew up in church and went to church i mean i can tell like they had different issues with
[00:17:13.580 --> 00:17:18.620]   like a lot of different things and it was all new to me so i was just like oh what how come they have so
[00:17:18.620 --> 00:17:24.300]   many problems yeah it's become with some notions of what you yeah so for me i mean like segregation
[00:17:24.300 --> 00:17:29.100]   all of that's like oh okay well i guess you know this is supposed to be like this at church you know
[00:17:29.100 --> 00:17:34.540]   you're supposed to focus on god some stuff didn't change yeah no so i mean yeah so i had a lot of
[00:17:34.540 --> 00:17:41.260]   those kind of issues like i'm new to church but then it's the church guys who had a lot of different
[00:17:41.260 --> 00:17:48.300]   things so that is interesting yeah yeah well now now i i think i know why guys still congregate with
[00:17:48.300 --> 00:17:53.660]   guys and girls girls it's because i just like talking to guys we can talk about guy things like
[00:17:53.660 --> 00:17:58.940]   sports or you know marvel or whatever and um and i just girls play sports and yeah yeah yeah
[00:17:58.940 --> 00:18:05.980]   yeah but man it's just like you know getting together with yeah you know so yeah i get that
[00:18:05.980 --> 00:18:12.700]   yeah yeah it it has changed though i think there is more integration i think um uh but yeah it wasn't
[00:18:12.700 --> 00:18:17.900]   yeah it was really bad back it was bad i agree yeah well rick i mean was there anything that like
[00:18:17.900 --> 00:18:22.940]   you did have issue with like you know it's all new but like you know you're just kind of like yeah i mean
[00:18:22.940 --> 00:18:31.500]   well the first thing that comes to mind uh back when um i was a freshman is okay you know i'm i'm from
[00:18:31.500 --> 00:18:40.140]   hawaii yeah i made that clear uh i'm used to going to the beach and you know like just that kind of stuff
[00:18:40.140 --> 00:18:45.820]   so our church we had our like a rafting trip it was really fun you know it's splashing water and everybody
[00:18:45.820 --> 00:18:51.340]   everybody gets wet there's not no one should be dry after rafting and so we're all wet and then you
[00:18:51.340 --> 00:18:57.820]   know we have a picnic after and with food and so after uh the rafting my shirt everything is wet so
[00:18:57.820 --> 00:19:02.220]   i'm like oh man i gotta take this off so i took it off and i got in line for food because it was normal
[00:19:02.220 --> 00:19:06.860]   for you growing up yeah it's like it's a wet shirt why have your shirt on why why are you wearing a wet
[00:19:06.860 --> 00:19:12.700]   shirt right and then i got a tap on my shoulder saying um can you please put on your shirt i was like
[00:19:13.500 --> 00:19:25.900]   what my shirt's wet and like i know i'm like okay this is weird church yeah so i had to go put on the
[00:19:25.900 --> 00:19:31.820]   wet shirt and it was like you know nasty feeling yeah putting back the wet shirt yeah so and it was a little
[00:19:31.820 --> 00:19:35.740]   embarrassing that's a little because you got called out because i got called out in line i'm like in
[00:19:35.740 --> 00:19:40.540]   line getting food and they're like go put on your shirt i'm like oh what the i'm surprised you came
[00:19:40.540 --> 00:19:49.020]   back yeah yeah so yeah yeah that was that was a little shocking and like oh yeah this church it's a
[00:19:49.020 --> 00:19:56.940]   little uptight yeah they were uptight about the whole skin thing you know that is a weird thing like still to
[00:19:56.940 --> 00:20:02.220]   this day i remember in undergrad i had a friend from another church at berkeley who was like dude i
[00:20:02.220 --> 00:20:09.340]   heard i heard grace pointers aren't allowed to go to the beach i was like uh that's not true but it is
[00:20:09.340 --> 00:20:13.660]   true that when we go to the beach everyone keeps their shirt on so that is yeah that's a little weird
[00:20:13.660 --> 00:20:19.340]   thing about us but you know it's because we are kind of well it's interesting i never encountered that
[00:20:19.340 --> 00:20:25.340]   problem because like when i went to the norcal beaches i was like it's cold you know i love going to
[00:20:25.340 --> 00:20:30.060]   the beach i love doing like you know same thing but in norcal i was like okay hypothermia yeah it's like
[00:20:30.060 --> 00:20:37.420]   55 years here it came up a little bit you know but but yeah it is yeah i mean you know the issues
[00:20:37.420 --> 00:20:42.780]   whoever called you out was probably one in guard a culture of modesty and and just you know but
[00:20:42.780 --> 00:20:48.460]   it's weird yeah and for the record like put on a wet shirt for the record our church we don't have
[00:20:48.460 --> 00:20:53.980]   an official stance on wearing your shirt at the beach just want to throw that out there i mean my wife's
[00:20:53.980 --> 00:20:57.980]   still a little mad about she's she's kind of she's kind of one of these hyper conservatives i think
[00:20:57.980 --> 00:21:03.980]   but we went to tahoe one time and you know some freshman guys sophomore guys to say can we take our
[00:21:03.980 --> 00:21:09.260]   shirts off i say go for it man and um we still haven't come to an agreement about that one me and my
[00:21:09.260 --> 00:21:15.020]   wife but yeah my point is that it varies leader yeah and it does vary the leader yeah yeah freshmen at
[00:21:15.020 --> 00:21:20.460]   tahoe that reminds me of the there was a time later on so after all of this i'm thinking like everybody
[00:21:20.460 --> 00:21:25.820]   needs to keep the shirt on and we were out there with some freshmen for an outing and your parents
[00:21:25.820 --> 00:21:31.660]   like when you were a staff our staff your parents were there with us and then all the freshman guys
[00:21:31.660 --> 00:21:38.460]   took off the shirt and they're like running around and i was like oh man and the first thing i did was
[00:21:38.460 --> 00:21:44.220]   look at your dad's reaction i was like what is he gonna say and he was totally cool is it on flicker
[00:21:44.220 --> 00:21:51.660]   no but i'm thinking like i had to put my shirt on you know these guys are running around without their
[00:21:51.660 --> 00:21:57.580]   shirt wow wow yeah you know well i'm from so count so i went to the beach um and uh totally used to you
[00:21:57.580 --> 00:22:03.020]   know going to the beach and then you swear bathing suit and everything and um i i remember that that
[00:22:03.020 --> 00:22:07.980]   rafting trip oh you remember yeah yeah well i you know i was on a raft we're a raft full of guys and
[00:22:07.980 --> 00:22:11.980]   it was so hot i just took my shirt off you know what else are you gonna do wait wait you mean the
[00:22:11.980 --> 00:22:16.860]   one where he took his shirt off and he got called out yeah yeah yeah but but then that was at the picnic
[00:22:16.860 --> 00:22:20.860]   where there were other people you know just brothers and sisters just everywhere so you put on a
[00:22:20.860 --> 00:22:25.740]   yeah i i was on a raft full of guys right there weren't any leaders around
[00:22:27.420 --> 00:22:31.260]   i mean of course of course when there's a raft of sisters you know we're just doing this well
[00:22:31.260 --> 00:22:35.100]   i mean even if the sister wanted to call you out they can't because they're on the ground
[00:22:35.100 --> 00:22:43.740]   so um yeah so i i think i think if someone called me out like that i would have been like what's up
[00:22:43.740 --> 00:22:48.460]   because you were still kind of new to our church too yeah yeah i was still kind of new i was a frat guy
[00:22:48.460 --> 00:22:56.140]   just unrefined so it seems like it's like it's not just like it's it wasn't the shirt off it's it's the
[00:22:56.140 --> 00:23:00.860]   uptightness yeah yeah yeah it's the uptightness and like you know what's the that might be the
[00:23:00.860 --> 00:23:07.020]   why what is that well what what's so tight or you know what's the heart everyone does allergic yeah
[00:23:07.020 --> 00:23:12.780]   yeah and so it's it's things like that that um okay well i realized okay our church is like this
[00:23:12.780 --> 00:23:20.060]   but i'm willing to roll with it because i love i love our church in the sense that i love how i can get
[00:23:20.060 --> 00:23:25.980]   god's word everyone's living it out right and there's a sense of holiness and i knew i had to be
[00:23:25.980 --> 00:23:33.900]   there and um stuff like that it was just a small price to play uh play pay okay so i so i rolled
[00:23:33.900 --> 00:23:40.780]   with it but then now like 10 20 years out i can look back at that and see the wisdom behind you know
[00:23:40.780 --> 00:23:44.860]   some of that because you know we don't want to draw attention to ourselves yeah yeah we don't want to
[00:23:44.860 --> 00:23:51.020]   stumble others and all that kind of stuff on on that word stumble i heard a really funny story so stumble
[00:23:51.020 --> 00:23:54.860]   for people who don't know it's like you know tempting people or like you know yeah yeah you
[00:23:54.860 --> 00:23:59.820]   look really attractive whatever right and there's a story of a uh a guy the guy's playing ball and
[00:23:59.820 --> 00:24:03.340]   like everyone's there playing yeah and then um and then uh one of the guys is like wearing a cut off
[00:24:03.340 --> 00:24:07.260]   tee you know just just no sleeves right and just playing and then one of the person can you go talk
[00:24:07.260 --> 00:24:10.860]   to that guy and the guy that i heard the story from he had a quote he went up to go call the guys hey
[00:24:10.860 --> 00:24:15.260]   man can you like change your shirt i was like why and he goes oh because you know it's kind of like
[00:24:15.260 --> 00:24:22.060]   stumbling you know the guy goes people are stumbled by this like yeah never mind you're good
[00:24:24.700 --> 00:24:29.260]   i won't cut off t play basketball i never got called i don't know why i just know some of the
[00:24:29.260 --> 00:24:35.740]   people so i remember when i was a youth pastor yeah i took a bunch of high school high high school guys
[00:24:35.740 --> 00:24:40.860]   to zion right which included isaiah's brother noah yeah that's hey let's take our shirts off because
[00:24:40.860 --> 00:24:46.220]   it was hot yeah so we took it off and we took like these pictures i didn't make it a flicker i mean
[00:24:46.220 --> 00:24:52.700]   yeah it's not it's on my hard drive so yeah to this day yeah yeah to this day yeah i have it and
[00:24:52.700 --> 00:24:57.740]   you know john vang's there we all know john oh yeah and then he's like yeah and i can see yeah it could
[00:24:57.740 --> 00:25:04.540]   he's done depends on who yeah it depends it varies from person to person you i mean he's you can wear a
[00:25:04.540 --> 00:25:14.700]   shirt you yeah yeah no i got you but i do feel like yeah i i do feel like for sure we we've improved
[00:25:14.700 --> 00:25:18.140]   on this as a church maybe some work to do still but like i do feel like back in the day
[00:25:18.140 --> 00:25:23.020]   we kind of expected like non-christians to act like christians a little bit there was a little
[00:25:23.020 --> 00:25:29.260]   bit of that going on and uh kind of just not overzealous yeah yeah so then now we're like okay
[00:25:29.260 --> 00:25:33.020]   and maybe like it was also you know you're trying to build a culture too because you're a little more
[00:25:33.020 --> 00:25:39.260]   hyper vigilant as well so yeah it's like actors too but yeah yeah okay do you guys have any more for
[00:25:39.260 --> 00:25:44.540]   us we want to move on to one more topic before we end the show here today okay so we wanted to
[00:25:44.540 --> 00:25:48.060]   talk about now some like more recent stuff so that's like that's kind of ancient history for
[00:25:48.060 --> 00:25:50.860]   most of our listeners they were not around maybe not even born
[00:25:50.860 --> 00:25:56.780]   describing now that i think about it um so we want to talk a little bit about some of the more like
[00:25:56.780 --> 00:26:02.700]   recent changes like and i'm talking within like the past five ten years um so um what are maybe if
[00:26:02.700 --> 00:26:07.180]   we just i think just throw these out here as a group um we don't really have a system for this but
[00:26:07.180 --> 00:26:12.700]   like what are some of like the significant changes that we've made recently and maybe just your thoughts on that
[00:26:12.700 --> 00:26:17.500]   um you kind of your reaction and kind of if you thought that was a good or a bad thing and and
[00:26:17.500 --> 00:26:23.820]   that so so like i think one thing that stood out to me and this is pretty recent um so i can start us
[00:26:23.820 --> 00:26:29.500]   off is the whole sabbath week phenomenon and i think that started like a two years ago year ago
