
[00:00:00.000 --> 00:00:04.400]   Everyone says to max out your retirement accounts, but is that always the best move?
[00:02:58.880 --> 00:03:05.160]   return. But if I make an extra thousand dollars a year, I can save and invest that every year. It's
[00:03:05.160 --> 00:03:09.200]   like I get an extra grand for 40 years. I get an extra grand for 39 years. I get an extra grand for
[00:03:09.200 --> 00:03:16.040]   38 years as I wind that forward. So if I take my $2,000, I put it into my career, I get a thousand
[00:03:16.040 --> 00:03:21.160]   dollar raise. And then I take my extra thousand dollars of earnings and I save that every year for
[00:03:21.160 --> 00:03:28.580]   the next 40 years. And I get the savings and the growth that maps out to about $400,000 at the same
[00:03:28.580 --> 00:03:33.980]   growth rate that I would have gotten by just putting my two grand in my Roth IRA. This isn't perfectly
[00:03:33.980 --> 00:03:41.700]   apples to apples, but we're literally 10 X difference. This is way more than even, okay, there's some tax
[00:03:41.700 --> 00:03:46.280]   benefits to Roth that I don't quite get in the same way. If I'm getting some earnings that themselves are
[00:03:46.280 --> 00:03:54.540]   taxes, wages, it's such a massive difference. I mean, even if you're already in your thirties or
[00:03:54.540 --> 00:04:00.140]   early forties, like you've only got 20 or 25 years left on your career, $1,000 raised for the next 25
[00:04:00.140 --> 00:04:06.200]   years plus growth, it's about 300 grand. Two grand into your Roth for the next 25 years, it's like
[00:04:06.200 --> 00:04:12.580]   $15,000. It's still like a 20 X difference. Ironically, it's actually even more dramatic because
[00:04:12.580 --> 00:04:17.140]   the compounding of the extra earnings favors you more when the time horizon shorter. Starting to
[00:04:17.140 --> 00:04:23.400]   think from that frame, like I could put my money into the market. I can put two grand in and get my
[00:04:23.400 --> 00:04:30.820]   growth, right? 8% a year. I make $160 of growth in the first year, or I put my two grand in and I get a
[00:04:30.820 --> 00:04:35.980]   certification that gets me a raise and I get a thousand dollar raise. It's like getting a 50% dividend
[00:04:35.980 --> 00:04:41.440]   and you get it every year. And that might grow with inflation because salaries usually get COLA
[00:04:41.440 --> 00:04:47.160]   adjustments over time and you can reinvest that money to grow. And so just doing things to make
[00:04:47.160 --> 00:04:52.860]   the human capital bucket bigger grows a lot more than compounding the financial wealth. Now there's
[00:04:52.860 --> 00:04:57.000]   a point where that changes. You get within 10 years of retirement, it is very much how do we harvest the
[00:04:57.000 --> 00:05:01.220]   money out of the human capital and put it into the financial capital so that we can afford to retire.
[00:05:01.220 --> 00:05:07.280]   So like, this is not indefinitely true. It is very specific to time horizon, but for those of us,
[00:05:07.280 --> 00:05:11.600]   there are twenties, thirties, even into our forties, where we might still have a multi-decade time horizon.
[00:05:11.600 --> 00:05:20.480]   We just so underestimate the impact that comes from spending dollars to do things that might get us
[00:05:20.480 --> 00:05:26.220]   raises and promotions and how much it compounds. And frankly, for a lot of people in a lot of industries,
[00:05:26.220 --> 00:05:32.020]   like $2,000 for high quality certification designation, like that is actually more than a
[00:05:32.020 --> 00:05:37.340]   thousand dollar raise. It's not always immediate, but show me the career trajectory of people in your
[00:05:37.340 --> 00:05:42.300]   profession that have more advanced knowledge versus the people that don't, there's usually a pretty big
[00:05:42.300 --> 00:05:47.720]   income gap. The cardiothoracic surgeons make more than the general family practitioner. Forensic
[00:05:47.720 --> 00:05:53.460]   accountant makes more than the generalist CPA. I mean, almost every profession financially rewards
[00:05:53.460 --> 00:06:00.020]   specialization and more deeper advanced knowledge, but it apprised across a really wide range of careers.
[00:06:00.900 --> 00:06:04.740]   And I would say there are some companies that might even pay for this. Like you could be listening to
[00:06:04.740 --> 00:06:10.260]   this and not have to make the trade off. You could take advantage of your advice to add hundreds of
[00:06:10.260 --> 00:06:15.700]   thousands of dollars over your career and potentially do it for free. Whether it's free certification,
[00:06:15.700 --> 00:06:18.820]   company paying for certification, applying for a sponsorship.
[00:06:18.820 --> 00:06:24.500]   Oh, absolutely. And like the challenge I find for a lot of folks is like they stop at the free line.
[00:06:24.500 --> 00:06:30.260]   Yeah. And it seems like the ROI is even easier. The example you gave about business, a lot of wealth
[00:06:30.260 --> 00:06:36.900]   in America is made from business, but it's not quite as clear as get this certification, comp people's
[00:06:36.900 --> 00:06:44.740]   salaries that have it. But certainly you could make a case that if many business owners in America had not
[00:06:44.740 --> 00:06:50.020]   put the money in their business and had instead put it in whatever index fund of choice, they would have a lot
[00:06:50.020 --> 00:06:55.060]   less wealth having never built that business. So I think it's good to open your eyes to
[00:06:55.060 --> 00:07:00.820]   other ways that you can use money to build wealth that isn't just savings.
[00:07:00.820 --> 00:07:07.060]   This episode is brought to you by Mercury, the banking product that businesses like mine use to
[00:07:07.060 --> 00:07:12.740]   simplify their finances all in one place. I've been banking with Mercury for years with multiple
[00:07:12.740 --> 00:07:19.620]   companies because they put a layer of design delight and functionality on top of banking that is light
[00:07:19.620 --> 00:07:26.660]   years ahead of the clunky and hard to use websites and apps of almost every other bank. In fact, I remember
[00:07:26.660 --> 00:07:32.100]   the first time I had to make a large important wire transfer for my business and I was able to do it
[00:07:32.100 --> 00:07:39.140]   with Mercury all securely online without phone calls, faxes or waiting for approvals and I have not looked
[00:07:39.140 --> 00:07:45.220]   back since. And Mercury flexes to fit all types of businesses. Whether you're a funded tech startup
[00:07:45.220 --> 00:07:50.740]   looking for a way to pay your team and earn yield on idle cash, an agency that needs to invoice your customers
[00:07:50.740 --> 00:07:58.660]   and get paid or an e-commerce brand that needs to stay on top of cash flow and access capital, Mercury can be tailored to help your business
[00:07:58.660 --> 00:08:06.900]   perform at its highest level. Visit mercury.com to join over 200,000 entrepreneurs who use Mercury. Again, that is
[00:08:06.900 --> 00:08:14.580]   mercury.com to apply online in minutes. Mercury is a financial technology company, not a bank. Banking services provided through
[00:08:14.580 --> 00:08:19.380]   Choice Financial Group, Column N.A., and Evolved Bank and Trust, members FDIC.
[00:08:19.380 --> 00:08:25.860]   This episode is brought to you by Oceans. I am so lucky to have found one of our team members,
[00:08:25.860 --> 00:08:32.180]   Pasani, through Oceans. She started as my assistant two years ago and has since taken on so much more that
[00:08:32.180 --> 00:08:37.940]   you could call her a marketer, a researcher, podcast producer, operations manager, and a lot more.
[00:08:38.500 --> 00:08:44.900]   Oceans really focuses on finding proactive talent and Pasani has been the perfect example of that.
[00:08:44.900 --> 00:08:50.420]   I love that she is constantly thinking ahead and finding ways to make everything we do better.
[00:08:50.420 --> 00:08:56.260]   Honestly, over the past two years, she has added so much value to my life and our business that I don't
[00:08:56.260 --> 00:09:01.540]   know where we would be without her. You certainly wouldn't be getting a weekly podcast and newsletter.
[00:09:01.540 --> 00:09:07.140]   So if you need support for your business or your life or both and you want to find experienced and
[00:09:07.140 --> 00:09:12.580]   motivated talent, you have to look at Oceans. They can help you hire everything from assistants to
[00:09:12.580 --> 00:09:19.700]   marketers, financial analysts, project managers, and so much more, all while saving you up to 80%
[00:09:19.700 --> 00:09:27.140]   compared to a US hire. So check out allthehacks.com/oceans or click the link in the show notes. Again,
[00:09:27.140 --> 00:09:33.220]   that's allthehacks.com/oceans for the best proactive global talent I have found.
[00:09:33.220 --> 00:09:40.260]   What do you think about the kind of liquidity flexibility argument, which is maybe not don't
[00:09:40.260 --> 00:09:46.260]   save, but maybe don't save in a retirement account and instead save in a taxable account?
[00:09:46.260 --> 00:09:52.580]   So in an investment context, we all have different tolerances for risk, right? Some of us buy like the
[00:09:52.580 --> 00:09:56.660]   high-flying stocks and we're all in and some of us buy a diversified index fund. There's not a right or wrong
[00:09:56.660 --> 00:10:01.300]   answer. Just we all like taking different versions of the journey. So to me, there's a similar version
[00:10:01.300 --> 00:10:08.500]   that shows up in human capital, in career capital with kind of the same parameters. So my more
[00:10:08.500 --> 00:10:14.580]   conservative version is I'm going to take the dollars and try to get a certification or designation so I
[00:10:14.580 --> 00:10:19.460]   can get a raise. The slightly more aggressive version is I'm going to build up a reserve of a
[00:10:19.460 --> 00:10:26.100]   couple of months of expenses so that if I get the dream job that would be amazing, but I have to move
[00:10:26.100 --> 00:10:31.860]   halfway across the country, uproot my family, spend the money to move and relocate, go a month without
[00:10:31.860 --> 00:10:38.580]   income while I'm going through the transition. I can take the dream job and do that because I've got some
[00:10:38.580 --> 00:10:45.060]   kind of, I'll call it like a financial transition fund. So stage one is this is like certification
[00:10:45.060 --> 00:10:49.940]   designation, get me a raise money. Bucket number two or like option number two, we're going a little
[00:10:49.940 --> 00:10:55.940]   about riskier is this is the transition fund. This is the flexibility fund. So if I get a cool career
[00:10:55.940 --> 00:11:01.780]   opportunity where I have to take one step back to take two steps forward, I can afford to take one step
[00:11:01.780 --> 00:11:07.060]   back in order to take the two steps forward. The third domain is we're like going out on the
[00:11:07.060 --> 00:11:11.780]   proverbial risk spectrum is I want to be an entrepreneur and start my own business someday.
[00:11:11.780 --> 00:11:17.300]   And if you talk to most entrepreneurs that have done it, we all have like horror stories of how
[00:11:17.300 --> 00:11:22.500]   awful it was and how little money we made for a while or negative money or went into debt or all the
[00:11:22.500 --> 00:11:26.740]   things for every one story of the person that's like, I had an idea. I started my garage with no money
[00:11:26.740 --> 00:11:31.940]   and I turned into a bajillionaire. Most people who try entrepreneurship lose a lot of money for
[00:11:31.940 --> 00:11:38.100]   an extended period of time. So high reward in the risk reward spectrum, like it holds for human capital
[00:11:38.100 --> 00:11:43.220]   the way that it holds for our financial capital. But what that means is, okay, if I've got aspirations
[00:11:43.220 --> 00:11:48.500]   somewhere someday of starting a business, then I need to be able to let even more reserves and I need it
[00:11:48.500 --> 00:11:55.460]   more liquid. So if you're saying you're saying, yeah, like never going to start a business, got to
[00:11:55.460 --> 00:11:59.540]   defense enough emergency fund, I can float the transition, then maybe you don't need any more
[00:11:59.540 --> 00:12:04.500]   liquidity than that. Core emergency fund is sufficient and either power forward with your
[00:12:04.500 --> 00:12:09.300]   retirement accounts or maybe just think about might I want to do a little bit less to retirement if that
[00:12:09.300 --> 00:12:14.260]   would let me do a little bit more towards training certification designation, like something in my
[00:12:14.260 --> 00:12:19.060]   in my career of choice. But again, like the scenario where I spend two grand and get a thousand dollar
[00:12:19.060 --> 00:12:25.140]   raise and like 15 to 20 X my return on my Roth, that's the low return conservative one on this
[00:12:25.140 --> 00:12:29.540]   spectrum because the ones that build businesses successfully tend to build even more significant
[00:12:29.540 --> 00:12:35.700]   wealth that goes along with it. And so all of that to me comes down to, I mean, retirement accounts,
[00:12:35.700 --> 00:12:41.220]   yes, like wonderful tax advantages, long-term saving compounding, all of those things are wonderful and
[00:12:41.220 --> 00:12:48.340]   completely true. And when we're still early in mid-stage in our career, we still live in a realm
[00:12:48.340 --> 00:12:54.820]   where the human capital bucket is a lot larger than the financial capital bucket. And our ability to
[00:12:54.820 --> 00:13:00.020]   impact the human capital bucket, what we can do, what we can earn over the rest of our careers,
[00:13:00.020 --> 00:13:05.380]   is something we actually have a lot more financial impact over than sometimes we give it credit to be.
[00:13:05.380 --> 00:13:11.940]   And when you look at how this averages out over the long run, it takes a remarkably modest raise or new
[00:13:11.940 --> 00:13:18.340]   job promotion to just have like a massive change in financial trajectory in the long term.
[00:13:18.340 --> 00:13:22.900]   Okay. So now I'm going to flip the table and ask you to take the other side, which is for someone who
[00:13:22.900 --> 00:13:30.340]   either has enough savings or has enough extra income that they can put money in multiple places,
[00:13:31.220 --> 00:13:36.420]   but is kind of thinking, gosh, I don't know what the future holds. I'd like flexibility. Does it even
[00:13:36.420 --> 00:13:42.180]   make sense to put money in a retirement account? Make the case for why the tax advantages of a retirement
[00:13:42.180 --> 00:13:47.620]   account might actually outweigh just leaving it in a brokerage account if you didn't end up needing it.
[00:13:47.620 --> 00:13:56.020]   I'd answer this two ways. I mean, the first is it's sort of like a practical reality of the rules. Roth style IRAs,
[00:13:56.580 --> 00:14:02.260]   when you put the dollars in the earnings are subject to taxes and potential penalties if
[00:14:02.260 --> 00:14:08.740]   you take them out early, but your principal, you can get back. You've got liquid. So you do have some
[00:14:08.740 --> 00:14:14.820]   options to get your Roth style dollars back a bit earlier if you want to, which means I've at least got some
[00:14:14.820 --> 00:14:23.380]   partial liquidity options available with Roth style accounts. That aside, we have a natural tendency and proclivity
[00:14:24.100 --> 00:14:30.020]   to keep and hoard more dollars that are available than are necessary. Our banking system is literally
[00:14:30.020 --> 00:14:34.900]   built and predicated on this. Like the whole nature of how the banking system works in the simplest sense
[00:14:34.900 --> 00:14:40.660]   is we put money on deposit that we could withdraw at any time. And then we don't withdraw it for months
[00:14:40.660 --> 00:14:45.380]   or years at a time, which is why banks can pay us a very limited amount for giving us all the liquidity
[00:14:45.380 --> 00:14:49.620]   and then actually lend the money out to someone else for 10 to 30 years and not go bankrupt.
[00:14:49.620 --> 00:14:57.460]   So everything from banking to emergency reserves is all built around the reality that just as human
[00:14:57.460 --> 00:15:02.420]   beings, we have a tendency to desire a little bit more liquidity than we end up needing. So on the one
[00:15:02.420 --> 00:15:06.580]   hand, look, if that's what makes you sleep well at night, please do not go and contribute so much to
[00:15:06.580 --> 00:15:10.980]   your retirement accounts that like you have anxiety and can't sleep. Like keep yourself liquid enough, you can
[00:15:10.980 --> 00:15:18.340]   sleep. But there comes a point where I'm just financially impairing myself by not taking advantage
[00:15:18.340 --> 00:15:24.340]   of opportunities for growth and opportunities for tax preferences, right? If it turns out that I keep
[00:15:24.340 --> 00:15:29.460]   my money liquid all the way throughout and I don't use it for the next five or 10 or 20 years, I just pay
[00:15:29.460 --> 00:15:33.540]   taxes on growth for the next five or 10 or 20 years that I would not have needed to pay if I used a retirement
[00:15:33.540 --> 00:15:39.620]   account. And that can easily be a quarter of my gross return or more depending on what my tax rate is.
[00:15:39.620 --> 00:15:46.660]   It's a huge pile of money that you don't end up getting because you sacrifice to taxes under the
[00:15:46.660 --> 00:15:52.420]   sheer preference of, I was afraid I might need the money and therefore I paid Uncle Sam a huge portion
[00:15:52.420 --> 00:15:58.260]   of the money for the privilege of not using it myself. So figure out what we need. For some of us,
[00:15:58.260 --> 00:16:03.780]   like, look, if your sleep well at night, peace of mind is like, I don't want three months of
[00:16:03.780 --> 00:16:08.820]   an emergency service or I want six months emergency service. I want two years worth. Like, cool. Knock
[00:16:08.820 --> 00:16:12.900]   yourself out with two years. Give yourself permission for two years. At some point, if you're saving and
[00:16:12.900 --> 00:16:17.460]   investing diligently, you're going to end out with more than two years of reserves. Can we at least commit
[00:16:17.460 --> 00:16:24.260]   that once we get to that point, we're going to take the overflow beyond the two years worth and put that
[00:16:24.260 --> 00:16:29.300]   into retirement accounts. And once we get there where we built that reserve, all future money is
[00:16:29.300 --> 00:16:33.380]   now going into retirement accounts. We're not using the reserve. It just kind of sits there as the balance
[00:16:33.380 --> 00:16:40.340]   that we need to sleep well at night and be comfortable. I worry less about any dollar over
[00:16:40.340 --> 00:16:45.700]   three months of savings is a financial waste and you have to get it into your retirement account. I've
[00:16:45.700 --> 00:16:50.580]   sat across from more than enough clients over the years to know that like just that is not a positive
[00:16:50.580 --> 00:16:54.420]   a peace of mind. It just doesn't feel like it's enough money to be comfortable. It's not enough
[00:16:54.420 --> 00:16:59.300]   and make an adjustment. But sometimes we just don't know what the number is because we've never really
[00:16:59.300 --> 00:17:05.540]   scenarioed through like, what would I really need if bad stuff happens and I needed to tap dollars?
[00:17:05.540 --> 00:17:10.900]   And often when we go through that process, we can get to here's what I need. And it might be more than
[00:17:10.900 --> 00:17:17.540]   the traditional advice about emergency savings, but there's some number. And if you're diligently saving,
[00:17:17.540 --> 00:17:23.300]   you will cross that number at some point. So let's worry less about whether one year or two years of
[00:17:23.300 --> 00:17:28.420]   savings is too much if that's your number instead of three to six months and more about like, cool.
[00:17:28.420 --> 00:17:31.700]   So let's get to that number as quickly as we can. And then I know we're going to take everything above
[00:17:31.700 --> 00:17:36.500]   that. Now, can we agree that we've got enough liquidity that we can put this over to retirement
[00:17:36.500 --> 00:17:42.020]   accounts? And maybe if you want to, let's look at Roth style of retirement accounts where we still got
[00:17:42.020 --> 00:17:47.780]   some way to draw principal back if we really need to. You mentioned briefly that you could be giving up
[00:17:47.780 --> 00:17:54.100]   25% of your long-term return by not putting that money in some sort of tax advantaged account.
[00:17:54.100 --> 00:17:59.140]   We could debate that number for a while because it's based on all kinds of assumptions about
[00:17:59.140 --> 00:18:01.540]   future tax rates and all these kinds of things. Correct.
[00:18:01.540 --> 00:18:06.900]   But at its core, if you hold the money to retirement, you're probably going to be better off
[00:18:06.900 --> 00:18:12.580]   in a retirement account. For some people, they might only have one option. But for a lot of people,
[00:18:12.580 --> 00:18:18.420]   I know, you know, when I had a W-2 job, I had, okay, well, I couldn't put it in a traditional IRA,
[00:18:18.420 --> 00:18:24.260]   but I could put it in a backdoor Roth. I could put money in a 401k pre-tax, or I could put it in a Roth
[00:18:24.260 --> 00:18:31.140]   401k. As people think through their options, do you have kind of a order priority or any kind of framework
[00:18:31.140 --> 00:18:37.540]   they can use to decide traditional versus Roth, 401k versus IRA? How do I pick where to go
[00:18:37.540 --> 00:18:40.820]   if I've made the decision that I will be investing for retirement?
[00:18:40.820 --> 00:18:48.100]   So beyond just the emergency savings, high debt pay down, mobility fund, just like once we get through
[00:18:48.100 --> 00:18:53.780]   that foundational layer. The next one that typically comes up for us is we're not actually fooling the
[00:18:53.780 --> 00:18:58.100]   retirement accounts yet. We're in health savings accounts. Tax preference accounts typically have
[00:18:58.100 --> 00:19:02.820]   three different ways that the government can incentivize tax benefits. We get a deduction
[00:19:02.820 --> 00:19:09.460]   up front. We get deferred growth while it's in. We get tax free withdrawals. Retirement accounts are
[00:19:09.460 --> 00:19:16.180]   typically two of the three. Choose your flavor. So Roth is no deduction going in, but you get tax deferred
[00:19:16.180 --> 00:19:20.980]   growth and it's tax free at the end. Traditional, you get the other two. Deduction up front and tax
[00:19:20.980 --> 00:19:25.540]   deferred growth, but no tax free at the end. It's actually taxable. So most retirement accounts are two
[00:19:25.540 --> 00:19:29.860]   out of three. HSA's health savings accounts are unique because they're the only three out of three.
[00:19:29.860 --> 00:19:33.220]   It's deductible going in. It's deferred while the dollars are in there and it's tax free when it
[00:19:33.220 --> 00:19:39.220]   comes out, as long as you use it for a qualified expense. So traditionally qualified expenses, my
[00:19:39.220 --> 00:19:45.140]   medical expenses, and I use it accordingly for any, any medical expenses I've got. But if either I'm
[00:19:45.140 --> 00:19:51.300]   relatively healthy or I'm just plowing in the maximum, my HSA enough that I'm actually still saving
[00:19:51.300 --> 00:19:55.940]   more than whatever incremental medical expenses I get, even after my high deductible health plan,
[00:19:55.940 --> 00:20:01.620]   any dollars that are left over, you get to save, you get to grow. And if you get all the way to
[00:20:01.620 --> 00:20:09.060]   retirement without using them in retirement, HSAs essentially convert to like a mini version of a
[00:20:09.060 --> 00:20:15.780]   tax free Roth for medical related expenses. So in retirement, I can still draw my HSA dollars out,
[00:20:15.780 --> 00:20:21.300]   but I can use them for things like Medicare expenses and health expenditures that I have
[00:20:21.300 --> 00:20:26.980]   in retirement of which there tend to be some eventually. So it becomes like a long term super
[00:20:26.980 --> 00:20:32.900]   turbo charged version of a Roth, except it was actually tax deductible going in and tax free coming
[00:20:32.900 --> 00:20:37.460]   out. I can only use it for the sleeve of medical expenses in retirement, but there's actually a lot of
[00:20:37.460 --> 00:20:42.660]   things that crop up that are medical expense or medically related in retirement. And so it runs very
[00:20:42.660 --> 00:20:46.980]   nicely in parallel with other retirement accounts. If I'm only ever going to be able to save in one
[00:20:46.980 --> 00:20:52.980]   thing, if I'm of more financially limited means, HSA is not a good anchor point because you need dollars
[00:20:52.980 --> 00:20:58.500]   for all the other retirement expenses in addition to. But if you've got multiple wealth buckets that
[00:20:58.500 --> 00:21:02.180]   you're building and eventually you're going to save more than the HSA limits and we're going to put
[00:21:02.180 --> 00:21:08.820]   money to multiple places, HSA has actually become the most tax efficient layer in this like foundational
[00:21:08.820 --> 00:21:14.980]   pyramid of what we're saving. This episode is brought to you by OpenPhone. If you're running a business,
[00:21:14.980 --> 00:21:19.940]   you know that every time you miss a call, you're leaving money on the table. When every customer
[00:21:19.940 --> 00:21:26.980]   conversation matters, you need a phone system that keeps up and helps you stay connected 24/7. With OpenPhone,
[00:21:26.980 --> 00:21:32.420]   you'll never miss an opportunity to connect with your customers. OpenPhone is the number one business
[00:21:32.420 --> 00:21:38.020]   phone system that streamlines and scales your customer communications. It works right on your phone or
[00:21:38.020 --> 00:21:43.540]   computer, so you don't need to carry a second phone. And if you work with a team, you can all collaborate
[00:21:43.540 --> 00:21:49.700]   on texts and calls like a shared inbox, keeping response times faster than ever. The best part,
[00:21:49.700 --> 00:21:56.100]   you can say goodbye to voicemails because OpenPhone's AI agent can help answer questions, handle calls after
[00:21:56.100 --> 00:22:02.180]   hours and even capture new leads automatically. So if you're a solo operator or managing a growing team,
[00:22:02.180 --> 00:22:08.500]   you've got to check out OpenPhone and see why over 60,000 businesses trust them for customer communication.
[00:22:08.500 --> 00:22:13.060]   And right now, OpenPhone is offering my listeners 20% off your first six months
[00:22:13.060 --> 00:22:22.740]   at allthehacks.com/openphone. That's allthehacks.com/openphone, O-P-E-N-P-H-O-N-E.
[00:22:22.740 --> 00:22:27.860]   And if you have existing numbers with another service, OpenPhone will port them over at no extra charge.
[00:22:28.420 --> 00:22:31.540]   OpenPhone. No missed calls, no missed customers.
[00:22:31.540 --> 00:22:38.500]   This episode is brought to you by DeleteMe. Did you know that it's legal for data brokers to collect
[00:22:38.500 --> 00:22:44.260]   all types of information about you, including tons of personally identifiable information like your name,
[00:22:44.260 --> 00:22:49.940]   address, phone, even your relatives' names, and then sell it to anyone with a credit card or even just
[00:22:49.940 --> 00:22:55.780]   list it online for free. This can expose you to serious risks like identity theft, scams, phishing
[00:22:55.780 --> 00:23:02.020]   attempts, harassment, and doxing. Now, I'm sure you know that data privacy is increasingly a serious
[00:23:02.020 --> 00:23:08.180]   concern, which is why I've been trusting DeleteMe to protect my privacy online for years. DeleteMe is a
[00:23:08.180 --> 00:23:13.460]   hands-free subscription service that removes your personal information from hundreds of data broker
[00:23:13.460 --> 00:23:19.060]   and people search sites, reducing the risk of your valuable information getting into the wrong hands.
[00:23:19.060 --> 00:23:24.260]   I picked DeleteMe because they've been doing this for over 15 years, and they use their own tech to
[00:23:24.260 --> 00:23:30.180]   continuously monitor and remove instead of outsourcing it to third parties. And unlike other services,
[00:23:30.180 --> 00:23:36.900]   DeleteMe verifies your data is on data broker sites before submitting removal requests, reducing the
[00:23:36.900 --> 00:23:42.900]   risk of unnecessary data exposure. I have already signed up my whole family for DeleteMe and feel so
[00:23:42.900 --> 00:23:47.940]   much better that we're all less of a target online. So if you want to get your personal information removed
[00:23:47.940 --> 00:23:55.700]   from the web, go to allthehacks.com/deleteme and get 20% off a plan for you or your entire family.
[00:23:55.700 --> 00:24:03.620]   Again, that's allthehacks.com/deleteme.
[00:24:03.620 --> 00:24:06.420]   And am I right that there's no length of time by which you have to report those expenses? So
[00:24:06.420 --> 00:24:13.220]   conceivably, you could be creating a Google Drive folder of all your major medical expenses your whole
[00:24:13.220 --> 00:24:17.620]   life, throw your receipts in. And then at retirement, if you don't have a lot of medical expenses,
[00:24:17.620 --> 00:24:21.540]   you could just reimburse yourself for the last 30 years of medical expenses.
[00:24:21.540 --> 00:24:27.140]   I mean, your absolute worst case scenario is you can retrospectively go back and say,
[00:24:27.140 --> 00:24:31.460]   oh, I'm using my HSA to reimburse my medical expenses. Here's 30 years worth of receipts of
[00:24:31.460 --> 00:24:36.420]   all the medical expenses I've gotten. Therefore, they're tax qualified withdrawals and off I go.
[00:24:36.420 --> 00:24:45.060]   But in retirement, there is a lot of other stuff that tends to come up that I also have opportunities
[00:24:45.060 --> 00:24:52.820]   to use it for. So just in practice, it's pretty hard to not find any medical expenses that are going
[00:24:52.820 --> 00:24:58.740]   to be eligible by the time I get to retirement. Yeah, I don't disagree. I just think if you get
[00:24:58.740 --> 00:25:03.780]   nervous putting all this money in an HSA thinking, what if I ever need it? It's harder to get out. I would
[00:25:03.780 --> 00:25:08.740]   argue that anytime you spend, you don't have to do it every time you buy band-aids at the store,
[00:25:08.740 --> 00:25:14.820]   but maybe every time you spend over $100, just throw the receipt in a place. And that makes it
[00:25:14.820 --> 00:25:19.940]   much more accessible to get your money out. And you don't have to wait until retirement to reimburse
[00:25:19.940 --> 00:25:25.220]   yourself for a medical expense. Correct. You don't have to wait. But if nominally like we're saving for
[00:25:25.220 --> 00:25:31.540]   retirement and we've got enough money to be saving for retirement on an ongoing basis, we're accumulating
[00:25:31.540 --> 00:25:36.500]   some wealth. We tend to have dollars left over in retirement that we're going to use for
[00:25:36.500 --> 00:25:42.100]   retirement once we're done with our working year. So I mean, yes, you can draw it down if it crops up
