
[00:00:00.040 --> 00:00:09.520]   ужас
[00:03:28.080 --> 00:03:28.080]   By my estimation, paying 10% penalty tax on the money is a good thing.
[00:03:28.080 --> 00:03:28.080]   By my estimation, paying 10% penalty tax on the money is a good thing.
[00:03:28.080 --> 00:03:28.080]   By my estimation, paying 10% penalty tax on the money is a good thing.
[00:03:28.080 --> 00:03:28.080]   By my estimation, paying 10% penalty tax on the money is a good thing.
[00:03:28.080 --> 00:03:28.080]   By my estimation, paying 10% penalty tax on the money is a good thing.
[00:03:28.100 --> 00:03:58.100]   By my estimation, paying 10% penalty tax on the money is a good thing.
[00:03:58.100 --> 00:03:58.100]   But I do think that usually we should be very slow to take money out of things like 401ks and IRAs,
[00:03:58.100 --> 00:03:58.100]   Especially if our reason for taking them out is because of unemployment.
[00:03:58.100 --> 00:03:58.100]   But I do think that usually we should be very slow to take money out of things like 401ks and IRAs,
[00:03:58.100 --> 00:03:58.100]   Especially if our reason for taking them out is because of unemployment.
[00:03:58.100 --> 00:03:58.100]   But I do think that usually we should be very slow to take money out of things like 401ks and IRAs,
[00:03:58.100 --> 00:03:58.100]   Especially if our reason for taking them out is because of unemployment.
[00:03:58.100 --> 00:03:58.100]   But I do think that usually we should be very slow to take money out of things like 401ks and IRAs,
[00:03:58.100 --> 00:03:58.100]   Especially if our reason for taking them out is because of unemployment.
[00:03:58.100 --> 00:03:58.100]   But I do think that usually we should be very slow to take money out of things like 401ks and IRAs,
[00:03:58.120 --> 00:04:28.120]   The first thing when you're facing a financial problem is to get very clear on the problem.
[00:04:28.120 --> 00:04:28.120]   What is the problem?
[00:04:28.120 --> 00:04:28.120]   What is the actual problem?
[00:04:28.120 --> 00:04:28.120]   This is very difficult for people who are facing emotional stress and turmoil to do effectively.
[00:04:28.120 --> 00:04:28.120]   Usually we need someone else to help us with it.
[00:04:28.120 --> 00:04:28.120]   So I asked this listener, what is the fundamental problem? Why do you face the problem? Frequently somebody who's experiencing emotional stress and turmoil to do effectively.
[00:04:28.120 --> 00:04:28.120]   Frequently somebody who's experiencing emotional stress and turmoil to do effectively.
[00:04:28.120 --> 00:04:28.120]   So I asked this listener, what is the fundamental problem? Why do you face the problem?
[00:04:28.120 --> 00:04:28.120]   Frequently somebody who's experiencing emotional stress and turmoil to do effectively.
[00:04:28.120 --> 00:04:28.120]   Frequently somebody who's experiencing emotional stress and turmoil to do effectively.
[00:04:28.120 --> 00:04:28.120]   So I asked this listener, what is the fundamental problem? Why do you face the problem? Why do you face the problem? Why do you face the problem?
[00:04:28.160 --> 00:04:38.240]   Big
[00:04:38.240 --> 00:04:41.620]   con en provide
[00:04:41.620 --> 00:04:57.480]   Le The Z I I �
[00:05:56.360 --> 00:06:07.180]   all
[00:06:07.180 --> 00:06:23.080]   serves'm, describe an, ,,, Nine G I Sel
[00:07:20.960 --> 00:07:31.240]   it
[00:07:31.240 --> 00:07:49.580]   thats as,,,, er décidé
[00:09:18.080 --> 00:09:46.200]   going
[00:09:46.200 --> 00:09:47.980]   checkimen representver wait donest, and, and, and, the, worth, польз, however, my, with the, nghi. I'm. La.피. hog. Bubble. Chi. at. room. check. new. category and look. allow marry.akh. war. December 실�Book. Ey. count.ened. Wir. Gü. tips. rid.hou.視.因. sub: Ivan. Future.的話 chaîne.аксим 100.аст.CE. quin:분. Э.fin. recognizes Japanese Phew.adel merch �. IM I'm steady thechod. Gel ad install the出來 concentrate the Зre fió that's of haiто and I'm cuando Folgeil sacs and I'm music and I'm manoел resent the Francisco這
[00:09:48.000 --> 00:10:17.920]   money so that you can put off solving it and what I have found is every time that I have reverted to credit card spending during times of financial crisis I was simply delaying the difficult decisions I've never solved the fundamental underlying problem and what's worse is because I didn't solve the underlying problem and because I accumulated credit
[00:10:17.920 --> 00:10:17.920]   I've never solved the fundamental underlying problem and what's worse is because I didn't solve the underlying problem and because I accumulated credit
[00:10:17.920 --> 00:10:17.920]   credit card
[00:10:17.920 --> 00:10:17.920]   credit card
[00:10:17.920 --> 00:10:17.920]   credit card
[00:10:17.920 --> 00:10:17.920]   credit card and what's worse is because I didn't solve the underlying problem and because I accumulated credit card I've never solved the fundamental underlying problem and what's worse is because I didn't solve the underlying problem and what's worse is because I didn't solve the underlying problem and because I accumulated credit card
[00:10:17.920 --> 00:10:17.920]   and what's worse is because I didn't solve the underlying problem and because I accumulated credit card
[00:10:17.920 --> 00:10:17.920]   and what's worse is because I didn't solve the underlying problem and because I accumulated credit card
[00:10:17.960 --> 00:10:25.580]   connection
[00:10:25.580 --> 00:10:47.940]  ук, discuss the. I go. was.
[00:10:47.980 --> 00:10:53.920]   деся
[00:10:53.920 --> 00:11:16.700]   " Shi bathroom geksty g settlement transferred� believe leaving slot, and, and, and, and, and, and, and, and, and, and, wrote, confused about the look,樹 лай《 custard friend'sLED Cilight Zomb the i's terhope the cooling the tour. In the never gave the is the dip the least the manage the bed of the Hell the make the cream . .I. .G. I'd the . .
[00:11:16.700 --> 00:11:16.840]   . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . и home . Take the . 的 to a Так a , exactly Sy flag understand the errand addressed L has time in Ke desperately or almost butère and Like a
[00:11:16.920 --> 00:11:21.000]   needs
[00:11:21.000 --> 00:11:43.200]   Q Gra end,,,, stereo
[00:12:41.540 --> 00:12:41.540]   It's better to do that proactively as quickly as possible so that you can move out before you get into a contentious situation with the landlord. If I don't have the money to buy food, it's more important for me to go and apply for food stamps.
[00:12:41.540 --> 00:12:41.540]   If I don't have the money to buy food, it's more important for me to go and apply for food stamps.
[00:12:41.540 --> 00:12:41.540]   If I don't have the money to buy food, it's more important for me to go and apply for food stamps.
[00:12:41.540 --> 00:12:41.540]   If I don't have the money to buy food, it's more important for me to go and apply for food stamps.
[00:12:41.540 --> 00:12:41.540]   If I don't have the money to buy food, it's more important for me to go and apply for food stamps.
[00:12:41.540 --> 00:12:41.540]   If I don't have the money to buy food, it's more important for me to go and apply for food stamps.
[00:12:41.580 --> 00:12:59.700]  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.
[00:12:59.700 --> 00:13:09.700]   If I need to move from an expensive place to a cheap place, if I need to sell my car to downsize to a cheaper car because I've done poor planning to have enough reserves to get me through a hard time, it's better for me to solve those things quickly than to borrow on a credit card.
[00:13:09.700 --> 00:13:09.720]   If I don't have the money to buy food or apply for food stamps.
[00:13:09.940 --> 00:13:37.940]   A credit card.
[00:13:37.940 --> 00:13:37.980]   If I don't have the money to buy food or apply for food stamps.
[00:13:37.980 --> 00:13:38.040]   If I don't have the money to buy food or apply for food stamps.
[00:13:38.040 --> 00:13:38.100]   If I don't have the money to buy food or apply for food stamps.
[00:13:38.100 --> 00:13:38.160]   If I don't have the money to buy food or apply for food stamps.
[00:13:38.160 --> 00:13:38.220]   If I don't have the money to buy food or apply for food stamps.
[00:13:38.220 --> 00:13:38.260]   If I don't have the money to buy food or apply for food stamps.
[00:13:38.260 --> 00:13:38.320]   If I don't have the money to buy food or apply for food stamps.
[00:13:38.320 --> 00:13:38.380]   If I don't have the money to buy food or apply for food stamps.
[00:13:38.380 --> 00:13:38.440]   If I don't have the money to buy food or apply for food stamps.
[00:13:38.440 --> 00:13:38.460]   If I don't have the money to buy food or apply for food stamps.
[00:13:38.460 --> 00:13:38.480]   If I don't have the money to buy food or apply for food stamps.
[00:13:38.520 --> 00:13:49.780]  alling from er
[00:13:49.780 --> 00:14:08.520]   � K don 2, and,,,,,,,,,, but我說 Tool Listeningsections嗎 thereby depend for ge ad nearly eye Uhh gather 10승ط mission ان​f blessed meistenwell, and, ad, "E, "D" "D" "C" "G" "J" con" " check" about" was " dealing and it's was " courage and " five and -Gr let's a closeение is the why it'sلم � equality and the co chaos invisible gain et diamondsrzy is like日 butt do it's di broken but
[00:14:08.540 --> 00:14:14.560]   I'll take a night job sitting at a hotel desk before I'll go into credit card debt.
[00:14:14.560 --> 00:14:18.560]   I'll drive Uber 18 hours a day before I'll go into credit card debt.
[00:14:18.560 --> 00:14:20.560]   It doesn't help.
[00:14:20.560 --> 00:14:26.560]   Briefly let me explain why I didn't make it an absolute statement.
[00:14:26.560 --> 00:14:33.560]   Why didn't I say for all people credit cards never help?
[00:14:33.560 --> 00:14:37.560]   The reason is because it has to do with scale.
[00:14:37.560 --> 00:14:38.560]   The reason is because it has to do with scale.
[00:14:38.560 --> 00:14:38.560]   The reason is because it has to do with scale.
[00:14:38.560 --> 00:14:38.560]   The reason is because it has to do with scale.
[00:14:38.560 --> 00:14:38.560]   The reason is because it has to do with scale.
[00:14:38.560 --> 00:14:38.560]   The reason is because it has to do with scale.
[00:14:38.560 --> 00:14:38.560]   The reason is because it has to do with scale.
[00:14:38.560 --> 00:14:38.560]   The reason is because it has to do with scale.
[00:14:38.560 --> 00:14:38.560]   The reason is because it has to do with scale.
[00:14:38.560 --> 00:15:08.600]   The reason is because it has to do with scale.
[00:15:08.600 --> 00:15:08.600]   The reason is because it has to do with scale.
[00:15:08.600 --> 00:15:08.600]   The reason is because it has to do with scale.
[00:15:08.600 --> 00:15:08.600]   The reason is because it has to do with scale.
[00:15:08.600 --> 00:15:08.600]   The reason is because it has to do with scale.
[00:15:08.600 --> 00:15:08.600]   The reason is because it has to do with scale.
[00:15:08.600 --> 00:15:08.600]   The reason is because it has to do with scale.
[00:15:08.600 --> 00:15:08.600]   The reason is because it has to do with scale. The reason is because it has to do with scale.
[00:15:08.640 --> 00:15:19.000]   #
[00:15:19.000 --> 00:15:24.920]  � in a he peppers
[00:16:06.360 --> 00:16:06.360]  's a little bit of a long way to get you through the next two months of shortfall.
[00:16:06.360 --> 00:16:06.360]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:06.360 --> 00:16:06.360]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:06.360 --> 00:16:06.420]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:06.420 --> 00:16:06.460]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:06.860 --> 00:16:06.920]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:06.920 --> 00:16:07.000]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:07.000 --> 00:16:07.080]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:07.080 --> 00:16:07.160]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:36.460 --> 00:16:36.860]  , and it's a little bit of a long way to get you through the next two months of shortfall.
[00:16:36.860 --> 00:16:36.880]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:36.880 --> 00:16:37.100]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:37.100 --> 00:16:37.160]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:37.160 --> 00:16:37.200]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:37.200 --> 00:16:37.200]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:37.200 --> 00:16:37.200]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:37.200 --> 00:16:37.200]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:16:37.260 --> 00:17:07.240]  , but for somebody in the day-to-day lower income scenario, putting $5,000 on a credit card could be a problem that dogs them for years.
[00:17:07.240 --> 00:17:07.240]   I don't know how to put a harder line than that. Every time I'm going to discourage somebody from borrowing money on a credit card, but I have to concede that credit cards can be a source of bridge financing.
[00:17:07.240 --> 00:17:07.240]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:07.240 --> 00:17:07.240]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:07.240 --> 00:17:07.240]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:07.240 --> 00:17:07.240]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:07.240 --> 00:17:07.240]   But I have to concede that credit cards can be a source of bridge financing.
[00:17:07.260 --> 00:17:37.260]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:37.260 --> 00:17:37.260]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:37.260 --> 00:17:37.260]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:37.260 --> 00:17:37.260]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:37.260 --> 00:17:37.260]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:37.260 --> 00:17:37.260]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:37.260 --> 00:17:37.260]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:37.260 --> 00:17:37.260]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:37.260 --> 00:17:37.260]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:17:37.300 --> 00:18:07.280]  ,
[00:18:07.280 --> 00:18:07.280]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:18:07.280 --> 00:18:07.280]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:18:07.280 --> 00:18:07.280]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:18:07.280 --> 00:18:07.280]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:18:07.280 --> 00:18:07.280]   It's a little bit of a long way to get you through the next two months of shortfall.
[00:18:07.300 --> 00:18:37.300]   We're going to go ahead and get started in about a minute or so.
[00:18:37.300 --> 00:18:37.300]   We're going to go ahead and get started in about a minute or so.
[00:18:37.300 --> 00:18:37.300]   We're going to go ahead and get started in about a minute or so.
[00:18:37.300 --> 00:18:37.300]   We're going to go ahead and get started in about a minute or so.
[00:18:37.300 --> 00:18:37.300]   We're going to go ahead and get started in about a minute or so.
[00:18:37.300 --> 00:18:37.300]   We're going to go ahead and get started in about a minute or so.
[00:18:37.300 --> 00:18:37.300]   We're going to go ahead and get started in about a minute or so.
[00:18:37.300 --> 00:18:37.300]   We're going to go ahead and get started in about a minute or so.
[00:18:37.300 --> 00:18:37.300]   We're going to go ahead and get started in about a minute or so.
[00:18:37.300 --> 00:18:37.300]   We're going to go ahead and get started in about a minute or so.
[00:18:37.300 --> 00:18:37.300]   We're going to go ahead and get started in about a minute or so.
[00:18:37.300 --> 00:18:37.300]   We're going to go ahead and get started in about a minute or so.
[00:18:37.300 --> 00:19:07.320]   We're going to go ahead and get started in about a minute or so.
[00:19:07.320 --> 00:19:07.320]   We're going to go ahead and get started in about a minute or so.
[00:19:07.320 --> 00:19:07.320]   We're going to go ahead and get started in about a minute or so.
[00:19:07.320 --> 00:19:07.320]   We're going to go ahead and get started in about a minute or so.
[00:19:07.320 --> 00:19:07.320]   We're going to go ahead and get started in about a minute or so.
[00:19:07.320 --> 00:19:07.320]   We're going to go ahead and get started in about a minute or so.
[00:19:07.320 --> 00:19:07.320]   We're going to go ahead and get started in about a minute or so.
[00:19:07.320 --> 00:19:07.320]   We're going to go ahead and get started in about a minute or so.
[00:19:07.320 --> 00:19:07.320]   We're going to go ahead and get started in about a minute or so.
[00:19:07.340 --> 00:19:37.340]   We're going to go ahead and get started in about a minute or so.
[00:19:37.340 --> 00:19:37.340]   We're going to go ahead and get started in about a minute or so.
[00:19:37.340 --> 00:19:37.340]   We're going to go ahead and get started in about a minute or so.
[00:19:37.340 --> 00:19:37.340]   We're going to go ahead and get started in about a minute or so.
[00:19:37.340 --> 00:19:37.340]   We're going to go ahead and get started in about a minute or so.
[00:19:37.340 --> 00:19:37.340]   We're going to go ahead and get started in about a minute or so.
[00:19:37.340 --> 00:19:37.340]   We're going to go ahead and get started in about a minute or so.
[00:19:37.340 --> 00:19:37.340]   We're going to go ahead and get started in about a minute or so.
[00:19:37.340 --> 00:19:37.340]   We're going to go ahead and get started in about a minute or so.
[00:19:37.340 --> 00:19:37.340]   We're going to go ahead and get started in about a minute or so.
[00:19:37.340 --> 00:19:37.340]   We're going to go ahead and get started in about a minute or so.
[00:19:37.340 --> 00:19:37.340]   We're going to go ahead and get started in about a minute or so.
[00:19:37.340 --> 00:20:07.360]   I'm going to go ahead and get started in about a minute or so.
[00:20:07.360 --> 00:20:07.360]   We're going to go ahead and get started in about a minute or so.
[00:20:07.360 --> 00:20:07.360]   We're going to go ahead and get started in about a minute or so.
[00:20:07.360 --> 00:20:07.360]   We're going to go ahead and get started in about a minute or so.
[00:20:07.360 --> 00:20:07.360]   We're going to go ahead and get started in about a minute or so.
[00:20:07.360 --> 00:20:07.360]   We're going to go ahead and get started in about a minute or so.
[00:20:07.360 --> 00:20:07.360]   We're going to go ahead and get started in about a minute or so.
[00:20:07.360 --> 00:20:07.360]   We're going to go ahead and get started in about a minute or so.
[00:20:07.360 --> 00:20:07.360]   We're going to go ahead and get started in about a minute or so.
[00:20:07.380 --> 00:20:37.380]   We're going to go ahead and get started in about a minute or so.
[00:20:37.380 --> 00:20:37.380]   We're going to go ahead and get started in about a minute or so.
[00:20:37.380 --> 00:20:37.380]   We're going to go ahead and get started in about a minute or so.
[00:20:37.380 --> 00:20:37.380]   We're going to go ahead and get started in about a minute or so.
[00:20:37.380 --> 00:20:37.380]   We're going to go ahead and get started in about a minute or so.
[00:20:37.380 --> 00:20:37.380]   We're going to go ahead and get started in about a minute or so.
[00:20:37.380 --> 00:20:37.380]   We're going to go ahead and get started in about a minute or so.
[00:20:37.380 --> 00:20:37.380]   We're going to go ahead and get started in about a minute or so.
[00:20:37.380 --> 00:20:37.380]   We're going to go ahead and get started in about a minute or so.
[00:20:37.380 --> 00:20:37.380]   We're going to go ahead and get started in about a minute or so.
[00:20:37.380 --> 00:20:37.380]   We're going to go ahead and get started in about a minute or so.
[00:20:37.380 --> 00:20:37.380]   We're going to go ahead and get started in about a minute or so.
[00:20:37.380 --> 00:21:07.400]  ,
[00:21:07.400 --> 00:21:07.400]   We're going to go ahead and get started in about a minute or so.
[00:21:07.400 --> 00:21:07.400]   We're going to go ahead and get started in about a minute or so.
[00:21:07.400 --> 00:21:07.400]   We're going to go ahead and get started in about a minute or so.
[00:21:07.400 --> 00:21:07.400]   We're going to go ahead and get started in about a minute or so.
[00:21:07.400 --> 00:21:07.400]   We're going to go ahead and get started in about a minute or so.
[00:21:07.400 --> 00:21:07.400]   We're going to go ahead and get started in about a minute or so.
[00:21:07.400 --> 00:21:07.400]   We're going to go ahead and get started in about a minute or so.
[00:21:07.420 --> 00:21:37.420]   We're going to go ahead and get started in about a minute or so.
[00:21:37.420 --> 00:21:37.420]   We're going to go ahead and get started in about a minute or so.
[00:21:37.420 --> 00:21:37.420]   We're going to go ahead and get started in about a minute or so.
[00:21:37.420 --> 00:21:37.420]   We're going to go ahead and get started in about a minute or so.
[00:21:37.420 --> 00:21:37.420]   We're going to go ahead and get started in about a minute or so.
[00:21:37.420 --> 00:21:37.420]   We're going to go ahead and get started in about a minute or so.
[00:21:37.420 --> 00:21:37.420]   We're going to go ahead and get started in about a minute or so.
[00:21:37.420 --> 00:21:37.420]   We're going to go ahead and get started in about a minute or so.
[00:21:37.420 --> 00:21:37.420]   We're going to go ahead and get started in about a minute or so.
[00:21:37.420 --> 00:21:37.420]   We're going to go ahead and get started in about a minute or so.
[00:21:37.420 --> 00:21:37.420]   We're going to go ahead and get started in about a minute or so.
[00:21:37.420 --> 00:21:37.420]   We're going to go ahead and get started in about a minute or so.
[00:21:37.420 --> 00:22:07.440]   We're going to go ahead and get started in about a minute or so.
[00:22:07.440 --> 00:22:07.440]   We're going to go ahead and get started in about a minute or so.
[00:22:07.440 --> 00:22:07.440]   We're going to go ahead and get started in about a minute or so.
[00:22:07.440 --> 00:22:07.440]   We're going to go ahead and get started in about a minute or so.
[00:22:07.440 --> 00:22:07.440]   We're going to go ahead and get started in about a minute or so.
[00:22:07.440 --> 00:22:07.440]   We're going to go ahead and get started in about a minute or so.
[00:22:07.440 --> 00:22:07.440]   We're going to go ahead and get started in about a minute or so.
[00:22:07.460 --> 00:22:37.460]   We're going to go ahead and get started in about a minute or so.
[00:22:37.460 --> 00:22:37.460]   We're going to go ahead and get started in about a minute or so.
[00:22:37.460 --> 00:22:37.460]   We're going to go ahead and get started in about a minute or so.
[00:22:37.460 --> 00:22:37.460]   We're going to go ahead and get started in about a minute or so.
[00:22:37.460 --> 00:22:37.460]   We're going to go ahead and get started in about a minute or so.
[00:22:37.460 --> 00:22:37.460]   We're going to go ahead and get started in about a minute or so.
[00:22:37.460 --> 00:22:37.460]   We're going to go ahead and get started in about a minute or so.
[00:22:37.460 --> 00:22:37.460]   We're going to go ahead and get started in about a minute or so.
[00:22:37.460 --> 00:22:37.460]   We're going to go ahead and get started in about a minute or so.
[00:22:37.460 --> 00:22:37.460]   We're going to go ahead and get started in about a minute or so.
[00:22:37.460 --> 00:22:37.460]   We're going to go ahead and get started in about a minute or so.
[00:22:37.460 --> 00:22:37.460]   We're going to go ahead and get started in about a minute or so.
[00:22:37.480 --> 00:23:07.480]  ,
[00:23:07.480 --> 00:23:07.480]   We're going to go ahead and get started in about a minute or so.
[00:23:07.480 --> 00:23:07.480]   We're going to go ahead and get started in about a minute or so.
[00:23:07.480 --> 00:23:07.480]   We're going to go ahead and get started in about a minute or so.
[00:23:07.480 --> 00:23:07.480]   We're going to go ahead and get started in about a minute or so.
[00:23:07.480 --> 00:23:07.480]   We're going to go ahead and get started in about a minute or so.
[00:23:07.480 --> 00:23:07.480]   We're going to go ahead and get started in about a minute or so.
[00:23:07.480 --> 00:23:07.480]   We're going to go ahead and get started in about a minute or so.
[00:23:07.480 --> 00:23:07.480]   We're going to go ahead and get started in about a minute or so.
[00:23:07.500 --> 00:23:37.500]   I'm going to go ahead and get started in about a minute or so.
[00:23:37.500 --> 00:23:37.500]   We're going to go ahead and get started in about a minute or so.
[00:23:37.500 --> 00:23:37.500]   We're going to go ahead and get started in about a minute or so.
[00:23:37.500 --> 00:23:37.500]   We're going to go ahead and get started in about a minute or so.
[00:23:37.500 --> 00:23:37.500]   We're going to go ahead and get started in about a minute or so.
[00:23:37.500 --> 00:23:37.500]   We're going to go ahead and get started in about a minute or so.
[00:23:37.500 --> 00:23:37.500]   We're going to go ahead and get started in about a minute or so.
[00:23:37.500 --> 00:23:37.500]   We're going to go ahead and get started in about a minute or so.
[00:23:37.500 --> 00:23:37.500]   We're going to go ahead and get started in about a minute or so.
[00:23:37.500 --> 00:23:37.500]   We're going to go ahead and get started in about a minute or so.
[00:23:37.500 --> 00:23:37.500]   We're going to go ahead and get started in about a minute or so.
[00:23:37.520 --> 00:24:07.520]  , we're going to go ahead and get started in about a minute or so.
[00:24:07.520 --> 00:24:07.520]   We're going to go ahead and get started in about a minute or so.
[00:24:07.520 --> 00:24:07.520]   We're going to go ahead and get started in about a minute or so.
[00:24:07.520 --> 00:24:07.520]   We're going to go ahead and get started in about a minute or so.
[00:24:07.520 --> 00:24:07.520]   We're going to go ahead and get started in about a minute or so.
[00:24:07.520 --> 00:24:07.520]   We're going to go ahead and get started in about a minute or so.
[00:24:07.520 --> 00:24:07.520]   We're going to go ahead and get started in about a minute or so.
[00:24:07.520 --> 00:24:07.520]   We're going to go ahead and get started in about a minute or so.
[00:24:07.520 --> 00:24:07.520]   We're going to go ahead and get started in about a minute or so.
[00:24:07.540 --> 00:24:37.540]   We're going to go ahead and get started in about a minute or so.
[00:24:37.540 --> 00:24:37.540]   We're going to go ahead and get started in about a minute or so.
[00:24:37.540 --> 00:24:37.540]   We're going to go ahead and get started in about a minute or so.
[00:24:37.540 --> 00:24:37.540]   We're going to go ahead and get started in about a minute or so.
[00:24:37.540 --> 00:24:37.540]   We're going to go ahead and get started in about a minute or so.
[00:24:37.540 --> 00:24:37.540]   We're going to go ahead and get started in about a minute or so.
[00:24:37.540 --> 00:24:37.540]   We're going to go ahead and get started in about a minute or so.
[00:24:37.540 --> 00:24:37.540]   We're going to go ahead and get started in about a minute or so.
[00:24:37.540 --> 00:24:37.540]   We're going to go ahead and get started in about a minute or so.
[00:24:37.540 --> 00:24:37.540]   We're going to go ahead and get started in about a minute or so.
[00:24:37.540 --> 00:24:37.540]   We're going to go ahead and get started in about a minute or so.
[00:24:37.540 --> 00:24:37.540]   We're going to go ahead and get started in about a minute or so.
[00:24:37.580 --> 00:25:07.560]  ,
[00:25:07.560 --> 00:25:07.560]   We're going to go ahead and get started in about a minute or so.
[00:25:07.560 --> 00:25:07.560]   We're going to go ahead and get started in about a minute or so.
[00:25:07.560 --> 00:25:07.560]   We're going to go ahead and get started in about a minute or so.
