
[00:00:00.040 --> 00:00:09.300]   oro
[00:05:22.380 --> 00:05:22.380]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:05:22.380 --> 00:05:22.380]   I've gone to conferences, and I've interacted with more and more people who are remote virtual
[00:05:22.380 --> 00:05:22.380]   I've gone to conferences, and I've interacted with more and more and more people who are remote virtual
[00:05:22.380 --> 00:05:22.380]   I've gone to conferences, and I've gone to conferences, and I've interacted with more and more and more people who are remote virtual
[00:05:22.380 --> 00:05:22.380]   I've gone to conferences, and more and more and more people who are remote virtual
[00:05:22.400 --> 00:05:52.400]   I've gone to conferences, and more and more and more people who are remote virtual
[00:05:52.400 --> 00:05:52.400]   I've gone to conferences, and more and more and more people who are remote virtual
[00:05:52.400 --> 00:05:52.400]   I've gone to conferences, and more and more and more people who are remote virtual
[00:05:52.400 --> 00:05:52.400]   I've gone to conferences, and more and more and more people who are remote virtual
[00:05:52.400 --> 00:05:52.400]   I've gone to conferences, and more and more and more people who are remote virtual
[00:05:52.400 --> 00:05:52.400]   I've gone to conferences, and more and more and more people who are remote virtual
[00:05:52.400 --> 00:05:52.400]   I've gone to conferences, and more and more and more people who are remote virtual
[00:05:52.400 --> 00:05:52.400]   I've gone to conferences, and more and more and more people who are remote virtual
[00:05:52.400 --> 00:05:52.400]   I've gone to conferences, and more and more and more and more people who are remote virtual
[00:05:52.400 --> 00:05:52.400]   I've gone to conferences, and more and more and more and more and more people who are remote virtual
[00:05:52.440 --> 00:05:58.780]  과�
[00:05:58.780 --> 00:06:02.440]   I but лай
[00:06:02.440 --> 00:06:11.360]  illed, that,,,,,, during versa
[00:06:11.360 --> 00:06:20.240]   charge I do
[00:07:19.540 --> 00:07:48.560]  ертвly
[00:07:48.560 --> 00:07:48.560]   the reason why I like the idea of having something Columbia. Columbia is just a wonderful country. It's absolutely on the upswing. There are tremendous opportunities left and right in Columbia right now. So if you've never been to Columbia, it's a really good time to go. I love Columbia. Costa Rica is a really good option. People like to go to Costa Rica. Costa Rica has the benefit of being really easy to get to. It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff and great tourist stuff.
[00:07:48.560 --> 00:07:48.560]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff and great tourist stuff.
[00:07:48.560 --> 00:07:48.560]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff and great tourist stuff.
[00:07:48.600 --> 00:08:17.600]  obedient.com/coast-rica-is-it-for-you-and-you-can-do-it-for-it.
[00:08:17.600 --> 00:08:17.600]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff and great tourist stuff.
[00:08:17.600 --> 00:08:17.600]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff and great tourist stuff.
[00:08:18.140 --> 00:08:46.640]  ,
[00:08:46.640 --> 00:08:47.640]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff and great tourist stuff.
[00:08:47.640 --> 00:08:47.640]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff and great tourist stuff.
[00:08:47.780 --> 00:09:17.680]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:09:46.720 --> 00:09:47.720]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:09:47.720 --> 00:09:47.720]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:09:47.740 --> 00:09:55.760]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:09:55.760 --> 00:09:57.760]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:09:57.760 --> 00:09:59.760]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:09:59.760 --> 00:10:01.760]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:10:01.760 --> 00:10:03.760]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:10:03.760 --> 00:10:05.760]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:10:05.780 --> 00:10:27.800]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:10:27.800 --> 00:10:29.800]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:10:29.800 --> 00:10:31.800]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:10:31.800 --> 00:10:33.800]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:10:33.800 --> 00:11:03.840]  , it's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:11:03.840 --> 00:11:03.840]   It's cheap to get to from all over the United States. It has tremendous tourist infrastructure so we can do a really good integration of fun stuff.
[00:11:03.880 --> 00:11:32.100]   about
[00:12:57.660 --> 00:13:25.780]   I'm not using this time when I'm not facing anything like this. Do you have health insurance now?
[00:13:56.660 --> 00:13:56.660]   I do.
[00:13:56.660 --> 00:13:56.660]   Yes, I do. So you're not concerned about the financial components of health care. You're more thinking about how can I get quality care. Is that right?
[00:13:56.660 --> 00:13:56.660]   That's true. But I actually personally want to get quality of care for the right price. So let's say yes, I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:13:56.660 --> 00:13:56.660]   So let's say yes, I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:13:56.660 --> 00:13:56.660]   So let's say yes, I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:13:56.660 --> 00:13:56.660]   So let's say yes, I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:13:56.660 --> 00:14:26.180]  ,
[00:14:26.180 --> 00:14:26.680]   So let's say yes, I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:14:26.680 --> 00:14:26.680]   So let's say yes, I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:14:26.680 --> 00:14:26.680]   So let's say yes, I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:14:26.680 --> 00:14:26.680]   So let's say yes, I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:14:26.700 --> 00:14:56.700]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:14:56.700 --> 00:14:56.700]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:14:56.700 --> 00:14:56.700]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:14:56.700 --> 00:14:56.700]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:14:56.700 --> 00:14:56.700]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:14:56.700 --> 00:14:56.700]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:14:56.700 --> 00:14:56.700]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:14:56.700 --> 00:15:26.720]  , and I'm a big fan of the fact that now there are so many groups and public health organizations that are working together to help people with mental health issues.
[00:15:26.720 --> 00:15:26.720]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:26.720 --> 00:15:26.720]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:26.720 --> 00:15:26.720]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:26.720 --> 00:15:26.720]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:26.720 --> 00:15:26.720]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:26.720 --> 00:15:26.720]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:26.740 --> 00:15:56.740]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:56.740 --> 00:15:56.740]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:56.740 --> 00:15:56.740]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:56.740 --> 00:15:56.740]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:56.740 --> 00:15:56.740]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:56.740 --> 00:15:56.740]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:56.740 --> 00:15:56.740]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:15:56.780 --> 00:16:26.760]  , and I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:26.760 --> 00:16:26.760]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:26.760 --> 00:16:26.760]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:26.760 --> 00:16:26.760]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:26.760 --> 00:16:26.760]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:26.760 --> 00:16:26.760]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:26.760 --> 00:16:26.760]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:26.780 --> 00:16:56.780]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:56.780 --> 00:16:56.780]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:56.780 --> 00:16:56.780]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:56.780 --> 00:16:56.780]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:56.780 --> 00:16:56.780]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:56.780 --> 00:16:56.780]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:16:56.780 --> 00:16:56.780]   I do have insurance and it's quite comprehensive, but I don't believe it's morally right to go and do a procedure.
[00:17:26.800 --> 00:17:26.800]   The medical system in the United States is a system that is designed to be able to do a procedure.
[00:17:26.800 --> 00:17:26.800]   The medical system in the United States is a system that is designed to be able to do a procedure.
[00:17:26.800 --> 00:17:26.800]   The medical system in the United States is a system that is designed to be able to do a procedure.
[00:17:26.800 --> 00:17:26.800]   The medical system in the United States is a system that is designed to be able to do a procedure.
[00:17:26.800 --> 00:17:26.800]   The medical system in the United States is a system that is designed to be able to do a procedure.
[00:17:26.800 --> 00:17:26.800]   The medical system in the United States is a system that is designed to be able to do a procedure.
[00:17:26.800 --> 00:17:26.800]   The medical system in the United States is a system that is designed to be able to do a procedure.
[00:17:26.800 --> 00:17:26.800]   The medical system that is designed to do a procedure.
[00:17:26.840 --> 00:17:38.140]  makers in the is giorno
[00:17:38.140 --> 00:17:50.620]   good,,,,,,, El I'm says I do I is over and I's being never apart vai vorbere meta multiple avereussa,e, and, .I, .G. .. . . . . . . . , . . . . . . . . ., ., -, -, - question... MD, -, floен,至 the life, gray,ל, via the, chce,vet,�, perspect, 12, tel,降, explain, hung, LEGO, Believe, adequ, backs,
[00:17:54.700 --> 00:18:04.560]   Valley
[00:18:04.560 --> 00:18:09.280]   ancestry younger at
[00:18:09.280 --> 00:18:22.360]   blessed end i dig 9 consistsinen property have a piece of the З. In, It's, I, the, the, the, the, the, the, the, the, the, the, the, the, they, the, the, the, count. Did. perch stole the. Jo. свою. 듣. thành. Stein.關.
[00:18:22.360 --> 00:18:24.060]   12.
[00:18:24.180 --> 00:18:30.080]   13.
[00:18:30.080 --> 00:18:30.140]   14.
[00:18:30.140 --> 00:18:30.180]   15.
[00:18:30.180 --> 00:18:30.220]   16.
[00:18:30.220 --> 00:18:30.260]   17.
[00:18:30.260 --> 00:18:30.300]   18.
[00:18:30.300 --> 00:18:30.320]   19.
[00:18:30.320 --> 00:18:30.360]   20.
[00:18:30.360 --> 00:18:30.400]   21.
[00:18:30.400 --> 00:18:30.420]   22.
[00:18:30.420 --> 00:18:30.460]   23.
[00:18:30.460 --> 00:18:30.500]   24.
[00:18:30.500 --> 00:18:30.540]   25.
[00:18:30.540 --> 00:18:30.560]   26.
[00:18:30.560 --> 00:18:30.600]   27.
[00:18:30.600 --> 00:18:30.620]   28.
[00:18:30.620 --> 00:18:30.660]   28.
[00:18:30.660 --> 00:18:30.960]   29.
[00:18:30.960 --> 00:18:31.000]   30.
[00:18:31.000 --> 00:18:31.040]   31.
[00:18:31.040 --> 00:18:31.060]   32.
[00:18:31.060 --> 00:18:31.100]   33.
[00:18:31.100 --> 00:18:31.140]   33.
[00:18:31.140 --> 00:18:31.180]   34.
[00:18:31.180 --> 00:18:31.200]   34.
[00:18:31.200 --> 00:18:31.240]   35.
[00:18:31.240 --> 00:18:31.300]   36.
[00:18:31.300 --> 00:18:31.340]   37.
[00:18:31.340 --> 00:18:31.380]   38.
[00:18:31.380 --> 00:18:31.440]   39.
[00:18:31.440 --> 00:18:31.460]   39.
[00:18:31.460 --> 00:18:31.500]   40.
[00:18:31.500 --> 00:18:31.540]   40.
[00:18:31.540 --> 00:18:31.580]   41.
[00:18:31.580 --> 00:18:31.620]   41.
[00:18:31.620 --> 00:18:32.720]   42.
[00:18:32.720 --> 00:18:32.760]   42.
[00:18:32.760 --> 00:18:32.780]   42.
[00:18:32.780 --> 00:18:32.820]   42.
[00:18:32.820 --> 00:18:32.900]   42.
[00:18:32.900 --> 00:18:32.960]   43.
[00:18:32.960 --> 00:18:32.980]   43.
[00:18:32.980 --> 00:18:33.020]   44.
[00:18:33.020 --> 00:18:33.060]   44.
[00:18:33.060 --> 00:18:33.180]   44.
[00:18:33.180 --> 00:18:33.220]   45.
[00:18:33.220 --> 00:18:47.280]   44.
[00:18:47.280 --> 00:18:47.300]   45.
[00:18:47.300 --> 00:18:47.340]   46.
[00:18:47.340 --> 00:18:47.360]   46.
[00:18:47.360 --> 00:18:47.380]   47.
[00:18:47.380 --> 00:18:47.420]   46.
[00:18:47.420 --> 00:18:47.440]   47.
[00:18:47.440 --> 00:18:47.460]   48.
[00:18:47.500 --> 00:18:56.080]   disgu
[00:18:56.080 --> 00:19:01.420]   acquire� dice, I don, coverage,,,,,
[00:19:01.420 --> 00:19:16.580]   continues
[00:19:47.180 --> 00:19:47.180]   and I'll be back in a minute.
[00:19:47.180 --> 00:19:47.180]   I'll be back in a minute.
[00:19:47.180 --> 00:19:47.180]  ертв.com/samerica-media.com.
[00:19:47.180 --> 00:19:47.240]   That's one thing I like about using Samaritan Ministries,
[00:19:47.240 --> 00:19:47.260]   which is what I use with the healthcare sharing operations.
[00:19:47.280 --> 00:20:17.120]   It's all up front. It's all flat pricing. I think that's really good. The urgent care marketplace has really made a major impact. Most people, me, I, myself, am included in this, but most people would just choose, rather than going to the emergency room, where they don't know if they're going to be there for eight hours and walk out the door with a $20,000 bill, to go to an urgent care facility and get care there, where prices are much more reasonable and discounted in advance. There is a growing, I don't know that it's having a big impact yet, but there's a growing movement for it.
[00:20:17.120 --> 00:20:17.120]   I think that's really good.
[00:20:17.160 --> 00:20:27.440]   "
[00:20:27.440 --> 00:20:27.580]   is the de .� tense. I, has,,,,,,,,, cannot Jungkook
[00:20:27.580 --> 00:20:34.700]  它的
[00:20:34.700 --> 00:20:45.980]   stomach het
[00:20:46.160 --> 00:21:15.120]  ленor of the show he blogs at a blog called be unconstrained but he just shared the story of how he went to Mexico for major shoulder surgery and had a great result. I can't remember the exact numbers but he was quoted tens of thousands of dollars for his shoulder surgery in the United States but he got it done in Guadalajara for something like six or eight thousand dollars and I think many of those options are there are going to grow in the future so I can't necessarily
[00:21:15.120 --> 00:21:15.120]   I can't necessarily solve the ethical problem but I think many of those options are there are going to grow in the future so I can't necessarily solve the ethical problem but I think many of those options are there are going to grow in the future so I can't necessarily
[00:21:15.120 --> 00:21:15.120]   I can't necessarily solve the ethical problem but I think many of those options are there are going to grow in the future so I can't necessarily
[00:21:15.160 --> 00:21:22.680]   que
[00:21:22.680 --> 00:21:26.920]   in,
[00:22:11.800 --> 00:22:40.080]  ,
[00:22:40.080 --> 00:22:40.080]   and,
[00:22:40.120 --> 00:23:08.400]   underway.
[00:23:08.400 --> 00:23:08.400]   If I actually have an acute life-threatening disease, I've actually been in a car accident and my pelvis is broken in 27 places, then I want to be in a hospital. I think the U.S. medical system is fantastic at that dire surgical intervention to save people's lives. I think that's wonderful. But in terms of, but I've personally never been in a situation, whether that's by any influence of mine or just simply because of the fact that I'm in a hospital.
[00:23:36.740 --> 00:24:05.040]   ado, I'm going to talk about the medical system and the medical system itself.
[00:24:05.040 --> 00:24:05.100]   I'm going to talk about the medical system and the medical system itself.
[00:24:05.100 --> 00:24:05.160]   I'm going to talk about the medical system and the medical system itself.
[00:24:05.160 --> 00:24:05.200]   I'm going to talk about the medical system and the medical system itself.
[00:24:05.200 --> 00:24:05.260]   I'm going to talk about the medical system and the medical system itself.
[00:24:05.260 --> 00:24:05.300]   I'm going to talk about the medical system and the medical system itself.
[00:24:05.300 --> 00:24:05.400]   I'm going to talk about the medical system and the medical system itself.
[00:24:05.400 --> 00:24:05.460]   I'm going to talk about the medical system and the medical system itself.
[00:24:05.460 --> 00:24:05.500]   I'm going to talk about the medical system and the medical system itself.
[00:24:05.500 --> 00:24:05.520]   I'm going to talk about the medical system and the medical system itself.
[00:24:05.520 --> 00:24:05.580]   I'm going to talk about the medical system and the medical system itself.
[00:24:05.580 --> 00:24:05.640]   I'm going to talk about the medical system and the medical system itself.
[00:24:06.520 --> 00:24:34.580]   I'm going to talk about the medical system and the medical system itself.
[00:24:34.580 --> 00:24:34.600]   I'm going to talk about the medical system and the medical system itself.
[00:24:34.600 --> 00:24:34.620]   I'm going to talk about the medical system and the medical system itself.
[00:24:34.620 --> 00:24:34.640]   I'm going to talk about the medical system and the medical system itself.
[00:24:34.640 --> 00:24:34.660]   I'm going to talk about the medical system and the medical system itself.
[00:24:34.660 --> 00:24:34.680]   I'm going to talk about the medical system and the medical system itself.
[00:24:34.680 --> 00:24:34.760]   I'm going to talk about the medical system and the medical system itself.
[00:25:03.880 --> 00:25:03.880]   I'm going to talk about the medical system and the medical system itself.
[00:25:03.880 --> 00:25:03.940]   I'm going to talk about the medical system and the medical system itself.
[00:25:03.940 --> 00:25:03.980]   I'm going to talk about the medical system and the medical system itself.
[00:25:03.980 --> 00:25:04.020]   I'm going to talk about the medical system and the medical system itself.
[00:25:04.020 --> 00:25:04.100]   I'm going to talk about the medical system and the medical system itself.
[00:25:04.100 --> 00:25:04.200]   I'm going to talk about the medical system and the medical system itself.
[00:25:04.200 --> 00:25:04.240]   I'm going to talk about the medical system and the medical system itself.
[00:25:04.240 --> 00:25:04.280]   I'm going to talk about the medical system and the medical system itself.
[00:25:04.280 --> 00:25:04.340]   I'm going to talk about the medical system and the medical system itself.
[00:25:04.340 --> 00:25:04.400]   I'm going to talk about the medical system and the medical system itself.
[00:25:04.400 --> 00:25:04.440]   I'm going to talk about the medical system and the medical system itself.
[00:25:04.440 --> 00:25:04.480]   I'm going to talk about the medical system and the medical system itself.
[00:25:33.700 --> 00:25:33.700]   I'm going to talk about the medical system and the medical system itself.
[00:25:33.700 --> 00:25:33.740]   I'm going to talk about the medical system and the medical system itself.
[00:25:33.740 --> 00:25:33.780]   I'm going to talk about the medical system and the medical system itself.
[00:25:33.780 --> 00:25:33.840]   I'm going to talk about the medical system and the medical system itself.
[00:25:33.840 --> 00:25:33.880]   I'm going to talk about the medical system and the medical system itself.
[00:25:33.880 --> 00:25:33.920]   I'm going to talk about the medical system and the medical system itself.
[00:25:33.920 --> 00:26:03.500]  , and the medical system itself.
[00:26:03.500 --> 00:26:03.600]   I'm going to talk about the medical system and the medical system itself.
[00:26:03.600 --> 00:26:03.660]   I'm going to talk about the medical system and the medical system itself.
[00:26:03.660 --> 00:26:03.820]   I'm going to talk about the medical system and the medical system itself.
[00:26:03.820 --> 00:26:03.840]   I'm going to talk about the medical system and the medical system itself.
[00:26:03.840 --> 00:26:03.940]   I'm going to talk about the medical system and the medical system itself.
[00:26:03.940 --> 00:26:03.940]   I'm going to talk about the medical system and the medical system itself.
[00:26:03.940 --> 00:26:03.940]   I'm going to talk about the medical system and the medical system itself.
[00:26:03.940 --> 00:26:03.940]   I'm going to talk about the medical system and the medical system itself.
[00:26:03.960 --> 00:26:33.960]   I'm going to talk about the medical system and the medical system itself.
[00:26:33.960 --> 00:26:33.960]   I'm going to talk about the medical system and the medical system itself.
[00:26:33.960 --> 00:26:33.960]   I'm going to talk about the medical system and the medical system itself.
[00:26:33.960 --> 00:26:33.960]   I'm going to talk about the medical system and the medical system itself.
[00:26:33.960 --> 00:26:33.960]   I'm going to talk about the medical system and the medical system itself.
[00:26:33.960 --> 00:26:33.960]   I'm going to talk about the medical system and the medical system itself.
[00:26:33.960 --> 00:26:33.960]   I'm going to talk about the medical system and the medical system itself.
[00:26:33.960 --> 00:26:33.960]   I'm going to talk about the medical system and the medical system itself.
[00:26:33.960 --> 00:26:33.960]   I'm going to talk about the medical system and the medical system itself.
[00:26:33.960 --> 00:26:33.960]   I'm going to talk about the medical system and the medical system itself.
[00:26:33.960 --> 00:26:33.960]   I'm going to talk about the medical system and the medical system itself.
[00:26:33.960 --> 00:26:33.960]   I'm going to talk about the medical system and the medical system itself.
[00:26:34.000 --> 00:27:03.980]  ,
[00:27:03.980 --> 00:27:03.980]   I'm going to talk about the medical system itself.
[00:27:03.980 --> 00:27:03.980]   I'm going to talk about the medical system itself.
[00:27:03.980 --> 00:27:03.980]   I'm going to talk about the medical system itself.
[00:27:03.980 --> 00:27:03.980]   I'm going to talk about the medical system itself.
[00:27:03.980 --> 00:27:03.980]   I'm going to talk about the medical system itself.
[00:27:03.980 --> 00:27:03.980]   I'm going to talk about the medical system itself.
[00:27:03.980 --> 00:27:03.980]   I'm going to talk about the medical system itself.
[00:27:03.980 --> 00:27:03.980]   I'm going to talk about the medical system itself.
[00:27:03.980 --> 00:27:03.980]   I'm going to talk about the medical system itself.
[00:27:03.980 --> 00:27:03.980]   I'm going to talk about the medical system itself.
[00:27:03.980 --> 00:27:03.980]   I'm going to talk about the medical system itself.
[00:27:03.980 --> 00:27:03.980]   I'm going to talk about the medical system itself.
[00:27:04.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:27:34.000]   I'm going to talk about the medical system itself.
[00:27:34.000 --> 00:28:04.020]   I'm going to talk about the medical system itself.
[00:28:04.020 --> 00:28:04.020]   I'm going to talk about the medical system itself.
[00:28:04.020 --> 00:28:04.020]   I'm going to talk about the medical system itself.
[00:28:04.020 --> 00:28:04.020]   I'm going to talk about the medical system itself.
[00:28:04.020 --> 00:28:04.020]   I'm going to talk about the medical system itself.
[00:28:04.020 --> 00:28:04.020]   I'm going to talk about the medical system itself.
[00:28:04.020 --> 00:28:04.020]   I'm going to talk about the medical system itself.
[00:28:04.020 --> 00:28:04.020]   I'm going to talk about the medical system itself.
[00:28:04.020 --> 00:28:04.020]   I'm going to talk about the medical system itself.
