
[00:00:00.040 --> 00:00:09.300]   Raymond
[00:04:18.640 --> 00:04:18.640]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:04:18.640 --> 00:04:18.640]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:04:18.640 --> 00:04:18.640]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:04:18.640 --> 00:04:18.640]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:04:18.680 --> 00:04:48.660]  ,
[00:04:48.660 --> 00:04:48.660]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:04:48.660 --> 00:04:48.660]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:04:48.660 --> 00:04:48.660]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:04:48.660 --> 00:04:48.660]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:04:48.680 --> 00:05:18.680]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:05:18.680 --> 00:05:18.680]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:05:18.680 --> 00:05:18.680]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:05:18.680 --> 00:05:18.680]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:05:18.680 --> 00:05:18.680]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:05:18.720 --> 00:05:48.700]  ,
[00:05:48.700 --> 00:05:48.700]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:05:48.700 --> 00:05:48.700]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:05:48.700 --> 00:05:48.700]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:05:48.720 --> 00:06:18.720]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:06:18.720 --> 00:06:18.720]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:06:18.720 --> 00:06:18.720]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:06:18.720 --> 00:06:18.720]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:06:18.720 --> 00:06:18.720]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:06:18.760 --> 00:06:48.740]  ,
[00:06:48.740 --> 00:06:48.740]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:06:48.740 --> 00:06:48.740]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:06:48.740 --> 00:06:48.740]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:06:48.760 --> 00:07:18.760]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:07:18.760 --> 00:07:18.760]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:07:18.760 --> 00:07:18.760]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:07:18.760 --> 00:07:18.760]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:07:18.760 --> 00:07:18.760]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:07:18.800 --> 00:07:48.780]  ,
[00:07:48.780 --> 00:07:48.780]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:07:48.780 --> 00:07:48.780]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:07:48.780 --> 00:07:48.780]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:07:48.800 --> 00:08:18.800]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:08:18.800 --> 00:08:18.800]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:08:18.800 --> 00:08:18.800]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:08:18.800 --> 00:08:18.800]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:08:18.800 --> 00:08:18.800]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:08:18.800 --> 00:08:48.820]  ,
[00:08:48.820 --> 00:08:48.820]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:08:48.820 --> 00:08:48.820]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:08:48.820 --> 00:08:48.820]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:08:48.820 --> 00:08:48.820]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:08:48.840 --> 00:09:18.840]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:09:18.840 --> 00:09:18.840]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:09:18.840 --> 00:09:18.840]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:09:18.840 --> 00:09:18.840]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:09:18.840 --> 00:09:18.840]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:09:18.840 --> 00:09:48.860]   a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:09:48.860 --> 00:09:48.860]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:09:48.860 --> 00:09:48.860]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:09:48.880 --> 00:10:18.880]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:10:18.880 --> 00:10:18.880]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:10:18.880 --> 00:10:18.880]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:10:18.880 --> 00:10:18.880]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:10:18.880 --> 00:10:18.880]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:10:18.880 --> 00:10:48.900]  ,
[00:10:48.900 --> 00:10:48.900]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:10:48.900 --> 00:10:48.900]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:10:48.900 --> 00:10:48.900]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:10:48.920 --> 00:11:18.920]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:11:18.920 --> 00:11:18.920]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:11:18.920 --> 00:11:18.920]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:11:18.920 --> 00:11:18.920]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:11:18.920 --> 00:11:18.920]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:11:18.920 --> 00:11:48.940]  ,
[00:11:48.940 --> 00:11:48.940]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:11:48.940 --> 00:11:48.940]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:11:48.940 --> 00:11:48.940]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:11:48.940 --> 00:11:48.940]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:11:48.960 --> 00:12:18.960]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:12:18.960 --> 00:12:18.960]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:12:18.960 --> 00:12:18.960]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:12:18.960 --> 00:12:18.960]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:12:18.960 --> 00:12:18.960]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:12:19.000 --> 00:12:48.980]  ,
[00:12:48.980 --> 00:12:48.980]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:12:48.980 --> 00:12:48.980]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:12:49.000 --> 00:13:19.000]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:13:19.000 --> 00:13:19.000]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:13:19.000 --> 00:13:19.000]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:13:19.000 --> 00:13:19.000]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:13:19.000 --> 00:13:19.000]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:13:19.000 --> 00:13:49.020]  ,
[00:13:49.020 --> 00:13:49.020]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:13:49.020 --> 00:13:49.020]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:13:49.020 --> 00:13:49.020]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:13:49.040 --> 00:14:19.040]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:14:19.040 --> 00:14:19.040]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:14:19.040 --> 00:14:19.040]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:14:19.040 --> 00:14:19.040]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:14:19.040 --> 00:14:19.040]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:14:19.040 --> 00:14:49.060]  ,
[00:14:49.060 --> 00:14:49.060]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:14:49.060 --> 00:14:49.060]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:14:49.060 --> 00:14:49.060]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:14:49.080 --> 00:15:19.080]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:15:19.080 --> 00:15:19.080]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:15:19.080 --> 00:15:19.080]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:15:19.080 --> 00:15:19.080]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:15:19.080 --> 00:15:19.080]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:15:19.120 --> 00:15:49.100]  ,
[00:15:49.100 --> 00:15:49.100]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:15:49.100 --> 00:15:49.100]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:15:49.100 --> 00:15:49.100]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:15:49.100 --> 00:15:49.100]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:15:49.120 --> 00:16:19.120]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:16:19.120 --> 00:16:19.120]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:16:19.120 --> 00:16:19.120]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:16:19.120 --> 00:16:19.120]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:16:19.120 --> 00:16:19.120]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:16:19.120 --> 00:16:49.140]  ,
[00:16:49.140 --> 00:16:49.140]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:16:49.140 --> 00:16:49.140]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:16:49.140 --> 00:16:49.140]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:16:49.160 --> 00:17:19.160]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:17:19.160 --> 00:17:19.160]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:17:19.160 --> 00:17:19.160]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:17:19.160 --> 00:17:19.160]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:17:19.160 --> 00:17:19.160]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:17:19.160 --> 00:17:49.180]  ,
[00:17:49.180 --> 00:17:49.180]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:17:49.180 --> 00:17:49.180]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:17:49.180 --> 00:17:49.180]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:17:49.200 --> 00:18:19.200]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:18:19.200 --> 00:18:19.200]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:18:19.200 --> 00:18:19.200]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:18:19.200 --> 00:18:19.200]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:18:19.200 --> 00:18:19.200]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:18:19.200 --> 00:18:49.220]  ,
[00:18:49.220 --> 00:18:49.220]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:18:49.220 --> 00:18:49.220]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:18:49.220 --> 00:18:49.220]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:18:49.240 --> 00:19:19.240]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:19:19.240 --> 00:19:19.240]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:19:19.240 --> 00:19:19.240]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:19:19.240 --> 00:19:19.240]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:19:19.240 --> 00:19:19.240]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:19:19.240 --> 00:19:49.260]  ,
[00:19:49.260 --> 00:19:49.260]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:19:49.260 --> 00:19:49.260]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:19:49.260 --> 00:19:49.260]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:19:49.280 --> 00:20:19.280]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:20:19.280 --> 00:20:19.280]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:20:19.280 --> 00:20:19.280]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:20:19.280 --> 00:20:19.280]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:20:19.280 --> 00:20:19.280]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:20:19.320 --> 00:20:49.300]  ,
[00:20:49.300 --> 00:20:49.300]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:20:49.300 --> 00:20:49.300]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:20:49.320 --> 00:21:19.320]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:21:19.320 --> 00:21:19.320]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:21:19.320 --> 00:21:19.320]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:21:19.320 --> 00:21:19.320]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:21:19.320 --> 00:21:19.320]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:21:19.360 --> 00:21:49.340]  ,
[00:21:49.340 --> 00:21:49.340]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:21:49.340 --> 00:21:49.340]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:21:49.340 --> 00:21:49.340]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:21:49.360 --> 00:22:19.360]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:22:19.360 --> 00:22:19.360]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:22:19.360 --> 00:22:19.360]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:22:19.360 --> 00:22:19.360]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:22:19.360 --> 00:22:19.360]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:22:19.400 --> 00:22:49.380]  ,
[00:22:49.380 --> 00:22:49.380]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:22:49.380 --> 00:22:49.380]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
[00:22:49.380 --> 00:22:49.380]   I'm a rich and meaningful life now while building a plan for financial freedom in 10 years or less my name is joshua i am your host and today we chat about any topic you desire
