
[00:00:00.000 --> 00:00:05.360]   [AUDIO OUT]
[00:05:45.120 --> 00:05:52.080]   I kind of prefer this one.
[00:05:52.080 --> 00:05:54.360]   So basically, anyway, either way,
[00:05:54.360 --> 00:05:56.900]   you're going to have to say, this is where my database lives.
[00:05:56.900 --> 00:06:00.100]   So here it is.
[00:06:00.100 --> 00:06:03.780]   Here's where my database lives.
[00:06:03.780 --> 00:06:17.460]   And then-- so users contains name and password,
[00:06:17.460 --> 00:06:25.820]   and to-dos contains ID, title, done, name, details, parity.
[00:06:25.820 --> 00:06:27.540]   Cool.
[00:06:27.540 --> 00:06:30.860]   So by default-- so basically, you say,
[00:06:30.860 --> 00:06:34.100]   OK, this is the definition of my user table.
[00:06:34.100 --> 00:06:36.940]   This is the definition of my to-do table.
[00:06:36.940 --> 00:06:39.660]   By default, the primary key is assumed to be called ID.
[00:06:39.660 --> 00:06:42.820]   So if you want something else, you just have to say--
[00:06:42.820 --> 00:06:46.420]   does that make sense so far?
[00:06:46.420 --> 00:06:53.140]   OK, user-- OK, so ID is always the primary key,
[00:06:53.140 --> 00:06:56.700]   unless you say otherwise.
[00:06:56.700 --> 00:07:07.220]   User table doesn't have an ID field.
[00:07:07.220 --> 00:07:09.580]   That's right, so it says PK equals name.
[00:07:09.580 --> 00:07:10.340]   OK, I see.
[00:07:13.740 --> 00:07:24.280]   All right, so to basically get started,
[00:07:24.280 --> 00:07:29.620]   you need a fastHTML object.
[00:07:29.620 --> 00:07:31.020]   There's two ways to create it.
[00:07:31.020 --> 00:07:33.660]   One is with fast_app.
[00:07:33.660 --> 00:07:37.380]   One is called fastHTML.
[00:07:37.380 --> 00:07:41.660]   It can be quite helpful to just look at the code
[00:07:41.660 --> 00:07:43.300]   to see the difference.
[00:07:43.300 --> 00:07:55.020]   So basically, fast_app, all it does is--
[00:07:55.020 --> 00:07:56.300]   this is actually fastHTML.
[00:07:56.300 --> 00:08:02.060]   So it calls fastHTML, just passes everything across to it,
[00:08:02.060 --> 00:08:07.140]   adds static routes, and returns.
[00:08:07.140 --> 00:08:08.700]   So they're basically the same thing.
[00:08:08.700 --> 00:08:10.740]   So we're going to use fastHTML.
[00:08:10.740 --> 00:08:18.700]   And all right, so--
[00:08:18.700 --> 00:08:19.420]   yes?
[00:08:19.420 --> 00:08:22.900]   All right, I don't know if I followed the fastHTML
[00:08:22.900 --> 00:08:24.620]   versus fast_app.
[00:08:24.620 --> 00:08:26.140]   Yep, basically the same thing.
[00:08:26.140 --> 00:08:31.580]   fast_app's just three lines of code that calls fastHTML.
[00:08:31.580 --> 00:08:32.820]   All it does is--
[00:08:32.820 --> 00:08:35.460]   Why would you want to use fast_app?
[00:08:35.460 --> 00:08:38.420]   Because you want static routes, which you normally do.
[00:08:38.420 --> 00:08:43.540]   So if you want a .txt, or a favicon.ico, or whatever,
[00:08:43.540 --> 00:08:47.300]   you want your application to respond by serving up
[00:08:47.300 --> 00:08:51.420]   those files, or GIFs, or JPEGs.
[00:08:51.420 --> 00:08:53.180]   So basically, all web apps, pretty much,
[00:08:53.180 --> 00:08:54.940]   you want to serve up those files.
[00:08:54.940 --> 00:09:02.300]   OK, but you're using-- in this example,
[00:09:02.300 --> 00:09:06.700]   you're not using fast_app, using this?
[00:09:06.700 --> 00:09:09.260]   Yeah, so we kind of try to show everything
[00:09:09.260 --> 00:09:12.380]   manually for this example, just to show people--
[00:09:12.380 --> 00:09:13.500]   Oh, I see, OK.
[00:09:13.500 --> 00:09:16.900]   --everything, the kind of--
[00:09:16.900 --> 00:09:18.980]   yeah, otherwise, we wouldn't get people to show--
[00:09:18.980 --> 00:09:21.540]   have a reason to show people how to do static routes,
[00:09:21.540 --> 00:09:22.860]   for example.
[00:09:22.860 --> 00:09:23.380]   I see.
[00:09:23.380 --> 00:09:24.980]   We're doing things a bit more manually.
[00:09:24.980 --> 00:09:26.340]   So yeah, that's reason one.
[00:09:26.340 --> 00:09:29.900]   Reason two is it kind of gets the route for you.
[00:09:29.900 --> 00:09:32.100]   It saves two lines of code.
[00:09:32.100 --> 00:09:32.940]   I'm pretty lazy.
[00:09:35.420 --> 00:09:37.380]   Yeah.
[00:09:37.380 --> 00:09:52.140]   OK, so one thing that happens, then, in our to-do list
[00:09:52.140 --> 00:09:56.260]   is, if I try to go to slash, I'm not logged in.
[00:09:56.260 --> 00:09:58.420]   It needs to redirect to login.
[00:09:58.420 --> 00:10:04.860]   So you can basically specify that some code runs
[00:10:04.860 --> 00:10:06.460]   before every request.
[00:10:06.460 --> 00:10:08.140]   In this case, I want to run some code
[00:10:08.140 --> 00:10:10.180]   to make sure that they're logged in,
[00:10:10.180 --> 00:10:13.980]   and if they're not, to redirect to login.
[00:10:13.980 --> 00:10:19.020]   So code that runs before every request is called before_where.
[00:10:19.020 --> 00:10:21.500]   And so that's a class.
[00:10:21.500 --> 00:10:23.340]   And the thing you pass to before_where
[00:10:23.340 --> 00:10:30.660]   is one or more functions to call before your request runs.
[00:10:30.660 --> 00:10:32.540]   So here's our function.
[00:10:32.540 --> 00:10:37.860]   So it runs before the request runs.
[00:10:37.860 --> 00:10:45.500]   And so before_where and basically every other type
[00:10:45.500 --> 00:10:49.900]   of handler in FastHTML, you just write
[00:10:49.900 --> 00:10:54.140]   what you want to get access to in these parentheses here.
[00:10:54.140 --> 00:10:57.660]   And FastHTML gives it to you automatically,
[00:10:57.660 --> 00:11:00.220]   just kind of similar to how FastAPI works,
[00:11:00.220 --> 00:11:02.740]   although FastHTML does a lot more of these
[00:11:02.740 --> 00:11:04.940]   than FastAPI does.
[00:11:04.940 --> 00:11:08.140]   So there's a session provided for free.
[00:11:08.140 --> 00:11:12.260]   The session is just a signed cookie, basically,
[00:11:12.260 --> 00:11:15.020]   with a dictionary in it.
[00:11:15.020 --> 00:11:17.420]   So we want to see if somebody's logged in.
[00:11:17.420 --> 00:11:20.340]   So we're going to be saving whether they're logged in or not
[00:11:20.340 --> 00:11:25.260]   into a auth key in the session.
[00:11:25.260 --> 00:11:28.980]   So we basically say, OK, are they logged in?
[00:11:28.980 --> 00:11:36.380]   And if they're not, then we return redirect to slash login.
[00:11:36.380 --> 00:11:38.140]   Does that make sense?
[00:11:38.140 --> 00:11:39.020]   Yeah.
[00:11:39.020 --> 00:11:40.220]   Cool.
[00:11:40.220 --> 00:11:42.700]   Otherwise, this happens, which we'll leave for now.
[00:11:42.700 --> 00:11:45.500]   OK, so that's how come we can see the login screen.
[00:11:45.500 --> 00:11:52.420]   Do you say just to ignore the todos.extra right now?
[00:11:52.420 --> 00:11:52.920]   Yeah.
[00:11:55.860 --> 00:12:00.060]   The styling comes from Pico CSS.
[00:12:00.060 --> 00:12:03.340]   You can use any styling you want.
[00:12:03.340 --> 00:12:08.660]   But this is a nice, lightweight, simple one
[00:12:08.660 --> 00:12:10.140]   that kind of works pretty well.
[00:12:10.140 --> 00:12:13.940]   And it comes in by default. All you have to do is say headers.
[00:12:13.940 --> 00:12:17.500]   So this is the stuff in the head section of your HTML.
[00:12:17.500 --> 00:12:19.700]   And picolink is just a predefined variable,
[00:12:19.700 --> 00:12:27.140]   which brings in Pico.
[00:12:27.140 --> 00:12:32.380]   And the nice thing is, because these are just
[00:12:32.380 --> 00:12:35.060]   normal HTML applications, you can always just use source
[00:12:35.060 --> 00:12:36.180]   and see it.
[00:12:36.180 --> 00:12:46.100]   So you can use JavaScript.
[00:12:46.100 --> 00:12:53.540]   And so we saw some JavaScript like this, right?
[00:12:53.540 --> 00:12:56.220]   This is JavaScript.
[00:12:56.220 --> 00:13:01.460]   That JavaScript comes from this library called sortable.js,
[00:13:01.460 --> 00:13:03.820]   which does drag and drop.
[00:13:03.820 --> 00:13:04.540]   It's pretty cool.
[00:13:04.540 --> 00:13:12.820]   And so in this app, I'm showing two ways of doing JavaScript.
[00:13:12.820 --> 00:13:15.580]   One is by things that are predefined.
[00:13:15.580 --> 00:13:19.540]   And one is by things that we define ourselves.
[00:13:19.540 --> 00:13:25.260]   So sortable.js, it's really kind of there as an example.
[00:13:25.260 --> 00:13:30.260]   So there's a fasthtmljs.py.
[00:13:30.260 --> 00:13:37.420]   And so if I search for sortable, this is the whole thing, right?
[00:13:37.420 --> 00:13:41.660]   This is all it took to add sortable.js to fastHTML.
[00:13:41.660 --> 00:13:43.740]   That's all the code.
[00:13:43.740 --> 00:13:47.660]   And it's just basically a case of just returning a script
[00:13:47.660 --> 00:13:53.100]   tag with imports sortable.
[00:13:53.100 --> 00:13:59.580]   So it's really easy to add JavaScript.
[00:13:59.580 --> 00:14:06.020]   And so you can see that in the app.
[00:14:06.020 --> 00:14:07.500]   There's that code we just saw.
[00:14:07.500 --> 00:14:16.540]   And we have the same thing for markdown.
[00:14:16.540 --> 00:14:25.900]   But just to show how to do it yourself,
[00:14:25.900 --> 00:14:27.340]   we've done this one manually.
[00:14:27.340 --> 00:14:31.020]   So here you can see markdown.js is just a string of markdown.
[00:14:31.020 --> 00:14:33.260]   You can also put it in an external file.
[00:14:33.260 --> 00:14:35.260]   And that's just a script as well.
[00:14:35.260 --> 00:14:41.820]   So these all end up in the head, like so.
[00:14:41.820 --> 00:14:42.940]   OK?
[00:14:42.940 --> 00:14:44.100]   Yep.
[00:14:44.100 --> 00:14:44.600]   OK.
[00:14:44.600 --> 00:14:53.260]   So first route we're going to add is login.
[00:14:53.260 --> 00:14:56.980]   So the easiest-- well, there's lots of different ways
[00:14:56.980 --> 00:14:58.060]   to do routes.
[00:14:58.060 --> 00:15:01.620]   And a lot of it's just whatever you prefer.
[00:15:01.620 --> 00:15:05.380]   But app.route is one convenient way to do it.
[00:15:05.380 --> 00:15:08.220]   And I use it so often that I normally just give it a name.
[00:15:08.220 --> 00:15:09.580]   So rt.
[00:15:09.580 --> 00:15:11.540]   So this is app.route.
[00:15:11.540 --> 00:15:14.100]   And then you just say what path.
[00:15:14.100 --> 00:15:17.980]   And then here for the name, you say what HTTP verb.
[00:15:17.980 --> 00:15:23.180]   So this is going to be a get on slash login.
[00:15:23.180 --> 00:15:29.140]   And we're going to need a form.
[00:15:29.140 --> 00:15:30.580]   So again, you can just see it.
[00:15:30.580 --> 00:15:35.380]   So we're going to need a form with an action, a method.
[00:15:35.380 --> 00:15:39.820]   So this is all just plain HTML, HTTP, whatever.
[00:15:39.820 --> 00:15:45.460]   So rather than having to write to a form, slash form,
[00:15:45.460 --> 00:15:49.220]   you just use a function with the exact same name,
[00:15:49.220 --> 00:15:51.140]   but with a capital letter to start with.
[00:15:51.140 --> 00:15:53.660]   So here's my inputs.
[00:15:53.660 --> 00:15:54.660]   Here's my button.
[00:15:54.660 --> 00:15:55.460]   Here's my action.
[00:15:55.460 --> 00:15:58.980]   So this just maps directly to this.
[00:15:58.980 --> 00:16:02.260]   We use that type by default so I didn't have to type it in.
[00:16:02.260 --> 00:16:06.940]   And then the other--
[00:16:06.940 --> 00:16:08.580]   >> You are using this--
[00:16:08.580 --> 00:16:10.580]   there's different ways of defining the routes.
[00:16:10.580 --> 00:16:12.820]   And you're using this kind of--
[00:16:12.820 --> 00:16:14.660]   >> I'm using rt.
[00:16:14.660 --> 00:16:16.940]   >> rt, yeah.
[00:16:16.940 --> 00:16:20.300]   Sometimes I use the app, the other pattern,
[00:16:20.300 --> 00:16:24.420]   because I discovered that in cursor,
[00:16:24.420 --> 00:16:27.820]   it wants to anchor on the name of the function in a file.
[00:16:27.820 --> 00:16:29.700]   And it gets confused.
[00:16:29.700 --> 00:16:34.740]   And there's multiple functions in the same name.
[00:16:34.740 --> 00:16:37.060]   >> Yeah.
[00:16:37.060 --> 00:16:39.060]   Yeah, there's lots of different ways of doing it.
[00:16:39.060 --> 00:16:39.940]   They're all fine.
[00:16:39.940 --> 00:16:41.900]   Different people have different preferences.
[00:16:41.900 --> 00:16:47.780]   Yeah, so actually, you could just do--
[00:16:47.780 --> 00:16:53.420]   that would also do the same thing.
[00:16:53.420 --> 00:16:56.660]   By default, it adds both a get and a post method.
[00:16:56.660 --> 00:16:58.140]   >> Oh, I didn't know that.
[00:16:58.140 --> 00:16:58.660]   OK.
[00:16:58.660 --> 00:17:00.260]   >> Yeah.
[00:17:00.260 --> 00:17:02.220]   >> Interesting.
[00:17:02.220 --> 00:17:05.900]   >> There's something for everybody.
[00:17:05.900 --> 00:17:08.900]   Also, in this form, we want the title
[00:17:08.900 --> 00:17:14.060]   so that it appears in the tab correctly.
[00:17:14.060 --> 00:17:15.700]   So that comes from the title.
[00:17:15.700 --> 00:17:21.980]   So this little function here just basically
[00:17:21.980 --> 00:17:23.980]   causes two things to happen.
[00:17:23.980 --> 00:17:26.140]   It causes the form to be returned.
[00:17:26.140 --> 00:17:29.420]   And it causes the title to be returned.
[00:17:29.420 --> 00:17:34.780]   And also, it causes an H1 with the title to be added.
[00:17:34.780 --> 00:17:36.220]   So that's all that is.
[00:17:36.220 --> 00:17:39.500]   And again, it's these things that just--
[00:17:39.500 --> 00:17:41.460]   it's good just to look at them so you can just
[00:17:41.460 --> 00:17:43.020]   see how tiny they are.
[00:17:43.020 --> 00:17:46.260]   >> I did look at the source code for that function today.
[00:17:46.260 --> 00:17:47.300]   >> Yeah, so there it is.
[00:17:47.300 --> 00:17:54.740]   Yeah, so it's just a tuple of the title, a main, H1.
[00:17:54.740 --> 00:17:56.700]   The reason we use a main with this class
[00:17:56.700 --> 00:17:58.580]   is because that's what Pico expects.
[00:17:58.580 --> 00:18:06.140]   >> Cool.
[00:18:06.140 --> 00:18:08.500]   >> So happy with login, Hamel?
[00:18:08.500 --> 00:18:09.500]   >> Yeah, it looks good.
[00:18:09.500 --> 00:18:11.300]   >> OK, so after we log in, it's going
[00:18:11.300 --> 00:18:14.540]   to do a POST request to /logins.
[00:18:14.540 --> 00:18:16.340]   This one's a GET request.
[00:18:16.340 --> 00:18:20.860]   So here's the POST request.
[00:18:20.860 --> 00:18:22.860]   So when we do the POST request, it's
[00:18:22.860 --> 00:18:26.820]   going to be receiving a form with a name.
[00:18:26.820 --> 00:18:29.580]   >> The action is part of the form, right?
[00:18:29.580 --> 00:18:33.340]   Because the indentation was a little bit--
[00:18:33.340 --> 00:18:35.420]   >> This indentation, sorry, this indentation or--
[00:18:35.420 --> 00:18:37.540]   >> OK, no, the one in the code.
[00:18:37.540 --> 00:18:40.420]   >> Oh, the code.
[00:18:40.420 --> 00:18:42.740]   Yeah.
[00:18:42.740 --> 00:18:44.340]   Yeah, exactly.
[00:18:51.860 --> 00:18:53.820]   >> I'm wondering, maybe I should--
[00:18:53.820 --> 00:19:02.180]   I've just switched to VS Code from Vim
[00:19:02.180 --> 00:19:04.300]   because it'll be more familiar, and also because I've
[00:19:04.300 --> 00:19:06.340]   set up this thing called Blockman, which is nice.
[00:19:06.340 --> 00:19:09.660]   So it highlights the current section.
[00:19:09.660 --> 00:19:11.380]   So you can see what goes--
[00:19:11.380 --> 00:19:13.060]   >> Oh, is that a plug-in?
[00:19:13.060 --> 00:19:15.180]   >> Yeah, it's a really nice plug-in.
[00:19:15.180 --> 00:19:16.700]   And even when you're not selected it,
[00:19:16.700 --> 00:19:21.500]   you can still see the selected bits.
[00:19:21.500 --> 00:19:24.180]   It's great.
[00:19:24.180 --> 00:19:25.780]   It's very helpful for--
[00:19:25.780 --> 00:19:28.100]   >> It works like by parentheses and stuff?
[00:19:28.100 --> 00:19:31.660]   >> Yeah, it just works by parentheses, exactly.
[00:19:31.660 --> 00:19:39.580]   So for stuff like this, it's nice to be able to see.
[00:19:39.580 --> 00:19:47.820]   >> Is there anything else like that?
[00:19:47.820 --> 00:19:48.700]   >> In the world?
[00:19:48.700 --> 00:19:50.380]   There's lots of good things in the world.
[00:19:50.380 --> 00:19:52.060]   >> What's up for your VS Code plug-in?
[00:19:52.060 --> 00:19:54.060]   >> I don't know.
[00:19:54.060 --> 00:19:56.860]   This will do for now.
[00:19:56.860 --> 00:19:59.420]   Blockman, yes.
[00:19:59.420 --> 00:20:01.060]   Really cool.
[00:20:01.060 --> 00:20:03.020]   Make you feel like a Lisp programmer.
[00:20:03.020 --> 00:20:11.700]   OK, so when I log in, those two fields
[00:20:11.700 --> 00:20:20.140]   are going to be passed to my post handler, which is here.
[00:20:20.140 --> 00:20:25.860]   And so we've added lots and lots of comments to all of these,
[00:20:25.860 --> 00:20:27.580]   so we won't go through them all today.
[00:20:27.580 --> 00:20:30.380]   But you can see exactly what everything is
[00:20:30.380 --> 00:20:31.940]   and why it happens and so forth.
[00:20:31.940 --> 00:20:37.300]   So we saw that there's going to be a name and a password.
[00:20:37.300 --> 00:20:42.780]   You could just type in here name colon str comma password
[00:20:42.780 --> 00:20:45.020]   colon str.
[00:20:45.020 --> 00:20:47.740]   That's one approach.
[00:20:47.740 --> 00:20:49.980]   Although I'm showing the slightly trickier thing here,
[00:20:49.980 --> 00:20:54.500]   which is where you can create a class with those things in it.
[00:20:54.500 --> 00:20:55.940]   And it just automatically creates
[00:20:55.940 --> 00:20:59.060]   an object of that class.
[00:20:59.060 --> 00:21:00.540]   Does that make sense?
[00:21:00.540 --> 00:21:06.540]   >> Yeah, any benefits to doing it this way?
[00:21:06.540 --> 00:21:07.500]   Is there any kind of--
[00:21:07.500 --> 00:21:12.860]   >> The benefits will come when we get to some of the other stuff,
[00:21:12.860 --> 00:21:14.100]   to be honest.
[00:21:14.100 --> 00:21:17.540]   There's not a huge benefit here.
[00:21:17.540 --> 00:21:21.180]   In fact, maybe we should just--
[00:21:21.180 --> 00:21:25.980]   well, I don't know, whatever.
[00:21:25.980 --> 00:21:27.020]   Yeah, OK.
[00:21:27.020 --> 00:21:32.500]   So we want to see if this user exists.
[00:21:32.500 --> 00:21:36.540]   So in Fastlight, or--
[00:21:36.540 --> 00:21:38.540]   >> Just to be clear, the thing that's
[00:21:38.540 --> 00:21:43.580]   submitting the POST request is sending a login type?
[00:21:43.580 --> 00:21:45.460]   >> It's not sending a login type.
[00:21:45.460 --> 00:21:47.180]   It's sending a form.
[00:21:47.180 --> 00:21:54.140]   And the form contains a field called name
[00:21:54.140 --> 00:21:55.700]   and a field called PWD.
[00:21:55.700 --> 00:22:03.900]   So we can see that it's actually a good idea
[00:22:03.900 --> 00:22:05.340]   to look at these things happening.
[00:22:05.340 --> 00:22:08.380]   So this is the best way to understand what's going on,
[00:22:08.380 --> 00:22:11.980]   is open up your thing here, click Login.
[00:22:11.980 --> 00:22:15.220]   And then you'll see here's Login.
[00:22:15.220 --> 00:22:20.380]   And you'll see it's got this form data.
[00:22:20.380 --> 00:22:21.340]   Does that make sense?
[00:22:21.340 --> 00:22:30.820]   And so the result was a 303c other, so it's a redirect.
[00:22:30.820 --> 00:22:36.540]   And the reason we got a redirect there is--
[00:22:36.540 --> 00:22:38.140]   well, we'll see in a moment.
[00:22:38.140 --> 00:22:41.820]   So yeah, so it got posted to here.
[00:22:41.820 --> 00:22:45.020]   We got received a name and a PWD.
[00:22:45.020 --> 00:22:47.700]   And because we requested a login object,
[00:22:47.700 --> 00:22:51.780]   it constructed it by passing in those parameters
[00:22:51.780 --> 00:22:54.380]   to their same named places.
[00:22:54.380 --> 00:22:54.900]   >> I see.
[00:22:54.900 --> 00:23:00.740]   >> So now we've hopefully got a login name.
[00:23:00.740 --> 00:23:02.140]   Hopefully we've got a login password.
[00:23:02.140 --> 00:23:04.660]   If they didn't fill it in, then obviously they can't log in.
[00:23:04.660 --> 00:23:09.340]   So we go back to the reader.
[00:23:09.340 --> 00:23:20.500]   OK, so then we try to see whether the user exists.
[00:23:20.500 --> 00:23:22.540]   So I think it's quite helpful, or at least I
[00:23:22.540 --> 00:23:38.460]   find it quite nice to just have a data--
[00:23:38.460 --> 00:23:42.300]   just have a little notebook I can fickle around with.
[00:23:42.300 --> 00:23:55.060]   So actually, we've got it here.
[00:23:55.060 --> 00:24:04.060]   So we can grab our tables, users,
[00:24:04.060 --> 00:24:06.860]   there's a name and a password.
[00:24:06.860 --> 00:24:10.740]   So Fastlight basically lets you search by primary key
[00:24:10.740 --> 00:24:13.460]   by just using square bracket notation.
[00:24:13.460 --> 00:24:24.700]   So JPH exists, JPHK doesn't exist.
[00:24:24.700 --> 00:24:26.340]   Make sense?
[00:24:26.340 --> 00:24:30.860]   >> Wait, when you had square brackets without anything in it,
[00:24:30.860 --> 00:24:33.540]   you had some completion thing that
[00:24:33.540 --> 00:24:35.660]   showed all the fields or something?
[00:24:35.660 --> 00:24:38.100]   What was going on?
[00:24:38.100 --> 00:24:39.500]   Or was it just imagining that?
[00:24:39.500 --> 00:24:41.900]   >> I think you're just imagining that.
[00:24:41.900 --> 00:24:43.180]   >> OK.
[00:24:43.180 --> 00:24:49.540]   >> There's a dot, and specifically dot C gives me the--
[00:24:49.540 --> 00:24:51.260]   >> OK.
[00:24:51.260 --> 00:24:52.180]   Let's see.
[00:24:52.180 --> 00:24:53.580]   >> And T gives you the tables.
[00:24:53.580 --> 00:25:00.580]   >> That's awesome that it's available like that.
[00:25:00.580 --> 00:25:02.020]   Yeah, that's really good.
[00:25:02.020 --> 00:25:03.060]   >> Yeah.
[00:25:03.060 --> 00:25:04.860]   Yeah, yeah, it's super nice.
[00:25:04.860 --> 00:25:06.500]   I like it.
[00:25:06.500 --> 00:25:08.700]   This is all in the Fastlight documentation.
[00:25:08.700 --> 00:25:10.740]   See how to do all that stuff.
[00:25:10.740 --> 00:25:12.500]   Yeah.
[00:25:12.500 --> 00:25:14.460]   So basically, I try--
[00:25:14.460 --> 00:25:17.540]   actually, Jono recently added a slightly nicer way
[00:25:17.540 --> 00:25:34.060]   to do this, which is instead you can say if login.name
[00:25:34.060 --> 00:25:41.220]   not in users colon.
[00:25:41.220 --> 00:25:49.620]   You could do that way nowadays instead of using try except.
[00:25:49.620 --> 00:25:55.220]   Anyway, so in this kind of simplified thing,
[00:25:55.220 --> 00:26:00.460]   the logic we have is just that if a user doesn't exist,
[00:26:00.460 --> 00:26:03.020]   there's no separate registration key screen.
[00:26:03.020 --> 00:26:06.860]   We just create them there and then.
[00:26:06.860 --> 00:26:11.260]   So that's how we create new users in the system.
[00:26:11.260 --> 00:26:13.340]   OK, so now we're up to your question from earlier,
[00:26:13.340 --> 00:26:15.380]   like what's compareDigest.
