
[00:00:00.000 --> 00:00:21.220]   So Echo AI. So Echo AI is a bringing this like fundamental new technology into the world of
[00:06:07.220 --> 00:06:19.220]   Uh, and why this is like ultimately most important is when you are dealing at the accuracy, uh, sorry, when you're dealing at the like enterprise scale, they're ultimately most concerned around accuracy.
[00:06:19.220 --> 00:06:25.220]   Uh, there's a, there's a, I think a huge, uh, hesitation right now in the market around accuracy.
[00:06:25.220 --> 00:06:30.220]   I can deploy generative AI to try to understand these conversations, but do I really trust the insights?
[00:06:30.220 --> 00:06:36.220]   Is it going to be better than what my, my business analysts are doing or my, my CX leaders and my, my, my VP of sales?
[00:06:36.220 --> 00:06:42.220]   Does this system, does this technology, is it really capable of giving me insights that I ultimately trust?
[00:06:42.220 --> 00:06:47.220]   So for us, it's important that we establish trust from the very beginning.
[00:06:47.220 --> 00:06:51.220]   So when we bring on a customer within seven days, we try to introduce them to like, okay, here are the insights.
[00:06:51.220 --> 00:07:05.220]   And then from there we work towards a place where we're, you know, sort of a, uh, uh, we like to say 95% accurate, but you know, it's a lot of sampling, a lot of figuring out, but virtually we want to create that trust with the customers.
[00:07:05.220 --> 00:07:12.220]   Cause that's ultimately what's going to get them to keep renewing and, and be a customer for a longer period of time.
[00:07:12.220 --> 00:07:16.220]   So log 10 plays a huge part in our ability to do this.
[00:07:16.220 --> 00:07:38.220]   So not only have they created a huge amount of, of features and capabilities that allow for our engineering team to build faster and to understand, you know, the quality of the code that they're writing, but maybe more importantly, our solutions engineers, our implementation engineers who are actually working hand in hand with the customer who is telling us that like, this isn't, this isn't exactly right.
[00:07:38.220 --> 00:07:42.220]   Um, and log 10 is, is, is, is kind of a go-to tool for managing that process.
[00:07:42.220 --> 00:07:47.220]   So, thanks Ray.
[00:07:47.220 --> 00:07:52.220]   Uh, so really excited to share with you what we've built at log 10.
[00:07:52.220 --> 00:07:58.220]   Uh, so we're basically an infra layer to improve LLM accuracy for your AI applications.
[00:07:58.220 --> 00:08:01.220]   We started with this vision of building self improving systems.
[00:08:01.220 --> 00:08:11.220]   So having LLM applications that can improve prompts and models themselves to ultimately drive accuracy improvements.
[00:08:11.220 --> 00:08:16.220]   Obviously we're not there as a field yet, but that's the vision we're driving towards.
[00:08:16.220 --> 00:08:20.220]   And I'm excited to share some of the work we've done along that path.
[00:08:20.220 --> 00:08:25.220]   So today measuring and improving LLM accuracy is hard.
[00:08:25.220 --> 00:08:33.220]   Uh, you've probably had this experience if you've tried to deploy a prompt and kind of study YOLO accuracy in prod.
[00:08:33.220 --> 00:08:48.220]   Um, and you've probably heard in the news of these, um, instances where there was the air Canada chat bot, which hallucinated a refund policy and a judge in Canada, um, force them to honor the policy that was made up.
[00:08:48.220 --> 00:08:53.220]   So obviously causing some financial problems as well as brand image problems.
[00:08:53.220 --> 00:09:00.220]   Uh, there was the case of the Chevy Tahoe dealership chat bot, which was convinced to sell a truck for a dollar.
[00:09:00.220 --> 00:09:13.220]   Uh, we've run into similar issues where we were having some, uh, issues with the product and a chat bot told us to, uh, play a game while we wait, uh, kind of missing our emotional state in that moment.
[00:09:13.220 --> 00:09:22.220]   And, uh, there's also issues with semantic search engines where, uh, because they're doing this kind of rag-based lookup, uh, they sometimes just miss out on common sense,
[00:09:22.220 --> 00:09:27.220]   even though it may not be explicitly present in the source documents that they're pulling up.
[00:09:27.220 --> 00:09:37.220]   And so, uh, people have tried to use human review as an alternative to, um, as a way to sort of look at the output of the LLMs.
[00:09:37.220 --> 00:09:46.220]   And that's ultimately become the gold standard in terms of getting LLM apps into deployment, but it's time consuming and expensive.
[00:09:46.220 --> 00:09:51.220]   And as an alternative, uh, we've tried to use, uh, AI based review.
[00:09:51.220 --> 00:09:59.220]   So, um, LLMs as a judge, for example, but obviously this also has a lot of issues with accuracy.
[00:09:59.220 --> 00:10:03.220]   Uh, people have found that models tend to prefer their own output.
[00:10:03.220 --> 00:10:05.220]   Uh, they exhibit positional bias.
[00:10:05.220 --> 00:10:13.220]   So just the ordering of, um, if you present, uh, an option first, it might just prefer that over the second one, even if the second one's better.
[00:10:13.220 --> 00:10:18.220]   Uh, they have verbosity bias, a bias towards diversity of tokens and so forth.
[00:10:18.220 --> 00:10:21.220]   So, uh, kind of failing in these trivial ways.
[00:10:21.220 --> 00:10:27.220]   And so with lock 10, we did a bunch of algorithms research work to try to address this issue.
[00:10:27.220 --> 00:10:35.220]   And ask this question of, could we get the accuracy of human review with the speed and cost advantages of model based review?
[00:10:35.220 --> 00:10:40.220]   And that's exactly what we've solved for with our auto feedback system.
[00:10:40.220 --> 00:10:55.220]   So I think even the previous talk, you saw a graph kind of like this where when you use LLMs as a judge and the predicted feedback can often be, uh, just set at one score, regardless of what the ground truth is.
[00:10:55.220 --> 00:11:05.220]   But with our auto feedback system, you get that much nicer, much better correlation between the, uh, predicted feedback and the actual feedback.
[00:11:05.220 --> 00:11:12.220]   And just to kind of motivate what do you do once you have this measure of accuracy.
[00:11:12.220 --> 00:11:17.220]   So some of the downstream ways in which you can use the auto feedback is for things like, uh, monitoring.
[00:11:17.220 --> 00:11:22.220]   So you get like an ongoing quality signal on how well your LLM application is doing.
[00:11:22.220 --> 00:11:24.220]   It can be used for triaging.
[00:11:24.220 --> 00:11:30.220]   So you make the most optimal use of the limited human resources you might have.
[00:11:30.220 --> 00:11:44.220]   And it can also be used for curating data sets, high quality data sets for things like automated prompt improvement and fine tuning, which can ultimately improve the accuracy of your LLM application.
[00:11:44.220 --> 00:11:48.220]   Uh, so next I'll say a little bit more about what the system is.
[00:11:48.220 --> 00:11:57.220]   Um, so for some of the, uh, experiments we did as part of the research, we came up with these three different ways of building auto feedback models.
[00:11:57.220 --> 00:12:09.220]   Uh, so on the left we have the ground truth data sets, which consists of the input and output, some kind of grading rubric, which you might give to a human for review and, uh, their feedback.
[00:12:09.220 --> 00:12:16.220]   And we had three variations where we could build these models with few shot learning or with some kind of fine tuning.
[00:12:16.220 --> 00:12:25.220]   Um, and then finally, uh, creating these models with some bootstrap synthetic data and then fine tuning the auto feedback model.
[00:12:25.220 --> 00:12:27.220]   And I won't have time to go into all the details.
[00:12:27.220 --> 00:12:34.220]   We published, uh, some of this work in a blog post, which is available on our sub stack and there's a QR code there.
[00:12:34.220 --> 00:12:49.220]   But, uh, in summary, uh, for a summary grading task where we use the TLDR dataset, we were able to get a 45% improvement in evaluation accuracy by going from aggregate to, uh, annotator specific models.
[00:12:49.220 --> 00:13:01.220]   Uh, going from GPT 3.5 to GPT 4 as the base model, uh, going from few shot learning to fine tune models and, uh, with the use of the bootstrap synthetic data.
[00:13:01.220 --> 00:13:05.220]   Uh, our approach was also very sample efficient.
[00:13:05.220 --> 00:13:15.220]   So, by using the bootstrapping approach, we were able to achieve the accuracy of almost as if we had 1,000, uh, ground truth labeled examples.
[00:13:15.220 --> 00:13:18.220]   We're just using 50 ground truth examples.
[00:13:18.220 --> 00:13:27.220]   So, much faster to get started and not needing as much data to get to that high level of accuracy with the evaluation model.
[00:13:27.220 --> 00:13:31.220]   Uh, we also extended this in a follow up blog post.
[00:13:31.220 --> 00:13:43.220]   So, we were able to match the accuracy of GPT 4 and GPT 3.5 fine tuned evaluation using MISTRAL 7B and LAMA 70B chat.
[00:13:43.220 --> 00:13:49.220]   And that's in a follow up blog post which is accessible on this link.
[00:13:49.220 --> 00:14:03.220]   So, once we're able to show that we're able to get high confidence in the eval models that we were building in this way, uh, we set it up for deployment within this auto feedback module on our platform.
[00:14:03.220 --> 00:14:19.220]   And, uh, just kind of zooming out, we have as part of the locked in platform, uh, fundamental LLM ops offering which includes things like logging, debugging, and evaluation, as well as auto tuning features to do prompt optimizations and manage your fine tunes.
[00:14:19.220 --> 00:14:27.220]   And we have a seamless one line integration which sits in between your LLM application and your LLM SDK.
[00:14:27.220 --> 00:14:35.220]   Uh, we have integrations into many of the common LLM SDKs, including OpenAI, Anthropic, uh, Gemini, and a few of the open source ones.
[00:14:35.220 --> 00:14:38.220]   And we integrate with frameworks as well.
[00:14:38.220 --> 00:14:42.220]   So, next I'll hand it back to Trey for a demo.
[00:14:42.220 --> 00:14:52.220]   All righty.
[00:14:52.220 --> 00:14:56.220]   Let me, uh, just make this slightly bigger.
[00:14:56.220 --> 00:14:57.220]   Well, okay.
[00:14:57.220 --> 00:15:00.220]   So, uh, here's, uh, uh, Echo AI.
[00:15:00.220 --> 00:15:04.220]   So, Echo AI is, uh, like I said earlier, we, we, we connect into all of the different.
[00:15:04.220 --> 00:15:07.220]   Um, channels that your customer conversations are coming in.
[00:15:07.220 --> 00:15:08.220]   We transcribe them.
[00:15:08.220 --> 00:15:09.220]   We clean them.
[00:15:09.220 --> 00:15:16.220]   And then we allow you to, uh, basically like codify all the different things that you're looking to, uh, kind of analyze these conversation against.
[00:15:16.220 --> 00:15:24.220]   Uh, as well as offering a product that is purely generative and is, uh, kind of tasked with surfacing those insights in ways that you, um, you, you basically know the question.
[00:15:24.220 --> 00:15:25.220]   Like, why are my customers canceling?
[00:15:25.220 --> 00:15:30.220]   And then we, uh, generate, uh, like, uh, you know, uh, an ontology of different reasons for why that's happening.
[00:15:30.220 --> 00:15:36.220]   So let me give you an example of how, uh, we are, um, making use of this feedback tool.
[00:15:36.220 --> 00:15:39.220]   So if I like jump into one of these, this is a demo account.
[00:15:39.220 --> 00:15:41.220]   So, uh, all these conversations are, are generated.
[00:15:41.220 --> 00:15:48.220]   So they're kind of silly, but nonetheless, uh, you can see here, we've got this, uh, example, uh, phone conversation that comes from a customer.
[00:15:48.220 --> 00:15:49.220]   Their, their TV was broken.
[00:15:49.220 --> 00:15:55.220]   Uh, one of the most, you know, simple, uh, I think on the surface, uh, features would be summarization of the transcript.
[00:15:55.220 --> 00:16:01.220]   Uh, we actually rely on summarization for a variety of different downstream, uh, sort of analysis.
[00:16:01.220 --> 00:16:05.220]   So it's really important to us to, uh, kind of ensure high levels of accuracy.
[00:16:05.220 --> 00:16:12.220]   Not only that, uh, this is also, um, uh, you know, because of that, uh, kind of technical reason.
[00:16:12.220 --> 00:16:16.220]   We have like an immense number of prompts and throughput that has to get through LLM.
[00:16:16.220 --> 00:16:24.220]   So we do quite a bit of self hosting and are constantly training, uh, new models to better handle different, uh, domains of, of our customer base.
[00:16:24.220 --> 00:16:25.220]   So here's an example.
[00:16:25.220 --> 00:16:27.220]   I can see that this, this summary came in.
[00:16:27.220 --> 00:16:28.220]   It's pretty decent.
[00:16:28.220 --> 00:16:38.220]   Uh, all of these other sort of insights that you see here are all being generated by, um, various different models and pipelines, all of which are being created from LLM.
[00:16:38.220 --> 00:16:47.220]   So, uh, each of these things are, are questions and specific, um, sort of, uh, requirements that the customer is providing us.
[00:16:47.220 --> 00:16:51.220]   So it's really hard to stay on top of accuracy and quality as a result.
[00:16:51.220 --> 00:16:52.220]   Basically every customer is different.
[00:16:52.220 --> 00:17:07.220]   Um, so what we've done is we've leveraged log 10, not only for the ability to, um, very, sorry, very quickly, uh, uh, allow our engineers and solution engineers to go in and actually understand, like, what was the, the generator prompt for all of this.
[00:17:07.220 --> 00:17:17.220]   Pretty standard stuff that as many of you know, but maybe, um, kind of more interesting is the ability to automatically generate feedback for these things.
[00:17:17.220 --> 00:17:29.220]   So we've, we've created a criteria that analyzes each of the summaries that we create against very specific, uh, user defined, like, uh, were defined by us, uh, criteria for how, how good of a quality, um, the summarization was.
[00:17:29.220 --> 00:17:33.220]   So in this case, uh, the, actually look pretty good.
[00:17:33.220 --> 00:17:35.220]   And there's, there's one, uh, point deducted.
[00:17:35.220 --> 00:17:38.220]   You can actually read down here why it deducted that point.
[00:17:38.220 --> 00:17:41.220]   But let's say that like, I want to provide a kind of human over right here.
[00:17:41.220 --> 00:17:45.220]   I could just come in here and change the point value and, uh, accept it.
[00:17:45.220 --> 00:17:55.220]   Uh, and why that's useful for us is like I said, uh, it's, it's critical that we continue, um, a process that allows our solution engineers to, this is an example.
[00:17:55.220 --> 00:18:05.220]   I want to get some Israel, um, to kind of give us like really high fidelity, uh, human provided feedback in a way that, uh, virtually is, uh, effortless for them to do so.
[00:18:05.220 --> 00:18:08.220]   Because what we're ultimately trying to do is collect as much of that as possible.
[00:18:08.220 --> 00:18:18.220]   Uh, and lock 10 has been, uh, I think a great tool and not only, uh, making that possible for the solution engineers and our engineers to do, but also automatically doing so behind the scenes.
[00:18:18.220 --> 00:18:23.220]   It's really changed our, um, our processes towards, uh, our fine tuning datasets.
[00:18:23.220 --> 00:18:25.220]   Thanks.
[00:18:25.220 --> 00:18:27.220]   Actually, I'll show one more thing.
[00:18:27.220 --> 00:18:31.220]   To give an example of like how it's, uh, maybe more useful to an engineer.
[00:18:31.220 --> 00:18:35.220]   Here's another, uh, conversation where, uh, the summarization failed.
[00:18:35.220 --> 00:18:39.220]   Uh, we, we have just a, uh, reiteration of the instructions.
[00:18:39.220 --> 00:18:41.220]   That looks, that looks like the system prompt.
[00:18:41.220 --> 00:18:43.220]   Um, no idea why.
[00:18:43.220 --> 00:18:47.220]   Let's, we can, we can actually kind of go in here and look at why.
[00:18:47.220 --> 00:18:48.220]   Okay.
[00:18:48.220 --> 00:18:49.220]   Well, there's, there's a good reason why.
[00:18:49.220 --> 00:18:56.220]   Um, and you can see that it's been graded accordingly, uh, which is, you know, uh, exactly what we would expect.
[00:18:56.220 --> 00:19:00.220]   So we, we've been able to track, uh, hallucinations via this process.
[00:19:00.220 --> 00:19:05.220]   We've been able to see model drift, uh, in a meaningful way, in a data driven way that we previously were unable to do.
[00:19:05.220 --> 00:19:11.220]   You know, a lot of it has been, uh, sort of, um, requiring humans to sample these things and give feedback on that.
[00:19:11.220 --> 00:19:23.220]   So this has been a, a huge, uh, tool in our, like maintenance of, of, of, of achieving the, the utmost trust that we can, uh, kind of retain with our customers.
[00:19:23.220 --> 00:19:24.220]   Thanks.
[00:19:24.220 --> 00:19:25.220]   Great.
[00:19:25.220 --> 00:19:29.220]   So maybe just in the interest of time, I'll skip forward.
[00:19:29.220 --> 00:19:42.220]   So, uh, one of the big, uh, achievements we were able to get was, uh, using this auto feedback approach, get a 20 F1 point improvement in accuracy in one of the use cases with echo AI.
[00:19:42.220 --> 00:19:46.220]   And we published all of the details in a case study that's accessible there.
[00:19:46.220 --> 00:19:52.220]   And, uh, just in terms of getting started, obviously we cannot share, um, you know, customer data, uh, here.
[00:19:52.220 --> 00:20:04.220]   So we created this new summarization app, which kind of, uh, shows an example of a summary grading, uh, application as well as, um, has a live version of the website that you could check out.
[00:20:04.220 --> 00:20:13.220]   Um, if you want to, uh, take a picture of those QR codes, um, you can adapt this for your use cases, for your tasks and try out auto feedback yourself.
[00:20:13.220 --> 00:20:15.220]   Uh, we also have an SDK.
[00:20:15.220 --> 00:20:22.220]   So everything that was shown in the UI is available programmatically from, uh, Python and SDKs and other languages.
[00:20:22.220 --> 00:20:25.220]   Uh, the feedback type is pretty flexible.
[00:20:25.220 --> 00:20:34.220]   Uh, we have a bunch of recipes that you can get from our GitHub as well as notebooks to get sent out.
[00:20:34.220 --> 00:20:35.220]   as well.
[00:20:35.220 --> 00:20:46.220]   Um, I'll skip over some of the mechanics, but basically goes over how you create the task, uh, create feedback, run the auto feedback locally on a simpler model,
[00:20:46.220 --> 00:20:51.220]   and then fetch feedback from a more complex model that runs on our cloud.
[00:20:51.220 --> 00:21:00.220]   And maybe just in the interest of time, we'll, I think, Trey, you already covered this, but, um, yeah, invite you to use our platform.
[00:21:00.220 --> 00:21:06.220]   And, uh, for a limited time, you can use even the more advanced models on our platform for free.
[00:21:06.220 --> 00:21:07.220]   Thanks a lot.
[00:21:07.220 --> 00:21:08.220]   Thank you.
[00:21:08.220 --> 00:21:08.220]   .
[00:21:08.220 --> 00:21:09.220]   Thank you.
[00:21:09.220 --> 00:21:09.220]   .
[00:21:09.220 --> 00:21:10.220]   Thank you.
[00:21:10.220 --> 00:21:10.220]   .
[00:21:10.220 --> 00:21:11.220]   .
[00:21:11.220 --> 00:21:11.220]   .
[00:21:11.220 --> 00:21:12.220]   .
[00:21:12.220 --> 00:21:13.220]   .
[00:21:13.220 --> 00:21:13.220]   .
[00:21:13.220 --> 00:21:14.220]   .
[00:21:14.220 --> 00:21:15.220]   .
[00:21:15.220 --> 00:21:17.220]   .
[00:21:17.220 --> 00:21:18.220]   .
[00:21:18.220 --> 00:21:18.220]   .
[00:21:18.220 --> 00:21:19.220]   .
[00:21:19.220 --> 00:21:21.220]   .
[00:21:21.220 --> 00:21:23.220]   .
[00:21:23.220 --> 00:21:25.220]   .
[00:21:25.220 --> 00:21:29.160]   We'll see you next time.

