
[00:00:00.000 --> 00:00:03.000]   Ready to meet stylish shoes that are also comfortable?
[00:03:15.000 --> 00:03:20.000]   The goal is to kind of purchase and fix up and rent one to two a year over the next five to seven years.
[00:03:20.000 --> 00:03:22.000]   Okay.
[00:03:22.000 --> 00:03:30.000]   So how hardcore do you want to be with your privacy and your asset protection plans?
[00:03:30.000 --> 00:03:41.000]   I guess I would just want to be able to prevent myself from any, you know, in the event that I was involved in a lawsuit or something like that,
[00:03:41.000 --> 00:03:48.000]   that I'm just kind of protecting me and my family from any unscrupulous lawsuits or things like that.
[00:03:48.000 --> 00:03:56.000]   I'm not looking to completely drop off the grid, but to the extent possible, you know, I like to keep private things private.
[00:03:56.000 --> 00:03:57.000]   Sure, of course.
[00:03:57.000 --> 00:04:01.000]   Have you listened yet to my series that I did on asset protection here on the show?
[00:04:01.000 --> 00:04:02.000]   I have.
[00:04:02.000 --> 00:04:04.000]   That's kind of what got the ball rolling for me.
[00:04:04.000 --> 00:04:08.000]   So your first defense is very simple.
[00:04:08.000 --> 00:04:12.000]   From the perspective of privacy, just keep a low profile.
[00:04:12.000 --> 00:04:17.000]   That's one of the simplest things you can do is just keep a relatively low profile.
[00:04:17.000 --> 00:04:22.000]   Now, sounds like that's probably not going to be too hard for you, but it's exceedingly hard for some people.
[00:04:22.000 --> 00:04:28.000]   It's very important to many people when they have wealth that they flaunt it, that they flash it, that they be able to enjoy it publicly.
[00:04:28.000 --> 00:04:36.000]   But in general, one of the basic concepts is you shouldn't be disappointed if somebody looks at you and thinks that you're broke.
[00:04:36.000 --> 00:04:39.000]   That would be basically one of the things that you can do.
[00:04:39.000 --> 00:04:48.000]   Because if you don't look particularly wealthy, then you'll automatically lower your risk profile.
[00:04:48.000 --> 00:04:52.000]   Now, in your industry, this would be fairly simple.
[00:04:52.000 --> 00:05:01.000]   For example, if I were running a property management system, I would drive a Ford F-150 that was two or three models out of date.
[00:05:01.000 --> 00:05:06.000]   Just some random $3,000, $5,000 Ford F-150, and that's all my tenants would ever see me in.
[00:05:06.000 --> 00:05:07.000]   A little beat up is fine.
[00:05:07.000 --> 00:05:14.000]   It doesn't have to be -- you don't want it to be falling apart at the seams and completely rusted out, but you want it to be a couple of years old.
[00:05:14.000 --> 00:05:22.000]   You want to basically give the impression that you're a dude who's got a house and that this is what you do.
[00:05:22.000 --> 00:05:25.000]   And you can keep your mouth shut on a lot of things.
[00:05:25.000 --> 00:05:31.000]   You don't have to lie to anybody about what you don't have.
[00:05:31.000 --> 00:05:34.000]   The best thing is just simply keep your mouth shut about what you do have.
[00:05:34.000 --> 00:05:36.000]   And so think that through.
[00:05:36.000 --> 00:05:42.000]   In industries and businesses where it's important to look wealthy, this is harder.
[00:05:42.000 --> 00:05:56.000]   So, for example, if you're going to be an attorney, depending on the type of law that you practice, if you're going to develop the reputation of being a very low, you know, a very modest-appearing guy, that can really harm your career.
[00:05:56.000 --> 00:06:03.000]   There's a case for an attorney to drive a Mercedes and wear fancy clothes and dress sharply, et cetera.
[00:06:03.000 --> 00:06:09.000]   But in your situation, it's very easy for you to maintain that personal lifestyle.
[00:06:09.000 --> 00:06:12.000]   And just simply keep your own cards close to the vest.
[00:06:12.000 --> 00:06:19.000]   If you're looking for an ideal scenario, you own a property, and no one else needs to know anything that you own beyond that.
[00:06:19.000 --> 00:06:24.000]   Now, if you want to go hardcore with this, you can even go to the point where nobody knows where you live.
[00:06:24.000 --> 00:06:26.000]   Many landlords, that would be a little bit too far.
[00:06:26.000 --> 00:06:34.000]   But you can just do everything through a, you know, a local business place or have a little office, and you can keep your house private.
[00:06:34.000 --> 00:06:40.000]   If I had a million-dollar house, then I don't want my tenants coming to my million-dollar house to see the million-dollar house.
[00:06:40.000 --> 00:06:46.000]   Some of those kinds of decisions, those lifestyle decisions, I guess we could call them, are a little bit annoying.
[00:06:46.000 --> 00:06:53.000]   But they really are one of the best defenses that you can make for your overall risk profile.
[00:06:53.000 --> 00:06:56.000]   It's just simply don't develop a high profile.
[00:06:56.000 --> 00:07:01.000]   In addition, you want to limit the publicity that, you know, the amount of publicity that you're engaged in.
[00:07:01.000 --> 00:07:06.000]   It's not particularly wise for you to become known as an up-and-coming successful real estate investor.
[00:07:06.000 --> 00:07:08.000]   Better for you not to appear in a newspaper.
[00:07:08.000 --> 00:07:11.000]   Better for you not to receive publicity.
[00:07:11.000 --> 00:07:15.000]   Those are all things you can do for free that will help to protect your privacy.
[00:07:15.000 --> 00:07:19.000]   And if you just keep a low profile, I'm not expecting you to go, you know, hardcore.
[00:07:19.000 --> 00:07:26.000]   But if you keep a low profile, the chances of your needing significant protection beyond that are probably fairly low.
[00:07:26.000 --> 00:07:33.000]   Basic techniques you can use in your rental portfolio, there's cost associated with all of these and hassle.
[00:07:33.000 --> 00:07:38.000]   In a perfect world, every single asset would be siloed off from every other asset.
[00:07:38.000 --> 00:07:46.000]   And so look in your state to see what's permissible in terms of a series LLC, whether you need individual LLCs.
[00:07:46.000 --> 00:07:50.000]   You could put together a system of land trusts and LLCs.
[00:07:50.000 --> 00:07:51.000]   The land trusts give you privacy.
[00:07:51.000 --> 00:07:57.000]   The LLCs give you asset protection and silo or segment each one of your properties off from each other.
[00:07:57.000 --> 00:07:59.000]   So that there's no interplay between the properties.
[00:07:59.000 --> 00:08:05.000]   That adds some expense, but it is the best form of protecting each of your assets between each other.
[00:08:05.000 --> 00:08:17.000]   From the perspective of a firewall, you want to think of your assets as being within a series of watertight compartments or within a series of firewalled boxes.
[00:08:17.000 --> 00:08:24.000]   So that any risk that arises within a certain compartment.
[00:08:24.000 --> 00:08:30.000]   So let's say that you have something terrible happens and you have a tenant that sues you in one of your properties.
[00:08:30.000 --> 00:08:36.000]   Well, the property that the tenant lives in is going to be available of course for the tenant's claims.
[00:08:36.000 --> 00:08:44.000]   But in an ideal legally perfect world, all of the rest of your assets are all segmented off so that they're not available to the tenant.
[00:08:44.000 --> 00:08:47.000]   So you can do that with a series of entities.
[00:08:47.000 --> 00:08:49.000]   It's hard to weigh whether it's worth it.
[00:08:49.000 --> 00:08:56.000]   The hassle of the paperwork, the hassle of the cost of maintaining the entities, of setting it all up.
[00:08:56.000 --> 00:08:57.000]   You'll have to do the research.
[00:08:57.000 --> 00:09:02.000]   Talk to the relevant people who can help you with that and see.
[00:09:02.000 --> 00:09:04.000]   But if you're going to be hardcore, you would want to do that.
[00:09:04.000 --> 00:09:10.000]   I think it's simpler oftentimes to maximize the stuff, the low hanging fruit that I talked about in that show.
[00:09:10.000 --> 00:09:13.000]   Maximize your qualified accounts.
[00:09:13.000 --> 00:09:18.000]   Maximize the property that's protected due to the exemptions and the bankruptcy code.
[00:09:18.000 --> 00:09:25.000]   And if you do that and then you're simply thoughtful about where you keep the money, that's probably good enough for most people.
[00:09:25.000 --> 00:09:32.000]   I have an extreme personality so I quickly go to the extreme in a lot of these kinds of things and want to recommend the hardcore scenarios.
[00:09:32.000 --> 00:09:39.000]   But the reality is a lot of times the most extreme plans are hard to live with, especially with regard to privacy.
[00:09:39.000 --> 00:09:46.000]   You can be very, very private, but it's very hard to live with and very hard to maintain it all the time.
[00:09:46.000 --> 00:10:02.000]   And so you'll have to just simply start at it and then see what's livable and see what's useful for you.
[00:10:02.000 --> 00:10:05.000]   Go ahead with your response, Austin.
[00:10:05.000 --> 00:10:12.000]   Do you have any feedback on, I had mentioned the property that I'd be inherited in about being able to keep that transaction private.
[00:10:12.000 --> 00:10:17.000]   I will be inheriting that while the person who is passing it on is alive.
[00:10:17.000 --> 00:10:21.000]   So maybe being able to keep that property private.
[00:10:21.000 --> 00:10:22.000]   What's the value of the property?
[00:10:22.000 --> 00:10:25.000]   Public knowledge that it belongs to me.
[00:10:25.000 --> 00:10:28.000]   Approximately between $400,000 and $500,000.
[00:10:28.000 --> 00:10:41.000]   Well, I think in that situation then it would be well worth sitting down with an attorney and talking about just simply transferring it into a trust, into a family trust with you as the beneficiary of the trust instead.
[00:10:41.000 --> 00:10:42.000]   What would you do with the property?
[00:10:42.000 --> 00:10:43.000]   Are you going to use it?
[00:10:43.000 --> 00:10:44.000]   Are you going to rent it?
[00:10:44.000 --> 00:10:45.000]   What's the plan?
[00:10:45.000 --> 00:10:50.000]   I currently live there and have been remodeling it for a couple of years.
[00:10:50.000 --> 00:10:53.000]   But yeah, it's going to be kind of like a homestead farm situation.
[00:10:53.000 --> 00:10:55.000]   That'll be my main residence.
[00:10:55.000 --> 00:11:10.000]   I wish I knew the law in your state to understand the trust law, but my suspicion would basically be that would be a good fit for a trust.
[00:11:10.000 --> 00:11:13.000]   If somebody's going to give a property, so let's talk it through.
[00:11:13.000 --> 00:11:17.000]   Well, first of all, why do you want them to give it to you while you're alive?
[00:11:17.000 --> 00:11:19.000]   While they're alive, I mean?
[00:11:19.000 --> 00:11:27.000]   It's just something that we've kind of discussed as a family, and that's been, I guess that's the plan, but the plan is flexible.
[00:11:27.000 --> 00:11:34.000]   And if the property is worth, let's say, $500,000, do you know what the owner's tax basis in the property is?
[00:11:34.000 --> 00:11:37.000]   In terms of their annual tax?
[00:11:37.000 --> 00:11:39.000]   How much they paid for it.
[00:11:39.000 --> 00:11:47.000]   It was purchased for approximately $70,000 about 25 to 30 years ago.
[00:11:47.000 --> 00:11:50.000]   Okay. How old is the owner?
[00:11:50.000 --> 00:11:52.000]   80.
[00:11:52.000 --> 00:11:59.000]   Okay. In this situation, first, I would move very slowly to make the transfer while the owner is alive.
[00:11:59.000 --> 00:12:07.000]   There may be a compelling reason to do that, given, for example, if the owner has significant creditor concerns,
[00:12:07.000 --> 00:12:13.000]   or if they're concerned about running out of money for long-term care or something like that, and that's why you're trying to do the property transfer.
[00:12:13.000 --> 00:12:20.000]   But if the owner transfers a $500,000 property to you, that property has a $430,000 taxable gain,
[00:12:20.000 --> 00:12:31.000]   and you will inherit that tax obligation on the transfer because it's going to be transferred to you with the tax basis intact.
[00:12:31.000 --> 00:12:41.000]   Now, if you wait, and if the owner continues to hold the property until their death, then they'll get a step up in tax basis.
[00:12:41.000 --> 00:12:48.000]   So let's say that the owner dies today at 80 years old and leaves you the property worth $500,000.
[00:12:48.000 --> 00:12:57.000]   All of that $430,000 of taxable gain disappears because it receives a step up in tax basis at the date of the owner's death.
[00:12:57.000 --> 00:13:06.000]   And so then you receive the property worth $500,000, and if you keep it, you could turn around and sell it for $500,000,
[00:13:06.000 --> 00:13:08.000]   and you would pay no income taxes on the gain.
[00:13:08.000 --> 00:13:16.000]   So with that amount of gain, it's well worth considering just simply holding onto the property until the date of death.
[00:13:16.000 --> 00:13:21.000]   How much is, would you guess, is the net worth of the owner?
[00:13:21.000 --> 00:13:25.000]   Are we talking millions and millions of dollars or more modest net worth?
[00:13:25.000 --> 00:13:32.000]   I would say including all assets, probably in the range of $1 million to $2 million.
[00:13:32.000 --> 00:13:36.000]   Okay. Just wanted to make sure we don't have to worry about estate tax planning here.
[00:13:36.000 --> 00:13:46.000]   So if the owner just simply holds the asset until death, then you would be able to inherit the property with a step up in tax basis.
[00:13:46.000 --> 00:13:47.000]   That would be the first thing.
[00:13:47.000 --> 00:13:57.000]   Now, the second thing, with regard to your receiving the property, there's a difference between privacy and asset protection.
[00:13:57.000 --> 00:14:01.000]   So privacy, what could you do if you wanted to receive the property privately?
[00:14:01.000 --> 00:14:09.000]   Well, you could establish a land trust and just simply move the property into a land trust.
[00:14:09.000 --> 00:14:11.000]   That could be done now. There's no reason why it would have to wait.
[00:14:11.000 --> 00:14:14.000]   A land trust would not affect the tax planning.
[00:14:14.000 --> 00:14:20.000]   But then the property is simply owned by the land trust, and your name does not appear on it.
[00:14:20.000 --> 00:14:30.000]   However, if you're the beneficiary of the trust, a land trust wouldn't do anything for your asset protection perspective, for any kind of asset protection planning.
[00:14:30.000 --> 00:14:34.000]   Now, if you're living, are you living in Texas or Louisiana?
[00:14:34.000 --> 00:14:35.000]   Louisiana.
[00:14:35.000 --> 00:14:43.000]   Louisiana. Okay. I don't know Louisiana bankruptcy law, but Louisiana probably protects the property to some degree.
[00:14:43.000 --> 00:14:48.000]   And so you can get privacy without getting asset protection, and that may be sufficient for you.
[00:14:48.000 --> 00:14:59.000]   On the other hand, if you wanted asset protection, then the owner of the property, instead of giving that property to you, the owner of the property could give the property into a trust.
[00:14:59.000 --> 00:15:09.000]   If it simply went into a trust where you had the right to live in the property, but not the right to sell it, then you would have an asset that was genuinely protected from the claims of creditors.
[00:15:09.000 --> 00:15:12.000]   And so this is where trusts do really shine.
[00:15:12.000 --> 00:15:23.000]   Let's say that you have $10 million and you're trying to figure out how to leave your child $5 million, but you want to protect that money completely against any creditors.
[00:15:23.000 --> 00:15:31.000]   Well, what you do is you put it into a trust, and then your child simply has the right to receive income from the trust, but they don't have the right to invade the corpus of the trust.
[00:15:31.000 --> 00:15:40.000]   And in that situation, now if somebody sues them, it is possible that a judgment can be levied against them where they have to pay something out of their income.
[00:15:40.000 --> 00:15:51.000]   But you can write the – you can structure the trust language with some flexibility for the trustee so that the trustee doesn't have the requirement of dispersing funds if those funds are going to be taken by a creditor.
[00:15:51.000 --> 00:15:56.000]   And so you could do the same thing with a property if you wanted to have an attorney draw it up.
[00:15:56.000 --> 00:16:04.000]   You could have the property put into a trust where you had the right to live in the property but didn't have the right to own the property or to sell the property.
[00:16:04.000 --> 00:16:14.000]   If you're going to get hardcore into asset protection planning and you start talking to attorneys, you start reading the books, the ultimate dream is to own nothing but to control everything.
[00:16:14.000 --> 00:16:21.000]   Now, that's easier said than done, but that's the ultimate dream is own nothing but control everything.
[00:16:21.000 --> 00:16:29.000]   And so the level of control has to be varied, but in a situation like you're describing, you could protect that by transferring the property into a trust.
[00:16:29.000 --> 00:16:34.000]   Okay. Awesome. That gives me some good stuff to think about.
[00:16:34.000 --> 00:16:42.000]   Yeah. Talk to an attorney. You're going to need to – I don't know Louisiana law. Every state is unique, and every state is going to have a unique situation.
[00:16:42.000 --> 00:16:54.000]   What I would say is the thing that I have struggled with, and I simply don't know how to – I don't know how to answer it, but the thing that I would struggle with is is it worth it, right?
[00:16:54.000 --> 00:16:59.000]   You always struggle with this stuff when it comes to risk management planning. How big is the actual risk?
[00:16:59.000 --> 00:17:09.000]   Do I really need to worry about this? Is it worth going through the hassle of putting the property into a trust and then having to have a trustee to administer the property?
[00:17:09.000 --> 00:17:20.000]   And what's the cost of having the documents drawn up and then making sure they're done competently, et cetera, versus what's the risk that I'm really going to get sued and this house is going to be taken away from me?
[00:17:20.000 --> 00:17:28.000]   I don't know, and I've never figured out a way to answer that question, but it is a real tension that you have to think about because all of this stuff costs money.
[00:17:28.000 --> 00:17:36.000]   It costs hassle. It costs time. And so don't just immediately jump into things saying, "Yeah, I'm going to go hardcore."
[00:17:36.000 --> 00:17:45.000]   I've been there, done that, and hardcore is often difficult. So get some good advice, and at this point, yeah, I would recommend you talk to an attorney.
[00:17:45.000 --> 00:17:47.000]   Okay, awesome. Thank you.
[00:17:47.000 --> 00:17:54.000]   Great. Thank you, Austin. We go now to Michael in Texas. There was where my Texas came from. Michael, welcome to the show. How can I serve you today, sir?
[00:17:54.000 --> 00:18:07.000]   Hi, Joe. I was hoping you could talk about early access to an IRA or a 401(k) based on the CARES Act change just generally, and then I can give you my situation and get your opinion on that.
[00:18:07.000 --> 00:18:17.000]   Yeah, go ahead and get to your situation. The general system is simple. You have access to funds with less restrictions, but go ahead and give me your situation, please.
[00:18:17.000 --> 00:18:28.000]   Okay, so I was brilliant, and I took off from work in February instead of sticking around and getting unemployment. So I took off and continued.
[00:18:28.000 --> 00:18:30.000]   Don't you hate that?
[00:18:30.000 --> 00:18:33.000]   Well, I took off to raise my kids, so it timed in with spring break.
[00:18:33.000 --> 00:18:34.000]   Right.
[00:18:34.000 --> 00:18:51.000]   Timed in with COVID. Perfect. So my ultimate goal is to take three to five years off. I have that sitting in cash so that I can do that to raise my children. I have about $500,000 in my – I've rolled it over to an IRA, but it was 401(k) money.
[00:18:51.000 --> 00:19:14.000]   So I was wondering if it made sense based on – I'm looking at probably $20,000 a year in non-capital gains income. So if it made sense to pick up $100,000 for the next three years, even if I decide to go back and work again in the next two, I have that right to then put the money back in if I had to.
[00:19:14.000 --> 00:19:30.000]   And so I'm 40 years old, and so I didn't know the balance between having 25 years of tax-free gain or if I could take that money and then roll some into a Roth IRA, which I normally couldn't contribute it to because of my income, those kinds of things.
[00:19:30.000 --> 00:19:36.000]   How much is your wife's income? Are you just living on savings, or do you have another income in the family?
[00:19:36.000 --> 00:19:37.000]   No income.
[00:19:37.000 --> 00:19:38.000]   Okay, no income.
[00:19:38.000 --> 00:19:39.000]   Not married.
[00:19:39.000 --> 00:19:52.000]   Got it. Okay. So the first thing is the eligibility restrictions. There are eligibility restrictions. The CARES Act rules are not that just anybody can take it out.
[00:19:52.000 --> 00:20:21.000]   There's a system, a series of requirements. I think it's supposed to be that either you were diagnosed with COVID, had a spouse or a dependent that was diagnosed with COVID-19, experiencing a layoff, furlough, reduction in hours or inability to work due to COVID-19 or lack of childcare because of COVID-19, have had a job offer rescinded or a job start date delayed due to COVID-19, and experiencing adverse financial consequences due to an individual or the individual spouse's finances being affected due to COVID-19
[00:20:21.000 --> 00:20:27.000]   or the closing or reducing hours of a business owned or operated by an individual or their spouse due to COVID-19.
[00:20:27.000 --> 00:20:33.000]   And so in theory, when it comes time to file tax returns, we're supposed to probably prove one of those conditions.
[00:20:33.000 --> 00:20:43.000]   Now, of course, those are fairly broad conditions, and I think there's a decent argument that be made that most of us are being affected by COVID-19, but you do need to be aware of that technical hurdle.
[00:20:43.000 --> 00:20:56.000]   Now, within that technical hurdle, you can take an early distribution of up to $100,000 from your account without paying the 10% penalty tax, but you will still pay the income tax.
[00:20:56.000 --> 00:21:06.000]   So in general, I think there are two major things that I would think about as far as why do I want money inside of a retirement account.
[00:21:06.000 --> 00:21:14.000]   The number one reason I want money inside of a retirement account is for longer term tax deferral.
[00:21:14.000 --> 00:21:19.000]   It's powerful to be able to let money compound inside the retirement account without paying taxes.
[00:21:19.000 --> 00:21:25.000]   And the early distribution due to the CARES Act does not eliminate your tax liability.
[00:21:25.000 --> 00:21:28.000]   It eliminates the 10% penalty tax for an early distribution.
[00:21:28.000 --> 00:21:33.000]   The second reason that I like money in retirement accounts is for asset protection.
[00:21:33.000 --> 00:21:43.000]   For U.S. persons, the money that's in retirement accounts is some of your simplest and lowest cost asset protection planning, as I was talking about in the previous call.
[00:21:43.000 --> 00:21:48.000]   And many times, that's actually more important to me than the tax deferral, because you can get tax deferral in a number of different ways.
[00:21:48.000 --> 00:22:03.000]   So balancing between those two, assuming that you don't have any pressing reason why you have to have the money in a retirement account for asset protection, then you look at your income and you say, "What's my income?"
[00:22:03.000 --> 00:22:15.000]   Well, if your income is zero, then yeah, when my income is zero, I'd like to take as much out of my retirement accounts as possible, because that's going to allow me to pay zero taxes.
[00:22:15.000 --> 00:22:23.000]   And so I'd rather do that, and especially if you can put it into a Roth IRA instead and do those conversions, I definitely would rather do that.
[00:22:23.000 --> 00:22:41.000]   So fundamentally, as long as you still maintain funds in qualified accounts and you don't have any major risks from an asset protection standpoint, I do like the idea of distributing assets, and especially of doing conversions during a time when your income is zero.
[00:22:41.000 --> 00:22:46.000]   So you'll have to jigger the numbers, but yeah, I'm in favor of it.
[00:22:46.000 --> 00:22:56.000]   Take advantage of it if you're – if you qualify, take advantage of the $100,000 to do an early distribution, and then convert the money if possible into a Roth or invest it elsewhere.
[00:22:56.000 --> 00:22:59.000]   Most of the money is coming from a 401(k), is that correct?
[00:22:59.000 --> 00:23:01.000]   That is correct.
[00:23:01.000 --> 00:23:08.000]   Yeah. So anytime that I can get money out of the 401(k) at a very low tax cost, I like to do that, because it gives you back control of your money.
[00:23:08.000 --> 00:23:14.000]   When you're working and earning an income, it's really important and valuable for you to be funding that 401(k).
[00:23:14.000 --> 00:23:28.000]   But as soon as you can take it out, and if you can take it out with a cost of $0, if you're living on savings, not earning any money, and thus have no income, you can go ahead and take out as much as you can at that 0% tax rate or even that low tax rate.
[00:23:28.000 --> 00:23:41.000]   Because if after your children are older, you go back and you start working again, you're going to be filling up the 401(k) again, you're going to then have larger distributions, required minimum distributions, and you'll probably be back in a higher tax bracket.
[00:23:41.000 --> 00:23:50.000]   So whenever my income is $0, I definitely want to take advantage of that and use that, among other things, to do Roth conversions and take money out of 401(k)s.
[00:23:50.000 --> 00:24:05.000]   And that's where my thought was, too. And that way, if I actually end up going back to work early, then I can have the three years by law to pay it back. If that was something where it actually bumped me up into a tax bracket.
[00:24:05.000 --> 00:24:07.000]   Right. If you needed to, exactly, yes.
[00:24:07.000 --> 00:24:08.000]   Yep.
[00:24:08.000 --> 00:24:16.000]   Cool. I like it. Good idea. And thank you for being willing to focus on your children and give them what they need. I really applaud you for that.
[00:24:16.000 --> 00:24:22.000]   It's an unusual man who will take time off from work in order to care for his children. So I thank you for doing that. Your children will thank you down the road.
[00:24:22.000 --> 00:24:27.000]   Thanks. I didn't plan on doing it full time. I figured they'd be in school, but it's been nice teaching them as well.
[00:24:27.000 --> 00:24:35.000]   Of course. Of course. You've got one of the biggest opportunities. And you'll have to adjust with whatever your children need.
[00:24:35.000 --> 00:24:47.000]   And obviously, not everybody has the luxury of being able to take time off. But it is such a blessing if you can pour into your children. And there's that those few years where it's so valuable.
[00:24:47.000 --> 00:24:57.000]   And whether it's an adventure, whether it's just simply teaching them, whether it's traveling the world with them. I've often thought, "What would I do if my wife died and I were a single father?"
[00:24:57.000 --> 00:25:07.000]   And no question, one of the things that I definitely would do, I would draw close to my children and really invest the time in them. So good for you.
[00:25:07.000 --> 00:25:09.000]   Thank you.
[00:25:09.000 --> 00:25:14.000]   Cool. All right. We'll go to Kyle in Georgia. Kyle, welcome to the show. How can I serve you today, sir?
[00:25:14.000 --> 00:25:27.000]   Hi, Joshua. I had a question. I guess it's kind of a "what would Joshua do" scenario, and it's more so, I guess you could say, career related or work related in terms of income.
[00:25:27.000 --> 00:25:32.000]   So just to give you, I guess, kind of the quick 60 second kind of background.
[00:25:32.000 --> 00:25:51.000]   My wife and I, we've been married for a little over three years now. After we got married, we paid off all of our debt. And somewhere during that time, we decided that we would take an adult gap year of sorts, or kind of a year off to travel and then transition into some different work when we got back.
[00:25:51.000 --> 00:26:04.000]   And so we saved up some money and did that. And we left in December last year. So we got to travel for maybe about four or five months. We spent two of them in Columbia on lockdown.
[00:26:04.000 --> 00:26:15.000]   And so we had started a travel blog and everything, and we started doing all that. We have a website, all that kind of stuff. Obviously, traveling and everything like that isn't really taking off, so to speak, right now.
[00:26:15.000 --> 00:26:22.000]   So we are both kind of learning different things right now as far as online work.
[00:26:22.000 --> 00:26:28.000]   And what we're trying to figure out is we don't have a ton of money saved up right now.
[00:26:28.000 --> 00:26:32.000]   We have some money tied up in a property that we get income from and all of that.
[00:26:32.000 --> 00:26:36.000]   And we're just trying to figure out, you know, kind of what the best direction to go is.
[00:26:36.000 --> 00:26:48.000]   So I'm turning 30 next month, and she's 29. And so now that we're back here in the U.S. and we know that kind of traveling full time and all that stuff really wouldn't make sense right now,
[00:26:48.000 --> 00:26:54.000]   what we're trying to do is figure out, should I just go get another job from a corporate standpoint?
[00:26:54.000 --> 00:27:01.000]   Should I keep trying to do some work online and just maybe do a basic, like, you know, at night Amazon type job?
[00:27:01.000 --> 00:27:14.000]   But what we're trying to do is we want to start having children and all of that. So we're just really trying to figure out what the path forward looks like, given our current financial situation and what would make the most sense, I guess.
[00:27:14.000 --> 00:27:17.000]   How much money do you have saved right now?
[00:27:17.000 --> 00:27:25.000]   So right now we have, I would say, around 15K. It's a little more than that in terms of cash.
[00:27:25.000 --> 00:27:32.000]   We have some stocks and investments, about $8,000. That's kind of in a just like a S&P fund.
[00:27:32.000 --> 00:27:47.000]   That's like non-retirement money. And then the property that we have is actually, we funded a deal with one of our associates that does real estate full time.
[00:27:47.000 --> 00:27:55.000]   And so we have about $20,000 in that property, and then we get about $250 a month coming off of that. But that's kind of our only income right now.
[00:27:55.000 --> 00:28:02.000]   You have $15,000 in savings plus $8,000 in stocks plus $20,000 of equity in a property?
[00:28:02.000 --> 00:28:04.000]   Correct.
[00:28:04.000 --> 00:28:10.000]   Okay. And where are you living now? What are your monthly living expenses and your current living arrangements?
