
[00:00:00.000 --> 00:00:03.000]   Do more together this holiday in a new Chevy.
[00:04:43.000 --> 00:04:57.000]   And it's a simple truth that I think is true, and it's brought me a little bit more personal freedom in my own thinking, and it's somewhat dramatic, or at least internally dramatic for me.
[00:04:57.000 --> 00:05:10.000]   I struggle to talk about Bitcoin because I cannot comprehensively define, explain, and defend many of the core arguments of Bitcoin enthusiasts.
[00:05:10.000 --> 00:05:21.000]   I find myself arguing the point back and forth and back and forth and seeing both sides, or what is more common, multiple sides of an argument.
[00:05:21.000 --> 00:05:24.000]   But I was talking with somebody this last weekend.
[00:05:24.000 --> 00:05:31.000]   I was in Playa del Carmen, Mexico, right next to Cancun, Mexico, at the Nomad Capitalist live event.
[00:05:31.000 --> 00:05:35.000]   We were talking about Bitcoin, currencies, etc.
[00:05:35.000 --> 00:06:02.000]   And by the way, I am specifically recording this episode of the podcast on May 20, 2021, a day after which Bitcoin, basically within a couple of days, a day, Bitcoin plummeted from something like $58,000 US dollars fiat per coin down to $30,000 fiat per coin at its lowest.
[00:06:02.000 --> 00:06:07.000]   Dramatic decline in prices.
[00:06:07.000 --> 00:06:09.000]   And so we're talking about this.
[00:06:09.000 --> 00:06:20.000]   And the thing that makes me very nervous about talking about money is that so much in our world seems to be disconnected from arguments that make sense.
[00:06:20.000 --> 00:06:38.000]   And I was thinking about this this past weekend as I talked with a number of different people, but specifically I was talking with a man, my Czech is not good enough to pronounce his last name, but Vít is his name, President Vít, who is the president of a brand new country that he started called Liberland.
[00:06:38.000 --> 00:06:40.000]   I have an interview with him recorded.
[00:06:40.000 --> 00:06:42.000]   I'll release it into the podcast feed soon.
[00:06:42.000 --> 00:06:47.000]   But I met him and I was talking with him about his new country.
[00:06:47.000 --> 00:07:00.000]   And I realized that I went through the same basic thinking on Liberland as I did about Bitcoin in my own thinking.
[00:07:00.000 --> 00:07:03.000]   I first heard of the Liberland project a couple of years ago.
[00:07:03.000 --> 00:07:15.000]   Basically, the idea is can we start a new country where people who are interested in liberty come together and work together to build a new country?
[00:07:15.000 --> 00:07:31.000]   And Liberland, Vít, staked his claim on a little piece of land on the border between Serbia and Croatia, a very interesting little piece of land that's not claimed by either of those nations, basically a small piece of land that's available.
[00:07:31.000 --> 00:07:34.000]   And I heard about the project and I laughed it off.
[00:07:34.000 --> 00:07:40.000]   I thought, I didn't, not overtly, but I just thought, come on, it's not going to work.
[00:07:40.000 --> 00:07:46.000]   Tiny little piece of land, island between Serbia and Croatia, you know, it's not going to work.
[00:07:46.000 --> 00:08:04.000]   And then all of a sudden I found myself this past Wednesday night sitting next to Vít and talking with him about Liberland. And all of a sudden I found myself believing in the possibilities of a project like Liberland.
[00:08:04.000 --> 00:08:10.000]   And that change in belief was subtle but quite quick.
[00:08:10.000 --> 00:08:16.000]   And I realized that Vít believes in his project.
[00:08:16.000 --> 00:08:26.000]   And because he believes in his project, he has brought himself to a place of actually building a new country.
[00:08:26.000 --> 00:08:32.000]   And I think there is more than a 50% chance that in the long term he could succeed.
[00:08:32.000 --> 00:08:41.000]   Now, it's of course a project in its infancy, but what struck me is that he believes in the idea that things could be different.
[00:08:41.000 --> 00:08:48.000]   And because he believes in the idea that things can be different, he's taking the actions that are going to make things different.
[00:08:48.000 --> 00:08:54.000]   And in the fullness of time, there's a decent chance that things could actually be different.
[00:08:54.000 --> 00:09:04.000]   And what struck me was here I am in probably extraordinarily broad alignment with Vít's personal philosophies.
[00:09:04.000 --> 00:09:12.000]   I mean, the story is funny. He read The Law by Frederick Bastiat when he was younger and he thought, you know what, somebody should do this and somebody should build a country and he did it.
[00:09:12.000 --> 00:09:23.000]   And so here I am deeply aligned with somebody ideologically and yet I didn't just rush to get involved a couple years ago when I first heard about the project.
[00:09:23.000 --> 00:09:28.000]   Instead, I've waited. Now, of course, it's a project still in its infancy, but I'm not going to wait any more.
[00:09:28.000 --> 00:09:33.000]   But realize, like, here's somebody who actually believes it and like I'm starting to believe it too.
[00:09:33.000 --> 00:09:39.000]   And maybe it is possible. After all, why isn't, why couldn't it be possible? Why shouldn't it be possible?
[00:09:39.000 --> 00:09:47.000]   In yesterday's podcast, I spoke extensively about all the amazing attributes of the modern world and I realized, like, yeah, we live in this world. Why shouldn't it be possible?
[00:09:47.000 --> 00:09:55.000]   The idea of starting a new country is not new to me. I've read a number of years ago, I read James Wesley Rawls' book called The Land of Promise.
[00:09:55.000 --> 00:09:59.000]   It wasn't a really well-written book, but it was a book with an interesting idea.
[00:09:59.000 --> 00:10:06.000]   It was basically a bunch of liberty-oriented, in his case, Christian religious conservatives come together and start a country.
[00:10:06.000 --> 00:10:11.000]   And the concept fascinates me and I look at it and say, well, why not? Why not?
[00:10:11.000 --> 00:10:21.000]   So now back to Bitcoin. I have a certain ideological perspective, my personal opinions about the way that things like money should work.
[00:10:21.000 --> 00:10:25.000]   For example, they're fairly simple. They would reflect to some degree the Austrian position.
[00:10:25.000 --> 00:10:34.000]   For example, I believe that currencies and money should compete. I believe that anybody who wants to create money should be able to create money.
[00:10:34.000 --> 00:10:44.000]   And what gives money its value is people's willingness to take it, to accept it, to accept a certain thing for the value of that money.
[00:10:44.000 --> 00:10:52.000]   And so I – yeah, so there's no reason why I think there should be lots and lots of currencies that exist based on all kinds of different things.
[00:10:52.000 --> 00:11:00.000]   That would be kind of the free market position on money, more of the traditionally associated with the Austrian economics position on money.
[00:11:00.000 --> 00:11:07.000]   And I believe that. And if you were to start describing certain components of money, things that I would find really interesting,
[00:11:07.000 --> 00:11:16.000]   Bitcoin solves a lot of those things really effectively. Really – it really does. It solves a lot of those things really effectively.
[00:11:16.000 --> 00:11:22.000]   And so why did I not jump on the bandwagon when I first heard about Bitcoin?
[00:11:22.000 --> 00:11:25.000]   Well, two reasons, and I'm kind of skirting around these. I'll state them clearly in just a moment.
[00:11:25.000 --> 00:11:38.000]   But one of the reasons is simply that I didn't believe. I didn't believe that change was possible.
[00:11:38.000 --> 00:11:42.000]   And I don't know why I often don't believe that change is possible. Maybe it's cynical.
[00:11:42.000 --> 00:11:46.000]   I try to think of myself as a positive person. I try to believe that change is possible.
[00:11:46.000 --> 00:11:49.000]   I genuinely do believe that change is possible in many components.
[00:11:49.000 --> 00:11:55.000]   But then there are some things that are just beyond your ability to believe that something different is possible.
[00:11:55.000 --> 00:12:02.000]   You look at it and you think, "Well, no, it's not possible for this to be different. Change is not possible."
[00:12:02.000 --> 00:12:06.000]   Yesterday I talked about the prison bars that we build in our minds.
[00:12:06.000 --> 00:12:09.000]   And then once you realize it's all in your minds, all of a sudden you're set free.
[00:12:09.000 --> 00:12:14.000]   Well, it really is like that. Some of us believe that change is fundamentally not possible.
[00:12:14.000 --> 00:12:20.000]   And yet, why should it not be possible? Why should it not be possible?
[00:12:20.000 --> 00:12:24.000]   Well, it's a matter of belief. It's a matter of transfer of belief, right?
[00:12:24.000 --> 00:12:29.000]   The ability of one person to influence another and say, "Yeah, it really is possible."
[00:12:29.000 --> 00:12:32.000]   Something really can change.
[00:12:32.000 --> 00:12:39.000]   There's a profound difference to the kind of person who believes that something can be different, something can change,
[00:12:39.000 --> 00:12:44.000]   versus the kind of person who draws back and cynically says, "No, it'll never be different. It'll never change."
[00:12:44.000 --> 00:12:54.000]   So there are two reasons that I've identified thus far why I missed the massive growth of Bitcoin.
[00:12:54.000 --> 00:12:59.000]   And by the way, I think that this is the kind of question that you should ask financial advisors.
[00:12:59.000 --> 00:13:03.000]   I try to probe myself and then share with you what I learn.
[00:13:03.000 --> 00:13:10.000]   But this is, I think, a really important thing because the second one is going to affect the financial industry broadly.
[00:13:10.000 --> 00:13:16.000]   You should ask people, "Why did you miss this particular growth? Were you involved?"
[00:13:16.000 --> 00:13:20.000]   Everyone says, "Oh, you should ask your financial advisor, 'What do you invest in? What do you do?'"
[00:13:20.000 --> 00:13:29.000]   Well, I think that you should pay a lot of attention to whether or not people missed the tremendous growth of Bitcoin.
[00:13:29.000 --> 00:13:35.000]   One of the things that's making me extraordinarily happy is seeing how many ordinary, everyday people,
[00:13:35.000 --> 00:13:43.000]   without any particular special investment knowledge or expertise, have become multi-millionaires with Bitcoin.
[00:13:43.000 --> 00:13:50.000]   I have a number of them in the listening audience. I've done consulting work for a number of these individuals.
[00:13:50.000 --> 00:14:01.000]   And I am so thrilled that the people who have benefited the most from Bitcoin thus far are largely not institutional investors,
[00:14:01.000 --> 00:14:07.000]   are largely not big funds. They're largely just ordinary individuals who saw something that they believed in
[00:14:07.000 --> 00:14:10.000]   and they put their money where their beliefs were.
[00:14:10.000 --> 00:14:16.000]   And it's so exciting to me. I have loved talking with some of my listeners who've gone from ordinary,
[00:14:16.000 --> 00:14:24.000]   modest net worth to becoming multi-millionaires in a very short period of time due to the dramatic rise in the value of Bitcoin.
[00:14:24.000 --> 00:14:30.000]   It's just so exciting to see somebody's life transformed that way. It's so cool.
[00:14:30.000 --> 00:14:40.000]   But I think that most of us who have had some professional experience in the financial world probably missed out on that massive growth.
[00:14:40.000 --> 00:14:48.000]   I did. I would dare say the majority, I would say the vast majority of financial advisors missed out on that professional growth.
[00:14:48.000 --> 00:14:53.000]   Now, there may be some good arguments for it, right? We can still argue and debate.
[00:14:53.000 --> 00:14:56.000]   Well, is there actually anything there? Is it a bubble? Is it a fad? Etc.
[00:14:56.000 --> 00:15:02.000]   I'm going to come to some of those questions in a minute. And forgive me if this is not perfectly structured.
[00:15:02.000 --> 00:15:07.000]   I don't have perfect answers for all these questions. I don't have an argument that I'm trying to present about Bitcoin.
[00:15:07.000 --> 00:15:11.000]   I'm trying to figure out why did I miss what other people saw?
[00:15:11.000 --> 00:15:16.000]   And I've identified these two reasons that I want to articulate for you in case it's helpful to you.
[00:15:16.000 --> 00:15:24.000]   And then I'll keep on working myself to try to figure out how to work through some of the various questions.
[00:15:24.000 --> 00:15:30.000]   So the first reason I've missed it is lack of belief, lack of belief that something could be different.
[00:15:30.000 --> 00:15:36.000]   The second reason, though, comes down to a sense of professional respectability.
[00:15:36.000 --> 00:15:48.000]   The desire to be perceived by one's peers as part of the in crowd, as being someone who's acceptable,
[00:15:48.000 --> 00:15:53.000]   whose opinions are not outside of the realm of acceptable opinion.
[00:15:53.000 --> 00:16:00.000]   I think most of us have a desire to fit in, to fit in with people that we respect and that we admire.
[00:16:00.000 --> 00:16:08.000]   And who knows why this is? Judge for yourself. I think it is true, however, that most of us want to fit in.
[00:16:08.000 --> 00:16:17.000]   It's a very unusual person that is such a contrarian that they're willing to go completely against everybody.
[00:16:17.000 --> 00:16:26.000]   And when you start talking about finance and money, you realize that the groupthink is very, very powerful.
[00:16:26.000 --> 00:16:32.000]   The desire to have your opinions be respectable is very, very strong.
[00:16:32.000 --> 00:16:43.000]   And in the world of investments, I think this reflects the consensus view more than any fundamental reality does.
[00:16:43.000 --> 00:16:50.000]   We have, there is in the world of financial planning, investments, etc., there's a certain component of academic research.
[00:16:50.000 --> 00:16:56.000]   There are a few people who are actively doing active academic research.
[00:16:56.000 --> 00:16:59.000]   They're studying something, they're analyzing something, etc.
[00:16:59.000 --> 00:17:06.000]   And those people sit down, they write their papers, they write their books, they write their position pieces, they get published.
[00:17:06.000 --> 00:17:14.000]   Those go to then the thinkers in the space. The thinkers in the space study something, they talk among themselves.
[00:17:14.000 --> 00:17:20.000]   Then it becomes the accepted dogma of the financial advice space.
[00:17:20.000 --> 00:17:32.000]   And then most of the rest of us on the front line, those of us whose business cards say financial advisor or wealth management advisor, CFP professional, whatever your card says,
[00:17:32.000 --> 00:17:38.000]   we tend to wind up reflecting what that consensus opinion is.
[00:17:38.000 --> 00:17:44.000]   And we do that partly because of a sense of professional obligation and a true responsibility.
[00:17:44.000 --> 00:17:48.000]   Our companies fire us if we don't toe the line.
[00:17:48.000 --> 00:17:56.000]   If they find out that we're recommending something that other people don't think is right, then they'll get rid of us.
[00:17:56.000 --> 00:18:01.000]   And also we do it because of simply the desire to fit in.
[00:18:01.000 --> 00:18:04.000]   It's hard to be the weirdo. It's really hard to be the weirdo.
[00:18:04.000 --> 00:18:07.000]   You want to be accepted by your peers.
[00:18:07.000 --> 00:18:12.000]   This is made worse when you study more, when you become credentialed, experienced, etc.
[00:18:12.000 --> 00:18:17.000]   You want to be accepted by your peers. You want to reflect what they all think.
[00:18:17.000 --> 00:18:21.000]   You don't want to be the crazy man who has a totally different opinion.
[00:18:21.000 --> 00:18:30.000]   So you take the arguments that are presented to you, you assume that they're correct, and you start parroting and repeating those arguments to other people.
[00:18:30.000 --> 00:18:37.000]   And then the more you do that, the more the consensus forms, more people believe what you're saying is right, and then it goes on.
[00:18:37.000 --> 00:18:43.000]   And sometimes you are probably objectively right, and sometimes you're not objectively right.
[00:18:43.000 --> 00:18:51.000]   But in the end, it doesn't really matter because if you are accepted and if your opinions are acceptable,
[00:18:51.000 --> 00:18:58.000]   then it's a more comfortable personal and professional life for you than if you are the outcast.
[00:18:58.000 --> 00:19:05.000]   Even if you're right, if you're an outcast, it's very lonely to be an outcast.
[00:19:05.000 --> 00:19:13.000]   I was thinking about this recently of this guy. I was listening to this story. I've been listening to this book called "Why the West Won".
[00:19:13.000 --> 00:19:24.000]   And the author of the book was talking about some amazing cave drawings that an old farmer, it was an amateur, basically a farmer back in the 1800s.
[00:19:24.000 --> 00:19:28.000]   This is after Charles Darwin had gone and kind of bounced all around the world.
[00:19:28.000 --> 00:19:37.000]   And this guy found these old cave drawings in his farm, and all the indications seem to be that these drawings were extraordinarily old.
[00:19:37.000 --> 00:19:45.000]   But because of their artistic beauty, he went and he got like an amateur archaeologist.
[00:19:45.000 --> 00:20:04.000]   He went and he presented at an archaeologist group. And because of their beauty, that nobody believed that cave drawings that were that old could actually be that well done, that beautiful, they all laughed at him.
[00:20:04.000 --> 00:20:10.000]   And what happened was very sad. This guy discovered the find of the century.
[00:20:10.000 --> 00:20:21.000]   The literal dream of you walk into a cave, you look up and there's this spectacular archaeological site right there. He discovered it.
[00:20:21.000 --> 00:20:29.000]   And according to the current research, it is thought to be as old as he thought it was.
[00:20:29.000 --> 00:20:38.000]   And yet his peers didn't accept it. And that poor guy, wish I could cite his name, forgive me, I can't. But that guy ended his life.
[00:20:38.000 --> 00:20:50.000]   He didn't commit suicide. He died a broken and depressed man because of the ridicule of his peers.
[00:20:50.000 --> 00:21:03.000]   Now it turned out, or at least it seems to have turned out thus far, that it was the peers who were wrong, it was not him. He was right, his peers were wrong.
[00:21:03.000 --> 00:21:11.000]   But by the standards of the day, he was laughed out of his amateur archaeologist association.
[00:21:11.000 --> 00:21:25.000]   A very sad story. So this applies much more than I think you would imagine in probably every professional industry, but it definitely applies in the field of personal finance.
[00:21:25.000 --> 00:21:32.000]   The best example that I have to draw on from my own professional life is the first time I bought a gold coin.
[00:21:32.000 --> 00:21:43.000]   Gold is a traditionally touchy subject in the world of investment planning.
[00:21:43.000 --> 00:21:59.000]   Gold is a very emotionally involved subject. And there is a tremendous gap between the professional opinion on gold and the average person's experience.
[00:21:59.000 --> 00:22:10.000]   The accepted dogma, the accepted orthodox opinion to have on gold in mainstream financial planning in the United States is simply this.
[00:22:10.000 --> 00:22:23.000]   Okay, some portion of your investments can be invested in commodities which can help to smooth out your overall portfolio.
[00:22:23.000 --> 00:22:33.000]   But you should never buy gold coins, and anybody who says to buy gold coins is a wacko gold bug nut job, a kook.
[00:22:33.000 --> 00:22:42.000]   And there's a lot of good evidence for this position, because a lot of gold bugs seem to come across pretty much as kooks.
[00:22:42.000 --> 00:23:01.000]   And by the time someone becomes convinced that they're going to invest in gold, invest in a significant amount of gold, then they often have accepted so many unorthodox opinions that they just don't make for good company and they don't fit well into polite society.
[00:23:01.000 --> 00:23:07.000]   They become squeaky wheels that are kind of weird and everyone kind of pulls away from them.
[00:23:07.000 --> 00:23:14.000]   When I was a professional financial advisor, I'd spent my whole training being an amateur personal finance enthusiast and being a professional financial advisor.
[00:23:14.000 --> 00:23:24.000]   I'd never owned a gold coin. I'd never touched a gold coin. I'd never held a gold coin. I'd never bought a gold coin. I'd never had any association with a gold coin in any way.
[00:23:24.000 --> 00:23:33.000]   So I was a few years into working as a financial advisor, and I was thinking this through. I was reading an article about gold investing, chatting with some people on the internet about gold investing.
[00:23:33.000 --> 00:23:44.000]   And finally, somebody said, "Do you own any gold?" And my answer was, "No, I don't." I was like, "This is a stupid conversation. Go buy a gold coin."
[00:23:44.000 --> 00:23:53.000]   And so I looked up and I found a coin shop in my town, and I went down and I bought a 1/10 ounce gold American Eagle.
[00:23:53.000 --> 00:24:03.000]   I felt so weird when I was doing it. I felt so dirty, so strange, like I'm sneaking into the coin shop to buy a gold coin.
[00:24:03.000 --> 00:24:10.000]   And I paid cash for it and didn't give my name. I didn't know how to do it. I had to ask questions. I just felt so weird.
[00:24:10.000 --> 00:24:22.000]   And then when I walked out, I sat there and looked at it. I was like, "I paid," I forget, I don't know, a couple hundred bucks for it.
[00:24:22.000 --> 00:24:28.000]   I paid $100, $250, $300 for this 1/10 ounce gold coin. This is crazy. But then I started to think about it.
[00:24:28.000 --> 00:24:37.000]   And once I owned that gold coin, I started to experience the world a little bit differently.
[00:24:37.000 --> 00:24:43.000]   I remember exactly the same thing happening when I bought my first gun. I'd never owned a gun.
[00:24:43.000 --> 00:24:49.000]   I firmly believed in the value of owning guns, but I'd never gone and got one. And finally I went and bought a gun.
[00:24:49.000 --> 00:24:54.000]   And I felt so strange. It felt so weird. And then over time, it didn't anymore.
[00:24:54.000 --> 00:25:00.000]   I'm talking about the gold, though, more because it applies to money.
[00:25:00.000 --> 00:25:08.000]   So over time, I started to understand the gold arguments very differently because I actually knew what it was like to own gold.
[00:25:08.000 --> 00:25:13.000]   And I became kind of the guy that people would ask questions about investing in gold.
[00:25:13.000 --> 00:25:18.000]   And I'm not a gold maximalist would be the term I think a lot of people would use.
[00:25:18.000 --> 00:25:23.000]   I don't think you should own 100% of gold, but I think if you don't own any gold, you're probably short-sighted.
[00:25:23.000 --> 00:25:30.000]   Now let's go to Bitcoin. To my shame, I did not do what I should have done.
[00:25:30.000 --> 00:25:36.000]   I should have learned the lesson from that gold coin. And as soon as I heard about Bitcoin, I should have gone and bought one.
[00:25:36.000 --> 00:25:40.000]   I should have said, "Oh, that'd be cool. Let me go and buy some and just see what works."
[00:25:40.000 --> 00:25:47.000]   I should have taken a few hundred bucks and gone and purchased some. But I didn't. Why not?
[00:25:47.000 --> 00:25:53.000]   Well, because it was unacceptable to talk about Bitcoin. Too many problems with Bitcoin.
[00:25:53.000 --> 00:25:58.000]   Where did this come from? Why is this? Oh, it's all made up.
[00:25:58.000 --> 00:26:03.000]   And all the arguments against Bitcoin are good arguments. They're compelling.
[00:26:03.000 --> 00:26:07.000]   I have wondered and repeated some of those arguments.
[00:26:07.000 --> 00:26:15.000]   If I had done what I should have done, which was years ago when I first heard about Bitcoin, bought Bitcoin,
[00:26:15.000 --> 00:26:23.000]   I would have a very different experience of the Bitcoin marketplace over the last few years.
[00:26:23.000 --> 00:26:31.000]   And I would have a very different net worth than I do now.
[00:26:31.000 --> 00:26:36.000]   So that's not new to me. In fact, I can't remember if I've even done this show.
[00:26:36.000 --> 00:26:41.000]   I have a whole outline I've just given you of a 10-minute show of like, "Listen, just buy something.
[00:26:41.000 --> 00:26:47.000]   Just buy money and just do it." And more and more I'm convinced that this is one of the major keys of success.
[00:26:47.000 --> 00:26:54.000]   The more times in my life I just simply do it. I think about something. I wonder if it's a good idea and I go do it.
[00:26:54.000 --> 00:27:03.000]   Whether that's buying a gold coin or buying a Bitcoin or going and trying something new, grabbing a course,
[00:27:03.000 --> 00:27:07.000]   getting on an airplane and going visiting a country, opening an offshore bank account,
[00:27:07.000 --> 00:27:13.000]   going and establishing a residency program, whatever it winds up being, the more and more that I just do stuff,
[00:27:13.000 --> 00:27:18.000]   the better results I get. And so I'm trying to get rid of the old things.
[00:27:18.000 --> 00:27:24.000]   Maybe sometime I will do that because I have the outline prepared of my excessive conservatism and whatnot.
[00:27:24.000 --> 00:27:30.000]   Those things have not been useful to me. So I've been discarding my excessive conservatism,
[00:27:30.000 --> 00:27:37.000]   financial conservatism, not physical, and just pressing forward and doing more things.
[00:27:37.000 --> 00:27:40.000]   So if I'd done that, I would have a very different experience.
[00:27:40.000 --> 00:27:50.000]   But now that brings me to the insight of the last week. Remember I talked about belief.
[00:27:50.000 --> 00:28:00.000]   I talked about how those who believe that things could be different are inclined to actually take action.
[00:28:00.000 --> 00:28:04.000]   Those who believe that things can be different are willing to do something about it.
[00:28:04.000 --> 00:28:09.000]   They see the world differently.
[00:28:09.000 --> 00:28:15.000]   But what's helped me with the second point, the point of professional respectability,
[00:28:15.000 --> 00:28:30.000]   is to realize that the professional respectability is itself a facade. It's an illusion.
[00:28:30.000 --> 00:28:34.000]   I made the statement a little bit ago. I said I like to know all about something.
[00:28:34.000 --> 00:28:37.000]   And what keeps me more from talking about Bitcoin?
[00:28:37.000 --> 00:28:45.000]   Well, because I can't explain everything. I can't defend everything with these big, sweeping, strong arguments with .1234.
[00:28:45.000 --> 00:28:48.000]   You have ideas, hunches, etc. But at the end of the day, it's like, I don't know.
[00:28:48.000 --> 00:28:52.000]   Nobody knows. Nobody has a clue about what the future holds.
[00:28:52.000 --> 00:29:00.000]   But here's what's remarkable. Everything that we currently accept is all made up as well.
[00:29:00.000 --> 00:29:14.000]   If you think it's hard to talk about where does Bitcoin come from, it's immeasurably harder to talk about where the US dollar comes from.
[00:29:14.000 --> 00:29:21.000]   You would think that somebody like me should be able to sit down and explain where a dollar comes from.
[00:29:21.000 --> 00:29:24.000]   And I kind of, sort of can, right?
[00:29:24.000 --> 00:29:33.000]   You've got the Federal Reserve, and then the Federal Reserve makes the money, but then it goes, well, I get lost.
[00:29:33.000 --> 00:29:42.000]   And to think that someone like me, who should have the ability to articulate where a dollar comes from,
[00:29:42.000 --> 00:29:52.000]   has a very hard time actually doing it, is pretty sobering. Pretty sobering.
[00:29:52.000 --> 00:30:03.000]   Now you can apply the same argument. So I'm recording this after a 20% drop in the value of Bitcoin over the last few days.
[00:30:03.000 --> 00:30:13.000]   In this conversation, you would say, well, this just proves how unstable Bitcoin is. This proves there's nothing behind it.
[00:30:13.000 --> 00:30:22.000]   Yeah, but the problem is that that exact same thing happens in every currency in the world.
[00:30:22.000 --> 00:30:35.000]   One of the things that's maddening about something like Bitcoin is I cannot find any argument that would make sense as to how you could actually value Bitcoin.
[00:30:35.000 --> 00:30:40.000]   What is the value of Bitcoin? I don't have an answer for that.
[00:30:40.000 --> 00:30:46.000]   I haven't yet found an argument that makes sense to me about how you could value Bitcoin.
[00:30:46.000 --> 00:30:55.000]   But here's what's wacky. How can you value the US dollar?
[00:30:55.000 --> 00:31:02.000]   What is the value of a dollar?
[00:31:02.000 --> 00:31:09.000]   That's also equally impossible to answer.
[00:31:09.000 --> 00:31:16.000]   Now there are good answers for it, right? The value of a dollar is what you can get for it, which means it has to be accepted by people.
[00:31:16.000 --> 00:31:27.000]   And then there's a ratio that's spent, that's set as the economy works its way out between the US dollar and the goods and services that you can purchase for it.
[00:31:27.000 --> 00:31:40.000]   But what's wacky is exactly that same argument could then be taken back and applied to Bitcoin or some other currency that offers some other features.
[00:31:40.000 --> 00:31:49.000]   And if you start thinking about the history of money, you start thinking about it, you realize that at the end of the day, it's all made up.
[00:31:49.000 --> 00:31:55.000]   There's not actually any firm place you can put your feet.
[00:31:55.000 --> 00:32:03.000]   You can have some ideas and some hunches, but let's go back, give an example that will cut a little closer to the bone.
[00:32:03.000 --> 00:32:10.000]   What is the value of a stock? How do you figure out the value of a stock?
