
[00:00:00.000 --> 00:00:06.080]   All right.
[00:02:49.980 --> 00:02:52.880]   That might not have been the most probable output for the model,
[00:02:52.880 --> 00:02:55.520]   but we're gonna do that replacement step there.
[00:02:55.520 --> 00:03:00.280]   So what we've created- created here is a sequence that we can call X corrupt,
[00:03:00.280 --> 00:03:02.720]   a corrupted version of the input.
[00:03:02.720 --> 00:03:06.360]   And that is the primary job of this generator model.
[00:03:06.360 --> 00:03:09.360]   At this point, the heart of Electra takes over.
[00:03:09.360 --> 00:03:11.080]   This is called the discriminator,
[00:03:11.080 --> 00:03:14.880]   but we can also talk about it as the Electra model itself in essence.
[00:03:14.880 --> 00:03:18.780]   The job of the discriminator is to figure out which of
[00:03:18.780 --> 00:03:22.800]   those tokens were originals and which ones were replacements.
[00:03:22.800 --> 00:03:25.360]   So that's a kind of contrastive learning objective.
[00:03:25.360 --> 00:03:29.560]   You can see here that the actual label it's gonna learn from from eight is that it was
[00:03:29.560 --> 00:03:34.760]   replaced and for the- that it wasn't original even though it was a sampled token.
[00:03:34.760 --> 00:03:37.800]   And the actual loss for the model is the generator,
[00:03:37.800 --> 00:03:44.160]   that is the- the typical BERT MLM loss together with this Electra loss with a weighting.
[00:03:44.160 --> 00:03:45.860]   That's how the model is trained,
[00:03:45.860 --> 00:03:49.640]   but there is as I said an asymmetry here in the sense that once we've done
[00:03:49.640 --> 00:03:55.360]   the pre-training phase we can let the generator fall away entirely and focus just on
[00:03:55.360 --> 00:04:00.680]   the discriminator as the model that we're gonna use for downstream fine-tuning tasks.
[00:04:00.680 --> 00:04:04.040]   And so you can see already that we've in a way
[00:04:04.040 --> 00:04:07.440]   solved the problem of having this weird mask token that comes from
[00:04:07.440 --> 00:04:12.000]   the pre-training phase because the discriminator never sees mask tokens.
[00:04:12.000 --> 00:04:16.960]   All it sees are these corrupted inputs and it learns to figure out which ones are
[00:04:16.960 --> 00:04:20.740]   the corrupted versions and which ones are the originals.
[00:04:20.740 --> 00:04:27.960]   Which is a different capability intuitively than the one we were imbuing the core BERT model with.
[00:04:27.960 --> 00:04:30.720]   Right? So for BERT it's kind of like the objective is to figure
[00:04:30.720 --> 00:04:33.720]   out what was missing from the surrounding context.
[00:04:33.720 --> 00:04:37.120]   And here it's like trying to figure out which of the words in
[00:04:37.120 --> 00:04:40.520]   the sequence doesn't belong and which of them do belong.
[00:04:40.520 --> 00:04:43.800]   A kind of more discriminating objective.
[00:04:43.920 --> 00:04:46.760]   So that is Electra.
[00:04:46.760 --> 00:04:50.000]   Before we dive into the experiments and stuff,
[00:04:50.000 --> 00:04:53.920]   questions about how that model works. Yeah.
[00:04:53.920 --> 00:04:56.880]   Yes, I'm wondering what the uses of this model are.
[00:04:56.880 --> 00:05:00.040]   So it tries to predict which ones have been replaced.
[00:05:00.040 --> 00:05:03.600]   Like do you- like what applications do you use Electra for?
[00:05:03.600 --> 00:05:06.560]   For pre-training. Yeah, that's what you got to get your head around.
[00:05:06.560 --> 00:05:08.360]   This is a great subtlety to bring out.
[00:05:08.360 --> 00:05:12.200]   So the discriminator is now gonna be our pre-trained artifact.
[00:05:12.200 --> 00:05:14.000]   So just the way you download BERT,
[00:05:14.000 --> 00:05:17.320]   and when you do that you're downloading some MLN trained object- uh,
[00:05:17.320 --> 00:05:21.360]   thing, now you download Electra which is the discriminator.
[00:05:21.360 --> 00:05:25.520]   And it's been trained to do this distinguishing thing,
[00:05:25.520 --> 00:05:27.600]   as opposed to the filling in the blank or
[00:05:27.600 --> 00:05:30.240]   continuing thing from the models we've seen so far.
[00:05:30.240 --> 00:05:33.500]   The eye-opening thing is that that contrastive objective
[00:05:33.500 --> 00:05:37.680]   leads to a really good pre-trained state for fine-tuning.
[00:05:37.680 --> 00:05:42.080]   And we might hope that it's doing it much more efficiently,
[00:05:42.080 --> 00:05:43.840]   but that's what we can dive into now here.
[00:05:43.840 --> 00:05:47.760]   So first, generator-discriminator relationships.
[00:05:47.760 --> 00:05:52.720]   They observe in the paper that when the generator and the discriminator are the same size,
[00:05:52.720 --> 00:05:55.560]   they can share all their transformer parameters,
[00:05:55.560 --> 00:05:57.280]   and more sharing is better.
[00:05:57.280 --> 00:05:58.900]   So already we have an efficiency gain,
[00:05:58.900 --> 00:06:02.560]   and that's kind of intriguing that one in the same set of weights would be playing
[00:06:02.560 --> 00:06:06.760]   the role of the MLN and the discriminator- generator-discriminator.
[00:06:06.760 --> 00:06:09.640]   But they observe that they guess the- get
[00:06:09.640 --> 00:06:15.400]   the best results from having a generator that is small compared to the discriminator.
[00:06:15.400 --> 00:06:17.360]   And this plot kind of teases that out.
[00:06:17.360 --> 00:06:19.880]   So we've got our glue score along the y-axis.
[00:06:19.880 --> 00:06:23.520]   This will just be a measure of system quality for them.
[00:06:23.520 --> 00:06:25.160]   And along the x-axis here,
[00:06:25.160 --> 00:06:27.080]   we have generator size.
[00:06:27.080 --> 00:06:32.040]   And what they mean by that is the dimensionality of the model in the BERT sense.
[00:06:32.040 --> 00:06:35.080]   So essentially the size of each one of the layers.
[00:06:35.080 --> 00:06:36.960]   And if we zoom in, for example,
[00:06:36.960 --> 00:06:38.840]   on this blue line, the best performing model,
[00:06:38.840 --> 00:06:43.960]   this is where we have 768 as our dimensionality for the discriminator,
[00:06:43.960 --> 00:06:47.520]   and 768 for the generator.
[00:06:47.520 --> 00:06:50.600]   As we make the generator smaller,
[00:06:50.600 --> 00:06:52.800]   all the way down to 256,
[00:06:52.800 --> 00:06:54.640]   performance improves.
[00:06:54.640 --> 00:07:00.000]   And that's what we mean when we say better to have a small generator and a large discriminator.
[00:07:00.000 --> 00:07:05.800]   And that kind of U-shaped pattern is repeated across all the different discriminator sizes.
[00:07:05.800 --> 00:07:09.080]   And that's probably an insight about how this model is working,
[00:07:09.080 --> 00:07:12.560]   which is the sense that you kind of want the generator to be a little bit of
[00:07:12.560 --> 00:07:17.760]   a noisy process so that the discriminator has some interesting work to do.
[00:07:17.760 --> 00:07:20.480]   And by making the discriminator more powerful,
[00:07:20.480 --> 00:07:24.000]   I guess you're creating that kind of opportunity.
[00:07:24.000 --> 00:07:29.400]   They also do a lot of work looking at efficiency because one of
[00:07:29.400 --> 00:07:33.560]   the side goals of the elector paper was to end up with models that were
[00:07:33.560 --> 00:07:38.520]   overall more efficient in terms of the pre-training compute and in terms of the model size.
[00:07:38.520 --> 00:07:40.200]   Here's another way to quantify that.
[00:07:40.200 --> 00:07:41.600]   Again, along the y-axis,
[00:07:41.600 --> 00:07:42.920]   we have the glue score,
[00:07:42.920 --> 00:07:45.800]   and along the x-axis now we have pre-trained flops,
[00:07:45.800 --> 00:07:49.040]   which you could just think of as a very low level measure of how
[00:07:49.040 --> 00:07:53.520]   much compute resources we need to do the pre-training part.
[00:07:53.520 --> 00:07:55.960]   The blue line at the top is Electra,
[00:07:55.960 --> 00:08:01.040]   and it's the best no matter what your computational budget is along the x-axis.
[00:08:01.040 --> 00:08:04.240]   They also explore adversarial Electra.
[00:08:04.240 --> 00:08:05.960]   This is very intuitive to me.
[00:08:05.960 --> 00:08:10.560]   That is a slightly different objective where the generator is trying to fool
[00:08:10.560 --> 00:08:16.840]   the discriminator by creating corrupted sequences that are hard for the generator to distinguish.
[00:08:16.840 --> 00:08:18.400]   That's a really good model,
[00:08:18.400 --> 00:08:21.120]   but it's less than the kind of more cooperative,
[00:08:21.120 --> 00:08:24.040]   um, joint objective that I showed you before.
[00:08:24.040 --> 00:08:25.840]   And then the green line is cool too.
[00:08:25.840 --> 00:08:29.760]   So the green line is where I start training with BERT,
[00:08:29.760 --> 00:08:34.640]   and that at a certain point I switch to having also the discriminator loss.
[00:08:34.640 --> 00:08:38.640]   And at that point, the BERT model is less good for any compute budget,
[00:08:38.640 --> 00:08:43.640]   whereas the Electra variant starts to do its Electra thing and get better and better.
[00:08:43.640 --> 00:08:46.200]   So a bunch of perspectives on Electra,
[00:08:46.200 --> 00:08:50.040]   all pointing to it being a good and efficient model.
[00:08:50.040 --> 00:08:53.760]   And then finally, they do a bunch more efficiency analyses.
[00:08:53.760 --> 00:08:57.160]   So this is that picture that I showed you of the full Electra model before,
[00:08:57.160 --> 00:09:00.480]   where I have the generator creating corrupted sequences,
[00:09:00.480 --> 00:09:04.640]   and then the discriminator doing its discriminating part there.
[00:09:04.640 --> 00:09:07.400]   You could also explore Electra 15 percent,
[00:09:07.400 --> 00:09:12.760]   and this is different from full Electra in the sense that on the right for default Electra,
[00:09:12.760 --> 00:09:15.240]   we make predictions about all of these tokens,
[00:09:15.240 --> 00:09:17.600]   whether they were original or replaced.
[00:09:17.600 --> 00:09:19.360]   For the 15 percent version,
[00:09:19.360 --> 00:09:22.720]   we kind of do a BERT-like thing where we're going to assume that the ones that weren't
[00:09:22.720 --> 00:09:26.920]   part of those corrupted chains there, the sampled part,
[00:09:26.920 --> 00:09:28.880]   are just not part of the objective.
[00:09:28.880 --> 00:09:31.040]   There'll be fewer tokens there.
[00:09:31.040 --> 00:09:36.200]   Replace MLM. This is an ablation where actually we drop away the Electra part,
[00:09:36.200 --> 00:09:38.800]   and we're just looking at the MLM here,
[00:09:38.800 --> 00:09:42.160]   and we're going to not have the mask token at all.
[00:09:42.160 --> 00:09:43.760]   Because remember for BERT,
[00:09:43.760 --> 00:09:45.680]   there are a few ways that they do this learning.
[00:09:45.680 --> 00:09:46.960]   They do the mask token,
[00:09:46.960 --> 00:09:50.620]   and they also do the one where they just replace it with some random tokens here,
[00:09:50.620 --> 00:09:55.200]   like cook to run, and then the model has to reproduce a new token.
[00:09:55.200 --> 00:09:57.440]   Oh, that should say cooked I guess,
[00:09:57.440 --> 00:10:00.080]   because it's pure BERT.
[00:10:00.080 --> 00:10:04.720]   This is a kind of look at what happens if we don't introduce
[00:10:04.720 --> 00:10:08.960]   that mask token addressing that question about whether that was disrupting learning.
[00:10:08.960 --> 00:10:10.840]   Then finally, all tokens MLM.
[00:10:10.840 --> 00:10:14.920]   This is again just a BERT-based objective over here where instead of turning off
[00:10:14.920 --> 00:10:18.760]   the objective for these ones here that weren't part of the corrupted sequence,
[00:10:18.760 --> 00:10:20.720]   we do learning from all of them.
[00:10:20.720 --> 00:10:23.040]   That's a way of saying for BERT,
[00:10:23.040 --> 00:10:25.120]   if we were making more efficient use of the data,
[00:10:25.120 --> 00:10:27.200]   could we learn more quickly?
[00:10:27.200 --> 00:10:30.720]   Here are the results. So Electra is at the top,
[00:10:30.720 --> 00:10:34.120]   but just below it is all tokens MLM.
[00:10:34.120 --> 00:10:36.400]   So that's just BERT learning from all of the tokens,
[00:10:36.400 --> 00:10:40.640]   and I think that does show that BERT could have been a little better if they had not
[00:10:40.640 --> 00:10:43.600]   turned off the objective for every single token that wasn't
[00:10:43.600 --> 00:10:47.400]   part of the masking or corruption for that learning process.
[00:10:47.400 --> 00:10:49.520]   Replace MLM is just below that,
[00:10:49.520 --> 00:10:51.340]   and that's where we don't have any mask token.
[00:10:51.340 --> 00:10:53.960]   So there's no fine-tuning pre-trained mismatch.
[00:10:53.960 --> 00:10:55.720]   Electra 15 below that,
[00:10:55.720 --> 00:10:56.920]   and then BERT at the bottom.
[00:10:56.920 --> 00:11:01.240]   So overall, you're seeing these ablations are showing us that every piece of
[00:11:01.240 --> 00:11:05.760]   Electra is contributing something to the overall performance of the model,
[00:11:05.760 --> 00:11:08.400]   and that's quite nice as well. Yeah.
[00:11:08.400 --> 00:11:11.960]   How is the efficiency of all tokens MLM?
[00:11:11.960 --> 00:11:13.840]   The efficiency?
[00:11:13.840 --> 00:11:14.640]   Yeah.
[00:11:14.640 --> 00:11:17.480]   Well, we're making more efficient use of the data because
[00:11:17.480 --> 00:11:20.000]   we're getting a learning signal from every token,
[00:11:20.000 --> 00:11:24.220]   and I guess that would be the important dimension because a funny thing about BERT where
[00:11:24.220 --> 00:11:28.980]   we turn off the learning for the ones that weren't masked or corrupted,
[00:11:28.980 --> 00:11:31.420]   is that we still have to do the work of computing them.
[00:11:31.420 --> 00:11:34.360]   It's just that then they don't become part of the objective,
[00:11:34.360 --> 00:11:36.640]   and here we're just kind of bringing that in.
[00:11:36.640 --> 00:11:39.420]   So for free or close to it.
[00:11:39.420 --> 00:11:44.540]   My question was, how is the glue score calculated?
[00:11:44.540 --> 00:11:45.580]   What does it represent?
[00:11:45.580 --> 00:11:48.940]   Some accuracy in language generation afterwards,
[00:11:48.940 --> 00:11:51.580]   or is it the classifier that's being scored?
[00:11:51.580 --> 00:11:56.220]   Oh, yeah. So glue is a big multitask classification benchmark.
[00:11:56.220 --> 00:11:58.540]   It's a pretty diverse set of tasks,
[00:11:58.540 --> 00:12:01.620]   maybe biased toward natural language inference.
[00:12:01.620 --> 00:12:06.100]   The reason they're using it in the paper is just that it has been,
[00:12:06.100 --> 00:12:11.020]   it has been adopted as a kind of general purpose measure of performance,
[00:12:11.020 --> 00:12:15.500]   and it's driven a lot of reasoning about what's good and what's bad in the field.
[00:12:17.060 --> 00:12:19.860]   Then here are some model releases.
[00:12:19.860 --> 00:12:22.580]   Base and large, kind of align with BERT,
[00:12:22.580 --> 00:12:24.460]   and then we have this small model here,
[00:12:24.460 --> 00:12:27.340]   and that was designed to be quickly trained on a single GPU,
[00:12:27.340 --> 00:12:28.940]   again, as a nod toward efficiency,
[00:12:28.940 --> 00:12:34.100]   and all three are really good models. Yeah.
[00:12:34.100 --> 00:12:37.420]   The things that we've observed at Electra,
[00:12:37.420 --> 00:12:42.140]   so like putting our text into some kind of representation space,
[00:12:42.140 --> 00:12:44.700]   that's better than BERT and for BERT.
[00:12:44.700 --> 00:12:50.060]   Or is it just like generally glue-wise, it's like that?
[00:12:50.060 --> 00:12:51.860]   Oh, I like that question.
[00:12:51.860 --> 00:12:55.980]   That could kind of queue up some analysis work that you could do for a final project.
[00:12:55.980 --> 00:12:59.540]   Because I think the insight behind your question is that a lot of the time,
[00:12:59.540 --> 00:13:03.740]   we reason about these models just based on their performance on something like glue.
[00:13:03.740 --> 00:13:05.520]   You could ask a deeper question,
[00:13:05.520 --> 00:13:07.940]   what are their internal representations like,
[00:13:07.940 --> 00:13:11.500]   and are there places where they're transformatively better or worse?
[00:13:11.500 --> 00:13:15.700]   That you could tie that back to the fact that the learning objective is different.
[00:13:15.700 --> 00:13:20.140]   We're doing this discrimination thing as opposed to filling in the blanks in some sense.
[00:13:20.140 --> 00:13:23.940]   Maybe there are some underlying differences. I love that.
[00:13:23.940 --> 00:13:32.500]   All right. Couple more topics here,
[00:13:32.500 --> 00:13:36.780]   just quickly because we're going to do more work with seek-to-seek models later.
[00:13:36.780 --> 00:13:38.740]   We're going to train some of our own from scratch,
[00:13:38.740 --> 00:13:40.420]   and you all might use some fine-tuned ones.
[00:13:40.420 --> 00:13:44.060]   So I thought it would be good to just get them on the table as well.
[00:13:44.060 --> 00:13:49.060]   Seek-to-seek, here's some natural tasks that fall into the seek-to-seek structure.
[00:13:49.060 --> 00:13:50.460]   Machine translation, right?
[00:13:50.460 --> 00:13:52.620]   Source language to target language.
[00:13:52.620 --> 00:13:56.720]   Summarization, big text to hopefully smaller text.
[00:13:56.720 --> 00:13:59.980]   Freeform question answering, where you go from a question and then maybe you're
[00:13:59.980 --> 00:14:03.640]   generating as opposed to just extracting an answer.
[00:14:03.640 --> 00:14:05.420]   Dialogue, of course.
[00:14:05.420 --> 00:14:07.980]   Semantic parsing, this is the one we're going to tackle,
[00:14:07.980 --> 00:14:12.740]   where you go from a sentence to some kind of logical form representing its meaning.
[00:14:12.740 --> 00:14:14.540]   Code generation, of course,
[00:14:14.540 --> 00:14:16.380]   that's similar, and on and on.
[00:14:16.380 --> 00:14:20.980]   I think there are lots of problems that are pretty naturally cast as seek-to-seek problems,
[00:14:20.980 --> 00:14:27.100]   especially when you've got different stuff on the input and the output side.
[00:14:27.100 --> 00:14:32.380]   Yeah, and the more general class of things we could be talking about would be encoder-decoder,
[00:14:32.380 --> 00:14:35.380]   where that's just more general in the sense that at that point,
[00:14:35.380 --> 00:14:38.980]   the input could be a picture you're encoding and the output a text.
[00:14:38.980 --> 00:14:42.500]   Picture-to-picture, video-to-picture, in principle,
[00:14:42.500 --> 00:14:44.260]   anything could be happening on the two sides.
[00:14:44.260 --> 00:14:45.740]   Seek-to-seek would, for me,
[00:14:45.740 --> 00:14:48.620]   just be the special case where we're looking at sequential data,
[00:14:48.620 --> 00:14:53.060]   typically language data or computer code or something.
[00:14:53.060 --> 00:14:56.980]   From the RNN era,
[00:14:56.980 --> 00:15:01.940]   this is just nice if you hearken back to that era, if you live through it.
[00:15:01.940 --> 00:15:03.820]   This is a paper from Tang Luong.
[00:15:03.820 --> 00:15:06.140]   Doing seek-to-seek on the left in
[00:15:06.140 --> 00:15:09.020]   the traditional way with a recurrent neural network, an RNN.
[00:15:09.020 --> 00:15:10.900]   Pretty simple, right? We've got A, B, C,
[00:15:10.900 --> 00:15:14.340]   D coming in, and then it transitions into maybe other parameters,
[00:15:14.340 --> 00:15:17.820]   and it's trying to produce this new sequence left to right coming out.
[00:15:17.820 --> 00:15:21.260]   Just to remind you, this is part of the journey the field went on.
[00:15:21.260 --> 00:15:23.540]   What Tang did, very influentially,
[00:15:23.540 --> 00:15:29.660]   is think a lot about how you would add attention layers in to that RNN.
[00:15:29.660 --> 00:15:31.100]   That's what you see depicted here.
[00:15:31.100 --> 00:15:36.340]   This is a schematic diagram hinting at the fact that we were moving into an era,
[00:15:36.340 --> 00:15:38.020]   the Vaswani et al era,
[00:15:38.020 --> 00:15:39.340]   attention is all you need,
[00:15:39.340 --> 00:15:43.380]   where basically that attention layer would do all the work.
[00:15:43.380 --> 00:15:46.300]   That's where we're at now.
[00:15:46.300 --> 00:15:49.580]   For seek-to-seek problems in general,
[00:15:49.580 --> 00:15:52.320]   this is a nice framework from the T5 paper.
[00:15:52.320 --> 00:15:54.800]   There are a few different ways you could think about them.
[00:15:54.800 --> 00:15:57.340]   On the left is the one I'm nudging you toward,
[00:15:57.340 --> 00:15:59.620]   where we have an encoder and a decoder.
[00:15:59.620 --> 00:16:02.100]   If we're talking about transformer models,
[00:16:02.100 --> 00:16:05.180]   what essentially that means is that when we do encoding,
[00:16:05.180 --> 00:16:07.140]   we can connect everything to everything else.
[00:16:07.140 --> 00:16:10.220]   You can think of that as a process of simultaneously
[00:16:10.220 --> 00:16:14.060]   encoding the entire input with all its connections.
[00:16:14.060 --> 00:16:16.780]   But as we do decoding for many of these problems,
[00:16:16.780 --> 00:16:19.700]   we need to do some sequential generation.
[00:16:19.700 --> 00:16:23.420]   The result of that is we can look back to the decoder,
[00:16:23.420 --> 00:16:25.180]   sorry, the encoder all we want,
[00:16:25.180 --> 00:16:27.860]   but for the decoder, we have to do that masking that I
[00:16:27.860 --> 00:16:30.900]   described with the autoregressive loss last time,
[00:16:30.900 --> 00:16:33.220]   so that we don't look into the future.
[00:16:33.220 --> 00:16:34.900]   But with that constraint,
[00:16:34.900 --> 00:16:37.340]   we can do this encoder-decoder thing with
[00:16:37.340 --> 00:16:40.740]   a decoding step be truly sequential decoding.
[00:16:40.740 --> 00:16:43.540]   But that's not the only way to think about these problems.
[00:16:43.540 --> 00:16:47.220]   In fact, I don't want to presuppose that for a sequence-to-sequence thing,
[00:16:47.220 --> 00:16:49.180]   you'll use a sequence-to-sequence model.
[00:16:49.180 --> 00:16:50.340]   You could, for example,
[00:16:50.340 --> 00:16:52.260]   use a language model and the way you might do
[00:16:52.260 --> 00:16:55.660]   that is to say I'm just going to encode everything left to right.
[00:16:55.660 --> 00:16:57.620]   That's the version in the middle.
[00:16:57.620 --> 00:17:01.540]   Then a kind of compromise position would be that you would take your language model,
[00:17:01.540 --> 00:17:03.060]   which might be autoregressive,
[00:17:03.060 --> 00:17:06.620]   but simultaneously encode the entire input,
[00:17:06.620 --> 00:17:09.820]   and then begin your process of decoding without
[00:17:09.820 --> 00:17:13.980]   explicitly having an encoder part and a decoder part.
[00:17:13.980 --> 00:17:16.740]   I think all of them are on the table and people are solving
[00:17:16.740 --> 00:17:21.300]   seek-to-seek tasks right now using all of these variants.
[00:17:21.300 --> 00:17:25.180]   T5, I'm going to show you two.
[00:17:25.180 --> 00:17:28.820]   There are lots out there but these are very prominent ones that you might download.
[00:17:28.820 --> 00:17:30.700]   So T5, this is a wonderful,
[00:17:30.700 --> 00:17:32.420]   very rich paper that does a lot of
[00:17:32.420 --> 00:17:35.420]   exploration of which of these architectures are effective.
[00:17:35.420 --> 00:17:38.460]   T5 ended up on an encoder-decoder variant,
[00:17:38.460 --> 00:17:42.860]   and what they did is an impressive amount of multitask training,
[00:17:42.860 --> 00:17:45.700]   unsupervised and supervised objectives.
[00:17:45.700 --> 00:17:50.620]   An innovative thing that they did is have these task prefixes,
[00:17:50.620 --> 00:17:53.940]   like translate English to German and then an English sentence,
[00:17:53.940 --> 00:17:55.900]   or this is a COLA sentence,
[00:17:55.900 --> 00:17:57.660]   that's just a data set people use,
[00:17:57.660 --> 00:18:00.020]   or an STSB sentence,
[00:18:00.020 --> 00:18:05.500]   and that's the model's cue to take that input and condition it very informally on
[00:18:05.500 --> 00:18:10.180]   that task so that the output behavior is the expected behavior.
[00:18:10.180 --> 00:18:13.860]   There are lots of T5 models that you can download.
[00:18:13.860 --> 00:18:15.860]   This is nice for development because some of them are
[00:18:15.860 --> 00:18:18.540]   very small and some of them are very, very large.
[00:18:18.540 --> 00:18:21.460]   More recently, there are these FLAN models which took
[00:18:21.460 --> 00:18:24.460]   a T5 architecture and did a lot of reinforcement learning with
[00:18:24.460 --> 00:18:27.060]   human feedback to even further
[00:18:27.060 --> 00:18:30.660]   specialize them to different tasks in interesting ways.
[00:18:30.660 --> 00:18:35.900]   So that's T5, and then the other one that you often hear about that's very effective is BART.
[00:18:35.900 --> 00:18:38.740]   BART is interestingly different yet again.
[00:18:38.740 --> 00:18:41.700]   So BART is an encoder-decoder framework,
[00:18:41.700 --> 00:18:45.420]   and it's really got a BERT style thing on the left,
[00:18:45.420 --> 00:18:47.740]   and then a GPT style thing on the right,
[00:18:47.740 --> 00:18:50.100]   that is, joint encoding of everything,
[00:18:50.100 --> 00:18:53.940]   and then that autoregressive part if you want to do sequential generation.
[00:18:53.940 --> 00:18:57.500]   The innovative thing about BART is that the training
[00:18:57.500 --> 00:19:01.220]   involves a lot of corrupting of that input sequence.
[00:19:01.220 --> 00:19:04.220]   They tried to like do text infilling of pieces,
[00:19:04.220 --> 00:19:06.020]   they shuffled sentences around,
[00:19:06.020 --> 00:19:07.340]   they did some masking,
[00:19:07.340 --> 00:19:08.980]   and they did some token deletion,
[00:19:08.980 --> 00:19:10.360]   rotating of documents,
[00:19:10.360 --> 00:19:12.520]   all of this corrupting of the input,
[00:19:12.520 --> 00:19:15.100]   and then the model's objective is to learn how to
[00:19:15.100 --> 00:19:18.100]   essentially uncorrupt what it got as the input.
[00:19:18.100 --> 00:19:22.260]   They found that the joint process of this text infilling thing and
[00:19:22.260 --> 00:19:26.220]   sentence shuffling was the most effective for training BART.
[00:19:26.220 --> 00:19:28.220]   So that was for the pre-training phase,
[00:19:28.220 --> 00:19:30.820]   and when then you- then when you fine-tune with BART,
[00:19:30.820 --> 00:19:32.460]   for classification tasks,
[00:19:32.460 --> 00:19:35.600]   you just put in two uncorrupted copies of your sentence,
[00:19:35.600 --> 00:19:39.140]   and then you could fit your task specific labels on like
[00:19:39.140 --> 00:19:42.420]   the class token or the final token of the GPT output,
[00:19:42.420 --> 00:19:46.380]   and for seek-to-seek, you just use it as a standard encoder-decoder.
[00:19:46.380 --> 00:19:50.580]   And again, the intuition is that the pre-training phase which did all this corruption,
[00:19:50.580 --> 00:19:53.980]   has helped the model learn what sequences are like.
[00:19:53.980 --> 00:19:58.700]   And that blends together for me a lot of the intuitions we've seen from MLM,
[00:19:58.700 --> 00:20:03.460]   and from what we just talked about with Electra. Yeah.
[00:20:03.460 --> 00:20:05.300]   Um, kind of a question that I asked last week.
[00:20:05.300 --> 00:20:09.180]   Have any of these models worked with like spelling mistakes?
