
[00:00:00.160 --> 00:00:05.440]   welcome to huberman lab essentials where we revisit past episodes for the most potent and
[00:13:49.520 --> 00:13:56.960]   and then cools the core and in theory by lowering body temperature would allow the person or the athlete
[00:13:56.960 --> 00:14:04.560]   to do more work and indeed that's what they saw the actual data the specific data showed that subjects could
[00:14:04.560 --> 00:14:09.600]   do at least the subjects they worked with on their first day with no cooling about a hundred pull-ups
[00:14:09.600 --> 00:14:18.640]   the time frame that they had then they came back and did the cooling they did it the very next day
[00:14:18.640 --> 00:14:24.880]   which if you've ever trained a muscle the very next day typically you wouldn't do as well in its training
[00:14:24.880 --> 00:14:29.280]   if it took any damage from the previous sessions or you at least do as well but you probably wouldn't
[00:14:29.280 --> 00:14:34.400]   do what they then observed which was they started cooling after every other set the person would just
[00:14:34.400 --> 00:14:40.240]   hold the cold tube cool down the body after every other set rest everything else was kept the same
[00:14:40.240 --> 00:14:48.240]   and they found that they went to 180 pull-ups which is incredible it's a near doubling now you may be
[00:14:48.240 --> 00:14:56.720]   asking what about endurance with endurance similar increases have been shown and the way that they would
[00:14:56.720 --> 00:15:02.880]   do those tests are a little bit different and they also point to a really important mechanism of why we stop
[00:15:02.880 --> 00:15:09.200]   doing work at all when we perceive that we are putting in too much effort so it gets right to the heart of
[00:15:09.200 --> 00:15:15.600]   the relationship between temperature and muscles and your willpower those are directly related your
[00:15:15.600 --> 00:15:21.360]   body heat and your willpower are linked in a physiological way okay so let's talk about willpower
[00:15:21.360 --> 00:15:28.560]   and heat and how heat shuts you down in other words if you are cool if your body temperature is in a
[00:15:28.560 --> 00:15:34.160]   particular range not only can you go further but you will go further if you want to
[00:15:34.160 --> 00:15:40.960]   said differently if you heat up too much you will stop or you will die
[00:15:40.960 --> 00:15:46.480]   but there's a reflex that relates the body to the brain
[00:15:46.480 --> 00:15:51.280]   and the brain to the body that shuts off our effort when we get too hot
[00:15:52.000 --> 00:15:57.200]   so what craig and his colleagues and now others have done is to do a test in the laboratory where
[00:15:57.200 --> 00:16:01.920]   rather than ask people to run outside until they absolutely don't want to run anymore
[00:16:01.920 --> 00:16:07.920]   you put them on a treadmill and you set the speed okay so they have to keep up with the treadmill and at
[00:16:07.920 --> 00:16:18.000]   some point they quit and you take groups and you do those in different temperature environments so some
[00:16:18.000 --> 00:16:24.240]   people are running in a nice chilly laboratory they get their heart rate up so they get into a steady state
[00:16:24.240 --> 00:16:28.960]   cadence or rhythm and their heart is beating it more or less a steady state people will continue
[00:16:30.000 --> 00:16:35.840]   at that temperature and at that heart rate unless you start turning up the temperature in the room
[00:16:35.840 --> 00:16:42.400]   and at some point they will stop and they'll stop much earlier when it gets hot because of something
[00:16:42.400 --> 00:16:48.960]   called cardiac drift okay so let's say i'm running and i'm running at a steady cadence on this treadmill
[00:16:48.960 --> 00:16:53.520]   and my heart rate is 85 beats per minute or 100 beats per minute doesn't matter let's say 100 just for
[00:16:53.520 --> 00:17:00.720]   sake of example well just making the room hotter is going to increase my heart rate further even though
[00:17:00.720 --> 00:17:09.200]   i'm at the same output and the brain does a computation it somehow figures out that there's a heat component
[00:17:09.200 --> 00:17:14.320]   that's increasing heart rate and there's an effort component from running that's driving heart rate
[00:17:14.320 --> 00:17:20.480]   and if the heat component and the and the heart rate output from the effort get to hit a certain threshold
[00:17:21.040 --> 00:17:29.360]   i stop increasing temperature increases the rate of quitting in part not entirely but in part because
[00:17:29.360 --> 00:17:36.640]   of this thing called cardiac drift heat increases heart rate effort increases heart rate at a steady
[00:17:36.640 --> 00:17:41.440]   effort you'll have a steady heart rate if you increase the heat in the environment that you're
[00:17:41.440 --> 00:17:48.240]   engaging in that steady heart rate your heart rate will now go up due to cardiac drift and you will quit
[00:17:48.240 --> 00:17:54.880]   okay so heller and colleagues have done experiments where they do palmer cooling under these environments
[00:17:54.880 --> 00:18:02.080]   and that's wonderful because not only does it enable people to go further and faster
[00:18:02.080 --> 00:18:07.920]   for much longer that's been shown statistically significant every time
[00:18:07.920 --> 00:18:15.200]   but it also protects the brain and body against hyperthermia overheating coma nerve injury nerve death
[00:18:15.760 --> 00:18:22.400]   and actual death okay so you can see why this is such a valuable tool so how can you start to incorporate
[00:18:22.400 --> 00:18:30.240]   this well first of all i always get asked how cold should the water be should it be ice water should it be
[00:18:30.240 --> 00:18:38.080]   very cold water the answer is no if you want to experience some of this effect without a device
[00:18:38.080 --> 00:18:43.360]   one thing you could do would be for instance to do i don't know i'll use the the the gym or the treadmill
[00:18:43.360 --> 00:18:49.200]   as an example you could do your maximum number of pull-ups stop and then you could actually put your
[00:18:49.200 --> 00:19:00.800]   hands into or on the surface of a sink that is presumably stopped up with cool water so not ice water not
[00:19:00.800 --> 00:19:08.800]   freezing cold but cool water slightly cooler than body temperature before you started training would be a
[00:19:08.800 --> 00:19:15.440]   good place to start you do that for 10 to 30 seconds then you could go back and do your next set you
[00:19:15.440 --> 00:19:19.760]   would repeat the cooling you would want to extend the amount of cooling somewhat so you might want to do
[00:19:19.760 --> 00:19:24.560]   that for 30 seconds to a minute this is not going to be perfect you're going to have to play with how
[00:19:24.560 --> 00:19:31.200]   cold to make it in order to get the optimal effect but you ought to see an effect nonetheless the same is
[00:19:31.200 --> 00:19:37.040]   true if you're running and you're fatiguing obviously you don't want to become hyperthermic cooling the
[00:19:37.040 --> 00:19:42.880]   hands or the bottoms of your feet or the face would be the ideal way to dump heat in order to be able to
[00:19:42.880 --> 00:19:49.360]   generate more output now the face is something that we haven't talked a lot about everything i've told
[00:19:49.360 --> 00:19:54.560]   you up until now also says that if you are somebody who tends to get cold when you are outside say in
[00:19:54.560 --> 00:20:00.560]   the winter or even in the fall you tend to run cold warming your face is going to be the most important
[00:20:00.560 --> 00:20:06.480]   thing that you can do now you understand the principle and the locations at which to deliver heat and cold
[00:20:06.480 --> 00:20:12.640]   so let's say that you are out for a run and you want to incorporate this cooling mechanism i talked to
[00:20:12.640 --> 00:20:17.520]   craig about this i said what would be the kind of uh uh poor person's approach to this one he said well
[00:20:17.520 --> 00:20:25.040]   you you could take a uh a frozen uh juice can if you have one of those or a very cold can of soda and
[00:20:25.040 --> 00:20:31.040]   you would want to pass it back and forth between your two hands the reason the passing back and forth is
[00:20:31.040 --> 00:20:37.920]   really important is because you again you don't want to be so cold that you constrict those venous portals
[00:20:37.920 --> 00:20:44.080]   that will allow cold to go into the body now there are certainly people that are working on
[00:20:44.080 --> 00:20:50.720]   bike handles and that can actually cool the hands here's what you don't want to do you don't want to
[00:20:50.720 --> 00:20:57.440]   cool the core if you want to cool the body right if it's a very hot day and you're going to train
[00:20:57.440 --> 00:21:03.680]   getting into an ice bath first sure it will it will cool you down but that's not going to be
[00:21:03.680 --> 00:21:09.600]   as effective as cooling the palms the bottoms of the feet and the face the one that i've tried
[00:21:09.600 --> 00:21:15.760]   because in anticipation of this episode was the dips where then i would cool my hands i actually
[00:21:15.760 --> 00:21:19.440]   decided to cool the bottoms of my feet as well because it just feels good and it's particularly hot out
[00:21:19.440 --> 00:21:25.840]   lately so no shoes or socks on put my feet into uh the bottoms of my feet just kind of hovering
[00:21:25.840 --> 00:21:31.360]   about a centimeter or two below the surface of a bucket of water that was just slightly it felt cool
[00:21:31.360 --> 00:21:36.960]   slightly cooler than um body temperature um or so it just basically what came out of the spigot after i
[00:21:36.960 --> 00:21:43.440]   let it run for a little bit and indeed i saw a 60 increase in the number of dips i can do in a single
[00:21:43.440 --> 00:21:49.040]   session so it's actually a quite significant effect and you don't have to be perfectly precise in order to do it
[00:21:49.280 --> 00:21:54.560]   so up until now we've been talking about how to use cold during a workout in order to improve
[00:21:54.560 --> 00:22:00.640]   performance now i want to talk about the use of temperature in particular cold to improve the speed
[00:22:00.640 --> 00:22:08.880]   and the depth of recovery recovery is obviously vital right during a weight training session or during
[00:22:08.880 --> 00:22:14.080]   an endurance session that's just the stimulus for getting better the next time and if you don't recover
[00:22:14.080 --> 00:22:21.040]   you not only won't get better but you'll get worse there's a lot of interest in the use of cold in
[00:22:21.040 --> 00:22:27.600]   order to improve recovery in the short term we see this and probably the best example of this would be
[00:22:27.600 --> 00:22:35.600]   fighters in combat sports between rounds or athletes during uh in between quarters or half time
[00:22:35.600 --> 00:22:41.360]   that's one form of recovery the ability to go back into the sport very soon on an order of minutes
[00:22:41.360 --> 00:22:46.480]   anywhere from like one minute in between rounds in typical combat sports or several minutes at a
[00:22:46.480 --> 00:22:52.960]   half time etc and then of course there's recovery that occurs from session to session so outside of
[00:22:52.960 --> 00:23:00.800]   the game or the match or the or the exercise um session and many people are now relying on things
[00:23:00.800 --> 00:23:07.280]   like cryotherapy which requires a lot of expensive equipment big you know um liquid nitrogen driven uh
[00:23:07.280 --> 00:23:12.000]   machine that those aren't so common for most people are accessible for most people but a lot of people
[00:23:12.000 --> 00:23:18.400]   are using cold baths or ice baths or cold showers and again that's not going to optimize recovery in
[00:23:18.400 --> 00:23:24.720]   fact it's going to have an additional effect that is going to potentially block the training stimulus when
[00:23:24.720 --> 00:23:30.880]   you get into an ice bath you are indeed blocking some of the inflammation that occurs because of the training
[00:23:30.880 --> 00:23:37.600]   you get into the training session but in doing so you also are blocking pathways such as mTOR mammalian
[00:23:37.600 --> 00:23:44.400]   target a rapamycin which are involved in the adaptation for a muscle to become stronger or bigger put simply
[00:23:44.400 --> 00:23:52.480]   covering the body in cold or immersing the body in cold after training can short circuit or prevent the
[00:23:52.480 --> 00:23:58.240]   hypertrophy or muscle growth response it has other effects that can be positive right it can induce
[00:23:58.240 --> 00:24:05.280]   thermogenesis etc it can reduce inflammation but it can prevent some of the positive effects of exercise
[00:24:05.280 --> 00:24:11.120]   now it hasn't been examined so much for endurance work but let's say you come back from a round of
[00:24:11.120 --> 00:24:19.280]   endurance work a run or a bike or a swim getting into a cool bath or cooling the the palms the bombs of
[00:24:19.280 --> 00:24:25.520]   the feet of the face in my opinion based on the science would be better than completely immersing the body
[00:24:25.520 --> 00:24:33.360]   in the ice bath if you can cool the body back to its resting temperature for a and by resting temperature
[00:24:33.360 --> 00:24:39.600]   i mean within the range that you would see at any time of waking day but not in exercise if you can do
[00:24:39.600 --> 00:24:45.440]   that the sooner you can do that after a workout the sooner that the muscle will recover that the tendons
[00:24:45.440 --> 00:24:50.640]   will recover and that the person you can get back into more endurance training more weight training
[00:24:50.640 --> 00:24:58.160]   etc so cold actually can be a very powerful tool for recovery but to maximize return to baseline levels
[00:24:58.160 --> 00:25:03.680]   of temperature just simply cooling the entire body by jumping into an ice bath or a cold shower is not the
[00:25:03.680 --> 00:25:09.360]   best way to go you really want to rely on one of these three glabrous skin portals of the palms the bottoms of
[00:25:09.360 --> 00:25:15.360]   the feet of the feet or the face one of the more commonly used compounds that's sold over the counter
[00:25:15.360 --> 00:25:21.440]   are non-steroid anti-inflammatories so things like tylenol and advil and other trade names and naproxen
[00:25:21.440 --> 00:25:29.520]   sodium things of that sort almost all of those drop body temperature to some extent and that's why
[00:25:29.520 --> 00:25:34.720]   it's often recommended that people take them when they have a fever now a number of athletes especially
[00:25:34.720 --> 00:25:40.800]   endurance athletes will rely on these non-steroid anti-inflammatory drugs specifically to keep body
[00:25:40.800 --> 00:25:48.080]   temperature lower during long bouts of exertion this is a little bit of a pharmacologic version of
[00:25:48.080 --> 00:25:56.240]   dumping heat instead of using palmer cooling or you know face face ice pack cooling they're relying on
[00:25:56.240 --> 00:26:02.800]   pharmacology to drop their core body temperature that has certain obvious advantages lower temperature allows
[00:26:02.800 --> 00:26:09.680]   you to go further harder with more intensity however they do have effects on the liver and they can
[00:26:09.680 --> 00:26:14.320]   also have effects on the kidneys and during long bouts of exercise or even short bouts of exercise
[00:26:14.320 --> 00:26:20.800]   water balance and salt balance are also going to be vital to maintain in order to perform well
[00:26:20.800 --> 00:26:26.880]   generate the best muscle contraction stay mentally alert and also to stay alive you probably want to think
[00:26:26.880 --> 00:26:32.240]   carefully about whether or not you want to use non-steroid anti-inflammatories before any training
[00:26:32.240 --> 00:26:38.400]   session just for the performance augmentation effect unless you're working carefully with a coach
[00:26:38.400 --> 00:26:45.760]   i personally am more a fan of cooling of the palms cooling of the of the bottoms of my feet right by placing
[00:26:45.760 --> 00:26:52.400]   them into a bucket or uh into a cool bath after after training or cooling the face after training or
[00:26:52.400 --> 00:26:56.960]   sometimes even during training it just seems like there's more of a margin to play with the variables
[00:26:56.960 --> 00:27:03.280]   to heat up the water or cool it down a little bit um to include one palm or the other palm
[00:27:03.280 --> 00:27:09.120]   there's just all sorts of uh good parameter space as we call it in science that you can play with and work
[00:27:09.120 --> 00:27:14.880]   with to find what works for you as whereas when you pop a pill sure you can adjust the dose and you can
[00:27:14.880 --> 00:27:20.400]   adjust it next time but once it's in you it's in you and there's going to be some period of time before you can
[00:27:20.400 --> 00:27:24.880]   modulate it so it doesn't give you a lot of opportunity to play scientist which is what i like
[00:27:24.880 --> 00:27:29.840]   to do because what i'm always trying to do is trying to dial in the best protocols possible
[00:27:29.840 --> 00:27:34.000]   based on the mechanisms and data and if you can do that moment to moment that places you in a position
[00:27:34.000 --> 00:27:40.400]   of power once again we've covered a lot of material by now after seeing this episode or listening to this
[00:27:40.400 --> 00:27:46.880]   episode you should understand a lot about how your body heats and cools itself and the value of that for
[00:27:46.880 --> 00:27:52.000]   physical performance i hope you'll also appreciate that you have tools at your disposal
[00:27:52.000 --> 00:27:58.080]   to vastly improve your physical performance i've given you specific protocols and some direction
[00:27:58.080 --> 00:28:03.680]   but i've also left it slightly vague because as i mentioned earlier i don't know all the environmental
[00:28:03.680 --> 00:28:09.120]   conditions i don't know how hot your yoga studio is or how cool your gym happens to be or your body
[00:28:09.120 --> 00:28:14.880]   temperature or time of day remember your temperature will vary according to time of day going forward we're going to
[00:28:14.880 --> 00:28:20.720]   talk more about temperature and other ways to improve physical performance and skill learning we're going
[00:28:20.720 --> 00:28:28.480]   to talk about specific ways to accelerate fat loss to improve muscle growth to improve suppleness and
[00:28:28.480 --> 00:28:36.400]   flexibility these approaches and mechanisms are anchored deeply in neuroscience and physiology and the
[00:28:36.400 --> 00:28:43.280]   relationship between our peripheral organs which include our skin and our brain and all the organs in between
[00:28:43.280 --> 00:28:48.960]   and last but not least i want to thank you for your time and attention i realize this is a lot of information
[00:28:48.960 --> 00:28:53.120]   i hope you'll find some of it to be actionable and useful for you and for people that you know
[00:28:53.120 --> 00:29:00.240]   and as always thank you for your interest in science

