
[00:00:00.000 --> 00:00:05.480]   The Hartford Small Business Insurance knows that running a small business is a big-time commitment.
[00:02:41.680 --> 00:02:45.680]   This is equivalent in many ways to a master's degree.
[00:02:45.680 --> 00:02:48.680]   I think it was eight, nine classes. Nine or 11 classes.
[00:02:48.680 --> 00:02:56.680]   Anyway, a bunch of classes, all of which have their own textbook and all of which are basically associated with some aspect of life insurance.
[00:02:56.680 --> 00:03:03.680]   So it might seem exhausting to you, the idea that it's taking Joshua 10 or 15 shows to work through this.
[00:03:03.680 --> 00:03:13.680]   But trust me, I'm giving you the briefest, most cursory of overviews of the subject and digging on exactly the topics that are applicable to consumers.
[00:03:13.680 --> 00:03:16.680]   Now you don't actually need 15 topics.
[00:03:16.680 --> 00:03:19.680]   You can usually – 15 shows.
[00:03:19.680 --> 00:03:22.680]   You can usually get probably what you need from a little bit less.
[00:03:22.680 --> 00:03:31.680]   But for those of you who've always wondered what is going on with these crazy debates and why do I see so many people that are so opinionated on every side of the issue?
[00:03:31.680 --> 00:03:36.680]   And if you were like me where I spent a lot of time wondering why, this is designed to help you.
[00:03:36.680 --> 00:03:42.680]   Radical personal finance does not appeal to people who are surface level interested.
[00:03:42.680 --> 00:03:47.680]   Rather it's – and it's not also – it doesn't appeal to those of you who are financial planners who are pretty hardcore interested.
[00:03:47.680 --> 00:03:51.680]   I'm working in that middle segment and that's what this show is intended to do.
[00:03:51.680 --> 00:03:56.680]   So today's show is going to lay out for you how whole life insurance products work.
[00:03:56.680 --> 00:04:02.680]   We're not going to touch at all on the comparison of whole life insurance versus term.
[00:04:02.680 --> 00:04:11.680]   Specifically we're not going to do that because whole life insurance – one way of describing a whole life insurance policy is that it's level term life insurance until age 100.
[00:04:11.680 --> 00:04:13.680]   That's basically what it is.
[00:04:13.680 --> 00:04:15.680]   And so we'll describe that.
[00:04:15.680 --> 00:04:18.680]   But I'm going to primarily describe the features of it.
[00:04:18.680 --> 00:04:47.680]   And then you'll be able to look at your own plan and in the same way that every different type of financial tool has different pros and different cons, every college degree has different benefits, whether or not you invest in a hotel or the frozen yogurt franchise next door to you or in your buddy who's starting a boat repair business or you start flipping cars or you start buying diamonds or you invest in gold coins or you buy life insurance policies or you're flipping viaticals.
[00:04:47.680 --> 00:04:51.680]   Or you're buying and selling viatical payments or anything.
[00:04:51.680 --> 00:04:54.680]   These all have different unique attributes.
[00:04:54.680 --> 00:04:58.680]   So that's what we're focused on today is describing the attributes.
[00:04:58.680 --> 00:05:01.680]   I think this will be a good entry place for you.
[00:05:01.680 --> 00:05:18.680]   Once we get through whole life insurance, universal life insurance, and we'll touch briefly on endowment contracts, then I'll lay out for you the whole debate about whole life insurance and describe to you how you can structure a policy if you're structuring it based upon cash accumulation, which is what usually the sales pitch is that most people are focusing on.
[00:05:18.680 --> 00:05:21.680]   I want to buy this so I get tax-deferred growth on cash values.
[00:05:21.680 --> 00:05:23.680]   I'll teach you how to structure the policy for that.
[00:05:23.680 --> 00:05:31.680]   Or if you're using it and structuring the policy for death benefit, then I'll teach you how to structure the policy most advantageously for that.
[00:05:31.680 --> 00:05:38.680]   But you need to understand the fundamental constraints of the contracts and so that's where we are today talking about whole life insurance.
[00:05:38.680 --> 00:05:54.680]   The fundamental difference between whole life insurance and term life insurance, which we recently covered, is that whole life insurance makes sure that there's a payment when death happens regardless of when that is.
[00:05:54.680 --> 00:06:08.680]   The meaning of whole life insurance is specifically and most importantly the concept that the insurance is in force for your whole life.
[00:06:08.680 --> 00:06:14.680]   This does not refer to how long you're going to be paying premiums for the contract.
[00:06:14.680 --> 00:06:24.680]   It does refer to how long the contract is going to be in force and this is the fundamental distinction that you always have to consider.
[00:06:24.680 --> 00:06:35.680]   Term life insurance is always in force for a specific term, an amount of time that is established at the inception of the policy.
[00:06:35.680 --> 00:06:39.680]   It will not continue beyond that amount of time.
[00:06:39.680 --> 00:06:44.680]   If you die during that amount of time, the contract will pay.
[00:06:44.680 --> 00:06:48.680]   If you live, the insurance company will keep the premiums.
[00:06:48.680 --> 00:06:54.680]   Whole life insurance, however, is in force for your whole life.
[00:06:54.680 --> 00:07:04.680]   So whenever you die, as long as the contract's in force and you pay the premiums, whenever you die, the policy will pay out.
[00:07:04.680 --> 00:07:14.680]   This is incredibly important because it is the fundamental defining characteristics of insurance policies and yet most people forget about it.
[00:07:14.680 --> 00:07:24.680]   If you need a policy that's a contingency policy for a temporary need, a temporary contingency, you buy term insurance.
[00:07:24.680 --> 00:07:32.680]   If you need a policy that's a certainty policy, I want this policy in force when I die, you buy a whole life insurance policy.
[00:07:32.680 --> 00:07:35.680]   That's what you need to know.
[00:07:35.680 --> 00:07:43.680]   Now, there are other situations in which, as I talked about in the term life insurance show, maybe you are not sure.
[00:07:43.680 --> 00:07:54.680]   Well, in that case, you're still buying a contingency policy, a term policy, but you're buying yourself the additional contingency, maybe something with a conversion period, where you can switch to whole life insurance.
[00:07:54.680 --> 00:07:57.680]   Or maybe you don't have the money yet or maybe you're not sure.
[00:07:57.680 --> 00:08:06.680]   But the key fundamental distinction is if you die versus when you die.
[00:08:06.680 --> 00:08:10.680]   This distinction can be exploited as an advantage either way.
[00:08:10.680 --> 00:08:12.680]   That's up to you.
[00:08:12.680 --> 00:08:14.680]   It's just if versus when.
[00:08:14.680 --> 00:08:30.680]   Now, as far as dividing whole life insurance up, we can make two broad categories, and these categories are not based upon how long the insurance contract is in force, but rather these categories are based upon how long you pay premiums.
[00:08:30.680 --> 00:08:37.680]   Category one in the insurance marketplace is referred to as ordinary life insurance.
[00:08:37.680 --> 00:08:54.680]   This is not a consumer-friendly term, so most of you will not see it, although if some of you own whole life insurance contracts, if you read them and you look at the name of the policy that will be written on the cover or on the front page, many of you will actually see this because historically the policies have been called that.
[00:08:54.680 --> 00:08:59.680]   Today, they're fancier names for them, but historically many of them are called ordinary life insurance.
[00:08:59.680 --> 00:09:02.680]   So the first category is ordinary life insurance.
[00:09:02.680 --> 00:09:07.680]   The second category is limited payment life insurance contracts.
[00:09:07.680 --> 00:09:09.680]   So ordinary life insurance and limited payment.
[00:09:09.680 --> 00:09:20.680]   The key concept here is that an ordinary life insurance policy is calculated based upon the idea of the premiums being paid until death.
[00:09:20.680 --> 00:09:26.680]   This is the fundamental assumption of an ordinary life insurance policy.
[00:09:26.680 --> 00:09:32.680]   The policy will continue until death and the premiums will continue until death.
[00:09:32.680 --> 00:09:45.680]   This doesn't necessarily mean that you'll have to pay the premiums until death, which is what I'll cover in just a moment, but it does mean the premiums are calculated as though you're going to pay the premiums until death.
[00:09:45.680 --> 00:09:55.680]   This is in contrast to the limited payment policies where from the inception of the policy, the premiums are calculated on a different basis.
[00:09:55.680 --> 00:09:59.680]   They're calculated on a shorter time period of paying premiums.
[00:09:59.680 --> 00:10:12.680]   It should thereby be intuitive to you that the premium payments for a limited payment policy will be higher than the premium payments for an ordinary life insurance policy.
[00:10:12.680 --> 00:10:21.680]   In the same way that you buy a house, you get a mortgage, if you stretch those payments over 30 years, those payments are lower than if you stretch them over 15 years.
[00:10:21.680 --> 00:10:24.680]   That's the same example that's applicable to life insurance.
[00:10:24.680 --> 00:10:41.680]   If you are 30 years old and you're buying a policy and you expect it to last until age 100, your payments over 70 years for that policy are going to be less than – excuse me, your annual payments on an annual basis are going to be less than if you're paying that policy over the course of 30 years.
[00:10:41.680 --> 00:10:57.680]   So if you need a whole life insurance policy that's going to be enforced for your entire lifetime, the lowest annual payment will always be an ordinary life insurance contract because the payments are stretched over the maximum amount of time.
[00:10:57.680 --> 00:11:12.680]   Like I said in the intro, one way that you could describe a whole life insurance policy, an ordinary whole life insurance policy would be as a level premium term life insurance policy to age 100 because that's essentially what it is.
[00:11:12.680 --> 00:11:20.680]   You have a policy. It's enforced until age 100 and your premiums are level and it's going to pay out when you die, anytime between now and age 100.
[00:11:20.680 --> 00:11:24.680]   This is an incredibly valuable feature of life insurance.
[00:11:24.680 --> 00:11:43.680]   Most people will want or need to have some amount of insurance enforced for their entire lifetime and the best bang for the buck when comparing annual premiums to permanent insurance will always be in terms of ordinary life insurance policies.
[00:11:43.680 --> 00:11:49.680]   Most people will not need millions and millions and millions of dollars worth of insurance enforced until death.
[00:11:49.680 --> 00:11:58.680]   I have much larger financial responsibilities upon me at this phase of my life than I anticipate having at – when I'm 85 years old.
[00:11:58.680 --> 00:12:04.680]   But most people will want or need to have some amount of life insurance enforced for their whole life.
[00:12:04.680 --> 00:12:10.680]   If they do, you'll want – or if you do, you'll want to consider having a whole life insurance policy.
[00:12:10.680 --> 00:12:24.680]   One thing while talking about the cost of premiums that you do need to be aware of is that all life insurance policies are actually calculated based upon – all whole life insurance policies are calculated based upon the numbers from ordinary life insurance policies.
[00:12:24.680 --> 00:12:36.680]   From the perspective of the insurance company, they're working from a table that says here is the statistical probability of a person matching these characteristics dying at any specific age.
[00:12:36.680 --> 00:12:47.680]   Whether or not you are choosing an ordinary life insurance policy or a limited payment life insurance policy, the policy internally is going to have the same expenses.
[00:12:47.680 --> 00:12:55.680]   But there is going to be an adjustment in the premium based upon the discounted premiums if you're paying it up front versus going over time.
[00:12:55.680 --> 00:12:58.680]   But internally, the insurance company is working from the same table.
[00:12:58.680 --> 00:13:05.680]   So they have to provide some additional benefits to get you to be interested in choosing a limited payment life insurance policy.
[00:13:05.680 --> 00:13:11.680]   With a whole life insurance policy, you have something called cash values.
[00:13:11.680 --> 00:13:15.680]   In the insurance lingo, they'll also refer to this as the accumulation element.
[00:13:15.680 --> 00:13:17.680]   But most people think of them as cash values.
[00:13:17.680 --> 00:13:28.680]   What cash values are is the reserve of the policy that in the fullness of time will be enough to pay the policy death benefit.
[00:13:28.680 --> 00:13:36.680]   These cash values are the reserves that the insurance company is setting aside to pay the death benefit.
[00:13:36.680 --> 00:13:41.680]   And they're calculated based upon an aggregate pooling of policies.
[00:13:41.680 --> 00:13:48.680]   That's why they can afford at – let's say that you buy a policy and you die at – you have a $100,000 policy.
[00:13:48.680 --> 00:13:52.680]   At the age of 60, you have say $40,000 of cash values and you die.
[00:13:52.680 --> 00:14:00.680]   Well, the insurance company is paying out the $100,000 and they're taking the $40,000 that were saved in the reserves of your policy.
[00:14:00.680 --> 00:14:08.680]   They're also taking the interest that has been accumulated in their general account and they're taking the reserves from other policies to pay out the money.
[00:14:08.680 --> 00:14:21.680]   And when you put together the risk pool in aggregate, that's how they're able to make up the difference, to pay you the $100,000 check when you die, even though you don't have more than the – whatever I said, $30,000 or $40,000 in your policy.
[00:14:21.680 --> 00:14:31.680]   But your policy is calculated so that at the age of maturity, traditionally age 100 used to be age 95, sometimes age 96, now sometimes age of 120.
[00:14:31.680 --> 00:14:38.680]   But at the age of maturity, your cash values are calculated to equal your death benefit.
[00:14:38.680 --> 00:14:52.680]   And so as you get older and as the statistical likelihood of your dying in any given year increases, the insurance company has a higher and higher amount of reserves set aside to pay the claim when you die.
[00:14:52.680 --> 00:14:55.680]   That's how level premium life insurance works.
[00:14:55.680 --> 00:15:04.680]   However, the benefit to you is you additionally have access to those policies – excuse me, to those cash values.
[00:15:04.680 --> 00:15:15.680]   You have a few options of getting it out after you cancel the policy or you have options to be able to get the policy out while you keep it in force.
[00:15:15.680 --> 00:15:16.680]   Let's start there.
[00:15:16.680 --> 00:15:20.680]   The first way that you do that is with what's called a policy loan.
[00:15:20.680 --> 00:15:31.680]   There may be various reasons and various times at which you would like to have access to the cash values in your life insurance policy without actually surrendering the policy.
[00:15:31.680 --> 00:15:34.680]   You may have a temporary need for the money.
[00:15:34.680 --> 00:15:38.680]   In this case, that's accomplished with taking a policy loan.
[00:15:38.680 --> 00:15:40.680]   This has happened to me at different times.
[00:15:40.680 --> 00:15:48.680]   I actually used the cash values from one of my whole life insurance policies to buy my wife's engagement ring.
[00:15:48.680 --> 00:15:54.680]   I needed the money. I didn't have all of it saved and I took it out from the life insurance policy to pay for my wife's engagement ring.
[00:15:54.680 --> 00:16:00.680]   That was one of the ways that I used my cash values in one of my life insurance policies in the past.
[00:16:00.680 --> 00:16:10.680]   The key factor of this loan is that you're able to take the money from the cash value without surrendering the policy.
[00:16:10.680 --> 00:16:17.680]   One of the big reasons why you can – or why that might be important is you still want to have the insurance.
[00:16:17.680 --> 00:16:24.680]   You want to be able to pay back the money in the future and you want to make sure that you don't have to apply for a new policy in the future.
[00:16:24.680 --> 00:16:29.680]   One good general rule to keep in mind with life insurance policies is this.
[00:16:29.680 --> 00:16:33.680]   The older the policy, the more carefully you treat it.
[00:16:33.680 --> 00:16:40.680]   Life insurance policies have a lot of costs and a lot of expenses that are associated with them and the majority of those expenses are upfront expenses.
[00:16:40.680 --> 00:16:52.680]   In the same way that when you buy a house, you have a lot of expenses upfront, you go and you have realtor's commissions and you have mortgage inception costs and you have inspection fees and all this stuff.
[00:16:52.680 --> 00:16:59.680]   You have a lot of expenses right when you buy the house or in the same way that you buy a car and you have a bunch of expenses upfront, you have all the tax.
[00:16:59.680 --> 00:17:01.680]   You have the tag fees. You have the title fees.
[00:17:01.680 --> 00:17:04.680]   You may face a bunch of depreciation upfront.
[00:17:04.680 --> 00:17:08.680]   In the same way, life insurance has a lot of expenses upfront.
[00:17:08.680 --> 00:17:22.680]   So you don't want to get into a situation where you're constantly getting another life insurance policy and then surrendering that one and getting another one and surrendering that one and getting another one because upfront in a life insurance policy, the agent gets paid a commission.
[00:17:22.680 --> 00:17:25.680]   That's a hefty portion of the first year's premium.
[00:17:25.680 --> 00:17:35.680]   That percentage ranges depending on companies but often it's anywhere from 50% to 100% of the first year premium depending on the carrier and depending on the stripe of the policy.
[00:17:35.680 --> 00:17:38.680]   So that's a hefty commission that comes out upfront.
[00:17:38.680 --> 00:17:40.680]   That's expenses.
[00:17:40.680 --> 00:17:44.680]   The insurance company goes through expenses for underwriting the policy.
[00:17:44.680 --> 00:17:45.680]   They pay for a medical exam.
[00:17:45.680 --> 00:17:49.680]   They pay for their underwriting fees to actually establish it.
[00:17:49.680 --> 00:17:53.680]   And so generally, whole life insurance contracts are a very bad short-term move.
[00:17:53.680 --> 00:18:04.680]   So you wouldn't want to get into a situation where you get a policy and then three years in, you take the money out and you cancel the policy and then you get another one and then you take the money out and you cancel the policy and then you take another one and you cancel the money, etc.
[00:18:04.680 --> 00:18:05.680]   Bad move.
[00:18:05.680 --> 00:18:07.680]   So you can have access to the money through the form of a loan.
[00:18:07.680 --> 00:18:09.680]   Now, a loan is not without cost.
[00:18:09.680 --> 00:18:25.680]   All policy loans will incur an interest expense in the same way that when you go and you buy money from a bank, which is what you do with getting a loan from a bank, and you're going to pay for that money with interest, same thing happens with your life insurance policy.
[00:18:25.680 --> 00:18:29.680]   So you can request a policy loan from the life insurance company.
[00:18:29.680 --> 00:18:35.680]   You can do that and the policy – the insurance company will give you the money confidentially.
[00:18:35.680 --> 00:18:37.680]   It's not disclosed to anybody.
[00:18:37.680 --> 00:18:40.680]   They'll send you the check and you can have the funds wired into your account.
[00:18:40.680 --> 00:18:41.680]   They'll send you a check.
[00:18:41.680 --> 00:18:42.680]   They'll overnight it to you.
[00:18:42.680 --> 00:18:48.680]   They'll send you a portion of the cash values and give you immediate access without having to terminate the policy.
[00:18:48.680 --> 00:18:51.680]   It's generally a pretty simple process.
[00:18:51.680 --> 00:19:01.680]   For most policies in most companies, basically up to about 90 percent of the existing cash values can be available in the form of a loan.
[00:19:01.680 --> 00:19:04.680]   So I think of this sometimes as things like bail money.
[00:19:04.680 --> 00:19:13.680]   Let's say that I need – I have $100,000 in a life insurance policy and all of a sudden my kid does something and I got to bail him out of prison.
[00:19:13.680 --> 00:19:15.680]   Well, I need $30,000.
[00:19:15.680 --> 00:19:29.680]   Well, I can go ahead and I can call up the insurance company and for many of them, within 24 hours, I'll have $30,000 of cash sitting in my checking account and I can use that for bail money.
[00:19:29.680 --> 00:19:31.680]   That's a really valuable feature.
[00:19:31.680 --> 00:19:39.680]   It may or may not be the best source of cash for a long-term basis but it might be a valuable source of cash on a short-term basis.
[00:19:39.680 --> 00:19:42.680]   I've seen clients do this when negotiating house purchases.
[00:19:42.680 --> 00:19:57.680]   I used to handle policy loans for clients and sometimes it's like, "OK, I'm selling the old house and we're buying the new house but we got mixed up here where we've got two houses at the same time and I just need $30,000 to finish this other deal over here and get this taken care of and I wiped out my checking account.
[00:19:57.680 --> 00:19:59.680]   Joshua, send me $30,000." Done.
[00:19:59.680 --> 00:20:01.680]   The transaction closes.
[00:20:01.680 --> 00:20:05.680]   They put the money back in the policy and everything is restored.
[00:20:05.680 --> 00:20:15.680]   When that happens, the life insurance company will take a portion of that money – excuse me, they will charge an interest rate on that money.
[00:20:15.680 --> 00:20:18.680]   Depending on the company, often it's an 8% interest rate.
[00:20:18.680 --> 00:20:23.680]   That's a normal rate or it's an 8% fixed interest rate or it may be a variable rate.
[00:20:23.680 --> 00:20:28.680]   If it's a variable rate, that will usually be tied to an index of some type.
[00:20:28.680 --> 00:20:37.680]   Depending on where we are in an interest rate environment, that will depend on whether it's a good idea to take it out at the 8% rate or whether it's a good idea to take it out at a lower rate.
[00:20:37.680 --> 00:20:40.680]   Past few years, interest rates have been relatively low.
[00:20:40.680 --> 00:20:47.680]   So in general, there have been other sources of money for most people that are cheaper than taking the money out of the life insurance policy.
[00:20:47.680 --> 00:20:54.680]   You can go to a bank and if you can get a 30-year mortgage at 3% fixed, that's going to be a cheaper source of funds for you than a life insurance policy.
[00:20:54.680 --> 00:21:01.680]   And most people, if they had a loan on their insurance policy, those rates were down in the 4%-ish, 4% or 5%.
[00:21:01.680 --> 00:21:03.680]   That was cheaper than the 8%.
[00:21:03.680 --> 00:21:11.680]   I keep all of my policies at the fixed 8% interest rate so that I have the option if in the future interest rates rise.
[00:21:11.680 --> 00:21:21.680]   There are times, at least have been historically, I don't expect them in the next few years, but historically there have been times where 8% is a pretty cheap rate of interest.
[00:21:21.680 --> 00:21:33.680]   Those policy loans charge interest and as the borrower, you're the policy owner, as the borrower in this case, you have a couple of options that you can do with those policy loans.
[00:21:33.680 --> 00:21:38.680]   You can choose to pay for the interest expense in cash.
[00:21:38.680 --> 00:21:45.680]   You can send a check. The insurance company will send you a bill for the interest expense on the money and you can send in a cash payment.
[00:21:45.680 --> 00:21:52.680]   Or they can simply apply the interest cost to the balance of the loan.
[00:21:52.680 --> 00:21:56.680]   You can choose to make a payment or not make a payment.
[00:21:56.680 --> 00:22:04.680]   When you take a policy loan out of an insurance policy, there is no repayment schedule and there is no repayment required.
[00:22:04.680 --> 00:22:14.680]   Remember, they have collateral. They have the life insurance policy and that's why there's no repayment schedule and no repayment required is because there are reserves at the company.
[00:22:14.680 --> 00:22:18.680]   So you're not required to pay the interest to repay the policy loan in cash.
[00:22:18.680 --> 00:22:24.680]   It's at your discretion as the policy owner as to when you pay the money and how much you pay.
[00:22:24.680 --> 00:22:34.680]   Now, if you don't pay the loan interest in cash, then the life insurance company will take it from the balance of the loan – excuse me, from the death benefits if you die.
[00:22:34.680 --> 00:22:46.680]   So if you die and let's say that you had $100,000 life insurance policy, it had $40,000 of cash value in it, but you had $20,000 out as a loan that you had taken and bailed your son out of jail.
[00:22:46.680 --> 00:22:52.680]   If you die, they will recover the balance of the loan plus the interest from the amount of your death benefit.
[00:22:52.680 --> 00:22:58.680]   So they'll send – instead of sending $100,000, they'll take out $20,000 plus the interest cost.
[00:22:58.680 --> 00:23:00.680]   Let's just say it's accrued to be $4,000.
[00:23:00.680 --> 00:23:05.680]   They take out $24,000 and your family will receive the $76,000.
[00:23:05.680 --> 00:23:11.680]   Or if you don't die, they will recover it and you don't pay the loan back.
[00:23:11.680 --> 00:23:17.680]   They'll recover the loan balance from the cash surrender value if and when the policy is terminated.
[00:23:17.680 --> 00:23:27.680]   And in fact, the policy will automatically terminate if the policy loan balance plus the unpaid interest ever exceeds the policy's cash value.
[00:23:27.680 --> 00:23:35.680]   There is one additional feature that's associated with permanent life insurance policies that has to do with loans, and that's called an automatic premium loan.
[00:23:35.680 --> 00:23:48.680]   In this case, if you are on vacation and you forget to pay your life insurance premium payment, if the life insurance policy has cash values that are in excess of the premiums,
[00:23:48.680 --> 00:23:55.680]   the insurance company will automatically assume that you wanted to keep the policy in force and they'll take the money from the cash values to make your premium payments.
[00:23:55.680 --> 00:23:57.680]   That's called an automatic premium loan.
[00:23:57.680 --> 00:24:04.680]   And that will keep the policy in force as long as there's adequate cash value to cover the delinquent premiums that you're not paying.
[00:24:04.680 --> 00:24:08.680]   But it will terminate if or when the cash value is exhausted.
[00:24:08.680 --> 00:24:12.680]   So that is one feature that you should know about as an automatic premium loan.
[00:24:12.680 --> 00:24:18.680]   Most insurance companies and most policies will automatically include that, but you can exclude it if you needed to.
[00:24:18.680 --> 00:24:24.680]   I don't know why you ever would because if you are ever in a situation where you don't want the life insurance policy,
[00:24:24.680 --> 00:24:32.680]   you should immediately cancel it and go through one of the other options rather than letting it – what we call APL, do an automatic premium loan.
[00:24:32.680 --> 00:24:42.680]   Life insurance loans are not free and they do result in negative consequences in the benefits of the policy.
[00:24:42.680 --> 00:24:53.680]   They'll either reduce the amount that's credited to the cash value of the policy or they'll reduce maybe the dividends and they'll reduce the death benefit based upon the amount of the policy loans.
[00:24:53.680 --> 00:24:56.680]   So they're not without cost.
[00:24:56.680 --> 00:25:05.680]   The way that a policy loan is actually viewed is as an advance payment of the death benefit.
[00:25:05.680 --> 00:25:08.680]   That's what a policy loan actually is.
[00:25:08.680 --> 00:25:17.680]   If you have a $100,000 policy and you take a $10,000 policy loan, what's actually happening is the insurance company is sending you an advance death payment.
[00:25:17.680 --> 00:25:21.680]   So that's why the amount of money is recovered after your death.
[00:25:21.680 --> 00:25:34.680]   That's also incidentally why when we get to the topic of taxation, that's the reason why you can take loans against a policy without paying any current income taxes on the loan value.
[00:25:34.680 --> 00:25:42.680]   So when you get into the taxation of life insurance policy, which is usually where the smoke and mirrors and the magic happens during the life insurance presentation.
[00:25:42.680 --> 00:25:44.680]   Look, it's tax-deferred and you get the money tax-free.
[00:25:44.680 --> 00:25:54.680]   You're getting it tax-free if you cut it out in the form of a loan because of the fact that you're receiving an advance of the death benefit.
[00:25:54.680 --> 00:26:05.680]   Under US income tax law, life insurance policy death benefit proceeds are received income tax-free by the beneficiary.
[00:26:05.680 --> 00:26:14.680]   Always, regardless of amount, the benefit is received income tax-free by the beneficiary.
[00:26:14.680 --> 00:26:20.680]   If you wonder why I'm being so specific with my words, it's because there's some very important meaning to those words.
[00:26:20.680 --> 00:26:29.680]   The reason I'm saying the death benefit is received income tax-free by the beneficiary is because that is what is true.
[00:26:29.680 --> 00:26:34.680]   That does not necessarily mean that the value of the policy will not be taxed.
[00:26:34.680 --> 00:26:46.680]   For example, the value of any insurance policies that are owned are included in the owner's estate for the purposes of estate tax calculation.
[00:26:46.680 --> 00:27:04.680]   So if I own $10 million of life insurance policies and I die, my estate is credited with having $10 million of assets and that will go into my estate tax calculation.
[00:27:04.680 --> 00:27:08.680]   However, the beneficiary of those policies will receive the $10 million income tax-free.
[00:27:08.680 --> 00:27:18.680]   That's why we get into the world of owning policies and trusts, negotiating who should own the policy, which is something we'll talk about in detail, figuring that out.
[00:27:18.680 --> 00:27:21.680]   What's the name on the policy? Who should actually own it? How should it be owned?
[00:27:21.680 --> 00:27:26.680]   With life insurance policy, the ownership of the policy is very, very important from a tax perspective.
[00:27:26.680 --> 00:27:35.680]   But in this regard, talking about loans, policy loans, as the owner, you can go ahead and take out the loan and there's no tax reporting done at all.
[00:27:35.680 --> 00:27:39.680]   This can be a very useful feature with regard to privacy.
[00:27:39.680 --> 00:27:49.680]   If I have $100,000 in a savings account, I trot down to the bank and I say, "Give me $30,000," that's clearly on the record.
[00:27:49.680 --> 00:27:58.680]   Now, life insurance policy, it's also on the record, but it's not the normal banking channels, which is why life insurance agents have to go through all kinds of anti-money laundering training and whatnot.
[00:27:58.680 --> 00:28:02.680]   They're supposed to spot the drug dealers that are using life insurance policies to launder their money.
[00:28:02.680 --> 00:28:10.680]   You can't get anywhere away from the capital controls or the framework of capital controls that exists in our country.
[00:28:10.680 --> 00:28:13.680]   We don't actually have capital controls at the moment, but we have a framework for them.
[00:28:13.680 --> 00:28:21.680]   And so – and the key is you're still going to have – you're still going to get a check, so you got to deposit it into the bank systems.
[00:28:21.680 --> 00:28:25.680]   The money is going to go in the banking system. I'm not trying to say you're going to get $100 bills from the insurance company.
[00:28:25.680 --> 00:28:29.680]   But my point is you don't have to go in and give anyone a reason to request a loan.
[00:28:29.680 --> 00:28:33.680]   It's the money and you can just simply take it and use it for whatever you want.
[00:28:33.680 --> 00:28:37.680]   So what actually happens with these interest payments and why are they being charged?
[00:28:37.680 --> 00:28:40.680]   Well, think about it from two perspectives.
[00:28:40.680 --> 00:28:45.680]   First, what's happening on the life insurance company's side if you're running the life insurance company?
[00:28:45.680 --> 00:28:55.680]   Well, if you have a policy and the owner takes a loan against the policy, that's resulting in your sending money out.
[00:28:55.680 --> 00:29:06.680]   You're the life insurance company. You're sending out money to the client that you would otherwise be investing and earning investment income on.
[00:29:06.680 --> 00:29:20.680]   If the rate of the investment return on your portfolio is higher than the rate of interest that is being applied to the policy loan, then you are losing money as the insurance company.
[00:29:20.680 --> 00:29:28.680]   This is a problem as an insurance company because you need to make sure that you're treating all of your policy owners equitably.
