
[00:00:00.000 --> 00:00:05.800]   almost everyone in the AI space that I see with a microphone in front of them says,
[00:05:38.040 --> 00:05:44.360]   That's pure profit, right? There's no incremental variable costs against serving those advertisers.
[00:05:44.360 --> 00:05:50.260]   So if that just disappears, you know, it's very, very high margin business. And so again, just the
[00:05:50.260 --> 00:05:53.540]   downstream consequences of small changes. It's a little less because they'll backfill with something
[00:05:53.540 --> 00:05:57.440]   else that may not pay as much credit. Yeah. You know, perhaps, but, but I think,
[00:05:57.440 --> 00:06:03.600]   you know, what it reminds me is, you know, it feels like there's news every hour. It's pretty exhausting,
[00:06:03.600 --> 00:06:08.800]   but we got to lock in, you know, there's a super busy calendar ahead. So why don't we start with
[00:06:08.800 --> 00:06:15.420]   just maybe updating where we are on, on, on tariff negotiations and revisiting, I think some important
[00:06:15.420 --> 00:06:22.320]   arguments about free trade. So last time we were together, we really framed this by saying on the one,
[00:06:22.320 --> 00:06:28.080]   it seemed there were two different, you know, kind of sides in this administration. On the one side,
[00:06:28.080 --> 00:06:34.740]   we had kind of a more tactical, narrow view of tariffs, maybe the Besant consensus, I called it,
[00:06:34.740 --> 00:06:41.540]   which was a fully loaded gun, rarely discharged, you know, and have targeted tariffs to re-onshore
[00:06:41.540 --> 00:06:47.580]   critical national industries. And on the other side of this, we had what I described as more the nuclear
[00:06:47.580 --> 00:06:52.000]   Navarro approach. This is that we generate trillions in tariff revenue.
[00:06:52.100 --> 00:06:57.720]   That we tariff everybody, high structural tariffs, we replace the internal revenue service with the
[00:06:57.720 --> 00:07:04.720]   external revenue service. And this is much more structurally different, not, not, not tactical at
[00:07:04.720 --> 00:07:11.260]   all. Well, where are we now? Markets are now down 15% during this period since, quote unquote,
[00:07:11.260 --> 00:07:16.600]   liberation day on April 2nd. The markets are clearly worried about a global trade war.
[00:07:16.780 --> 00:07:23.340]   We now have export bans. So China implemented an export ban on rare earths on April 5th.
[00:07:23.340 --> 00:07:30.000]   We retaliated or at least implemented an export ban of our own last week on NVIDIA chips we'll get into.
[00:07:30.000 --> 00:07:35.720]   And all of these bans and tariffs are quite controversial, even among Republicans. Remember,
[00:07:35.720 --> 00:07:41.800]   the Republican Party on Capitol Hill has historically been against tariffs. And so I think there's an increasing
[00:07:41.800 --> 00:07:48.740]   concern on Capitol Hill about where all of this is headed and what it means for the economy.
[00:07:48.740 --> 00:07:54.520]   And so many people are saying this is feeling quite chaotic. They're nervous about the tenure. They're
[00:07:54.520 --> 00:07:58.960]   nervous about the impact on the dollar. Besant's saying it's going to be a slog and this is going to
[00:07:58.960 --> 00:08:03.740]   take a while. But the president says on Friday, he thinks it'll all, you know, we'll have it resolved in
[00:08:03.740 --> 00:08:08.780]   the next three to four weeks. So what is your reaction to all of this? What I want to do is
[00:08:08.780 --> 00:08:14.020]   take it up a level because I think there's an important conversation. Republicans have historically
[00:08:14.020 --> 00:08:20.960]   been a party of free trade and lower taxes, right? I think of Reagan or Milton Friedman. And yet today,
[00:08:20.960 --> 00:08:26.300]   there seems to be this growing consensus around tariffs. So let's just go back, make the case for
[00:08:26.300 --> 00:08:31.340]   steel man the case for why this may be a misadventure in the first place, Bill.
[00:08:31.340 --> 00:08:37.300]   When we were talking at the beginning of this podcast journey about skilled immigration, we played
[00:08:37.300 --> 00:08:44.220]   a short clip from Ronald Reagan, which was one of his last speeches that he gave in office. And this week,
[00:08:44.220 --> 00:08:50.460]   with all this tariff discussion, there was another Reagan clip floating around that I think does just
[00:08:50.460 --> 00:08:56.620]   this great a job of kind of summarizing something in a very efficient way. So if you don't mind,
[00:08:56.620 --> 00:09:03.260]   let's play that clip real quick. And today, many economic analysts and historians argue that high
[00:09:03.260 --> 00:09:09.920]   tariff legislation passed back in that period called the Smoot-Hawley tariff greatly deepened the depression
[00:09:09.920 --> 00:09:16.340]   and prevented economic recovery. You see, at first, when someone says, let's impose tariffs on foreign
[00:09:16.340 --> 00:09:22.100]   imports, it looks like they're doing the patriotic thing by protecting American products and jobs.
[00:09:22.100 --> 00:09:29.220]   And sometimes for a short while it works, but only for a short time. What eventually occurs is,
[00:09:29.220 --> 00:09:34.420]   first, homegrown industries start relying on government protection in the form of high tariffs.
[00:09:34.420 --> 00:09:40.500]   They stop competing and stop making the innovative management and technological changes they need
[00:09:40.500 --> 00:09:46.340]   to succeed in world markets. And then, while all this is going on, something even worse occurs.
[00:09:46.340 --> 00:09:53.060]   High tariffs inevitably lead to retaliation by foreign countries and the triggering of fierce trade wars.
[00:09:53.060 --> 00:09:58.780]   The result is more and more tariffs, higher and higher trade barriers, and less and less competition.
[00:09:58.780 --> 00:10:05.220]   So soon, because of the prices made artificially high by tariffs that subsidize inefficiency and poor
[00:10:05.220 --> 00:10:11.060]   government, people stop buying. Then the worst happens. Markets shrink and collapse, businesses
[00:10:11.060 --> 00:10:17.220]   and industries shut down, and millions of people lose their jobs. The memory of all this occurring back
[00:10:17.220 --> 00:10:22.740]   in the '30s made me determined when I came to Washington to spare the American people the protectionist
[00:10:22.740 --> 00:10:25.940]   legislation that destroys prosperity.
[00:10:25.940 --> 00:10:32.340]   So, I mean, for me, you know, everything I learned up until this point in time
[00:10:32.340 --> 00:10:39.940]   is congruent with what Reagan said. You know, tariffs lead to increased inflation. They lead to reduced
[00:10:39.940 --> 00:10:47.220]   innovation. Putting a protective blanket over our companies in our country lead to them being less
[00:10:47.220 --> 00:10:52.660]   globally competitive. And then fourth, which you mentioned, you know, it leads to retaliation.
[00:10:52.660 --> 00:10:59.780]   And, you know, I've just been kind of revisiting a lot of my priors. One of my favorite economists who
[00:10:59.780 --> 00:11:05.380]   spends time down at Santa Fe, Ricardo Hausman, put out a great piece who said, "We're not adding up
[00:11:05.380 --> 00:11:09.940]   everything the right way. We're only looking at physical goods, their services and intellectual
[00:11:09.940 --> 00:11:16.260]   property and net income that comes from companies like Metta operating around the globe." You know,
[00:11:16.260 --> 00:11:22.740]   Neil Ferguson did an incredible hour with Barry Weiss that I would just tell everyone to go listen
[00:11:22.740 --> 00:11:28.980]   to. And every one of these things takes me back to what I learned over 20 or 30 years,
[00:11:28.980 --> 00:11:35.700]   that these things aren't going to work out in the long run. And so, I'm skeptical. I mean,
[00:11:35.700 --> 00:11:41.060]   I'm always open-minded to revisiting my priors. And if someone wants to put out an argument why this is
[00:11:41.060 --> 00:11:47.060]   all going to work. And you and I were talking earlier, but I find there's a lot of conflation
[00:11:47.060 --> 00:11:54.820]   going on, you know, about different reasons arguing for why different actions are happening. You know,
[00:11:54.820 --> 00:12:01.700]   the tactical, you know, we need to have these specific technologies, you know, be resilient so
[00:12:01.700 --> 00:12:06.820]   we're not overly dependent on one country to this bigger thing where we're going to replace all of
[00:12:06.820 --> 00:12:13.540]   tax income. And I think you could do a little bit of the first. The latter is just violates all my
[00:12:13.540 --> 00:12:20.900]   priors. So I'd have to start fresh and I'd have to be convinced that all these great thinkers that came
[00:12:20.900 --> 00:12:26.660]   before us were wrong. Right. You know, so if our friend David Sachs were here, and I think he brought
[00:12:26.660 --> 00:12:32.820]   you up on the All In Pod last week, if he were here, he would say, okay, free trade is all well
[00:12:32.820 --> 00:12:38.900]   and good. Very Jeffrey Sachs. But he'd bring up John Mearsheimer. And he would say, you know,
[00:12:38.900 --> 00:12:44.980]   the reality is we're in a great power struggle. We have a peer rival in China, you know, today,
[00:12:44.980 --> 00:12:51.780]   and that national security must take priority over free trade and might make the argument,
[00:12:51.780 --> 00:12:59.380]   I think, that in particular, creating resilience in these industries, rare earths, you know, chip fabs
[00:12:59.380 --> 00:13:06.340]   in the United States, auto manufacturing, steel, aluminum, et cetera, are essential to our national
[00:13:06.340 --> 00:13:10.660]   security. And so therefore, it's not inconsistent with free trade. What would you say to that?
[00:13:10.660 --> 00:13:16.500]   Well, you know, we talked in the past, I think, to the extent you were doing something very tactical,
[00:13:16.500 --> 00:13:24.260]   it could be proposed as such. The tone and the bravado of the description of what we're doing
[00:13:24.260 --> 00:13:29.460]   isn't consistent with that. There's also, if you're using the word resilient, you know,
[00:13:29.460 --> 00:13:35.220]   that can include other countries that are allies. It doesn't have to be on the shores of the U.S.
[00:13:35.220 --> 00:13:40.500]   And I know people who, in the first Trump administration, were told to diversify away
[00:13:40.500 --> 00:13:45.540]   from China, and they built, you know, supply chains in Vietnam, and now they're, you know,
[00:13:45.540 --> 00:13:50.740]   worried about tariffs there. And so there's, there needs, we talked about this, but there needs to be
[00:13:50.740 --> 00:13:54.500]   a consistency in order for people to adjust to those things. Right.
[00:13:54.500 --> 00:13:59.060]   One more piece I would mention, and we'll put links to all these things, is Thomas Friedman has
[00:13:59.060 --> 00:14:05.380]   an op-ed in the New York Times that says, "I just saw the future and it was not in America." You know,
[00:14:05.380 --> 00:14:12.660]   he takes it further. He believes that in advanced manufacturing, we're not just not doing it here,
[00:14:12.660 --> 00:14:20.020]   but we're not on the cutting edge of what it would take to do here. If you recall back in a day and age,
[00:14:20.020 --> 00:14:27.700]   when Japanese manufacturing and just in time was this huge thing where all of America was convinced
[00:14:27.700 --> 00:14:34.020]   Japan was ahead of us in auto manufacturing. And he says, "We need to adopt that philosophy about
[00:14:34.020 --> 00:14:42.980]   manufacturing in China." And he goes to the point of saying, "Look, we need to force them to do JVs here,
[00:14:42.980 --> 00:14:49.540]   so we can learn from them." Yes. Now, no one's talking that way in the administration because
[00:14:49.540 --> 00:14:55.460]   there's so much vilification, there's no recognition of where they might be better than us. But, but
[00:14:55.460 --> 00:15:01.540]   those problems, I guess, the point I'm making is those problems are worth solving. But I, I'm still not
[00:15:01.540 --> 00:15:07.300]   convinced that we have a, I think we have a huge labor problem trying to be competitive in manufacturing.
[00:15:07.300 --> 00:15:12.740]   Right. Neil makes a great point about the argument that, "Oh, we shouldn't have done this. We,
[00:15:12.740 --> 00:15:20.900]   we regret global trade." That argument takes, you're allowing yourself to imagine, you're taking
[00:15:20.900 --> 00:15:27.780]   where we are today and competing with an imaginary version of how things evolved if we didn't embrace
[00:15:27.780 --> 00:15:28.900]   global trade. Right.
[00:15:28.900 --> 00:15:34.420]   And assuming that we would have manufacturing and be in a better place. And I think that's,
[00:15:34.420 --> 00:15:38.020]   he used the word fanciful, which I would agree with.
[00:15:38.020 --> 00:15:42.500]   I mean, I might also argue, you know, in response to Mearshamer, it was an incredible debate last
[00:15:42.500 --> 00:15:47.940]   year at the All In Summit between Mearsheimer and Jeffrey Sachs, you know, that, and he comes
[00:15:47.940 --> 00:15:54.420]   out of the realist school of political international relations. And I think there's a lot of truth to
[00:15:54.420 --> 00:15:58.740]   it, right? I mean, you can't stick your head in the sand and pretend that we don't operate in an
[00:15:58.740 --> 00:16:03.860]   international system. In the middle of the Cold War in the 1970s, right, we had all sorts of embargoes
[00:16:03.860 --> 00:16:10.660]   on, on Soviet Russia that were probably smart embargoes. A lot of people think that what, you know,
[00:16:10.660 --> 00:16:17.140]   the historical telling is that what brought the wall down ultimately against Soviet Russia was
[00:16:17.140 --> 00:16:23.620]   that our economy was triumphant. And so I look at the situation today and I think what part of the
[00:16:23.620 --> 00:16:29.540]   problem is that it's not clear out of the White House what the goal and objective is, right? If the
[00:16:29.540 --> 00:16:36.740]   goal and objective is Navarro, then I think there's broad opposition within not only, you know, the
[00:16:36.740 --> 00:16:42.260]   Democratic Party, but also the Republican Party to the scale of tariffs and disruption that that's
[00:16:42.260 --> 00:16:47.140]   going to have on the economy. But I think it's fairly non-controversial that we should have tactic,
[00:16:48.020 --> 00:16:54.340]   narrowly tailored tariffs and tax subsidies and incentives in order to re-anshore some critical
[00:16:54.340 --> 00:16:59.940]   capabilities. You know, I mentioned a few, chip fabs, some pharma, critical rare earths in production.
[00:16:59.940 --> 00:17:05.300]   I mean, we don't want to be dependent on the Chinese for whether or not we can produce an automobile or
[00:17:05.300 --> 00:17:11.300]   whether or not we can produce a phone, you know, etc. And so I think that, I think that some of that makes a
[00:17:11.300 --> 00:17:19.140]   lot of sense to me. What doesn't make a lot of sense to me is that we launched what was kind of
[00:17:19.140 --> 00:17:26.820]   this nuclear-style tariff war against every country on the planet, right? And so just the sequencing of
[00:17:26.820 --> 00:17:34.500]   events here, I think is a bit confusing. It should not be this McKinley-style multi-trillion dollar
[00:17:34.500 --> 00:17:40.100]   tariffs if what your objective is, principally where the agreement is, is to re-anshore some of these
[00:17:40.100 --> 00:17:44.660]   critical industries. And what I think is missing from this, all we're talking about is tariffs,
[00:17:44.660 --> 00:17:49.700]   right? We need to be talking about what is the accelerationist agenda that we're going to put
[00:17:49.700 --> 00:17:54.740]   together in order to get these chip fabs. There's a lot of things we can, we can put together AI funds,
[00:17:54.740 --> 00:18:00.500]   we can put together tax incentives and other packages to get people to build, you know, to build here.
[00:18:00.500 --> 00:18:06.980]   I think that gets lost in the conversation. If we think that this alternative path is all about this,
[00:18:06.980 --> 00:18:13.380]   this re-anshoring bill, is that consistent, do you think, with the Reagan and Milton Friedman view
[00:18:13.380 --> 00:18:17.220]   of free trade? Like if it was, if it was more tactical like that?
[00:18:17.220 --> 00:18:22.420]   I think if it were more tactical, I'm, I'm, I'll probably push back on you and disagree. I don't think
[00:18:22.420 --> 00:18:29.620]   our current, um, democracy is set up in a way that's really good for, um, the country to deploy dollars to
[00:18:29.620 --> 00:18:36.020]   help industry. And I gave this speech at the original all in summit about regulatory capture.
[00:18:36.020 --> 00:18:36.180]   Right.
[00:18:36.180 --> 00:18:43.540]   And I just, I can't imagine that if our, well, first of all, the, the AI boom in the US has attracted more
[00:18:43.540 --> 00:18:49.780]   capital dollars than I've ever seen accumulated in the history of mankind. So why sprinkling a little
[00:18:49.780 --> 00:18:54.580]   more on would be helpful, but also you get into this game of picking winners and losers. Now,
[00:18:54.580 --> 00:19:00.020]   Friedman highlights, and I, and I think this is true, you know, the, the Chinese government
[00:19:00.020 --> 00:19:08.580]   is just much more successful at, at state involvement in innovation. And if you maybe
[00:19:08.580 --> 00:19:15.620]   go back to the space race or the Manhattan project, um, we were capable of kind of mustering forces in
[00:19:15.620 --> 00:19:20.980]   that way, but I haven't seen it done recently, like the past 40 or 50 years.
[00:19:20.980 --> 00:19:25.540]   In many ways, in many ways, the private sector has done a more efficient job of, uh, you know,
[00:19:25.540 --> 00:19:31.140]   of taking on the Manhattan, uh, project, you know, style projects. I mean, you look at what's going
[00:19:31.140 --> 00:19:36.820]   on in Abilene, Texas and Denton, Texas, you know, around, uh, building out incredible
[00:19:36.820 --> 00:19:42.500]   supercomputer clusters all done really without government involvement. And I think that's,
[00:19:42.500 --> 00:19:46.020]   you know, an efficient and preferred mechanism, uh, you know, where a lot of,
[00:19:46.020 --> 00:19:47.940]   to your point, there's a lot of capital available.
[00:19:47.940 --> 00:19:53.220]   But there are areas where I don't think we will move forward much without government involvement.
[00:19:53.220 --> 00:20:00.020]   A great example would be in energy. So, so, you know, as we talked about many episodes ago,
[00:20:00.020 --> 00:20:06.740]   you know, Korea and China are delivering fission nuclear at one fourth, the price we are.
[00:20:06.740 --> 00:20:12.260]   And I think that Korea example, South Korea is very important because that is a democracy.
[00:20:12.260 --> 00:20:17.860]   So here's one country that's, that's authoritarian, one that's a democracy, and they're both achieving
[00:20:17.860 --> 00:20:26.100]   it. Uh, and we are 4X over that. That's gonna require some type of government involvement to figure
[00:20:26.100 --> 00:20:32.100]   out why we can't build that better and faster. And to be fair, there's a lot of movement around
[00:20:32.100 --> 00:20:38.340]   the country, mostly at the state level about removing red tape as a, uh, as something in
[00:20:38.340 --> 00:20:44.020]   governor celebrate, which, which is helpful and, and may move us in this direction. So those,
[00:20:44.020 --> 00:20:50.100]   I tend to, if we're going to help something along, I think, I think figuring out why our
[00:20:50.100 --> 00:20:57.380]   government's become friction and mud and changing that is probably going to be more impactful than
[00:20:57.380 --> 00:21:00.820]   the government doing the work themselves or picking winners with capital.
[00:21:00.820 --> 00:21:07.700]   We're, we're, we're quick to blame others around the world for our challenges, right? But I, I think
[00:21:07.700 --> 00:21:13.220]   we need to spend at least as much time accelerating ourselves. And part of that acceleration is getting
[00:21:13.220 --> 00:21:18.740]   rid of needless regulation. It's looking at our own systems and asking that question. Why does it cost
[00:21:18.740 --> 00:21:23.220]   4X more to build a fission reactor today in the United States than it does in South Korea?
[00:21:23.220 --> 00:21:28.020]   Hey, yeah, totally. And, and by the way, I, one thing you just spurred in my brain,
[00:21:28.020 --> 00:21:34.580]   I was listening. Friedman also did a podcast with, with Ezra Klein and yeah, I'm just going to steal
[00:21:34.580 --> 00:21:42.260]   his story. I don't know that it's true, but he says that when China attacks a new industry these days,
[00:21:42.260 --> 00:21:48.420]   that they encourage a ton of startups. I didn't know this. He said, so when they went after solar powers,
[00:21:48.420 --> 00:21:53.220]   they encourage like a hundred startups. So rather than pick a winner, they give money to
[00:21:53.220 --> 00:21:59.780]   everybody. So in a, in a thousand flower bloom kind of way, and that those hundred compete their
[00:21:59.780 --> 00:22:07.540]   way down to five. And he said, there's a lot of fraud and grift and waste for the ones in the losers.
[00:22:07.540 --> 00:22:14.260]   But what you get out of the five are, is something that's actually honed by a market force. And I
[00:22:14.260 --> 00:22:20.900]   don't think anyone that thinks about authoritarian China thinks about the state using market forces
[00:22:20.900 --> 00:22:28.500]   to get to a higher level of, of efficiency and production. But if, if what Thomas said is correct,
[00:22:28.500 --> 00:22:35.140]   they're actually using this kind of competitive market force to hone the better players in these
[00:22:35.140 --> 00:22:39.780]   industries. Let's talk a little bit about, you know, I think a lot of things get conflated when
[00:22:39.780 --> 00:22:44.740]   we talk about tariffs. And one of the most important is export controls. You know, so an export control
[00:22:44.740 --> 00:22:51.060]   is effectively a license requirement that acts almost as an embargo on all trade in a particular good.
[00:22:51.060 --> 00:22:57.700]   So on April 5th, China implemented this rare earth ban. And then we reciprocated last week with
[00:22:57.700 --> 00:23:04.660]   the ban on all Nvidia H20 chips, uh, going to China. So when you, when you look at the rare earth ban,
[00:23:04.660 --> 00:23:09.860]   and I have a list here of the materials that were banned on April 5th, and you have things,
[00:23:09.860 --> 00:23:17.620]   you know, that go in critical elements into magnets, samarium, terbium. And so these are
[00:23:17.620 --> 00:23:25.140]   about 60% of these materials are mined in China. Okay. So you do have other places on the planet that
[00:23:25.140 --> 00:23:33.220]   are, that are, uh, mining these rare earths. The problem is 90% of them are refined in China. When
[00:23:33.220 --> 00:23:40.820]   they banned those rare earths, um, these are the magnets that go into EVs, phones, computers, machines,
[00:23:40.820 --> 00:23:48.180]   of all sorts. This was called by some in and around the white house as a kill shot, a kill shot against
[00:23:48.180 --> 00:23:54.580]   the U S economy, um, that causes massive problems in industrial production. You know, when I think
[00:23:54.580 --> 00:24:03.300]   about, um, again, the destabilization that comes from over dependency on something like if every magnet
[00:24:03.300 --> 00:24:08.580]   that goes into every machine in the United States is coming from, from China, and now we've effectively
[00:24:08.580 --> 00:24:14.020]   banned it, even though the ban was in response to the tariffs by the United States, right?
[00:24:14.020 --> 00:24:19.860]   What is the off ramp to this? You know, I now see just this afternoon while we started recording the
[00:24:19.860 --> 00:24:25.780]   pod, Trump has said that, you know, he doesn't expect, uh, the, the tariffs to stay anywhere close
[00:24:25.780 --> 00:24:29.540]   to where they are in China. He doesn't think they're going to be zero, but they won't be anywhere close
[00:24:29.540 --> 00:24:36.260]   to where they are. You know, he's, and we see kind of a unilateral walking down of these tariffs,
[00:24:36.260 --> 00:24:41.940]   but these export bans are really dangerous, Bill. So what are your thoughts about an export ban,
[00:24:41.940 --> 00:24:46.580]   perhaps just compared to, uh, the tariff itself? Well, I mean, I go back to the Reagan video,
[00:24:46.580 --> 00:24:52.020]   right? He says this will eventually lead to retaliation and escalation. And, and
[00:24:52.020 --> 00:25:00.500]   the fact that this video was recorded, whatever eighties, what is that? Uh, 45 years ago, like,
[00:25:00.500 --> 00:25:06.020]   like, like this isn't a new perspective. So you could argue, oh my God, I can't believe this
[00:25:06.020 --> 00:25:10.580]   happened. Or you could say, well, if you studied history, you should have expected this to happen.
[00:25:10.580 --> 00:25:15.460]   Right. In fact, there's this Milton Friedman video going around and he talks about retaliatory tariffs.
[00:25:15.460 --> 00:25:19.620]   And he says, okay, let's say that somebody shoots a hole in the bottom of your boat.
[00:25:19.620 --> 00:25:26.020]   Right. And so, you know, it's taking on water. A retaliatory tariff would be like you shooting
[00:25:26.020 --> 00:25:30.260]   another hole in the bottom of the boat. And then they shoot a hole in the bottom boat just sinks faster.
[00:25:30.260 --> 00:25:37.140]   Yeah. Right. And he's saying, uh, you know, but in fact, what we did last week is the U.S. did ban
[00:25:37.140 --> 00:25:43.380]   H20s going to China. And this was a pretty controversial move. And in fact, I was, you know,
[00:25:43.380 --> 00:25:49.460]   looking at some of the analysis that was done this week and the newly launched Huawei cluster matrix
[00:25:49.460 --> 00:25:57.860]   384 is China's competitor to the GB 200. So semi-analysis is out with, you know, an assessment of this and
[00:25:57.860 --> 00:26:05.140]   many others. And basically what they concluded is that Huawei is already on the frontier or near the
[00:26:05.140 --> 00:26:10.820]   frontier with respect to chips. In fact, one of the analysts on CNBC this week said, to be honest,
[00:26:10.820 --> 00:26:18.020]   we basically just handed the China AR market to Huawei anyway. Right. And as Bernstein analysts,
[00:26:18.020 --> 00:26:24.660]   because they said what it effectively does is clears the decks for Huawei to have monopoly profits in
[00:26:24.660 --> 00:26:30.340]   China. They no longer have to compete with CUDA and NVIDIA in China, even though we were sending
[00:26:30.340 --> 00:26:36.900]   them the H20 was a nerfed chip, right? It was a chip that was two or three generations behind what we
[00:26:36.900 --> 00:26:42.420]   have in this country. But it was, you know, some people think of retaliation to the rare earths.
[00:26:42.420 --> 00:26:49.620]   Other people think it's just part of, you know, the AI strategy to try to win the AI war against China.
[00:26:49.620 --> 00:26:56.500]   Well, and let's just take the argument that it was a retaliatory move. How good must it feel to be
[00:26:56.500 --> 00:27:02.260]   NVIDIA and Jensen and the executive team there that you become a pawn in these games that you had
