
[00:00:00.000 --> 00:00:16.320]   Yogi Dhani: Hi, everyone.
[00:04:08.960 --> 00:04:13.500]   So where do we begin?
[00:04:13.500 --> 00:04:15.600]   In last few years, the focus really
[00:04:15.600 --> 00:04:18.680]   has been on the React-based agent.
[00:04:18.680 --> 00:04:20.640]   And in building agentic workflow,
[00:04:20.640 --> 00:04:23.740]   we need to move on from React-based agent
[00:04:23.740 --> 00:04:25.540]   to proactive agents.
[00:04:25.540 --> 00:04:27.580]   By the way, great philosophy for life as well.
[00:04:30.740 --> 00:04:32.340]   So for building agentic workflows,
[00:04:32.340 --> 00:04:37.140]   you need tools, memory, and reflection.
[00:04:37.140 --> 00:04:41.020]   But more importantly, you will need a design pattern
[00:04:41.020 --> 00:04:46.020]   called planning by sub-goal division,
[00:04:46.020 --> 00:04:49.120]   sometimes also referred as a task decomposition.
[00:04:49.120 --> 00:04:52.860]   And it is just a fancy way of saying that take your goal
[00:04:52.860 --> 00:04:54.760]   and break it down into simpler steps.
[00:04:57.500 --> 00:05:00.000]   So here are some specific agentic architecture
[00:05:00.000 --> 00:05:02.840]   and research papers that you will find useful.
[00:05:02.840 --> 00:05:06.600]   And each of that has its own pros and cons.
[00:05:06.600 --> 00:05:08.780]   And LangChain has done a fantastic job
[00:05:08.780 --> 00:05:14.520]   of creating a blog from this and also given the code.
[00:05:14.520 --> 00:05:18.020]   So I highly recommend checking it out.
[00:05:18.020 --> 00:05:21.100]   So how does it look in practice?
[00:05:21.100 --> 00:05:23.900]   So in fact, what we have done is we
[00:05:23.900 --> 00:05:25.740]   are taking this LLM compiler architecture
[00:05:25.740 --> 00:05:29.800]   and trying to adapt for our problems.
[00:05:29.800 --> 00:05:32.220]   And you can see some components here
[00:05:32.220 --> 00:05:35.280]   that you also find that in your organization.
[00:05:35.280 --> 00:05:37.140]   Microservices.
[00:05:37.140 --> 00:05:39.960]   And you build tools around those microservices.
[00:05:39.960 --> 00:05:43.120]   And when a user question asks, it goes to Blueprint Generator.
[00:05:43.120 --> 00:05:45.320]   And I will get to that in a bit.
[00:05:45.320 --> 00:05:49.560]   But consider it as a high level plan.
[00:05:49.560 --> 00:05:53.820]   What we call it is a Blueprint that gets fed to Planner.
[00:05:53.820 --> 00:05:57.040]   Planner is your low level task.
[00:05:57.040 --> 00:06:00.460]   Planner, it gives the plan to the executor.
[00:06:00.460 --> 00:06:03.540]   An executor is supposed to execute it.
[00:06:03.540 --> 00:06:09.040]   And Joiner combines the outputs from different tasks.
[00:06:09.040 --> 00:06:12.980]   Based on your replanning logic, either you do replanning again,
[00:06:12.980 --> 00:06:17.960]   or you just terminate and give the response back to the user.
[00:06:17.960 --> 00:06:20.080]   Sometimes you also set some recursion limits
[00:06:20.080 --> 00:06:24.800]   so that your agent just doesn't go into loop.
[00:06:24.800 --> 00:06:28.400]   On LangGraph, we are using each of these components as nodes.
[00:06:28.400 --> 00:06:32.360]   So Blueprint Generator, Planner, Executor, and Joiner
[00:06:32.360 --> 00:06:33.660]   are all nodes on the LangGraph.
[00:06:36.980 --> 00:06:42.020]   When building these tools in your enterprises
[00:06:42.020 --> 00:06:45.020]   around your microservices, probably this is where you will
[00:06:45.020 --> 00:06:47.620]   spend most of your time.
[00:06:47.620 --> 00:06:51.560]   And it's important to consider how this relation between tools
[00:06:51.560 --> 00:06:53.700]   and microservices goes.
[00:06:53.700 --> 00:06:57.860]   And here, the relationship is definitely not one-to-one or end-to-end.
[00:06:57.860 --> 00:06:59.140]   It's end-to-end.
[00:06:59.140 --> 00:07:02.900]   It's up to you how you want to design your tools according
[00:07:02.900 --> 00:07:07.640]   to your microservices so that your agent knows how to use this tool.
[00:07:07.640 --> 00:07:10.640]   Perhaps this is like the most key point here,
[00:07:10.640 --> 00:07:14.580]   that you need to make-- really put yourself into agent's shoes
[00:07:14.580 --> 00:07:18.220]   so that agent really understand what tool to use,
[00:07:18.220 --> 00:07:22.720]   and it has that knowledge of your microservices.
[00:07:22.720 --> 00:07:23.720]   Always follow standard.
[00:07:23.720 --> 00:07:25.320]   I know MCP is everyone's favorite.
[00:07:25.320 --> 00:07:28.580]   So build the MCP tool server for your tools.
[00:07:28.580 --> 00:07:32.260]   And for providing the tool details,
[00:07:32.260 --> 00:07:33.820]   just think from agent's point of view
[00:07:33.820 --> 00:07:38.080]   that you need to provide a tool purpose, description,
[00:07:38.080 --> 00:07:40.660]   and input/output contracts.
[00:07:40.660 --> 00:07:45.240]   So tool purpose will help you what tools to be selected.
[00:07:45.240 --> 00:07:46.920]   Detail description will tell you when
[00:07:46.920 --> 00:07:49.140]   this tool needs to be invoked.
[00:07:49.140 --> 00:07:50.920]   And input/output contracts will tell you
[00:07:50.920 --> 00:07:52.940]   how to use this tool.
[00:07:52.940 --> 00:07:55.580]   And lastly, add some validation checks,
[00:07:55.580 --> 00:07:57.920]   which acts as a break for your agent.
[00:07:57.920 --> 00:08:04.800]   Now, I would like to a little bit zoom in into this Blueprint
[00:08:04.800 --> 00:08:09.000]   because this is one of the key architecture chains that we made.
[00:08:09.000 --> 00:08:11.900]   Blueprint is just a series of steps for workflow
[00:08:11.900 --> 00:08:15.300]   as for tool capabilities in natural language.
[00:08:15.300 --> 00:08:21.140]   And it gets fed to Planner, but why we are doing it.
[00:08:21.140 --> 00:08:28.400]   What we realized was Planner really gets cognitively loaded when
[00:08:28.400 --> 00:08:30.980]   you try to just put too much onto it.
[00:08:30.980 --> 00:08:34.780]   So introducing a Blueprint, which is just a natural language
[00:08:34.780 --> 00:08:38.840]   of breaking down of a task, is very helpful.
[00:08:38.840 --> 00:08:41.920]   But we also noticed that it brings a lot of other benefits
[00:08:41.920 --> 00:08:43.260]   as well.
[00:08:43.260 --> 00:08:47.980]   For example, it achieves the finer control over task planning.
[00:08:47.980 --> 00:08:50.820]   It limits the in-context tool for the Planner.
[00:08:50.820 --> 00:08:55.080]   So when Blueprint, you can select what tools need
[00:08:55.080 --> 00:08:56.640]   to be given to the Planner.
[00:08:56.640 --> 00:09:01.520]   And sometimes this Planner has a lot of tool description,
[00:09:01.520 --> 00:09:05.300]   and you run all sort of problems as context window limit
[00:09:05.300 --> 00:09:08.780]   and Planner getting very much overloaded.
[00:09:08.780 --> 00:09:13.040]   So using Blueprint, you can limit what tools really
[00:09:13.040 --> 00:09:15.900]   goes to the Planner.
[00:09:15.900 --> 00:09:21.660]   And thus, it really helps in the planning.
[00:09:21.660 --> 00:09:24.920]   It also helps interpreting the agentic behavior.
[00:09:24.920 --> 00:09:27.160]   And lastly, when you need to collaborate
[00:09:27.160 --> 00:09:30.980]   with non-technical people, it's really helpful
[00:09:30.980 --> 00:09:34.500]   because natural language is less intimidating.
[00:09:34.500 --> 00:09:36.600]   Let's see a concrete example.
[00:09:36.600 --> 00:09:40.920]   So in financial research, preparing for a company's
[00:09:40.920 --> 00:09:43.920]   earning call is a common workflow.
[00:09:43.920 --> 00:09:46.300]   So this is a very, very simplified version
[00:09:46.300 --> 00:09:50.640]   of a workflow of preparing for a company's earning call.
[00:09:50.640 --> 00:09:52.340]   And for example, we are showing you preparing
[00:09:52.340 --> 00:09:55.480]   for NVIDIA's earning call.
[00:09:55.480 --> 00:09:58.180]   Now, you can see in the Blueprint, there is a tool
[00:09:58.180 --> 00:09:59.580]   and there is task.
[00:09:59.580 --> 00:10:03.080]   And in the plan, there is a tool and the function call.
[00:10:03.080 --> 00:10:05.620]   So how does it look in the Blueprint
[00:10:05.620 --> 00:10:09.360]   is you have two tools, and then your first step
[00:10:09.360 --> 00:10:12.080]   is summarizing the NVIDIA's previous earning call.
[00:10:12.080 --> 00:10:14.140]   And the next step is retrieval, gathering
[00:10:14.140 --> 00:10:17.300]   some of the financial data for NVIDIA.
[00:10:17.300 --> 00:10:19.580]   And then your reasoning, suggesting some questions
[00:10:19.580 --> 00:10:22.320]   for the earning call, and finally reporting
[00:10:22.320 --> 00:10:26.520]   a general data competency report from all the information.
[00:10:26.520 --> 00:10:28.040]   And there are corresponding function calls.
[00:10:28.040 --> 00:10:31.460]   And as you can see, context is being fed from a task.
[00:10:31.460 --> 00:10:37.340]   A concrete example of the response
[00:10:37.340 --> 00:10:39.740]   is before you implement agentic workflow,
[00:10:39.740 --> 00:10:41.960]   the response is pretty much vanilla.
[00:10:41.960 --> 00:10:45.960]   But after this, it can easily capture your workflow
[00:10:45.960 --> 00:10:49.000]   and give a very structured response.
[00:10:49.000 --> 00:10:51.440]   So whatever we talked about, none of this
[00:10:51.440 --> 00:10:54.860]   will really work without writing a proper evals.
[00:10:54.860 --> 00:10:58.880]   So always make sure to invest and build and maintain
[00:10:58.880 --> 00:11:00.800]   your eval framework.
[00:11:00.800 --> 00:11:04.560]   You should have at least component and end-to-end evals.
[00:11:04.560 --> 00:11:07.440]   You should really use the correct techniques,
[00:11:07.440 --> 00:11:10.040]   like code-based, LLMS-judge, human-in-the-loop.
[00:11:10.040 --> 00:11:13.580]   And more importantly, write evals for metrics
[00:11:13.580 --> 00:11:16.020]   that you really care for.
[00:11:16.020 --> 00:11:20.320]   Aspect-based eval is something we should really think about.
[00:11:20.320 --> 00:11:23.840]   And for example, for Blueprint, you
[00:11:23.840 --> 00:11:26.620]   can check an aspect like how many Blueprint,
[00:11:26.620 --> 00:11:28.760]   whether it resembles a golden Blueprint or not.
[00:11:28.760 --> 00:11:31.320]   And you can use LLMS-judge.
[00:11:31.320 --> 00:11:34.700]   If you want to see whether tools are selected correct or not,
[00:11:34.700 --> 00:11:37.540]   you should leverage code-based evals.
[00:11:37.540 --> 00:11:39.720]   If you want to check whether a plan is in line
[00:11:39.720 --> 00:11:42.740]   with the Blueprint or not, LLMS-judge, probably
[00:11:42.740 --> 00:11:44.460]   the right technique.
[00:11:44.460 --> 00:11:47.500]   And for some cases, leveraging human-in-the-loop
[00:11:47.500 --> 00:11:50.160]   is good, because report formatting,
[00:11:50.160 --> 00:11:55.440]   that's the best approach to deal with report formatting.
[00:11:55.440 --> 00:11:58.060]   So when not to use agentic workflows?
[00:11:58.060 --> 00:12:00.100]   So in some cases, definitely agentic workflow
[00:12:00.100 --> 00:12:01.080]   doesn't make sense.
[00:12:01.080 --> 00:12:03.120]   In case of fixed and repeated tasks,
[00:12:03.120 --> 00:12:06.300]   just probably go for ETL pipelines.
[00:12:06.300 --> 00:12:08.700]   If your workflow cannot be really captured,
[00:12:08.700 --> 00:12:11.220]   you cannot really capture use case-in workflows,
[00:12:11.220 --> 00:12:13.740]   agentic workflows are probably not worked.
[00:12:13.740 --> 00:12:16.620]   And if deterministic outcome is paramount,
[00:12:16.620 --> 00:12:21.200]   in case of strict compliance and a safety-critical context,
[00:12:21.200 --> 00:12:24.100]   you probably should not go with agentic workflow.
[00:12:24.100 --> 00:12:27.380]   And in case of low latency and cost-centered environment
[00:12:27.380 --> 00:12:32.820]   also, you should probably try to avoid agentic workflow.
[00:12:32.820 --> 00:12:38.380]   So wrapping up some learnings, start with simple Blueprints.
[00:12:38.380 --> 00:12:43.020]   Work your way up building a complex RAC system.
[00:12:43.020 --> 00:12:49.280]   For the Blueprints, use Blueprint to reduce the in-context tools
[00:12:49.280 --> 00:12:52.720]   and provide the high-level plan to the planner.
[00:12:52.720 --> 00:12:55.880]   Design tools from agent point of view.
[00:12:55.880 --> 00:12:58.640]   Always aim for the tool use of simplicity.
[00:12:58.640 --> 00:13:01.780]   Implement safety guardrails.
[00:13:01.780 --> 00:13:07.080]   And evals, observability, and all the good software engineering.
[00:13:07.080 --> 00:13:11.200]   And that should help you a lot.
[00:13:11.200 --> 00:13:14.540]   And from the whole presentation, the key takeaways are,
[00:13:14.540 --> 00:13:18.080]   agentic workflow is planned and run by agent.
[00:13:18.080 --> 00:13:23.200]   Agentic workflows bring the reliability at scale.
[00:13:23.200 --> 00:13:27.040]   And planning by sub-goal division is a key design pattern.
[00:13:27.040 --> 00:13:30.840]   Plan and execute is a key agentic architecture.
[00:13:30.840 --> 00:13:35.940]   And build your tools to complement your microservices.
[00:13:35.940 --> 00:13:40.240]   Always try to leverage your microservices in the tools.
[00:13:40.240 --> 00:13:43.700]   And modify your architecture to solve the problems.
[00:13:43.700 --> 00:13:47.380]   Don't really shy away from changing, taking research paper,
[00:13:47.380 --> 00:13:49.680]   and experimenting on it.
[00:13:49.680 --> 00:13:54.580]   And finally, treat your evals like first-class citizen.
[00:13:54.580 --> 00:13:56.620]   And with that, thank you very much for your time.
[00:13:56.620 --> 00:14:03.200]   All right.
[00:14:03.200 --> 00:14:04.160]   Thank you.
[00:14:04.160 --> 00:14:05.200]   Any questions?
[00:14:05.200 --> 00:14:09.040]   We have a little bit of time to spare.
[00:14:09.040 --> 00:14:09.900]   I have a question.
[00:14:09.900 --> 00:14:11.120]   Sure.
[00:14:11.120 --> 00:14:16.760]   Do you have, on top of your mind, any GitHub project
[00:14:16.760 --> 00:14:19.800]   or reference that we can follow?
[00:14:19.800 --> 00:14:20.300]   Sure.
[00:14:20.300 --> 00:14:20.800]   Sure.
[00:14:20.800 --> 00:14:25.380]   So if you just go back here, I kind
[00:14:25.380 --> 00:14:32.860]   of shared some of the links for the Langchain.
[00:14:32.860 --> 00:14:36.760]   It should have all the code for these research paper.
[00:14:36.760 --> 00:14:39.780]   And that's probably the most best place
[00:14:39.780 --> 00:14:42.560]   to start with this plan and execute kind of agents.
[00:14:42.560 --> 00:14:43.260]   Thank you.
[00:14:43.260 --> 00:14:43.760]   Yeah.
[00:14:43.760 --> 00:14:47.920]   Any other questions?
[00:14:47.920 --> 00:14:50.520]   Any other questions?
[00:14:50.520 --> 00:14:52.040]   All right.
[00:14:52.040 --> 00:14:53.540]   I guess one question I would have for you
[00:14:53.540 --> 00:14:57.520]   is when you talk about MCP and other forms
[00:14:57.520 --> 00:14:59.660]   of orchestration, what do you foresee
[00:14:59.660 --> 00:15:02.980]   being the primary method of orchestration going forward?
[00:15:02.980 --> 00:15:07.500]   Is it going to be a lane graph or some other--
[00:15:07.500 --> 00:15:07.720]   Yeah.
[00:15:07.720 --> 00:15:10.780]   I think the answer is probably everything.
[00:15:10.780 --> 00:15:15.140]   MCP, you use it so that you provide a standard across the arc.
[00:15:15.140 --> 00:15:17.920]   And MCP will really help for organization
[00:15:17.920 --> 00:15:21.320]   to build once, use it everywhere.
[00:15:21.320 --> 00:15:23.940]   You can have-- oftentimes, in organizations,
[00:15:23.940 --> 00:15:28.480]   we see that people just trying to just use this functionality
[00:15:28.480 --> 00:15:29.640]   in different AI apps.
[00:15:29.640 --> 00:15:33.500]   But if you can build an MCP around it, you can keep using it.
[00:15:33.500 --> 00:15:36.920]   And obviously, for orchestration, Langraph is great.
[00:15:36.920 --> 00:15:38.980]   And whatever the other tools that you
[00:15:38.980 --> 00:15:42.020]   find to solve your problem, that will be also--
[00:15:42.020 --> 00:15:44.520]   so the answer is probably there will be multiple things
[00:15:44.520 --> 00:15:45.640]   that is useful.
[00:15:45.640 --> 00:15:49.400]   It depends on your use case, what is the most optimal framework
[00:15:49.400 --> 00:15:50.420]   that you want to use.
[00:15:50.420 --> 00:15:51.200]   Amazing.
[00:15:51.200 --> 00:15:52.900]   Thank you so much, Yuri.
[00:15:52.900 --> 00:15:54.960]   you
[00:15:54.960 --> 00:15:57.320]   We'll be right back.

