
[00:00:00.640 --> 00:00:14.880]   Hello, everyone.
[00:05:02.520 --> 00:05:09.200]   weights are open, you can always customize to your particular use case and tune quality specifically
[00:05:09.200 --> 00:05:11.740]   for what you need.
[00:05:11.740 --> 00:05:13.160]   So open-source models are great.
[00:05:13.160 --> 00:05:14.500]   So what are the challenges?
[00:05:14.500 --> 00:05:17.340]   The challenges really come from three areas.
[00:05:17.340 --> 00:05:22.680]   Like, what we see when people try to use, you know, open model, something like Jemma or whatever,
[00:05:22.680 --> 00:05:28.400]   or what might be, you run into complicated setup and maintenance, right?
[00:05:28.400 --> 00:05:30.240]   You need to go and find GPUs somewhere.
[00:05:30.240 --> 00:05:33.680]   You need to figure out which frameworks to run on those.
[00:05:33.680 --> 00:05:37.740]   You need to, like, download your models, maybe do some performance optimization tuning, and you
[00:05:37.740 --> 00:05:42.420]   kind of have to repeat this process end-to-end every time the model gets updated or new version
[00:05:42.420 --> 00:05:44.880]   is released, et cetera.
[00:05:44.880 --> 00:05:49.960]   On optimization itself, there is -- especially for LLMs, but generally for GNI models, there
[00:05:49.960 --> 00:05:56.860]   are many attributes and settings which are really dependent on your use case and requirements.
[00:05:56.860 --> 00:06:00.760]   Somebody needs low latency, somebody needs high throughput, prompts can be short, prompts can
[00:06:00.760 --> 00:06:01.760]   be long, et cetera.
[00:06:01.760 --> 00:06:06.100]   And choosing the optimal settings across the stack is actually not trivial.
[00:06:06.100 --> 00:06:10.900]   And as I show you later, in many cases, you can get multiple X improvements from doing -- from
[00:06:10.900 --> 00:06:12.860]   doing this efficiently.
[00:06:12.860 --> 00:06:16.220]   And finally, like, just getting the production ready is actually hard.
[00:06:16.220 --> 00:06:23.060]   As you kind of go from experimentation to production, even just babysitting GPUs on public clouds is
[00:06:23.060 --> 00:06:26.860]   not as easy because GPUs are finicky, not always reliable.
[00:06:26.860 --> 00:06:31.680]   But getting to enterprise scale requires, you know, all the scalability technology, telemetry,
[00:06:31.680 --> 00:06:33.400]   observability, et cetera.
[00:06:33.400 --> 00:06:38.100]   So those are since which we focus on solving at fireworks.
[00:06:38.100 --> 00:06:43.560]   So starting with efficiency, we built our own custom serving stack, which we believe is
[00:06:43.560 --> 00:06:46.400]   one of the fastest if not the fastest.
[00:06:46.400 --> 00:06:51.440]   We did it -- did it from the ground up, meaning from writing our own, you know, Cuda kernels,
[00:06:51.440 --> 00:06:57.520]   all the way to customizing how the stuff gets deployed and orchestrated on the service level.
[00:06:57.520 --> 00:06:59.400]   And that brings multiple optimizations.
[00:06:59.400 --> 00:07:04.760]   But most importantly, we really focus on customizing the service stack to your needs, which basically
[00:07:04.760 --> 00:07:11.060]   means for your custom workload and your custom cost and latency requirements, we can -- we
[00:07:11.060 --> 00:07:14.220]   can tune it for -- for those settings.
[00:07:14.220 --> 00:07:15.220]   What does it mean in practice?
[00:07:15.220 --> 00:07:17.680]   And what does customization mean in practice?
[00:07:17.680 --> 00:07:22.240]   For example, many use cases use reg and use very long prompts.
[00:07:22.240 --> 00:07:26.600]   So there are many settings you can tune actually on the runtime level at the deployment level to
[00:07:26.600 --> 00:07:32.640]   optimize for long prompts, which often can be repeatable, so caching is useful, or just tuning
[00:07:32.640 --> 00:07:35.580]   settings so the throughput is higher while maintaining latency.
[00:07:35.580 --> 00:07:37.680]   So this is independently benchmarkable.
[00:07:37.680 --> 00:07:42.280]   If you go to, you know, artificial analysis and select long prompt, where Fireworks actually
[00:07:42.280 --> 00:07:48.580]   is the fastest, even faster than some of the other providers which are over there at ExpoBoost.
[00:07:48.580 --> 00:07:54.040]   And we don't only focus -- we don't only focus on LLM inference, we focus on many modalities.
[00:07:54.040 --> 00:07:59.300]   As an example, for image generation, we are the fastest providers serving SDXL, we're also
[00:07:59.300 --> 00:08:05.120]   the only providers serving SD3 in stability's new model because their API actually routes
[00:08:05.120 --> 00:08:08.480]   to our servers.
[00:08:08.480 --> 00:08:12.800]   And finally, as I mentioned, like, LLMs, like, customization -- especially for LLMs, customization
[00:08:12.800 --> 00:08:18.060]   matters a lot -- like, one problem, like, how to think about performance of LLMs, often,
[00:08:18.060 --> 00:08:22.400]   it's useful for use cases, is to think about maxim -- like, minimizing cost under a particular
[00:08:22.400 --> 00:08:23.400]   latency constraint.
[00:08:23.400 --> 00:08:27.220]   We often have customers come and say, like, hey, I need to, like, have this -- my interactive
[00:08:27.220 --> 00:08:31.060]   implication, I need to generate that many tokens under two seconds.
[00:08:31.060 --> 00:08:36.320]   And that's where -- that's really where, like, cross-stack optimizations shine.
[00:08:36.320 --> 00:08:41.020]   And if they tune into particular, like, latency cutoff and change in many settings, you can
[00:08:41.020 --> 00:08:45.580]   deliver much higher throughput, multiple times higher throughput, which with -- higher throughput
[00:08:45.580 --> 00:08:51.500]   basically means fewer GPUs and lower cost.
[00:08:51.500 --> 00:08:56.680]   In terms of model support, we support best quality open source models.
[00:08:56.680 --> 00:09:03.800]   You know, we heard about Gemma now, obviously, LLMAS, some of the ASR and text-to-speech models,
[00:09:03.800 --> 00:09:05.680]   pretty much from many providers.
[00:09:05.680 --> 00:09:12.580]   We also work with model developers, for example, for example, in the U.S. has also served on fireworks
[00:09:12.580 --> 00:09:15.980]   launched -- launched last week.
[00:09:15.980 --> 00:09:21.400]   And as a kind of platform capabilities, as I mentioned, we have a lot of open source models
[00:09:21.400 --> 00:09:24.640]   to get you started or customized ones.
[00:09:24.640 --> 00:09:28.800]   We do some of the fine-tuning of those models in-house, so I'm going to talk a little bit
[00:09:28.800 --> 00:09:35.240]   about function calling specialized models later on, or we do some of the vision language models
[00:09:35.240 --> 00:09:38.480]   using ourselves, which we release as well.
[00:09:38.480 --> 00:09:44.080]   And of course, the key for open source -- open model development is they can tune for a particular
[00:09:44.080 --> 00:09:45.080]   use case.
[00:09:45.080 --> 00:09:50.720]   So we do provide a platform for fine-tuning, whether you're bringing your data set collected elsewhere
[00:09:50.720 --> 00:09:56.480]   or collecting it live with the feedback when it serves on our platform.
[00:09:56.480 --> 00:10:01.780]   Specifically on customization, it's like one interesting feature which a lot of people starting
[00:10:01.780 --> 00:10:06.960]   to experiment with models find interesting is if you try to fine-tune and deploy the resulting
[00:10:06.960 --> 00:10:09.480]   model, how to serve it efficiently.
[00:10:09.480 --> 00:10:16.040]   It turns out if you do Plura fine-tuning, which a lot of folks do, you can do smart tricks and
[00:10:16.040 --> 00:10:20.800]   deploy multiple models on the same GPU, actually thousands of them, which means that we can
[00:10:20.800 --> 00:10:25.360]   give you still serverless inference with paying for token even if you have, like, thousands
[00:10:25.360 --> 00:10:33.400]   of model variants sitting and deployed there without having to pay any fixed cost.
[00:10:33.400 --> 00:10:38.620]   Of course, single model is all great, but what we see increasingly more and more in applications
[00:10:38.620 --> 00:10:43.300]   is model is not the product, right, by itself.
[00:10:43.300 --> 00:10:47.720]   You need a kind of bigger system in order to solve target application.
[00:10:47.720 --> 00:10:52.160]   And the reason for that is because models by themselves tend to hallucinate, so you need
[00:10:52.160 --> 00:10:56.200]   it to be able to solve a lot of things and that's where, like, RAG or access to external knowledge
[00:10:56.200 --> 00:10:57.200]   bases comes in.
[00:10:57.200 --> 00:11:04.060]   Also, we don't have, you know, yet an industry magical multimodal AI across all the modalities,
[00:11:04.060 --> 00:11:07.960]   so often you have to kind of chain multiple types of models, and, of course, you have all
[00:11:07.960 --> 00:11:13.160]   this, like, external tools and external actions which kind of end-to-end applications might want
[00:11:13.160 --> 00:11:16.400]   to do in agentic form.
[00:11:16.400 --> 00:11:20.620]   So I think the term which I really like, which is, like, popularized by Databricks is, like,
[00:11:20.620 --> 00:11:25.660]   compound AI system, but basically increasingly seeing, like, transition from just the model
[00:11:25.660 --> 00:11:29.560]   being the product to kind of this combination of maybe, like, RAG and function calling and
[00:11:29.560 --> 00:11:32.980]   external tools, et cetera, built together as the product.
[00:11:32.980 --> 00:11:40.220]   And that's pretty much direction which we kind of see this field moving along over time.
[00:11:40.220 --> 00:11:45.140]   So what does it mean from our perspective what we do in this case?
[00:11:45.140 --> 00:11:51.620]   So we see kind of as a function calling, like, agent at the core of this emerging architecture
[00:11:51.620 --> 00:11:58.940]   which might be connected to either domain-specialized models served on our platform directly or maybe
[00:11:58.940 --> 00:12:03.840]   tuned for different needs and connected to external tools, maybe it's a content interpreter or maybe
[00:12:03.840 --> 00:12:09.820]   it's, like, external APIs somewhere with really, like, this kind of central agentic view
[00:12:09.820 --> 00:12:16.740]   -- kind of central model kind of coordinating and trying to triage the user requirements
[00:12:16.740 --> 00:12:19.400]   if it's, for example, a chatbot or something.
[00:12:19.400 --> 00:12:24.880]   You probably all heard about, like, function calling, you know, popularized by OpenAI initially.
[00:12:24.880 --> 00:12:27.200]   That's basically the same idea.
[00:12:27.200 --> 00:12:32.760]   So yeah, the function calling is really, like, how to -- how to connect LLM to external tools
[00:12:32.760 --> 00:12:34.260]   and external elements.
[00:12:34.260 --> 00:12:36.680]   What does it mean in practice?
[00:12:36.680 --> 00:12:42.180]   So we actually focus on fine-tuning models specifically for function calling.
[00:12:42.180 --> 00:12:44.340]   So we released a series of models like that.
[00:12:44.340 --> 00:12:48.680]   Like, the latest one of our function V2 was released two weeks ago.
[00:12:48.680 --> 00:13:00.800]   And what you can do with that is -- if I manage to click -- if I manage to click on this button -- what
[00:13:00.800 --> 00:13:07.600]   it means is, like, you can build applications which kind of combine freeform general chat capabilities
[00:13:07.600 --> 00:13:08.600]   with function calling.
[00:13:08.600 --> 00:13:13.440]   So in this case, this is -- this is -- you know, this function has some chat capabilities.
[00:13:13.440 --> 00:13:15.520]   So you can see you can, like, ask it what -- what can you do?
[00:13:15.520 --> 00:13:18.860]   And it has, like, some self-reflection to tell you what it can do.
[00:13:18.860 --> 00:13:22.660]   It's also connected in this demo app to a bunch of external tools.
[00:13:22.660 --> 00:13:26.300]   So it can query, like, stock quotes.
[00:13:26.300 --> 00:13:27.520]   It can plot some charts.
[00:13:27.520 --> 00:13:29.520]   All those, like, external APIs.
[00:13:29.520 --> 00:13:34.100]   It can also generate images.
[00:13:34.100 --> 00:13:38.420]   But what it really needs to figure out is how to translate user query into -- do complex
[00:13:38.420 --> 00:13:40.780]   reasoning and translate it into function calls.
[00:13:40.780 --> 00:13:47.180]   So for example, if we ask it to generate a bar chart with top three -- like, stocks of
[00:13:47.180 --> 00:13:51.520]   top cloud providers, like, the big three, it actually needs to do several steps, right?
[00:13:51.520 --> 00:13:57.480]   It needs to understand that, like, top three cloud providers means, you know, AWS, GCP, and
[00:13:57.480 --> 00:13:59.480]   Azure, right?
[00:13:59.480 --> 00:14:00.480]   And Azure is on the Microsoft.
[00:14:00.480 --> 00:14:04.800]   It needs to then go do function calls, query in their stock prices.
[00:14:04.800 --> 00:14:10.160]   And finally, it needs to combine those information and send it to chat plotting API, which is what
[00:14:10.160 --> 00:14:13.640]   just happened in the background.
[00:14:13.640 --> 00:14:18.060]   Another important aspect which you have to do for, like, efficient kind of function calling
[00:14:18.060 --> 00:14:20.660]   chat capabilities, you need to have contextual awareness.
[00:14:20.660 --> 00:14:25.440]   So if I ask it to add particular -- if I ask it to add Oracle to this graph, it needs to
[00:14:25.440 --> 00:14:29.320]   understand what I'm referring to and, like, still keep the previous context and regenerate
[00:14:29.320 --> 00:14:30.320]   the image.
[00:14:30.320 --> 00:14:34.980]   And finally, you know, if I switch to a -- to a different topic, it kind of needs to drop
[00:14:34.980 --> 00:14:39.440]   the previous context and understand that, like, hey, this is less -- this historical context
[00:14:39.440 --> 00:14:40.440]   is less important.
[00:14:40.440 --> 00:14:41.440]   I'm going to start from scratch.
[00:14:41.440 --> 00:14:45.320]   There's no, like, oracle in that cat or whatever.
[00:14:45.320 --> 00:14:48.440]   So, you know, this particular demo is -- is actually open source.
[00:14:48.440 --> 00:14:50.980]   You can, like, go to our GitHub and try it out.
[00:14:50.980 --> 00:14:55.320]   It's built with fire function and built with, like, a few other -- a few other models, including,
[00:14:55.320 --> 00:14:58.660]   like, SDXL, which are run on our platform.
[00:14:58.660 --> 00:15:01.660]   The model itself for function calling is actually open source.
[00:15:01.660 --> 00:15:02.660]   It's on Hagenface.
[00:15:02.660 --> 00:15:08.480]   I mean, you can, of course, call it at fireworks for optimal speeds, but you can also run it
[00:15:08.480 --> 00:15:09.880]   locally if you want.
[00:15:09.880 --> 00:15:13.780]   It uses a bunch of, you know, functionality on our platform.
[00:15:13.780 --> 00:15:18.780]   For example, like, structure generation, like, with JSON model grammar mode, which I think
[00:15:18.780 --> 00:15:23.600]   was similar to some of the previous talks from, like, Outline guys which we were talking here
[00:15:23.600 --> 00:15:24.600]   yesterday.
[00:15:24.600 --> 00:15:25.600]   Yeah.
[00:15:25.600 --> 00:15:27.720]   So, finally, try it out.
[00:15:27.720 --> 00:15:30.360]   And generally, like, how to get started in fireworks.
[00:15:30.360 --> 00:15:37.060]   So, if you head out to fireworks, say, such models, you'll find a lot of open source, open
[00:15:37.060 --> 00:15:38.540]   base models which I mentioned about.
[00:15:38.540 --> 00:15:40.720]   They're available in the playground.
[00:15:40.720 --> 00:15:45.220]   In terms of product offering, we have this kind of range which can take you from early
[00:15:45.220 --> 00:15:47.620]   prototyping all the way to enterprise scale.
[00:15:47.620 --> 00:15:52.000]   So you can start with serverless inference which is, you know, not different from, you know,
[00:15:52.000 --> 00:15:56.900]   getting to open API -- open AI playground or something where you pay per token.
[00:15:56.900 --> 00:15:57.900]   It's a cost and price.
[00:15:57.900 --> 00:16:00.760]   You don't need to worry about, like, hardware settings or anything.
[00:16:00.760 --> 00:16:02.660]   As I mentioned, you can still do fine tuning.
[00:16:02.660 --> 00:16:05.160]   So you can -- you can do posted fine tuning on our platform.
[00:16:05.160 --> 00:16:08.420]   You can bring your own lower adapter and still serve it serverless.
[00:16:08.420 --> 00:16:12.920]   As you kind of graduate to, like, maybe like a startup and you graduate to a more production
[00:16:12.920 --> 00:16:17.660]   scale, you might want to go to on-demand where it's more like dedicated hardware with more
[00:16:17.660 --> 00:16:21.020]   settings and modifications for your use case.
[00:16:21.020 --> 00:16:25.260]   You can bring your own custom model fine tune from scratch or do it on our platform.
[00:16:25.260 --> 00:16:31.320]   And finally, as you kind of -- if you scale up to a bigger volume and want to go to enterprise
[00:16:31.320 --> 00:16:37.500]   level where it's discounted long-term contracts, and we also will help you to kind of personalize
[00:16:37.500 --> 00:16:43.680]   hardware setup and do some of those tuning for performance which I talked about earlier.
[00:16:43.680 --> 00:16:48.720]   And in terms of these cases, I mean, we are running production for many, many companies ranging
[00:16:48.720 --> 00:16:50.820]   from small start-ups to big enterprises.
[00:16:50.820 --> 00:16:55.320]   We are serving, like -- last time I checked, like, more than 150 billion tokens per day.
[00:16:55.320 --> 00:17:02.760]   So, you know, companies like Quora build chatbots like Paul, which I think Courser had a talk
[00:17:02.760 --> 00:17:03.760]   here yesterday.
[00:17:03.760 --> 00:17:06.320]   They use us for, like, some of the code assistant functionality.
[00:17:06.320 --> 00:17:08.620]   And their, like, latency is really important.
[00:17:08.620 --> 00:17:13.120]   As you can imagine, you know, folks like Upstage and Liner are building, like, different
[00:17:13.120 --> 00:17:15.640]   assistants and agents on top of that.
[00:17:15.640 --> 00:17:19.920]   So we are definitely production ready, go try it out.
[00:17:19.920 --> 00:17:24.240]   Finally, we care a lot about developers, you guys.
[00:17:24.240 --> 00:17:30.180]   So actually, this is external numbers from, like, last year, state of AI stuff where it turns
[00:17:30.180 --> 00:17:35.640]   out we are one of the -- like, after Hagenface, the most popular platform where people pull models,
[00:17:35.640 --> 00:17:36.640]   which is great.
[00:17:36.640 --> 00:17:38.940]   It was very nice to hear.
[00:17:38.940 --> 00:17:44.760]   And again, for getting started, just, you know, head out to our website.
[00:17:44.760 --> 00:17:48.000]   You can go play in the playground right away.
[00:17:48.000 --> 00:17:54.140]   So, for example, you can run, you know, Lama or Gemma or whatever at the top speeds.
[00:17:54.140 --> 00:17:58.020]   And kind of go start building from there and really excited to see what you can build with
[00:17:58.020 --> 00:18:04.260]   open models or fire function or some stuff which you can find on your own.
[00:18:04.260 --> 00:18:05.260]   And yeah.
[00:18:05.260 --> 00:18:06.260]   Last point.
[00:18:06.260 --> 00:18:07.900]   We are, as I mentioned, open API compatible.
[00:18:07.900 --> 00:18:13.980]   So you can still use, you know, your favorite tools, the same clients, or you can use frameworks
[00:18:13.980 --> 00:18:16.220]   like Lanchain or Lama index or et cetera.
[00:18:16.220 --> 00:18:17.220]   So, yeah.
[00:18:17.220 --> 00:18:25.220]   Really excited to kind of -- to be here and tell a little bit about open source -- open
[00:18:25.220 --> 00:18:30.220]   source models and how we have fireworks focusing on productionizing that and scaling it up.
[00:18:30.220 --> 00:18:31.220]   Go try it out.
[00:18:31.220 --> 00:18:44.980]   out and you can also find us at the booth at the expo thank you

