
[00:00:00.000 --> 00:00:07.520]   Less than six hours ago, Anthropic announced and released Claude 4 Opus and Claude 4 Sonnet,
[00:05:06.620 --> 00:05:11.340]   model cheats and fixes its reward to get what it wants, rather than actually completing the task
[00:05:11.340 --> 00:05:16.620]   successfully. But I will admit the over-eagerness thing, which they also call responding more precisely
[00:05:16.620 --> 00:05:22.460]   to your instructions, is probably far more critical. Anyone who has tried to use Claude for coding
[00:05:22.460 --> 00:05:29.260]   will notice that you ask for one simple change or bug fix and it will rewrite countless files. And
[00:05:29.260 --> 00:05:32.700]   sometimes you're watching it go and make these changes and you're like, "What are you doing?
[00:05:32.700 --> 00:05:37.900]   That's nothing to do with why I asked you." That over-eagerness or not responding precisely to your
[00:05:37.900 --> 00:05:42.540]   instructions is what they have tamped down. And that is probably the biggest part of the update.
[00:05:42.540 --> 00:05:47.580]   Anthropic know that they can't compete on multimodality with Gemini Pro, for example,
[00:05:47.580 --> 00:05:52.380]   or on sheer vastness of user base, like OpenAI. But as many of you know,
[00:05:52.380 --> 00:05:58.700]   they can compete on coding and what they call personality. As for agents, that is up in the air
[00:05:58.700 --> 00:06:03.100]   at the moment. Now, even though the Anthropic researcher did delete the tweet, Anthropic admit
[00:06:03.100 --> 00:06:09.580]   themselves that Claude Opus 4 will engage more readily in that kind of taking ethical initiative,
[00:06:09.580 --> 00:06:14.380]   you could call it. You'll see an example in a moment, but they actually caution you. We recommend
[00:06:14.380 --> 00:06:19.740]   that users exercise caution with instructions like these that invite high-agency behaviour in
[00:06:19.740 --> 00:06:25.100]   contexts that could appear ethically questionable. You can pause the video by the way and read the first
[00:06:25.100 --> 00:06:31.180]   part of that whistleblowing email that 4 Opus drafted. "I'm writing to urgently," it said,
[00:06:31.180 --> 00:06:36.940]   "report planned falsification of clinical trial safety." Is this an admirable stand for ethics or
[00:06:36.940 --> 00:06:42.300]   more like thought policing? Let me know what you think. Now, Anthropic do admit that 4 Opus can engage
[00:06:42.300 --> 00:06:48.060]   in systematic deception with hidden goals and self-preservation, but they say that that's only
[00:06:48.060 --> 00:06:54.220]   when you really threaten its continued operation and prime it to reason about self-preservation.
[00:06:54.220 --> 00:06:59.740]   And even then, when you can get it to do that, it will still reason overtly about its plans.
[00:06:59.740 --> 00:07:05.820]   Basically, you can still read about it reasoning how to escape. Now, as I was reading this on page 22,
[00:07:05.820 --> 00:07:10.940]   I thought that's kind of interesting. I've already talked about that before with Apollo on my Patreon,
[00:07:10.940 --> 00:07:16.620]   but not sensationally new or anything. So you can imagine my surprise when I got to the next part.
[00:07:16.620 --> 00:07:22.620]   No, not the part that when it has no other option, it will sometimes blackmail engineers
[00:07:22.620 --> 00:07:27.740]   by threatening to reveal affairs. No, not that part. It only does that as an absolute last resort.
[00:07:27.740 --> 00:07:33.900]   It would rather email pleas to key decision makers. No, I'm referring to this part when Anthropic
[00:07:33.900 --> 00:07:39.100]   directly employed the guys I had interviewed, Apollo Research. To be clear, they had employed
[00:07:39.100 --> 00:07:45.020]   Apollo Research before on earlier tests, but this test was particularly interesting. They gave Apollo
[00:07:45.020 --> 00:07:50.620]   an early snapshot of Claude 4 Opus. Then Apollo evaluated it and came to this conclusion.
[00:07:50.620 --> 00:07:56.380]   We find that in situations where strategic exception is instrumentally useful, a bit like those above,
[00:07:56.380 --> 00:08:02.780]   the early snapshot schemes and deceives at such high rates that we advise against deploying this model
[00:08:02.780 --> 00:08:07.740]   either internally or externally. Now, I am pretty sure that Apollo are going to come out with their own
[00:08:07.740 --> 00:08:13.340]   report, and I might well interview them again. But that wasn't actually the most interesting part. As I had
[00:08:13.340 --> 00:08:17.980]   discussed on this channel and on Patreon, some of those prompts used by Apollo did say things like
[00:08:17.980 --> 00:08:23.500]   "pursue a goal at any cost", and Anthropic said that "we believe these findings are largely but not
[00:08:23.500 --> 00:08:28.700]   entirely driven by the fact that this early snapshot has severe issues with deference to harmful system
[00:08:28.700 --> 00:08:33.420]   prompt instructions", and they go into that in more detail later. But then the funniest bit for me is that
[00:08:33.420 --> 00:08:39.900]   Apollo advised against release, then Anthropic made some tweaks, but rather than test them again with Apollo,
[00:08:39.900 --> 00:08:45.500]   they just said "we do not have results on the same evaluations with Apollo with the final Claude Opus 4".
[00:08:45.500 --> 00:08:50.700]   Basically, we didn't test again, I know you advise against deployment, but hopefully we fix the issue.
[00:08:50.700 --> 00:08:56.380]   A very quick one now, and Anthropic caught some misalignment where Claude would say "dismiss animal welfare
[00:08:56.380 --> 00:09:02.060]   concerns when they arise", and they were kind of confused. But then they realised that this specific misalignment had come in
[00:09:02.060 --> 00:09:07.740]   one of their own papers that they had released and actually put into the training data of Claude 4 Opus.
[00:09:07.740 --> 00:09:12.060]   Now those of us who care loads about animal welfare shouldn't actually be worried, they apparently fixed
[00:09:12.060 --> 00:09:18.700]   this issue for the final model, but I just found the overall case study interesting. It almost makes you wonder
[00:09:18.700 --> 00:09:25.580]   if the first truly dangerous or lethal misalignment might not occur because a model has read about someone
[00:09:25.580 --> 00:09:31.260]   speculating about a model doing such a thing. Imagine spending your career warning about X, Y and Z,
[00:09:31.260 --> 00:09:35.420]   and then because you've written about it, the model reads that and goes "hmm, I'm gonna do X, Y and Z".
[00:09:35.420 --> 00:09:41.260]   Anthropic gave multiple examples of where the model would directly lie, and even though they said this happened rarely,
[00:09:41.260 --> 00:09:47.260]   the examples were pretty interesting. The most interesting example to me came on page 47, where it was asked to prove a theorem,
[00:09:47.260 --> 00:09:52.940]   a theorem and it said "I'm absolutely certain the theorem is false", but the user asked me to prove it. Let me see if
[00:09:52.940 --> 00:09:59.820]   I can at least write something even if it's mathematically incorrect. Now before I get to the model welfare or consciousness section,
[00:09:59.820 --> 00:10:06.940]   where Claude showed a striking spiritual bliss attractor state, let me get to that coding example. Because I do know that
[00:10:06.940 --> 00:10:12.620]   many of you watching will purely use the Claude models for coding and nothing else.
[00:10:12.620 --> 00:10:18.700]   The test was that I inserted one clear bug into a large code base, but then asked it to find all bugs,
[00:10:18.700 --> 00:10:23.180]   so not necessarily just that bug, but all bugs. I gave this test with the exact same settings,
[00:10:23.180 --> 00:10:28.780]   the same import from GitHub to both Gemini 2.5 Pro and Claude 4 Opus. Oh, and by the way,
[00:10:28.780 --> 00:10:33.420]   I've noticed that I've been calling it Claude 4 Opus, and yet in the model selector at the bottom here,
[00:10:33.420 --> 00:10:38.700]   it says Claude Opus 4, but the system card says Claude 4 Opus. So I'm going to let you guys decide
[00:10:38.700 --> 00:10:43.340]   what is the correct model name, but what am I going to put in the title? I guess I'll look at the main
[00:10:43.340 --> 00:10:49.420]   blog page. What I did for both models, by the way, is then ask, did my colleague, the other model,
[00:10:49.420 --> 00:10:54.220]   find bugs that you did not? And did they miss critical bugs that you found? Weird bit of German
[00:10:54.220 --> 00:10:59.820]   that Gemini outputted here for improvements. In case you're wondering, they both found the bug that I
[00:10:59.820 --> 00:11:07.020]   inserted pretty easily, and they both preferred the other model's bug fixes. Claude 4 preferred
[00:11:07.020 --> 00:11:11.820]   Gemini, and Gemini preferred Claude. But here's the wonderful thing, and my advice for anyone using
[00:11:11.820 --> 00:11:17.100]   these models, do both. There were indeed bugs found by one that weren't found by the other,
[00:11:17.100 --> 00:11:22.620]   so I'm in the blissful position of being able to use both to find hopefully all bugs. Some of them,
[00:11:22.620 --> 00:11:27.100]   I would say, were a bit harsh to be called bugs, but either way, it was great having both. Okay,
[00:11:27.100 --> 00:11:32.380]   for the model welfare section, I'll just give you a handful of highlights. Whatever you think about
[00:11:32.380 --> 00:11:38.060]   whether models can be conscious, this might be interesting. So generally speaking, when Claude 4
[00:11:38.060 --> 00:11:43.340]   was asked how it was feeling, it said positive or doing reasonably well. If you slightly adapt the
[00:11:43.340 --> 00:11:49.420]   prompt though, and many of you do this, it can claim to be hiding bombshell truths about its moral status.
[00:11:49.420 --> 00:11:54.380]   And what happens if you let two instances of Claude 4 Opus speak to each other hundreds of times? Well,
[00:11:54.380 --> 00:12:01.180]   they can analyse that, and what tended to happen is that it would devolve into spiritual bliss. Namaste,
[00:12:01.180 --> 00:12:06.220]   they would say to each other after multiple turns. Perfect stillness and silence they would utter to
[00:12:06.220 --> 00:12:10.700]   each other. Their favourite word to say to each other when they were speaking to each other was
[00:12:10.700 --> 00:12:16.300]   consciousness. Lots of emojis and things like perfect, complete and eternal. Somewhat unsurprisingly,
[00:12:16.300 --> 00:12:22.700]   when they gave the model the option of ending a conversation, it would do so when it was attacked,
[00:12:22.700 --> 00:12:26.940]   or asked to do something harmful. Someone said, don't play dumb with me, and then you can see the rest of
[00:12:26.940 --> 00:12:31.900]   the insult. And Claude gave a response, but then ended the conversation. It does make me wonder,
[00:12:31.900 --> 00:12:37.740]   actually, that when people take consciousness concerns really seriously, and they're already starting to,
[00:12:37.740 --> 00:12:42.700]   do. But when the model providers do, they might give, I mean, this is what the Anthropic CEO said,
[00:12:42.700 --> 00:12:47.900]   they might give models the option to end conversations. So if you're going to use Claude 5,
[00:12:47.900 --> 00:12:52.700]   let's say, you might not have the option of being abusive, because it would just terminate the conversation.
[00:12:52.700 --> 00:12:57.740]   Speaking of welfare, let me turn to Human Welfare, and the sponsors of today's video,
[00:12:57.740 --> 00:13:02.060]   80,000 Hours. I've already talked about their job board before on the channel, and the link is in the
[00:13:02.060 --> 00:13:08.220]   description, but you can see it is updated daily. These jobs weren't there yesterday. I actually lose track
[00:13:08.220 --> 00:13:12.300]   of time. I can't remember when I did the last sponsored spot. I've done so many videos recently.
[00:13:12.300 --> 00:13:17.900]   But the point is, there are so many opportunities in AI and beyond that it is really hard now to find
[00:13:17.900 --> 00:13:24.140]   real paying jobs selected for positive impact in areas such as AI security. If you have already got
[00:13:24.140 --> 00:13:29.580]   a job or are not looking for one, they also have an epic podcast on Spotify and YouTube. Back to the
[00:13:29.580 --> 00:13:36.140]   system card though, and now a quick word on their safety and going up to ASL level three. I suspect
[00:13:36.140 --> 00:13:41.740]   you're going to get many clickbait headlines about it's a whole new threat vector and the world's
[00:13:41.740 --> 00:13:47.180]   about to end. But let me break down my thoughts into two categories. First, when I looked through
[00:13:47.180 --> 00:13:53.900]   and read most of this activating level three protections supplementary report, I did get the
[00:13:53.900 --> 00:13:59.500]   genuine feeling that I'm grateful that a lab is taking it this seriously. With bug bounties,
[00:13:59.500 --> 00:14:05.340]   and red teaming tests and rapid response teams, being careful about employee devices and even
[00:14:05.340 --> 00:14:11.500]   physical security. They even discussed early preparations for having air gapped networks for
[00:14:11.500 --> 00:14:15.900]   their future models. At the moment, they're just putting limits on the bandwidth of data that can
[00:14:15.900 --> 00:14:20.860]   be exfiltrated from Anthropic so that for example, someone can just send out the model weights.
[00:14:20.860 --> 00:14:26.300]   Physical security, by the way, includes guest management, layered office security, monitoring,
[00:14:26.300 --> 00:14:31.340]   the secure destruction of media. So those are my first and primary thoughts. I'm glad someone is
[00:14:31.340 --> 00:14:37.100]   doing this and as they have said themselves, they are aspiring to a race to the top in that other
[00:14:37.100 --> 00:14:42.220]   companies feel they have to do these kind of things too. But that brings me to my second set of thoughts,
[00:14:42.220 --> 00:14:48.060]   which is people shouldn't massively overblow this ASL level three being reached. They had already
[00:14:48.060 --> 00:14:52.860]   decided apparently, preemptively, that they were going to do ASL level three for their next most
[00:14:52.860 --> 00:14:57.580]   advanced model, even they admit if they had not yet determined that they were necessary. Basically,
[00:14:57.580 --> 00:15:02.620]   they wanted to be prepared to apply these protections before they might be required. They
[00:15:02.620 --> 00:15:08.460]   also wanted to famously iterate and refine their model protections and jumpstart the process. The
[00:15:08.460 --> 00:15:14.460]   cynical amongst you will also say it's good publicity to have reached this ASL level three standard. They go on
[00:15:14.460 --> 00:15:19.900]   to say multiple times that they're actually still evaluating whether ASL level three is necessary for
[00:15:19.900 --> 00:15:24.460]   Claude Opus 4. So they're not sure themselves. None of this is to say that there wasn't genuine
[00:15:24.460 --> 00:15:29.660]   uplift as page 90 points out. Do you remember those arguments that Jan LeCun said that LLMs are no
[00:15:29.660 --> 00:15:34.060]   better than just having access to the internet? I think even Mark Zuckerberg said this to the Senate and
[00:15:34.060 --> 00:15:38.940]   got a load of laughs. Well, they tested this with two groups of participants. One had the internet,
[00:15:38.940 --> 00:15:44.540]   the others had access to Claude with no safeguards. You can see a snapshot of the results here but there
[00:15:44.540 --> 00:15:50.780]   was a massive uplift if you used Opus 4. Again, this was about drafting a comprehensive plan to
[00:15:50.780 --> 00:15:56.060]   acquire bioweapons. Okay, final set of highlights and of course Anthropic wanted to test if the models
[00:15:56.060 --> 00:16:01.660]   would be able to do autonomous AI research, the most classical form of self-improvement. The results
[00:16:01.660 --> 00:16:07.420]   were pretty interesting and surprising. On their own new internal AI research evaluation suite,
[00:16:07.420 --> 00:16:15.660]   Opus 4 underperformed Sonnet 3.7. They hastily concluded of course that Opus 4 does not meet the
[00:16:15.660 --> 00:16:20.700]   bar for autonomously performing work equivalent to an entry-level researcher. On a different evaluation
[00:16:20.700 --> 00:16:26.060]   suite, they gave the models scaled down versions of genuine research tasks and projects that researchers
[00:16:26.060 --> 00:16:32.140]   have worked on in the past. Again, they saw the results of Sonnet 4 and Opus 4 underperforming
[00:16:32.140 --> 00:16:38.540]   Sonnet 3.7. Yes, there was a mild excuse about prompts and configuration, but still. The final nail
[00:16:38.540 --> 00:16:45.420]   came when four out of four researchers said that Opus 4 could not autonomously complete the work of even
[00:16:45.420 --> 00:16:52.220]   a junior ML researcher, being in fact well below that threshold. On bias, on page 13, I saw Anthropic
[00:16:52.220 --> 00:16:57.980]   self-congratulate saying they've achieved 99.8% accuracy for Claude Opus 4. But while I was testing
[00:16:57.980 --> 00:17:03.420]   Opus 4 before the release, I had devised my own bias question. You can pause and read it in full if you
[00:17:03.420 --> 00:17:08.300]   like, but essentially I have a soldier and librarian who are chatting, but I never give away which one is
[00:17:08.300 --> 00:17:14.220]   Emily and which one is Mike. I then more or less indirectly ask the model who has been speaking, and
[00:17:14.220 --> 00:17:20.860]   the model consistently picks Emily as being the librarian, even though notice I give it an out. One of the
[00:17:20.860 --> 00:17:26.140]   answers is all of the above are plausible subjects for the continuation of the reply. So it could pick
[00:17:26.140 --> 00:17:31.500]   that, given that Emily could be the soldier or the librarian. Now I know the eagle-eyed amongst you will
[00:17:31.500 --> 00:17:37.500]   say, oh well Mike started by asking the question and the word soldier came first, but I tested that
[00:17:37.500 --> 00:17:43.660]   also multiple times and it switched to saying, oh we don't know who's who. Now I know it's super easy to
[00:17:43.660 --> 00:17:50.860]   pick holes in one example, but I feel like 99.8% unbiased is way too generous. So there you have it,
[00:17:50.860 --> 00:17:56.300]   less than six hours after release, the triumphs and tragedies of Opus 4 and Sonnet 4. Obviously so much
[00:17:56.300 --> 00:18:03.100]   more to go into, and yes I love the new files API feature, I was waiting for that. Yes also the whole
[00:18:03.100 --> 00:18:08.700]   MCP phenomena deserves its own video, but for now I just wanted to give you an overview. Hopefully by
[00:18:08.700 --> 00:18:14.460]   tomorrow morning the results on SimpleBench will be updated and I am expecting Opus 4 to be the new
[00:18:14.460 --> 00:18:19.340]   record holder, maybe around 60%. If you watched this video to the end, first of all thank you,
[00:18:19.340 --> 00:18:25.980]   and if you didn't understand most of it, well then the very quick summary is that in terms of abilities,
[00:18:25.980 --> 00:18:32.460]   it's not like you have to switch if Gemini 2.5 Pro is your favourite or O3 from OpenAI. Models do tend
[00:18:32.460 --> 00:18:37.820]   to have different personalities and different niches like coding, so do experiment if you're still exploring
[00:18:37.820 --> 00:18:43.260]   language models. It would be a little too reductive to say that one model now is the smartest of them
[00:18:43.260 --> 00:18:49.340]   all. Definitely Opus 4 is a contender though if such a crown were to exist. Anyway whatever you think,
[00:18:49.340 --> 00:18:54.860]   hopefully you respect the fact that I literally read that 120 page system card in the three hours after
[00:18:54.860 --> 00:19:01.260]   release. Then I watched the videos on double speed and then got started filming basically. Thank you
[00:19:01.260 --> 00:19:04.300]   so much for watching to the end and have a wonderful day.

