
[00:00:00.000 --> 00:00:17.000]   Good afternoon.
[00:04:11.000 --> 00:04:13.000]   Okay.
[00:04:13.000 --> 00:04:25.000]   So a couple of things on the forum.
[00:04:25.000 --> 00:04:54.000]   So Adam, who has been apparently writing APL since pretty much as long as he could read or talk or something, pointed out that the way I'm doing operators is not quite right, which I was kind of aware of, but I was hand waving over, which I agree I should not be.
[00:04:54.000 --> 00:05:12.000]   So let me show you what I mean.
[00:05:12.000 --> 00:05:28.000]   So operators, the issue is that operators themselves can be monadic or dyadic. So monadic operator means that you just have a function on the left of it, whereas a dyadic operator would have a function on the left and the right.
[00:05:28.000 --> 00:05:34.000]   Well, not necessarily. It could be a function or an array on the left and the right, and would return a function.
[00:05:34.000 --> 00:05:44.000]   The functions that these operators return, regardless of their monadic or dyadic operators, can themselves be monadic or dyadic functions.
[00:05:44.000 --> 00:05:59.000]   I guess I should also say it could be, I don't know if people would say ambivalent or ambivalent. Ambivalent sounds like they don't care to me, but anyway, ambivalent meaning to valences that could be dyadic or monadic.
[00:05:59.000 --> 00:06:13.000]   So if we look at the help, for example, they do point this out in the documentation.
[00:06:13.000 --> 00:06:28.000]   So operator slash. Okay, so this is operator slash. So this is the function being returned, which is monadic.
[00:06:28.000 --> 00:06:45.000]   And then I know Serata asked about this and why it's reduced. Is this a dyadic version or something? No, it's not. This is something else.
[00:06:45.000 --> 00:06:53.000]   Slash is a monadic operator with a dyadic operand.
[00:06:53.000 --> 00:07:01.000]   Oh, okay. So the thing that it takes is dyadic and it returns. Okay, so this one only returns a monadic function.
[00:07:01.000 --> 00:07:10.000]   Serata, what is n, y is reduced? How is this different to? Oh, no, this is dyadic. This is the dyadic function version.
[00:07:10.000 --> 00:07:13.000]   Okay.
[00:07:13.000 --> 00:07:20.000]   We don't hear you, Serata.
[00:07:20.000 --> 00:07:24.000]   Even though I can see, I hear you now.
[00:07:24.000 --> 00:07:33.000]   No, just the documentation is very intimidating. And I can't distinguish what is the difference between reduced and reduced and y. So, okay.
[00:07:33.000 --> 00:07:43.000]   Well, in that case, this is a perfect example, because I don't know either. But I can see from here that it's a monadic versus a dyadic function.
[00:07:43.000 --> 00:07:54.000]   So what we could do is we could go all the way down to a fifth level heading here and say monadic function.
[00:07:54.000 --> 00:08:14.000]   And then we could have dyadic function. Okay, the monadic function is called reduce.
[00:08:14.000 --> 00:08:27.000]   Okay, which means we can't put the name up here anymore. Well, maybe I should put both, reduce/reduce and ys.
[00:08:27.000 --> 00:08:34.000]   But how they write it? And ys reduce, okay.
[00:08:34.000 --> 00:08:43.000]   And ys reduce. Copy that.
[00:08:43.000 --> 00:08:49.000]   Dyadic function and ys reduce.
[00:08:49.000 --> 00:09:05.000]   And so then copy.
[00:09:05.000 --> 00:09:19.000]   All right. Okay, so I4, we know what that is. That's fine.
[00:09:19.000 --> 00:09:21.000]   All right, what's this doing?
[00:09:21.000 --> 00:09:38.000]   So this is three, I think we have some more examples. Let me know if anybody figures out what this is doing.
[00:09:38.000 --> 00:09:52.000]   It seems one, two, three, two, three, four, window size of three. Oh, so this is a yeah, so it's kind of chunking it.
[00:09:52.000 --> 00:09:56.000]   And then adding it. Okay, that makes sense.
[00:09:56.000 --> 00:10:01.000]   So you've got. Oh, no, it's not chunking it. I see. So we've got the numbers one to four.
[00:10:01.000 --> 00:10:06.000]   So it's adding the first. Oh, it's doing it's kind of like a moving average, right?
[00:10:06.000 --> 00:10:11.000]   So if I did.
[00:10:11.000 --> 00:10:15.000]   A window sum, I guess.
[00:10:15.000 --> 00:10:17.000]   A window sum.
[00:10:17.000 --> 00:10:20.000]   A window sum, yes, exactly.
[00:10:20.000 --> 00:10:28.000]   So if I did three divided into.
[00:10:28.000 --> 00:10:34.000]   Turn on my APL keyboard.
[00:10:34.000 --> 00:10:43.000]   Three divided into. What's the swap thing again?
[00:10:43.000 --> 00:10:51.000]   Yes.
[00:10:51.000 --> 00:10:57.000]   So that would be like, yeah, that's like a moving average now, right?
[00:10:57.000 --> 00:11:02.000]   The average of one, two, three, the average of two, three, four.
[00:11:02.000 --> 00:11:07.000]   Probably a better way to write that, but it's.
[00:11:07.000 --> 00:11:12.000]   And then lamp is.
[00:11:12.000 --> 00:11:15.000]   Cover.
[00:11:15.000 --> 00:11:19.000]   Moving average.
[00:11:19.000 --> 00:11:23.000]   Okay.
[00:11:23.000 --> 00:11:28.000]   Endowed some.
[00:11:28.000 --> 00:11:34.000]   Oh.
[00:11:34.000 --> 00:11:38.000]   Well, I don't need to put it here.
[00:11:38.000 --> 00:11:45.000]   But above.
[00:11:45.000 --> 00:11:52.000]   Endowed some.
[00:11:52.000 --> 00:12:00.000]   What does this do if you pass in an array as the alpha argument, like three, four or something?
[00:12:00.000 --> 00:12:03.000]   Your microphone is so loud, it's kind of like distorting.
[00:12:03.000 --> 00:12:07.000]   I don't know if there's a way to like move it away from your mouth or change it.
[00:12:07.000 --> 00:12:09.000]   Or something.
[00:12:09.000 --> 00:12:14.000]   I'm sorry. That was two. That was three.
[00:12:14.000 --> 00:12:20.000]   That is better. That's actually almost too quiet, but I, that's, that's not going to drive me quite so crazy yet.
[00:12:20.000 --> 00:12:23.000]   Say it again.
[00:12:23.000 --> 00:12:31.000]   Oh, I was wondering what, you know, this does, if you asked an array as the, the alpha argument, like three, four.
[00:12:31.000 --> 00:12:34.000]   Oh, that's a good question.
[00:12:34.000 --> 00:12:51.000]   I want to raise up. Let's find out.
[00:12:51.000 --> 00:13:04.000]   Moving average.
[00:13:04.000 --> 00:13:07.000]   Like that.
[00:13:07.000 --> 00:13:12.000]   Yeah, they don't like it.
[00:13:12.000 --> 00:13:20.000]   I would say X must be a simple scalar of one item integer.
[00:13:20.000 --> 00:13:26.000]   What's the distinction between a simple scalar and an item integer?
[00:13:26.000 --> 00:13:37.000]   I mean, one thing I did want to do today or soon is something that Adam suggested, which is to look at the rank operator, which would allow us to deal with this nicely.
[00:13:37.000 --> 00:13:42.000]   For now, let's put that aside.
[00:13:42.000 --> 00:13:48.000]   Okay. Yeah. So this one just is doing a sum of single things, which is not very useful.
[00:13:48.000 --> 00:13:49.000]   Okay.
[00:13:49.000 --> 00:13:50.000]   Identity element.
[00:13:50.000 --> 00:14:06.000]   This is kind of interesting, actually more of a mathematical or computer science idea, but I think we should keep it because that's part of what we're learning about is the idea of the identity element for an operation.
[00:14:06.000 --> 00:14:17.000]   So.
[00:14:17.000 --> 00:14:29.000]   So basically, this is like if you want to start with a number and then add things to it, then starting with zero is the number you would want to start at to get the right answer.
[00:14:29.000 --> 00:14:33.000]   Zero plus a bunch of things gives you the addition of a bunch of things.
[00:14:33.000 --> 00:14:39.000]   But for multiply, that's not true. For multiply, you have to start with a number one.
[00:14:39.000 --> 00:14:51.000]   And so, yeah, so APL seems to know what the identity element, at least for these operations is.
[00:14:51.000 --> 00:14:58.000]   That's interesting.
[00:14:58.000 --> 00:15:04.000]   Flipping the window when the scalar is negative.
[00:15:04.000 --> 00:15:12.000]   When the switch, sorry, where's the scalar negative? Oh, the last one. Yeah. Yeah. Okay. Hang on. You're getting ahead of where I'm up to a little bit. Okay.
[00:15:12.000 --> 00:15:20.000]   So this is just showing the example with comma where comma means concatenate.
[00:15:20.000 --> 00:15:23.000]   That's easy enough.
[00:15:23.000 --> 00:15:31.000]   And all right, so then.
[00:15:31.000 --> 00:15:43.000]   Yeah, so it's just flipping it around.
[00:15:43.000 --> 00:15:46.000]   Okay, seems reasonable.
[00:15:46.000 --> 00:15:52.000]   I'm not sure we need both of those.
[00:15:52.000 --> 00:15:57.000]   We have we done comma before.
[00:15:57.000 --> 00:15:59.000]   Does anybody remember.
[00:15:59.000 --> 00:16:07.000]   I don't remember doing it. I don't think we did. Oh, okay. Well, that's important.
[00:16:07.000 --> 00:16:17.000]   It's not the right button.
[00:16:17.000 --> 00:16:25.000]   Nothing to search for.
[00:16:25.000 --> 00:16:30.000]   No, we haven't. Okay, fine.
[00:16:30.000 --> 00:16:59.000]   Okay.
[00:16:59.000 --> 00:17:05.000]   So let's do comma.
[00:17:05.000 --> 00:17:10.000]   I get a bit confused because I.
[00:17:10.000 --> 00:17:24.000]   You know, also do similar classes with my daughter and her friends. So I get confused about what I've done with whom, even though I'm trying to make them somewhat aligned.
[00:17:24.000 --> 00:17:35.000]   Okay, so here's comma.
[00:17:35.000 --> 00:18:02.000]   Presumably they call comma. Yes, they do.
[00:18:02.000 --> 00:18:08.000]   All right, my data is called rebel.
[00:18:08.000 --> 00:18:14.000]   Which I saw came up on the forum.
[00:18:14.000 --> 00:18:23.000]   It's called that.
[00:18:23.000 --> 00:18:34.000]   The nice thing is that as we do more stuff, we can increasingly use examples directly from the docs, which is nice.
[00:18:34.000 --> 00:18:40.000]   Okay, so.
[00:18:40.000 --> 00:18:45.000]   Best.
[00:18:45.000 --> 00:18:52.000]   All right, so here is going to be.
[00:18:52.000 --> 00:19:00.000]   Two by two by two, two by two by two.
[00:19:00.000 --> 00:19:06.000]   I guess we could print that out row in there as well.
[00:19:06.000 --> 00:19:09.000]   Oh, thank you.
[00:19:09.000 --> 00:19:13.000]   Two by two by two.
[00:19:13.000 --> 00:19:26.000]   Eight.
[00:19:26.000 --> 00:19:32.000]   Oh, no, it's just two by two.
[00:19:32.000 --> 00:19:38.000]   Okay, oh, I see that extra access is to show us that there's a second place.
[00:19:38.000 --> 00:19:42.000]   Cool.
[00:19:42.000 --> 00:19:53.000]   Okay, so cover just would be what we'd call flatten, I guess in pytorch.
[00:19:53.000 --> 00:19:59.000]   I think it, it will not flatten nested list nested arrays out though.
[00:19:59.000 --> 00:20:07.000]   Right, which I don't think pytorch, which I don't think pytorch doesn't have them.
[00:20:07.000 --> 00:20:14.000]   But if we go into the documentation, they are actually different from the epsilon.
[00:20:14.000 --> 00:20:18.000]   Very subtle difference.
[00:20:18.000 --> 00:20:23.000]   I don't think we've done epsilon yet have we.
[00:20:23.000 --> 00:20:29.000]   We should do it now. Okay, well we can do it now if that's something worth looking at.
[00:20:29.000 --> 00:20:40.000]   If we rebel that it doesn't really do anything, because it's yeah, because it's not a.
[00:20:40.000 --> 00:20:48.000]   It's not it's not a higher rank tensor. It's a array of arrays.
[00:20:48.000 --> 00:20:53.000]   I guess that's worth including. And yeah, epsilon does flatten that out.
[00:20:53.000 --> 00:20:58.000]   I see. Let's do a simple one.
[00:20:58.000 --> 00:21:02.000]   Okay.
[00:21:02.000 --> 00:21:10.000]   Dietic comma.
[00:21:10.000 --> 00:21:13.000]   Oh,
[00:21:13.000 --> 00:21:24.000]   have we talked about axes yet.
[00:21:24.000 --> 00:21:28.000]   Ring a bell to anybody.
[00:21:28.000 --> 00:21:50.000]   Yes. Oh, we've got them here, but we haven't talked about them.
[00:21:50.000 --> 00:22:00.000]   Let's create a section for axes then.
[00:22:00.000 --> 00:22:06.000]   And so let's move these.
[00:22:06.000 --> 00:22:24.000]   Because this is important.
[00:22:24.000 --> 00:22:31.000]   Okay, let's read access.
[00:22:31.000 --> 00:22:39.000]   Up to here.
[00:22:39.000 --> 00:22:46.000]   Okay, so comma three, four.
[00:22:46.000 --> 00:22:54.000]   Oh, I think the problem is my little sample one's a bit broken.
[00:22:54.000 --> 00:23:00.000]   See, that's why that's broken. Okay.
[00:23:00.000 --> 00:23:05.000]   This is kind of an X. This is probably kind of an operator that never mind.
[00:23:05.000 --> 00:23:12.000]   So, axes are things you put in square brackets.
[00:23:12.000 --> 00:23:19.000]   After a function.
[00:23:19.000 --> 00:23:24.000]   And it lets you apply that function.
[00:23:24.000 --> 00:23:35.000]   Over a particular axis.
[00:23:35.000 --> 00:23:37.000]   Maxis.
[00:23:37.000 --> 00:23:43.000]   Yeah, I think we started talking about these briefly, perhaps.
[00:23:43.000 --> 00:23:52.000]   Okay, it does not follow the normal syntax of an operator so I'm not going to just call it a normal operator. That's why we're getting at its own spot.
[00:23:52.000 --> 00:24:06.000]   And it can be applied to any dyadic primitive scalar function.
[00:24:06.000 --> 00:24:11.000]   This looks like a good example.
[00:24:11.000 --> 00:24:19.000]   Okay, so.
[00:24:19.000 --> 00:24:42.000]   So this is a function that's going to apply equals to columns, I guess.
[00:24:42.000 --> 00:24:48.000]   Let's see 145145.
[00:24:48.000 --> 00:24:55.000]   And so the way it describes it.
[00:24:55.000 --> 00:25:00.000]   Does it say what it is.
[00:25:00.000 --> 00:25:14.000]   I found that kind of the way that helped me kind of understand what it's doing is with plus slash. Yeah, you use the bracket access to have a matrix on some of those.
[00:25:14.000 --> 00:25:27.000]   I'm hoping to do this before we do operators, though, which is why I was wanting to do a static version. I'm just trying to find anywhere in the help to actually say what it does.
[00:25:27.000 --> 00:25:34.000]   I'm having trouble seeing that here.
[00:25:34.000 --> 00:25:39.000]   I don't think it actually says what R is, does it?
[00:25:39.000 --> 00:25:44.000]   That's weird.
[00:25:44.000 --> 00:25:49.000]   Maybe this is the description. The access operator can take a scalar.
[00:25:49.000 --> 00:25:52.000]   No, that doesn't really tell us either.
[00:25:52.000 --> 00:26:03.000]   I think the APL wiki has a better information about it. Thanks under function access if I remember.
[00:26:03.000 --> 00:26:08.000]   It's got better search to
[00:26:08.000 --> 00:26:13.000]   bracket access.
[00:26:13.000 --> 00:26:35.000]   Well, we're directed to practice function access. Okay.
[00:26:35.000 --> 00:26:52.000]   I can exactly say what it is. It seems like like different functions have different ways that access affects them. Is that what it is? Oh, is that the problem?
[00:26:52.000 --> 00:27:19.000]   I see. So it's hard to say exactly what it is because it varies.
[00:27:19.000 --> 00:27:30.000]   Okay. Okay, so I guess, yeah, this is what we're actually doing is we've got an access with a scalar dyadic function. So plus as well equals is a scalar dyadic function.
[00:27:30.000 --> 00:27:39.000]   It applies it's an infix thing, which is going to have a scalar can have a scalar on the left and the right. Normally, it would apply element wise over the scalars.
[00:27:39.000 --> 00:27:49.000]   In this case, we've got an access. So it stretches the lower rank array. So the one on the left is lower rank. This is rank one.
[00:27:49.000 --> 00:27:54.000]   To fit the higher rank.
[00:27:54.000 --> 00:27:58.000]   The elements of the row rank array are replicated.
[00:27:58.000 --> 00:28:09.000]   So we want to apply this column wise. So these are treated as columns.
[00:28:09.000 --> 00:28:21.000]   That makes sense. And so you get one four five equals one three five and then one four five equals two four six.
[00:28:21.000 --> 00:28:26.000]   That's cool.
[00:28:26.000 --> 00:28:32.000]   Yeah, I think you're right. I think that's the issue.
[00:28:32.000 --> 00:28:36.000]   That does make life a little confusing.
[00:28:36.000 --> 00:28:45.000]   All right, so let's use this example.
[00:28:45.000 --> 00:29:09.000]   Okay, so Matt is two rows of three columns of that.
[00:29:09.000 --> 00:29:22.000]   Okay, so plus will be applied to columns.
[00:29:22.000 --> 00:29:28.000]   This is the lower rank. So this will become a bunch of columns of one and two.
[00:29:28.000 --> 00:29:34.000]   So you get one and two added to this one and two added to this one and two added to this, which is exactly correct.
[00:29:34.000 --> 00:29:40.000]   Okay, I think that makes sense.
[00:29:40.000 --> 00:29:53.000]   And so now what we're about to discover is that, for example, Ravel has its own special behavior.
[00:29:53.000 --> 00:30:06.000]   With an access area, Ravel with axes.
[00:30:06.000 --> 00:30:19.000]   Okay, is the access and it could be a fraction or integer or vector or empty.
[00:30:19.000 --> 00:30:24.000]   Well, okay, if it's a fraction.
[00:30:24.000 --> 00:30:35.000]   I do like access of length one is inserted.
[00:30:35.000 --> 00:30:58.000]   Okay.
[00:30:58.000 --> 00:31:09.000]   Oh yeah, you see the difference. We've got this. That's a bit subtle because you can't see it in the documentation right because they don't actually print the boxing.
[00:31:09.000 --> 00:31:20.000]   So I'm glad we've got boxing on. So this is inserted a new access between the zeroth axis and the one axis.
[00:31:20.000 --> 00:31:27.000]   And I think we could use anything between zero and one it would do the same thing.
[00:31:27.000 --> 00:31:40.000]   So in NumPy, that would be the equivalent of indexing something with with non or NP dot new access.
[00:31:40.000 --> 00:31:45.000]   All right.
[00:31:45.000 --> 00:31:52.000]   I think the documentation tried to show it by doing row of that to show that it's okay.
[00:31:52.000 --> 00:31:59.000]   Yeah, yeah, okay. Got it. You're right. You're right.
[00:31:59.000 --> 00:32:20.000]   Maybe we should do that as also just in case people don't notice the arrow.
[00:32:20.000 --> 00:32:28.000]   All right.
[00:32:28.000 --> 00:32:37.000]   If it's an integer.
[00:32:37.000 --> 00:32:41.000]   Then it only travels along those axes.
[00:32:41.000 --> 00:32:49.000]   Okay, no worries.
[00:32:49.000 --> 00:33:10.000]   So we're going to create something called M.
[00:33:10.000 --> 00:33:26.000]   So what they had. Yes, it is.
[00:33:26.000 --> 00:33:31.000]   So what's happening here?
[00:33:31.000 --> 00:33:40.000]   Okay, so then we're traveling over axes one and two, which is these two that we index from one, I guess.
[00:33:40.000 --> 00:33:43.000]   What are we index from zero axes?
[00:33:43.000 --> 00:33:46.000]   Hopefully we index from one because that's what we normally do.
[00:33:46.000 --> 00:33:55.000]   So that would suggest we're indexing over, traveling over these.
[00:33:55.000 --> 00:34:03.000]   We're left with six four. Oh, okay. Okay. Wait, no, I'm slightly confused. This is the opposite of what I expected.
[00:34:03.000 --> 00:34:11.000]   So this is left the trailing axis on its own and the first two axes have been combined.
[00:34:11.000 --> 00:34:28.000]   Oh, so that's what this is saying is combine these two axes.
[00:34:28.000 --> 00:34:38.000]   Yes, it is. You can see here it's combining those two axes.
[00:34:38.000 --> 00:34:49.000]   Does that make sense?
[00:34:49.000 --> 00:34:59.000]   Anybody have any questions about that so far?
[00:34:59.000 --> 00:35:10.000]   I haven't done unravel, so I have no idea. Is that a thing?
[00:35:10.000 --> 00:35:25.000]   I remember reading about it like I came across it with numpy before and it was like something numpy has some kind of like a ravel method and I was like confused like I'm not sure if that's the opposite of just in English.
[00:35:25.000 --> 00:35:32.000]   I've actually seen that word just by itself like that. Oh, I've not seen it in normal.
[00:35:32.000 --> 00:35:35.000]   It's always just unravel something.
[00:35:35.000 --> 00:35:39.000]   Oh, there's reveal the composer.
[00:35:39.000 --> 00:35:45.000]   Oh, here we go. Apparently it exists to disentangle or unravel.
[00:35:45.000 --> 00:35:53.000]   Well, that's confusing to become unwoven.
[00:35:53.000 --> 00:35:57.000]   Sounds the same as unravel.
[00:35:57.000 --> 00:36:00.000]   Like inflammable means flammable.
[00:36:00.000 --> 00:36:04.000]   So it's one of those things.
[00:36:04.000 --> 00:36:08.000]   Well, thank you for checking the dictionary for me.
[00:36:08.000 --> 00:36:16.000]   Somebody said hello in the chat. Hello Miguel. Are you able to speak or are you just on text chat today.
[00:36:16.000 --> 00:36:19.000]   Miguel said,
[00:36:19.000 --> 00:36:22.000]   I'm able to speak. I've just been lurking.
[00:36:22.000 --> 00:36:28.000]   Yeah, tell us what you said in the chat.
[00:36:28.000 --> 00:36:36.000]   Yeah, um, ravel I does, I do think means the opposite of unravel. Yes, I mean tell us what you said earlier in the chat.
[00:36:36.000 --> 00:36:39.000]   You had something that big.
[00:36:39.000 --> 00:36:51.000]   Yeah, I joined a while ago, I, I'm also a fan of rate programming languages and memorization techniques so I caught up with earlier sessions, and I made an anchor deck for the BQ English.
[00:36:51.000 --> 00:36:53.000]   And is that in here somewhere.
[00:36:53.000 --> 00:36:56.000]   Oh yeah, Miguel raises anchor deck.
[00:36:56.000 --> 00:36:58.000]   Yeah, excellent.
[00:36:58.000 --> 00:37:07.000]   So how long. Okay, so let me just go back a bit so probably not everybody here knows what bqn is so to tell us about bqn.
[00:37:07.000 --> 00:37:17.000]   Bqn is a another offshoot of apl. It's free and open source. And if you go to the community page there.
[00:37:17.000 --> 00:37:28.000]   That's the online rebel to so you can just try it out in your browser. And there's no my Anki deck link there, so that you can also learn the glyphs on the community page.
[00:37:28.000 --> 00:37:34.000]   Where's the sorry so there's a online ripple here somewhere.
[00:37:34.000 --> 00:37:37.000]   Yeah.
[00:37:37.000 --> 00:37:41.000]   Oh, you mean on here. Yeah.
[00:37:41.000 --> 00:37:45.000]   That's. Oh, you can actually this is.
[00:37:45.000 --> 00:37:47.000]   I see.
[00:37:47.000 --> 00:37:49.000]   That's nifty.
[00:37:49.000 --> 00:38:08.000]   So, bqn, all I know about it really is from listening to the arraycast episode with the creator of it Marshall Lockburn, who used to work at bqn, and from listening to the arraycast chat with the CTO of dialogue.
[00:38:08.000 --> 00:38:24.000]   He described Marshall is basically wanting to go too fast. So Marshall left dialogue, and rather than trying to turn apl into the thing he really wanted it to be he decided to start from scratch and create a new array language to be all the stuff that
[00:38:24.000 --> 00:38:37.000]   he wished dialogue, apl was I guess I wished apl was based on, you know, all the things we've learned about array programming since it uses its own character set, which some things look familiar to me.
[00:38:37.000 --> 00:38:40.000]   Like down style and up style.
[00:38:40.000 --> 00:38:46.000]   And these ones look the same but there's also some symbols that aren't an apl.
[00:38:46.000 --> 00:38:58.000]   Yeah, there's also something interesting where they use stranding for the limiting lists. So that reduces ambiguity and though yeah that's this one here right.
[00:38:58.000 --> 00:39:18.000]   Yeah, yeah, so stranding means this. Okay, so apparently this was a huge area of contention some decades ago, being able to basically do this to create an array of arrays is is called stranding.
[00:39:18.000 --> 00:39:26.000]   And in bqn can you can you create a list like this or even this list would require that stranding character.
[00:39:26.000 --> 00:39:42.000]   You need the stranding character. Yeah, okay so you can't just write one space to play space three instead you have to use this, this thing. So, one, three.
[00:39:42.000 --> 00:39:48.000]   What just happened. That didn't work where expected. Oh that error must do something different what I thought it did.
[00:39:48.000 --> 00:39:52.000]   Do I have to press enter instead.
[00:39:52.000 --> 00:39:55.000]   What button do I press to.
[00:39:55.000 --> 00:39:59.000]   I do shift. I do shift got it there we go. Okay.
[00:39:59.000 --> 00:40:01.000]   Yeah.
[00:40:01.000 --> 00:40:07.000]   So I think it took some of the ideas from J. Some ideas from apl.
[00:40:07.000 --> 00:40:11.000]   Some ideas that aren't an apl yet.
[00:40:11.000 --> 00:40:18.000]   So definitely something I'm keen to check out at some point.
[00:40:18.000 --> 00:40:33.000]   So your thoughts so far Miguel about bqn, like, as a language for learning array programming or sand or doing data analysis and or having fun.
[00:40:33.000 --> 00:40:44.000]   There's less literature than apl, which has decades. So, translating a lot of the materials into bqn is interesting.
[00:40:44.000 --> 00:41:04.000]   I enjoy it. I found it ways here to get started with because I couldn't work out how to download the API thing and get it working on my computer so I just started with bqn and jails just, I think, put a little joke in the chat which I think I understand
[00:41:04.000 --> 00:41:12.000]   he said it's the less healthy version of apl assume where apl we read as Apple and bqn we read as bacon.
[00:41:12.000 --> 00:41:17.000]   Yeah, yeah, exactly. Okay, I got it.
[00:41:17.000 --> 00:41:29.000]   And according to the documentation for bqn you're not meant to call it bacon unless you're making a joke. So, you are allowed to call it bacon in this situation.
[00:41:29.000 --> 00:41:36.000]   All right. Nice.
[00:41:36.000 --> 00:41:43.000]   We are not as yet unraveled, I don't think so.
[00:41:43.000 --> 00:41:46.000]   Guess we should do this one now.
[00:41:46.000 --> 00:41:53.000]   I had it, comma.
[00:41:53.000 --> 00:41:59.000]   All right. So this one looks pretty straightforward.
[00:41:59.000 --> 00:42:04.000]   Well, not quite straightforward, actually.
[00:42:04.000 --> 00:42:15.000]   So we need our cube back again.
[00:42:15.000 --> 00:42:26.000]   All right, so this is just concatenate, which, as folks on the chat have pointed out.
[00:42:26.000 --> 00:42:33.000]   Hang on, there's some contention here. Concatenate. Miguel wrote catenate is the opposite of concatenate, but I think actually no.
[00:42:33.000 --> 00:42:44.000]   Catenate is the same as concatenate, and so I think we are here we are concatenating 4, 5, 6 to 1, 2, 3.
[00:42:44.000 --> 00:43:02.000]   And here we are taking our 2x2x2 cube and concatenating 99 to the kind of innermost axis, I guess.
[00:43:02.000 --> 00:43:18.000]   Which presumably the documentation will explain to us.
[00:43:18.000 --> 00:43:31.000]   Oh, and then there's a different version, which is comma bar, I guess you would call that, which we should probably therefore also mention.
[00:43:31.000 --> 00:43:36.000]   I guess that's catenate first, is it?
[00:43:36.000 --> 00:43:40.000]   Yes, it is.
[00:43:40.000 --> 00:43:54.000]   So is there anything else to know about comma bar?
[00:43:54.000 --> 00:44:00.000]   Oh, that means something else entirely, does it?
[00:44:00.000 --> 00:44:05.000]   Is this transpose?
[00:44:05.000 --> 00:44:15.000]   Gosh, what a rabbit hole.
[00:44:15.000 --> 00:44:19.000]   Oh, that's weird.
[00:44:19.000 --> 00:44:33.000]   It's not quite transpose.
[00:44:33.000 --> 00:44:51.000]   Curious.
[00:44:51.000 --> 00:45:02.000]   All right, so catenation with an integer or implied access specification, they're joined along the required access.
[00:45:02.000 --> 00:45:12.000]   What does that mean, the required access?
[00:45:12.000 --> 00:45:23.000]   Why does this appear at the bottom?
[00:45:23.000 --> 00:45:31.000]   Because you can denote the axis you want to concatenate along with the index. Oh, it's because this has come about. That's why.
[00:45:31.000 --> 00:45:44.000]   Yeah, the required access, I guess, is implied to be.
[00:45:44.000 --> 00:45:47.000]   Yes, it's specified.
