
[00:00:00.400 --> 00:00:10.840]   I and many listeners of this podcast are obsessed with dopamine and what is dopamine? How does it
[00:04:10.200 --> 00:04:17.400]   like my bulldog Costello, um, very, very stable, low levels of dopamine with big inflections in his case.
[00:04:17.400 --> 00:04:27.480]   Um, is that, do you think that's a set in terms of, um, our parents and obviously nature and nurture interact,
[00:04:27.480 --> 00:04:30.920]   but is that, is dopamine at the core of our temperament?
[00:04:30.920 --> 00:04:39.480]   I don't really think we know the answer to that, but I will say that people are definitely born
[00:04:39.480 --> 00:04:48.280]   with different temperaments and those temperaments do affect their ability to experience joy. Um,
[00:04:48.280 --> 00:04:52.920]   and, and, you know, we've known that for a long time and we described that in many different ways.
[00:04:52.920 --> 00:04:57.800]   One of the ways that we describe that in the modern era is to use psychiatric nomenclature,
[00:04:57.800 --> 00:05:03.320]   like this person has a dysthymic temperament, or, you know, this person has chronic major depressive
[00:05:03.320 --> 00:05:10.520]   disorder. Um, in terms of looking specifically at who's vulnerable to addiction, um, that's an
[00:05:10.520 --> 00:05:16.280]   interesting sort of mixed bag because when you look at, uh, the research on risk factors for
[00:05:16.280 --> 00:05:21.240]   addiction, so what kind of temperament, uh, of a person makes them more vulnerable to addiction,
[00:05:21.240 --> 00:05:26.520]   you see, um, some interesting findings. First, you see that people who are more impulsive
[00:05:26.520 --> 00:05:31.720]   are more vulnerable to addiction. So what is impulsivity? That means having difficulty, um,
[00:05:31.720 --> 00:05:38.040]   putting space between the thought or desire to do something and actually doing it. And people who have
[00:05:38.040 --> 00:05:42.600]   difficulty putting a space there who are, who have a thought to do something and just do it
[00:05:42.600 --> 00:05:46.520]   impulsively are people who are more vulnerable to addiction.
[00:05:46.520 --> 00:05:52.280]   Interesting. Could I, uh, in terms of impulsivity, is this something that relates literally to,
[00:05:52.280 --> 00:05:57.320]   um, the startle reflex? Like I, for instance, as a, uh, lab director, I'm familiar with walking around
[00:05:57.320 --> 00:06:01.800]   my lab. And, um, when I decide deciding I'm going to talk to my people, of course, when they knock on my
[00:06:01.800 --> 00:06:05.560]   door, it's always like, wait, why am I being bothered right now? Even though I love to talk to them,
[00:06:05.560 --> 00:06:09.320]   but I walk around my lab from time to time and some people I notice I'll say, um,
[00:06:09.320 --> 00:06:15.240]   do you have a moment? And they'll slowly turn around and say, yeah, or no, in some cases.
[00:06:15.240 --> 00:06:20.200]   Um, and other people will jump the moment I say their name, they actually have a,
[00:06:20.200 --> 00:06:23.320]   uh, a kind of a heightened, um, startle reflex. Right.
[00:06:23.320 --> 00:06:28.520]   Is that related to impulsivity or is what you're referring to, um, an attempt to, uh,
[00:06:29.080 --> 00:06:32.920]   withhold behavior that's very deliberate under very deliberate conditions?
[00:06:32.920 --> 00:06:38.120]   Yeah. So I don't think that that startle reflex is, is necessarily related to impulsivity. That,
[00:06:38.120 --> 00:06:43.240]   that can be related to anxiety. So people who are high anxiety, people will tend to have more
[00:06:43.240 --> 00:06:49.000]   of a startle reflex. Impulsivity is a little bit different. And by the way, impulsivity is not always
[00:06:49.000 --> 00:06:58.600]   bad, right? Um, impulsivity is, is that thing where there's not a lot of self editing or worrying about
[00:06:58.600 --> 00:07:04.760]   future consequences. You know, you have the idea to do something and you do it. And of course we can
[00:07:04.760 --> 00:07:11.080]   imagine many scenarios where that's absolutely wonderful. Um, you know, there can be a sort of,
[00:07:11.080 --> 00:07:18.520]   uh, let's say intimate, um, interactions between people where you wouldn't really want to be super
[00:07:18.520 --> 00:07:23.880]   inhibited about it. Right. You would want to be disinhibited and, and impulsive. Um, there, I can also
[00:07:23.880 --> 00:07:30.440]   like imagine like sort of, um, fight or flight scenarios, like battle scenarios, right. Where, where it would
[00:07:30.440 --> 00:07:35.720]   really be good to be impulsive and just go, rah, you know, just where hesitation can cost you your life.
[00:07:35.720 --> 00:07:40.120]   Yes, that's right. That's right. But you know, and I think this brings up a really,
[00:07:40.120 --> 00:07:48.840]   something that I've come to believe after 25 years of practicing psychiatry is that what we now
[00:07:48.840 --> 00:07:59.160]   conceptualize in our current ecosystem as mental illness are actually traits that in another ecosystem
[00:07:59.160 --> 00:08:05.240]   might be very advantageous. They're just not advantageous right now because of the world that
[00:08:05.240 --> 00:08:10.760]   we live in. And, and I think, you know, impulsivity is potentially one of those, right.
[00:08:10.760 --> 00:08:16.760]   Cause we live in this world that's sort of like, you have to, um, constantly be thinking
[00:08:16.760 --> 00:08:24.440]   sort of rationally about the consequences of X, Y, or Z. And it's such a sensory rich environment,
[00:08:24.440 --> 00:08:30.280]   right. That we're being bombarded with all of these opportunities, these sensory opportunities,
[00:08:30.280 --> 00:08:34.840]   and we have to constantly check ourselves. And so, so, so impulsivity is something that
[00:08:34.840 --> 00:08:41.080]   right now, um, can be a difficult trait, but isn't in and of itself a bad thing.
[00:08:41.080 --> 00:08:41.880]   I see. Yeah.
[00:08:41.880 --> 00:08:46.360]   Yeah. And it's, I, I'm beginning to realize it's a fine line between spontaneity and impulsivity.
[00:08:46.360 --> 00:08:54.760]   Yeah.

