
[00:00:00.800 --> 00:00:10.840]   TAN BANG: Hello, everyone.
[00:05:08.640 --> 00:05:11.260]   And the way to do it is by democratizing data
[00:05:11.260 --> 00:05:15.000]   and giving them access to how a business analyst,
[00:05:15.000 --> 00:05:17.220]   our product managers, our product operations,
[00:05:17.220 --> 00:05:19.720]   our total whole operations, that how
[00:05:19.720 --> 00:05:22.160]   they can make faster decisions in terms of prompt,
[00:05:22.160 --> 00:05:27.060]   in terms of adding inputs, in terms of adding parameters
[00:05:27.060 --> 00:05:28.920]   of different kinds, right?
[00:05:28.920 --> 00:05:30.360]   And last but not the least, graphs
[00:05:30.360 --> 00:05:33.780]   graphs can decrease the cognitive effort to represent flows.
[00:05:33.780 --> 00:05:36.500]   And this is something that what Shreya was mentioning about,
[00:05:36.500 --> 00:05:39.620]   that the human instruction is difficult for a machine
[00:05:39.620 --> 00:05:40.620]   to understand.
[00:05:40.620 --> 00:05:44.960]   So graph basically makes that process easier for us.
[00:05:44.960 --> 00:05:47.840]   Now, to be true to my presentation,
[00:05:47.840 --> 00:05:49.580]   I will go to the evaluation part.
[00:05:49.580 --> 00:05:53.840]   And on the evaluation side, I first talk about a few different challenges
[00:05:53.840 --> 00:05:55.100]   overall we have.
[00:05:55.100 --> 00:06:00.340]   The first thing is that, as we heard from Harvey that they're not only in Antarctica.
[00:06:00.340 --> 00:06:03.340]   We are only in three countries, so it's a much smaller problem set.
[00:06:03.340 --> 00:06:07.800]   But still, you can imagine that when you're dealing with Portuguese, Spanish, the languages,
[00:06:07.800 --> 00:06:13.680]   the dialects, the kind of way people talk, et cetera, that changes across the country.
[00:06:13.680 --> 00:06:19.820]   And we have 58% of Brazilian population is our customer now, so we have to understand what users are talking about, et cetera, very extensively.
[00:06:19.820 --> 00:06:23.820]   The second thing is that Newbank's brand presence is huge.
[00:06:23.820 --> 00:06:29.960]   We are more popular than some of the well-known brands like McDonald's or Nike, even, in Brazil.
[00:06:29.960 --> 00:06:32.960]   So we cannot do anything, especially when it comes to jailbreak or guardrails.
[00:06:32.960 --> 00:06:35.960]   It's very important for us to keep a very high bar.
[00:06:35.960 --> 00:06:39.260]   And last but not the least, we have to be accurate in our messaging.
[00:06:39.260 --> 00:06:42.000]   Because at the end of the day, we are dealing with people's money.
[00:06:42.000 --> 00:06:45.960]   And money is something that people care about, about accuracy.
[00:06:45.960 --> 00:06:49.820]   And losing trust over money transfer is very easy.
[00:06:49.820 --> 00:06:57.620]   So taking a step back again, actually moving a little forward, on the customer service side
[00:06:57.620 --> 00:07:02.060]   and the money transfer use case, we have very different needs from a business side and from
[00:07:02.060 --> 00:07:06.000]   a technical side that what kind of evaluations we need.
[00:07:06.000 --> 00:07:11.640]   So in the case of customer service, in addition to accuracy, what matters a lot, that how are
[00:07:11.640 --> 00:07:13.340]   we approaching a customer?
[00:07:13.340 --> 00:07:15.820]   If a customer is calling us, hey, where is my card?
[00:07:15.820 --> 00:07:18.880]   Or hey, I see this chart that I don't recognize.
[00:07:18.880 --> 00:07:25.060]   If we give a very robotic experience, we lose the customer's trust and empathy and it matters.
[00:07:25.060 --> 00:07:27.740]   It's very easy for human to have this connection.
[00:07:27.740 --> 00:07:31.060]   It's very hard for machine to have this connection and we all know that.
[00:07:31.060 --> 00:07:32.840]   Also very high flattery doesn't work.
[00:07:32.840 --> 00:07:38.120]   I think all of you have seen that what happened with ChatGPT 4.1 model last week and they recalled
[00:07:38.120 --> 00:07:40.240]   and they relaunched.
[00:07:40.240 --> 00:07:45.180]   So in addition, in order to do these two jobs well, we need to think about do we understand
[00:07:45.180 --> 00:07:47.200]   customers' intent well?
[00:07:47.200 --> 00:07:51.680]   Do we understand that how are we retrieving content and context from different sources
[00:07:51.680 --> 00:07:53.660]   that we have internally?
[00:07:53.660 --> 00:07:55.540]   What is the deep link accuracy that we have?
[00:07:55.540 --> 00:07:58.140]   Because imagine our app is 3,000 pages.
[00:07:58.140 --> 00:08:04.500]   And in 3,000 pages we have hundreds of deep links and basically landing a user to the very
[00:08:04.500 --> 00:08:08.360]   app of the node and then asking them to traverse through different clicks and go to the page
[00:08:08.360 --> 00:08:12.460]   where they can self-service is very tedious and not very effective.
[00:08:12.460 --> 00:08:17.260]   And last but not the least, we need to make sure that we are not hallucinating.
[00:08:17.260 --> 00:08:21.960]   While as a money transfer, tone and state sentiment is okay.
[00:08:21.960 --> 00:08:23.400]   But we need to be accurate.
[00:08:23.400 --> 00:08:29.200]   But the accuracy is not only about the transfer money but also who we are transferring, which
[00:08:29.200 --> 00:08:34.680]   source we are using for transfer, does the person have enough money in their account, are
[00:08:34.680 --> 00:08:37.860]   they fraud suspects, do they have a pending collection?
[00:08:37.860 --> 00:08:41.900]   All of these things are very intricately connected because our customers are using not only one
[00:08:41.900 --> 00:08:48.240]   product but a whole suite of product from lending to financing to investment to banking account
[00:08:48.240 --> 00:08:49.840]   to credit card, et cetera.
[00:08:49.840 --> 00:08:54.360]   And also, oftentimes, they have dependent account, they have multiple cards, so we have to look
[00:08:54.360 --> 00:08:56.200]   at all of them together.
[00:08:56.200 --> 00:09:01.440]   So what is important there is that can we identify the name identity recognition properly?
[00:09:01.440 --> 00:09:05.920]   Because you can say, hey, send $100 to my brother.
[00:09:05.920 --> 00:09:10.140]   Now say you only have one brother and you have saved that brother and you have sent money before,
[00:09:10.140 --> 00:09:11.140]   it's easy.
[00:09:11.140 --> 00:09:14.660]   But imagine a situation where you have not done that and you have multiple brothers and it's
[00:09:14.660 --> 00:09:19.680]   like my favorite brother, my less favorite brother, then you have to identify that which
[00:09:19.680 --> 00:09:21.820]   brother I'm talking about to send the money, right?
[00:09:21.820 --> 00:09:26.100]   Because definitely I don't want to send money to my less favorite brother.
[00:09:26.100 --> 00:09:30.320]   The next one is about making sure the correct interpretation of the user input.
[00:09:30.320 --> 00:09:35.960]   Because if the user is saying that, hey, I want to send $100 but do it tomorrow, that's
[00:09:35.960 --> 00:09:38.720]   a different instruction than doing it right now.
[00:09:38.720 --> 00:09:41.820]   Because if I do it right now, maybe you will land up in overdraft.
[00:09:41.820 --> 00:09:46.180]   The last but not the least, also identify that what is the correct action.
[00:09:46.180 --> 00:09:51.220]   Because the user might be saying that I don't want to send it, the last tape you saw, I want
[00:09:51.220 --> 00:09:52.320]   to cancel it.
[00:09:52.320 --> 00:09:53.660]   So we need to understand that as well.
[00:09:53.660 --> 00:09:55.180]   So all of these things matter.
[00:09:55.180 --> 00:09:58.060]   And evaluations for all of these things matter.
[00:09:58.060 --> 00:10:02.100]   And without them, we cannot launch a product.
[00:10:02.100 --> 00:10:08.320]   So in absence of eval or in absence of a tool like Langsmith, what happens is that we have
[00:10:08.320 --> 00:10:10.520]   a linear path of development.
[00:10:10.520 --> 00:10:13.860]   We are running A/B tests because we make all decisions with A/B tests.
[00:10:13.860 --> 00:10:18.860]   I'm not sure if I could cover before, but we have 1,800 services and we do deployment every
[00:10:18.860 --> 00:10:20.140]   two minutes.
[00:10:20.140 --> 00:10:23.160]   So we do every decision by A/B tests.
[00:10:23.160 --> 00:10:25.540]   And that will be the linear path.
[00:10:25.540 --> 00:10:34.500]   But if we have a system that can very well connect the traces and give observability, give logging
[00:10:34.500 --> 00:10:41.080]   and then alerts on top of it, so on and so forth, then we have a full cycle of observability
[00:10:41.080 --> 00:10:45.160]   to filtering, to define data sets, to run experiments and go on.
[00:10:45.160 --> 00:10:49.860]   And this is the flywheel we have in other situations.
[00:10:49.860 --> 00:10:56.920]   And we are building with Langsmith for our generative AI applications.
[00:10:56.920 --> 00:11:00.900]   I think these two things I have heard a few times in this last couple of talks about offline
[00:11:00.900 --> 00:11:02.840]   evaluation and online evaluation.
[00:11:02.840 --> 00:11:05.680]   So I will not go in very deep details of it.
[00:11:05.680 --> 00:11:11.120]   But as you can see, that in the case of offline evaluation, this is an -- after -- imagine an
[00:11:11.120 --> 00:11:12.120]   experiment result.
[00:11:12.120 --> 00:11:17.060]   After the experiment result, we take them to the LLM apps and we have, like, individual
[00:11:17.060 --> 00:11:20.220]   evaluation and we have pairwise evaluation.
[00:11:20.220 --> 00:11:24.160]   For both of them, I will mostly -- I will talk about it later.
[00:11:24.160 --> 00:11:30.360]   But we primarily use human labelers in that process.
[00:11:30.360 --> 00:11:34.840]   And then we are currently also using LLM and other customer heuristics.
[00:11:34.840 --> 00:11:40.640]   Based on all of that, we run statistical tests and the winner variant is something that we launch.
[00:11:40.640 --> 00:11:46.000]   Things get more interesting, actually not at this stage, but at the online stage.
[00:11:46.000 --> 00:11:52.800]   Because in online evaluation, you can run things in your sandboxes, in your own, like, more
[00:11:52.800 --> 00:11:54.400]   controlled environments.
[00:11:54.400 --> 00:12:01.180]   And in that situation, you have a more continuous loop of improvements and development.
[00:12:01.180 --> 00:12:06.420]   If we only do the online evaluation -- why not going back?
[00:12:06.420 --> 00:12:07.420]   Okay.
[00:12:07.420 --> 00:12:11.780]   If we only do offline evaluation, then our decision-making speed, especially for developers and analysts,
[00:12:11.780 --> 00:12:12.780]   is much slower.
[00:12:12.780 --> 00:12:19.020]   But if we can do good online evaluation and tracing and logging and alerting, et cetera,
[00:12:19.020 --> 00:12:22.360]   then our development speed goes up significantly.
[00:12:22.360 --> 00:12:24.140]   So we are doing both of them.
[00:12:24.140 --> 00:12:29.420]   Now, last but not the least, I will talk about LLM as a judge, which is something we have talked
[00:12:29.420 --> 00:12:30.140]   about a few times.
[00:12:30.140 --> 00:12:34.140]   And the question basically goes back to why we need it.
[00:12:34.140 --> 00:12:36.500]   Imagine the situation I was describing about the money transfer.
[00:12:36.500 --> 00:12:41.500]   In that situation, you need to understand who we are sending, what the request, how much money,
[00:12:41.500 --> 00:12:43.460]   from where, all of that.
[00:12:43.460 --> 00:12:48.560]   And doing all of that, sending -- like, we are currently doing, say, a few hundred thousand
[00:12:48.560 --> 00:12:52.280]   or a few million such transactions every day.
[00:12:52.280 --> 00:12:57.380]   That amount of data and that amount of labeling, even if we do, like, sampling, it's not enough
[00:12:57.380 --> 00:12:59.940]   to maintain the quality of the product.
[00:12:59.940 --> 00:13:05.540]   And that's why we need to do more labeling, and doing it only by human is not scalable, because
[00:13:05.540 --> 00:13:09.800]   training how people understand, the mistakes people make, so on and so forth.
[00:13:09.800 --> 00:13:18.240]   So our bar was that, let's build LLM as a judge, and try to keep the quality of the judge at
[00:13:18.240 --> 00:13:20.420]   the same level of human.
[00:13:20.420 --> 00:13:23.780]   And so we started with the first test, it was a simple prompt.
[00:13:23.780 --> 00:13:26.620]   We used the photo mini model, because it's cheap.
[00:13:26.620 --> 00:13:29.900]   We didn't do any fine-tuning and see that, okay, how it works.
[00:13:29.900 --> 00:13:37.200]   And we got that, like, human were making 80% accurate decisions and 20% mistakes, and something
[00:13:37.200 --> 00:13:38.200]   like that.
[00:13:38.200 --> 00:13:43.440]   F1 score exactly doesn't show that, but you can imagine that way, a little bit as an accuracy
[00:13:43.440 --> 00:13:44.440]   metric.
[00:13:44.440 --> 00:13:53.440]   We are at 51%, and in the test 2, we moved to a fine-tuned model, and we increased the accurate
[00:13:53.440 --> 00:13:56.240]   F1 score from 51 to 59.
[00:13:56.240 --> 00:13:59.460]   Next test, we changed the prompt, and we got to V2.
[00:13:59.460 --> 00:14:03.620]   We got to a big jump of 11% point of 70.
[00:14:03.620 --> 00:14:06.760]   We made another iteration at 4.0.
[00:14:06.760 --> 00:14:10.440]   From 4.0 mini to 4.0, it's a better and bigger model.
[00:14:10.440 --> 00:14:12.460]   Changed the prompt again in test 5.
[00:14:12.460 --> 00:14:16.260]   Changed the fine-tuning again in test 6.
[00:14:16.260 --> 00:14:21.700]   And this is where we landed, where we are at F1 score of 79%, compared to 80% of human,
[00:14:21.700 --> 00:14:22.700]   which is quite comparable.
[00:14:22.700 --> 00:14:28.640]   Now, you might ask that time, why did you move from test 5 to test 6?
[00:14:28.640 --> 00:14:34.700]   The F1 score is 80, and 79, because in 79, we are identifying the inaccurate information
[00:14:34.700 --> 00:14:41.260]   we are catching there, that's why we are here.
[00:14:41.260 --> 00:14:46.000]   And just to no surprise, actually, it might be surprising, this whole development took us
[00:14:46.000 --> 00:14:50.980]   maybe around two weeks with a couple of developers to go through these six iterations, and we could
[00:14:50.980 --> 00:14:55.640]   only do it because we had the online tracing and system in place, otherwise, it would not
[00:14:55.640 --> 00:14:57.080]   be possible.
[00:14:57.080 --> 00:15:05.760]   So wrapping it up all, there is no magic in building any agent, any LLM.
[00:15:05.760 --> 00:15:06.760]   It's hard work.
[00:15:06.760 --> 00:15:08.900]   Evals are hard work.
[00:15:08.900 --> 00:15:12.500]   And if you don't evaluate, you don't know what you're building.
[00:15:12.500 --> 00:15:16.540]   And if you don't know what you're building, then you cannot ship it to the world.
[00:15:16.540 --> 00:15:21.700]   So do more evals, spend more time, understand what your users are saying, think about not
[00:15:21.700 --> 00:15:28.880]   only hallucination and red teaming, et cetera, but also, nuanced situations of empathy, tone
[00:15:28.880 --> 00:15:31.260]   of voice, those things matter.
[00:15:31.260 --> 00:15:35.160]   We are at a very exciting time, and thank you all for listening to me.
[00:15:35.160 --> 00:15:36.380]   And if you have any questions, please let me know.
[00:15:36.380 --> 00:15:37.000]   Thank you.
[00:15:37.000 --> 00:15:37.380]   Thank you.
[00:15:37.380 --> 00:15:37.880]   Thank you.
[00:15:37.880 --> 00:15:38.880]   Thank you.
[00:15:38.880 --> 00:15:38.880]   Thank you.
[00:15:38.880 --> 00:15:38.880]   Thank you.
[00:15:38.880 --> 00:15:39.880]   Thank you.
[00:15:39.880 --> 00:16:09.860]   Thank you.

