
[00:00:00.040 --> 00:00:09.480]   Winds
[00:16:30.260 --> 00:16:38.260]   I went corporate. No, the amount of diversity in humanity I think is decreasing. Just like all the other biodiversity on the planet.
[00:16:38.260 --> 00:16:39.260]   Oh, boy. Yeah.
[00:16:39.260 --> 00:16:40.260]   Right?
[00:16:40.260 --> 00:16:41.260]   And social media's not helping, huh?
[00:16:41.260 --> 00:16:43.260]   Go eat McDonald's in China.
[00:16:43.260 --> 00:16:44.260]   Yeah.
[00:16:44.260 --> 00:16:46.260]   You know, it's a little bit of a--.
[00:16:46.260 --> 00:16:47.260]   It's a little bit--.
[00:16:47.260 --> 00:16:48.260]   It's a little bit of a--.
[00:16:48.260 --> 00:16:48.280]   ----.
[00:16:48.320 --> 00:16:49.320]  --.
[00:16:49.320 --> 00:16:52.320]   Yeah. No, it's the interconnectedness that's doing it.
[00:16:52.320 --> 00:17:05.320]   Oh, that's interesting. So everybody starts relying on the connectivity of the internet, and over time that reduces the diversity, the intellectual diversity, and then that gets everybody into a funnel. There's still going to be a guy in Texas.
[00:17:05.320 --> 00:17:06.320]   There is. And yeah--.
[00:17:06.320 --> 00:17:07.320]   And a bunker.
[00:17:07.320 --> 00:17:18.320]   To be fair, do I think AI kills us all? I think AI kills everything we call, like, society today. I do not think it actually kills us all.
[00:17:18.320 --> 00:17:18.320]   Mm-hmm.
[00:17:18.860 --> 00:17:48.360]   I think it actually kills the human species. I think that's actually incredibly hard to do.
[00:17:48.360 --> 00:17:48.360]   Yeah, but society, like, if we start over, that's tricky. Most of us don't know how to do most things.
[00:17:48.360 --> 00:17:48.360]   Yeah, but some of us do. And they'll be okay, and they'll rebuild after the great AI.
[00:17:48.360 --> 00:17:48.360]   What's rebuilding look like? How much do we lose? What has human civilization done that's interesting? Combustion engine, electricity. So, you know, I think that's a little bit of a--.
[00:17:48.360 --> 00:17:48.360]   Yeah, but some of us don't know how to do most things. And they'll be okay, and they'll rebuild after the great AI.
[00:17:48.380 --> 00:17:50.400]   Power and energy. That's interesting. Like, how to harness energy.
[00:17:50.400 --> 00:17:51.400]   Well, well, well, well, well, they're going to be religiously against that.
[00:17:51.400 --> 00:17:52.400]   Are they going to get back to, like, fire?
[00:17:52.400 --> 00:17:53.400]   Sure. I mean, they'll be--. It'll be like, you know, some kind of Amish-looking kind of thing, I think.
[00:17:53.400 --> 00:17:54.400]   I think they're going to have very strong taboos against technology.
[00:17:54.400 --> 00:17:55.400]   Like, technology is almost like a new religion. Technology is the devil.
[00:17:55.400 --> 00:17:56.400]   Yeah.
[00:17:56.400 --> 00:17:57.400]   And nature is also the devil.
[00:17:57.400 --> 00:17:58.400]   Yeah.
[00:17:58.400 --> 00:18:13.400]   And, you know, I think people are going to get back to, like, you know, the world.
[00:18:13.400 --> 00:18:14.400]   Yeah.
[00:18:14.400 --> 00:18:15.400]   Yeah.
[00:18:15.400 --> 00:18:16.400]   You know, I think that's going to get back to, like, you know, like, some of a new religion.
[00:18:16.940 --> 00:18:45.440]  , like, a new religion.
[00:18:45.440 --> 00:18:46.440]   Yeah.
[00:18:46.440 --> 00:18:46.440]   And, uh, nature is God.
[00:18:46.440 --> 00:18:46.440]   Sure.
[00:18:46.440 --> 00:18:46.440]   But can you really get away from AI if it destroyed 99% of the human species? Isn't it--somehow have a hold, like, a stronghold?
[00:18:46.440 --> 00:18:46.440]   What's interesting about everything we build, I think we're going to build superintelligence before we build any sort of robustness in the AI. We cannot build an AI that is capable of going out into nature and surviving like a, um, like a bird.
[00:18:46.440 --> 00:18:46.440]   And I think we're going to get away from the AI, but we're not going to get away from the AI. And we're not going to get away from the AI because we're not capable of going out into nature and surviving like, um, like, a bird.
[00:18:46.460 --> 00:18:48.480]   Right? A bird is an incredibly robust organism. We've built nothing like this. We haven't built a machine that's capable of reproducing.
[00:18:48.480 --> 00:18:49.480]   Right? A bird is an incredibly robust organism. We've built nothing like this. We haven't built a machine that's capable of reproducing.
[00:18:49.480 --> 00:18:50.480]   Right? A bird is an incredibly robust organism. We've built nothing like this. We haven't built a machine that's capable of reproducing.
[00:18:50.480 --> 00:18:51.480]   Yes. But there is, uh, you know, I work with Lego robots a lot now. I have a bunch of them. Uh, they're mobile.
[00:18:51.480 --> 00:18:52.480]   Yes. But there is, uh, you know, I work with Lego robots a lot now. I have a bunch of them. Uh, they're mobile.
[00:18:52.480 --> 00:18:53.480]   Mm-hmm.
[00:18:53.480 --> 00:18:54.480]   Mm-hmm.
[00:18:54.480 --> 00:18:55.480]   They can't reproduce, but all they need is--I guess you're saying they can't repair themselves.
[00:19:09.520 --> 00:19:39.500]   Bar
[00:22:09.620 --> 00:22:32.320]  . Okay, we can build that. We know how to do that as humanity. We can probably put all the precursors that build all the machines and the fabs also in the machine. So first off, machines are going to be absolutely massive. I mean, we almost have a, like, think of the size of the thing required to reproduce a machine today, right? Like, is our civilization capable of reproduction? Can we reproduce our civilization on Mars?
[00:22:32.320 --> 00:22:39.600]   If we were to construct a machine that is made up of humans, like a company that can reproduce
[00:23:29.220 --> 00:23:32.760]   Yeah, okay, fine, but they're not going to be making five nanometer chips.
[00:23:32.760 --> 00:23:37.400]   Over time they will. I think you're being, like, we have to expand our conception of time here, going back to the original timescale. I mean, over, across maybe a hundred generations, we're back to making chips. No? If you seed the colony correctly, you're going to be able to make chips.
[00:23:37.400 --> 00:24:07.420]  . Well, that is a thing that humans do. They come up, they construct a devil, a good thing and a bad thing, and they really stick by that, and they murder each other over that. There's always one asshole in the room who murders everybody. And he's going to be the next one.
[00:24:07.460 --> 00:24:13.720]   all
[00:24:13.720 --> 00:24:17.860]   for while,,, willої
[00:24:17.860 --> 00:24:24.600]   changes. -,,,, school but notifications원�
[00:24:24.600 --> 00:24:34.820]   at
[00:24:35.760 --> 00:24:47.920]  錢
[00:24:47.920 --> 00:25:04.060]   manages in. I, Кто,
[00:25:28.540 --> 00:25:33.140]   in.
[00:25:33.140 --> 00:25:33.140]   In the last 40 years.
[00:25:33.140 --> 00:25:33.140]   Yeah.
[00:25:33.140 --> 00:25:33.140]   And you have a more law,
[00:25:33.140 --> 00:25:33.180]   which is not dead,
[00:25:33.180 --> 00:25:33.220]   despite many proclamations.
[00:25:33.220 --> 00:25:33.320]   In the bio stack or the silicon
[00:25:33.320 --> 00:25:33.420]   in the silicon stack.
[00:25:33.420 --> 00:25:33.460]   And you don't have anything like this in the bio stack.
[00:25:33.460 --> 00:25:33.520]   So I have a meme that I posted.
[00:25:33.520 --> 00:25:33.620]   I tried to make a meme.
[00:25:33.620 --> 00:25:33.700]   It didn't work too well,
[00:25:33.700 --> 00:25:33.760]   but I posted a picture of a, you know,
[00:25:33.760 --> 00:25:33.780]   Ronald Reagan and Joe Biden.
[00:25:33.780 --> 00:25:33.820]   And you look, this is 1980 and this is 2020.
[00:25:33.820 --> 00:25:33.860]   And these two humans are basically like the same, right?
[00:25:33.860 --> 00:25:33.880]   There's no, there's no like, like there.
[00:25:33.880 --> 00:25:33.920]   There's been no change in humans in the last 40 years.
[00:25:33.920 --> 00:25:33.940]   Yeah.
[00:25:33.980 --> 00:25:37.660]   '
[00:25:37.660 --> 00:25:47.920]  는, is a contribute G I он pad in,�, gentlemen, show,
[00:26:58.300 --> 00:26:58.300]   I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not
[00:27:26.420 --> 00:27:26.420]   I'm not sure if I'm not sure if I'm not sure if I'm not sure if I'm not
[00:28:23.480 --> 00:28:32.220]   lot
[00:28:32.220 --> 00:28:35.540]   mounted. I have,,,,
[00:29:50.140 --> 00:29:50.140]   It's like a little like a symptom of the bigger thing.
[00:29:50.140 --> 00:29:50.140]   It's like a little like a symptom of the bigger thing.
[00:29:50.140 --> 00:29:50.140]   It's like a little like a symptom of the bigger thing.
[00:29:50.140 --> 00:29:50.140]   It's like a little like a symptom of the bigger thing.
[00:29:50.140 --> 00:29:50.140]   It's like a little like a symptom of the bigger thing.
[00:29:50.140 --> 00:29:50.140]   It's like a little like a symptom of the bigger thing.
[00:29:50.140 --> 00:29:50.140]   It's like a little like a symptom of the bigger thing.
[00:29:50.140 --> 00:29:50.140]   It's like a little like a symptom of the bigger thing.
[00:29:50.140 --> 00:29:50.180]   It's like a little like a symptom of the bigger thing.
[00:29:50.180 --> 00:29:50.220]   It's like a little like a symptom of the bigger thing.
[00:29:50.220 --> 00:29:50.300]   It's like a little like a symptom of the bigger thing.
[00:29:50.300 --> 00:29:50.380]   It's like a little like a symptom of the bigger thing.
[00:29:50.380 --> 00:29:50.440]   It's like a little like a symptom of the bigger thing.
[00:29:50.440 --> 00:29:50.500]   It's like a little like a symptom of the bigger thing.
[00:29:50.540 --> 00:29:54.340]  obedient
[00:29:54.340 --> 00:29:54.380]   It's interesting that like the human system seems to claim that they're conscious.
[00:29:54.380 --> 00:29:54.440]   It's interesting that like the human system seems to claim that they're conscious.
[00:29:54.440 --> 00:29:56.040]   It's interesting that like the human system seems to claim that they're conscious. And I guess it kind of like says something
[00:29:56.040 --> 00:29:58.160]   And I guess it kind of like says something
[00:29:58.160 --> 00:29:59.040]   And I guess it kind of like says something in a straight up like,
[00:29:59.040 --> 00:29:59.120]   in a straight up like,
[00:29:59.120 --> 00:30:00.360]   in a straight up like, okay, what do people mean when,
[00:30:00.360 --> 00:30:00.400]   in a straight up like, what do people mean when,
[00:30:00.400 --> 00:30:01.500]   in a straight up like, what do people mean when, even if you don't believe in consciousness,
[00:30:01.500 --> 00:30:01.580]   what do people mean when they say consciousness.
[00:30:01.580 --> 00:30:01.600]   what do people mean when they say consciousness.
[00:30:01.600 --> 00:30:01.680]   And there's definitely like meanings to it.
[00:30:01.680 --> 00:30:01.700]   And there's definitely like meanings to it.
[00:30:19.800 --> 00:30:49.060]  ,
[00:30:49.060 --> 00:30:49.100]   There's definitely like meanings to it.
[00:30:49.100 --> 00:30:49.160]   There's definitely like meanings to it.
[00:30:49.160 --> 00:30:49.220]   There's definitely like meanings to it.
[00:30:49.220 --> 00:30:49.440]   There's definitely like meanings to it.
[00:30:49.440 --> 00:30:49.460]   There's definitely like meanings to it.
[00:30:49.460 --> 00:30:49.480]   There's definitely like meanings to it.
[00:30:49.480 --> 00:30:49.500]   There's definitely like meanings to it.
[00:30:49.500 --> 00:30:49.520]   There's definitely like meanings to it.
[00:30:49.520 --> 00:30:49.540]   There's definitely like meanings to it.
[00:30:49.540 --> 00:30:49.580]   There's definitely like meanings to it.
[00:30:49.580 --> 00:30:49.620]   There's definitely like meanings to it.
[00:30:49.620 --> 00:30:49.640]   There's definitely like meanings to it.
[00:30:49.640 --> 00:30:49.720]   There's definitely like meanings to it.
[00:30:49.720 --> 00:30:49.760]   There's definitely like meanings to it.
[00:30:49.760 --> 00:30:49.780]   There's definitely like meanings to it.
[00:30:49.820 --> 00:31:08.140]  sna dance
[00:31:08.140 --> 00:31:16.100]  laf pau weren Find. I don, I, think that. That, that, look, niez, god, chilling,jaw,不過, tecnología, compra, Everybody,ensions, Det, E. person. M. I'm I'm a much of the full peak living the top of the top of the top of the e's. It. The full of the peace of the sound of the co round the co natuurlijk�
[00:31:16.100 --> 00:31:18.720]   I would as I also it. But I have the
[00:31:18.760 --> 00:31:26.540]   green
[00:31:26.540 --> 00:31:32.960]   even, Pokémon
[00:32:14.800 --> 00:32:14.800]   and, you know,
[00:32:14.800 --> 00:32:14.800]   but then I realized that that's all we are too. Oh look, the little thing has learned to mimic. Yeah, I guess, yeah, 404 could be suffering, but it's so far from our kind of living organism, our kind of stack, but it feels like AI can start maybe mimicking the biological stack better and better and better because it's trained. We trained it, yeah.
[00:32:14.800 --> 00:32:14.800]   So in that, maybe that's the definition of AI.
[00:32:14.800 --> 00:32:14.800]   So in that, maybe that's the definition of AI.
[00:32:14.800 --> 00:32:14.800]   So in that, maybe that's the definition of AI.
[00:32:14.800 --> 00:32:14.800]   So in that, maybe that's the definition of AI.
[00:32:14.800 --> 00:32:14.800]   So in that, maybe that's the definition of AI.
[00:32:42.840 --> 00:32:42.840]   The definition of consciousness is how close something looks to humans. Sure, I'll give you that one. No, how close something is to the human experience. Sure. It's a very anthropocentric definition, but. Well, that's all we got. Sure. No, and I don't mean to like, I think there's a lot of value in it. Look, I just started my second company. My third company will be AI girlfriends.
[00:32:42.840 --> 00:32:42.840]   I want to find out what you're talking about.
[00:32:42.840 --> 00:32:42.840]   I want to find out what you're talking about.
[00:32:42.840 --> 00:32:42.840]   I want to find out what you're talking about.
[00:32:42.840 --> 00:32:42.840]   I want to find out what you're talking about.
[00:32:42.840 --> 00:32:42.840]   I want to find out what you're talking about.
[00:32:42.840 --> 00:32:42.840]   I want to find out what you're talking about.
[00:32:42.840 --> 00:32:42.840]   I want to find out what you're talking about.
[00:32:42.840 --> 00:32:42.840]   I want to find out what you're talking about.
[00:32:42.880 --> 00:32:50.780]   it
[00:32:50.780 --> 00:33:08.180]   was. I say word. Além,'s,車,
[00:33:11.920 --> 00:33:23.660]   thank
[00:36:02.140 --> 00:36:03.040]   like okay great we got like fiverr and like junior engineers okay cool like and this is just a start and it will get better right like i would i can't wait to have ai friends who are more intelligent than i am so fiber is just a temper it's not the ceiling no definitely not is it uh is it countless cheating when you're talking to an ai model emotional cheating
[00:36:03.040 --> 00:36:03.040]   so fiber is just a temper it's not the ceiling no definitely not is it uh is it countless cheating when you're talking to an ai model emotional cheating
[00:36:03.040 --> 00:36:03.040]   so fiber is just a temper it's not the ceiling no definitely not is it uh is it countless cheating when you're talking to an ai model emotional cheating
[00:36:03.040 --> 00:36:03.040]   so fiber is just a temper it's not the ceiling no definitely not is it countless cheating when you're talking to an ai model emotional cheating
[00:36:03.040 --> 00:36:03.040]   so fiber is just a temper it's not the ceiling no definitely not is it countless cheating when you're talking to an ai model emotional cheating
[00:36:26.160 --> 00:36:33.060]   and i think people in relationships have different views on that yeah but most people don't have like serious open conversations about all the different aspects of what's cool and what's not and i think people in relationships have different views on that yeah but most people don't have like serious open conversations about all the different aspects of what's cool and what's not
[00:36:33.120 --> 00:36:43.260]   look
[00:36:43.260 --> 00:36:44.000]   just,
[00:37:27.280 --> 00:37:27.280]   I
[00:37:27.280 --> 00:37:27.280]   I
[00:37:27.280 --> 00:37:27.280]   I
[00:37:27.340 --> 00:37:36.960]  �
[00:37:36.960 --> 00:37:38.080]   is the make
[00:37:51.460 --> 00:38:01.240]   Speak
[00:38:01.240 --> 00:38:01.940]   //
[00:38:01.940 --> 00:38:19.560]   multin
[00:38:20.260 --> 00:38:30.920]   change
[00:38:30.920 --> 00:38:43.740]   sound . en there speak об,,,,, well hold excited
[00:38:46.540 --> 00:38:57.340]   think
[00:38:57.340 --> 00:39:15.580]   this. Danny� co car it,,,,,, heart all say la sì silent twitter decent smells Z Santa is the see village de 있다는克 I'm all 4 ought to remaining Yet, and, is, "G, "κι" "G" "G, ", ",", ",", more little ", ", of theite" eitherne " violent con " Р that I'm no product on the northwest start the hot blood than the 0 joy and then competitive視 that's as a정 in the intø ا but the toy and in the wouldn't in the ent determin unnie Supour the curious the co시고
[00:39:15.700 --> 00:39:25.060]  �
[00:39:25.060 --> 00:39:26.040]  -- ",
[00:39:26.040 --> 00:39:42.400]   Hy
[00:39:44.440 --> 00:39:55.140]   ,
[00:39:55.140 --> 00:39:59.340]   in. I,
[00:40:13.260 --> 00:40:24.460]   Ling: name of all time for a company. You've launched a new company called Tiny Corp that leads the development of Tiny Grad. What's the origin story of Tiny Corp and Tiny Grad?
[00:40:24.460 --> 00:40:40.740]   I started Tiny Grad as a, like a toy project, just to teach myself. Okay, like, what is the convolution? What are all these options you can pass to them? What is the derivative of a convolution? Very similar to Carpathie micro grad. Very similar.
[00:40:42.040 --> 00:41:10.860]   and then
[00:41:10.860 --> 00:41:10.860]   I started realizing, I started thinking about like AI chips. I started thinking about chips that run AI and I was like, well, okay, this is going to be a really big problem. If NVIDIA becomes a monopoly here, how long before NVIDIA is nationalized? So you, one of the reasons to start Tiny Corp is to challenge NVIDIA. It's not so much to choose between the two.
[00:41:10.860 --> 00:41:10.860]   It's not so much to choose between the two.
[00:41:10.860 --> 00:41:10.860]   It's not so much to choose between the two.
