
[00:00:00.000 --> 00:00:19.440]   welcome welcome you all to this launch and learn I hope you are enjoying lunch
[00:08:20.460 --> 00:08:27.980]   right now or you can follow along at home with more time so what are we going to do is the following so
[00:08:27.980 --> 00:08:34.860]   let me show you that link is going to take you to this page in this page you have access to the
[00:08:34.860 --> 00:08:40.620]   workshop resources this is a website that has the instructions step by step of what you are going to
[00:08:40.620 --> 00:08:48.540]   be doing today i'm going to be following these same steps right here right now and second we have a way for
[00:08:48.540 --> 00:08:55.340]   you to get access to eroku if you already have an eroku account just put your email the email that you
[00:08:55.340 --> 00:09:02.540]   use to log into eroku if you don't have one go and sign up first you can sign up for eroku you don't need
[00:09:02.540 --> 00:09:08.540]   to enter your credit card information with just this invitation you are going to get access to the workshop
[00:09:08.540 --> 00:09:15.980]   these services are going to be enabled until uh the 7th like this weekend and i can extend it if you
[00:09:15.980 --> 00:09:22.460]   like the content we have for you this is going to send you an invitation to a team the the team is
[00:09:22.460 --> 00:09:30.860]   called ai engineer world's fair go accept that invitation and then you have access to this dashboard
[00:09:30.860 --> 00:09:38.460]   so from the heroku dashboard you go to dashboard.heroku.com you log in and you should get access to this view
[00:09:38.460 --> 00:09:45.900]   we already have like some pre-deployed applications here the workshop that i will be showing you the
[00:09:45.900 --> 00:09:51.900]   jupyter notebook the brave search mcp we are going to use a pre-existing mcp
[00:09:51.900 --> 00:09:59.500]   to give you an example of how to call that mcp from the manage inference and agents endpoint and i also
[00:09:59.500 --> 00:10:05.020]   have another application here which is the ai engineer data that has an eroku postgreSQL database
[00:10:05.020 --> 00:10:12.940]   and we are going to see how can we build agents that has access to this database as well but we start the workshop
[00:10:14.140 --> 00:10:22.300]   first by deploying an eroku application so we have this eroku jupyter template
[00:10:22.300 --> 00:10:31.500]   that you can deploy to eroku go to the repository after you have the account and logged into eroku
[00:10:32.620 --> 00:10:42.620]   just click to deploy click to deploy you are getting this page that will ask you for an application
[00:10:42.620 --> 00:10:50.780]   name make sure that this application name is unique and the internet situation is a little bit slow let's
[00:10:50.780 --> 00:11:02.140]   hope it gets better to show you the things working live otherwise i i need to start getting access somewhere
[00:11:02.140 --> 00:11:10.860]   if you join this please go to the slack channel it's called workshop eroku eroku ai workshop and in the ai
[00:11:10.860 --> 00:11:16.540]   engineer slack channel you can find the how to get started instructions if you guys are stuck somewhere
[00:11:16.540 --> 00:11:21.580]   or you don't know how to get started please raise your hands and i can come help you out beautiful this is
[00:11:21.580 --> 00:11:26.700]   the deployment page we are going to create a new application remember to have a like a unique name
[00:11:26.700 --> 00:11:34.060]   let's do this is jdukey jupiter this is going to be my jupiter it is not unique so if it is not unique
[00:11:34.060 --> 00:11:43.740]   you are going to get an error so let's do workshop to get a unique and for the app owner if you want this workshop
[00:11:43.740 --> 00:11:52.620]   to work without you paying anything make sure to select the ai engineer warfare which is the team we
[00:11:52.620 --> 00:12:01.260]   have invited you to these jupiter notebooks are password protected so there is an environment variable
[00:12:01.260 --> 00:12:06.860]   here for you to define the password to this workshop i'm going to use a super secure password lab
[00:12:07.820 --> 00:12:16.460]   and then click to deploy so this is going to deploy the application with a dino where the jupiter notebook
[00:12:16.460 --> 00:12:23.100]   is going to run the dino is pretty much the container unit where your application runs like the virtual
[00:12:23.100 --> 00:12:29.260]   machine on heroku and it also has heroku postgres so all the work that you are going to do in the
[00:12:29.260 --> 00:12:35.980]   jupiter notebook is going to get persisted into this database and this is going to take a little bit of
[00:12:35.980 --> 00:12:41.900]   time to to install this is pretty much fetching all the source code of this jupiter notebook
[00:12:41.900 --> 00:12:48.540]   template to heroku building that application and all of the dependencies and then you have these
[00:12:48.540 --> 00:12:56.220]   available for you to use so basically you are going to get something like this i already have this deployed
[00:12:56.220 --> 00:13:01.900]   but you don't have any workshop here so we are going to be loading that notebook
[00:13:03.740 --> 00:13:11.020]   and to load that notebook you go and keep following the instructions oh the third step that i missed is
[00:13:11.020 --> 00:13:21.180]   how can we provision managed inference may mainly how can we produce provision an ai model to an eroku
[00:13:21.180 --> 00:13:29.580]   application so manage inference is a service that let you run ai models within the same infrastructure where
[00:13:29.580 --> 00:13:34.940]   where your application is running so the data is not going to third parties if you are using let's say like
[00:13:34.940 --> 00:13:42.540]   open ai or anthropic apis the data is going outside your application this is keeping
[00:13:42.540 --> 00:13:46.380]   uh everything running inside the same network that your application is running
[00:13:46.380 --> 00:13:52.060]   and to provision these you can use the heroku cli but we are going to make things easy
[00:13:52.060 --> 00:13:59.500]   once the application is deployed this is taking time to deploy so let's go to something that it's already
[00:13:59.500 --> 00:14:07.500]   deployed let's say this one that i i already created before you go to your application in the dashboard you
[00:14:07.500 --> 00:14:12.460]   click to the management page then you go to resources
[00:14:14.060 --> 00:14:20.860]   and in resources is where you can provision add-ons add-ons like heroku postgres or the key value store
[00:14:20.860 --> 00:14:26.700]   or any other third party item that we support on our marketplace the one that we are going to provision
[00:14:26.700 --> 00:14:32.380]   is called heroku manage inference and agents this is our ai offering so you are going to click
[00:14:33.020 --> 00:14:41.740]   on this add-on and then you will select the model that you want to use in your application we support
[00:14:41.740 --> 00:14:50.140]   text-to-text models from entropic cloud 3.5 3.7 and 4 we support coherent bed for embeddings and we
[00:14:50.140 --> 00:14:57.020]   support a stable image ultra for image generation we are going to be working mostly with text-to-text
[00:14:57.020 --> 00:15:06.860]   with inference models so let's do cloud 4. we submit and that's it now my application can access
[00:15:06.860 --> 00:15:13.980]   ai services that's the only thing that you need to do and how this works this is going to enable your
[00:15:13.980 --> 00:15:22.300]   application to have access to environment variables that contain the api url the api key and the model id
[00:15:22.300 --> 00:15:29.580]   and with those three things you can use like an existing sdk that supports the open ai specification
[00:15:29.580 --> 00:15:38.780]   or the open ai api or you can perform like an http request or build your own solution to run these
[00:15:38.780 --> 00:15:48.460]   applications so now we provision ai into our app now our another app is deployed so we can do the same
[00:15:48.460 --> 00:15:56.700]   with that so i'm going to keep following then let's go and load the workshop so i'm going to be copying
[00:15:56.700 --> 00:16:04.860]   this url that's the jupiter notebook we are going to load on our jupiter template that we deploy and here
[00:16:04.860 --> 00:16:17.820]   you go to file open from url you paste that url click on open and voila we have our notebook ready to start
[00:16:17.820 --> 00:16:25.100]   so remember that we provision the manage inference and agent service into our application
[00:16:25.100 --> 00:16:31.340]   that is going to give us three environment variables if i go here to settings
[00:16:31.340 --> 00:16:40.220]   reveal config bars we see the environment variables there the inference key the model id
[00:16:41.020 --> 00:16:49.740]   and the inference url the api key that we will use to call the service so obviously the first step that
[00:16:49.740 --> 00:16:57.260]   we will do is to load those environment variables on our jupiter environment so we will do this workshop
[00:16:57.260 --> 00:17:03.980]   in four parts the first one is set up the environment we are going to just load those environment variables
[00:17:03.980 --> 00:17:11.500]   so we can continue doing our activities second we are performing manage inference this is your basic chat
[00:17:11.500 --> 00:17:19.420]   completions endpoint and we will see two examples one doing like basic chat completions and the other one
[00:17:19.420 --> 00:17:26.620]   doing a streaming version of those chat completions endpoint the third which is one of my favorite ones is
[00:17:26.620 --> 00:17:35.820]   the heroku tools or the agents part we have another endpoint that lets you run agents that we support
[00:17:35.820 --> 00:17:44.700]   natively we have code execution agents we have database access agents document conversion execute commands on
[00:17:44.700 --> 00:17:51.580]   a dyno and we are going to continue adding more to those and this is just an endpoint that performs the
[00:17:51.580 --> 00:17:58.780]   execution of the agent in the heroku infrastructure in our dynos and it is just an one of dyno what is
[00:17:58.780 --> 00:18:06.140]   a one of dyno it just spin ups runs the code and scales back to zero so you are not paying for an
[00:18:06.140 --> 00:18:12.300]   application that is constantly running you are just paying for the amount of compute that that tool took to
[00:18:12.300 --> 00:18:18.220]   execute and that endpoint also support mcps mcps that you can deploy to heroku
[00:18:19.500 --> 00:18:27.420]   and then attach them to your a inference agent endpoint and last but not least we are going to take a look
[00:18:27.420 --> 00:18:35.500]   at that mcp support that we have how can you deploy an mcp to heroku attach that mcp to the agent's endpoint
[00:18:35.500 --> 00:18:43.660]   and also use those mcps externally remotely through the mcp gateway or mcp toolkits that we have
[00:18:44.700 --> 00:18:49.820]   i know it sounds like a lot but it's going to be easy i have a couple of exercises for you if you want
[00:18:49.820 --> 00:18:56.140]   to write some code but basically what i would be doing here is just like running the code that i
[00:18:56.140 --> 00:19:03.180]   already have implemented here a good friend thank you for coming okay so first thing i told you we need
[00:19:03.180 --> 00:19:09.580]   to load these three environment variables inference ull inference key and inference model id and there is a
[00:19:09.580 --> 00:19:19.340]   fourth one that we will use for certain uh tool execution on heroku which is the target application
[00:19:19.340 --> 00:19:27.580]   name so what are going to put you here in target application name the name of the application you
[00:19:27.580 --> 00:19:32.700]   deploy the name of the application the hero the the heroku jupiter application that you deploy
[00:19:33.500 --> 00:19:41.580]   in this case my worship my jupiter notebook is called ai engineer workshop this is the one that i'm going
[00:19:41.580 --> 00:19:49.500]   to use here i am giving permission to my tool to run commands and perform compute operations on this
[00:19:49.500 --> 00:19:57.100]   dyno on this application so here you just replace to the name of your application so you can do those
[00:19:57.100 --> 00:20:04.780]   examples and later i will show you also how can you give access to the application that has the database
[00:20:04.780 --> 00:20:12.220]   to run the other examples that we have for you so let's load environment variables now the environment
[00:20:12.220 --> 00:20:20.700]   variables are ready so i can continue with the examples then let's go with manage inference i mentioned
[00:20:20.700 --> 00:20:26.860]   that for manage inference we have the basic chat completions endpoint this is an endpoint that you
[00:20:26.860 --> 00:20:33.980]   will find on services like open ai or cloud anthropic basically you ask a question you send a message
[00:20:33.980 --> 00:20:41.500]   or an array of messages and you are going to get a response this endpoint also supports custom tool
[00:20:41.500 --> 00:20:48.620]   execution but this tool execution is something that is happening on your code so you need to specify the
[00:20:48.620 --> 00:20:56.300]   function and capture like the information to execute those or if you are using an agent framework like adk or
[00:20:56.300 --> 00:21:02.860]   lang chain it also has like custom tool execution internally but for the example we are going to
[00:21:02.860 --> 00:21:09.660]   perform a basic inference to perform the basic inference we are we are going to do a basic http request
[00:21:09.660 --> 00:21:17.420]   so we have the inference key the model id on the payload so we are going to use cloud 4 which is the model
[00:21:17.420 --> 00:21:25.980]   that i provision here on my app and the message that i'm going to send as an user is explain the context the concept of manage
[00:21:25.980 --> 00:21:32.300]   inference inference in one sentence you can adjust the parameters that the open ai api supports like
[00:21:32.300 --> 00:21:42.540]   temperature maximum tokens top p etc you can take a look at the documentation by clicking on the path
[00:21:42.540 --> 00:21:47.580]   endpoint and it will take you to the documentation of that endpoint and a lot of the parameters we support
[00:21:47.820 --> 00:21:56.220]   and then after performing the http request we get the response as json and let's run this
[00:21:56.220 --> 00:22:06.620]   and let's see how this works so we get a response like any other ai endpoint works so we have a chat
[00:22:06.620 --> 00:22:12.620]   completions object with the different choices like the amount of messages that it returns basically we have just
[00:22:12.620 --> 00:22:19.740]   one message here as an assistant and the response is manage inference is a cloud service that handles the
[00:22:19.740 --> 00:22:26.380]   deployment scaling and maintenance of matching learning models for real-time predictions etc so that's a basic
[00:22:26.380 --> 00:22:33.260]   example so this is something that you can do everywhere getting inference it became a commodity
[00:22:33.980 --> 00:22:39.660]   and also to show that we also support the streaming of course we want to have like a better experience
[00:22:39.660 --> 00:22:45.660]   while building our applications we need to support streaming meaning that it's not going to
[00:22:45.660 --> 00:22:52.140]   return the whole answer as just one json object it's going to start giving your chunks so you can get that
[00:22:52.140 --> 00:22:56.700]   real-time feedback when getting the response from the infinite service
[00:22:57.260 --> 00:23:06.380]   so here i'm just consuming chunks and printing out those chunks on the s on the screen the first
[00:23:06.380 --> 00:23:14.620]   sample is going just to show you the raw version of this request so this is using a server send event
[00:23:14.620 --> 00:23:23.580]   approach is sending you message events every message events has data and each data is a piece of that
[00:23:23.580 --> 00:23:31.180]   that completion object but in this case you are getting like a like a delta like a version of that message
[00:23:31.180 --> 00:23:39.660]   so you see here in the content we get nothing then a streaming is crucial for this and then it continues
[00:23:39.660 --> 00:23:46.940]   giving me the response we get a bunch of different responses but let's take a look how that looks like
[00:23:46.940 --> 00:23:53.020]   on an application when you are rendering the chunks this is just the pure objects to understand how the api
[00:23:53.020 --> 00:24:00.380]   works here i have another example where i am doing some parsing of that information extracting the delta
[00:24:00.380 --> 00:24:07.980]   content of each response and then at the end rendering everything as a beautiful markdown when i execute this
[00:24:07.980 --> 00:24:15.580]   the inference service is going to start responding on real time chunk by chunk all the messages that i'm
[00:24:15.580 --> 00:24:21.660]   getting from the service as you can see it is a markdown response so at the end when we finish
[00:24:21.660 --> 00:24:31.100]   we use the markdown display object here in jupiter to get the beautiful answer here sometimes it will
[00:24:31.100 --> 00:24:38.300]   give you like a code example depending of what the inference service is giving you and that's how this
[00:24:38.300 --> 00:24:44.780]   works and how this is how you can build an application to consume these real-time streams
[00:24:44.780 --> 00:24:52.780]   but now let's talk about the good part which is the agents who has built an agent before like an
[00:24:52.780 --> 00:24:59.820]   application that executes a tool or run run some code perfect we have like a couple hands there amazing
[00:25:00.540 --> 00:25:06.060]   so the tools that we support today an anush here as product manager can tell us what we are going to be
[00:25:06.060 --> 00:25:15.100]   supporting in the future uh dino run command dino run command allows you to execute a command on a dino
[00:25:15.100 --> 00:25:21.980]   like a unix command or a script that you are do you already have pre-deployed on your application it will
[00:25:21.980 --> 00:25:29.580]   execute that and give you the response so this is pretty good to run trusted code code that you have written
[00:25:29.580 --> 00:25:37.180]   that you know that it works that it has a predictive predictive result and you can just have that
[00:25:37.180 --> 00:25:44.620]   code running on your dino and execute it through this a this agent this tool we have query databases we
[00:25:44.620 --> 00:25:51.820]   have two tools here one is postgres get a schema and the other one is postgres run query postgres get a schema
[00:25:52.700 --> 00:26:00.620]   mean the llm doesn't know the shape of your database if you ask for data it will hallucinate an sql query
[00:26:00.620 --> 00:26:08.220]   or if you have some sort of retrieval augmented generation or if you are grounding the prompt
[00:26:08.220 --> 00:26:14.780]   with the shape of your database it will generate something that it's close to the shape of the data
[00:26:14.780 --> 00:26:22.620]   of your database but with this tool it will get exactly what you have on the on the database and then
[00:26:22.620 --> 00:26:29.260]   we can pass that schema to the next tool which is run query it will generate a query that will run on
[00:26:29.260 --> 00:26:38.220]   your database get the result and make inference over those data then we have a couple other tools for
[00:26:38.220 --> 00:26:47.820]   document transformation html to markdown pdf to markdown you pass an url like a website or a url of a pdf
[00:26:47.820 --> 00:26:53.740]   that is hosted somewhere and it will give you the markdown response so the inference can work over
[00:26:53.740 --> 00:27:00.540]   that text content it's going to perform that text extraction for you and my favorites are the code
[00:27:00.540 --> 00:27:09.980]   execution one we support for today python node ruby and go so the llm will generate code that will run on
[00:27:09.980 --> 00:27:16.700]   eroku on a one of dino and it will return that response back to the inference service and these also
[00:27:16.700 --> 00:27:24.860]   support dependency installation so the input parameter has like a packages array parameter where
[00:27:24.860 --> 00:27:33.900]   the llm automatically say okay my python script is going to use pandas or numpy let's install it before
[00:27:33.900 --> 00:27:42.940]   i attempt to execute the tool and all of these are just mcps that we natively support but you can also extend
[00:27:42.940 --> 00:27:50.780]   this agent endpoint by deploying your own your own mcps so now let's take a look the agent's endpoint is
[00:27:50.780 --> 00:27:59.180]   different to the chat completions it works similarly with some minor differences for example all of the
[00:27:59.180 --> 00:28:05.900]   responses are a stream so it doesn't support like the synchronous call where it waits to give you like
[00:28:05.900 --> 00:28:11.740]   like the full response because code execution access to database and this tool execution take time so we
[00:28:11.740 --> 00:28:18.540]   prefer to have it like a stream and then depending on the tool you are using you might need to give access
[00:28:18.540 --> 00:28:28.780]   to the tool to your database or to an application for example to execute a command so let's try that first one
[00:28:28.780 --> 00:28:39.740]   let's run run a demo to run a command on an eroku dyno so here we are setting up the payload similar to chat
[00:28:39.740 --> 00:28:44.300]   completions we have the model id we have the message we are asking
[00:28:46.380 --> 00:28:53.180]   what is the current date and time on the server llms doesn't know anything about like the real time
[00:28:53.180 --> 00:28:59.420]   they need to use tools to be able to have context about what's going on right now i have asked the llm
[00:28:59.420 --> 00:29:04.860]   about like information and it gives me like information from 2024 because that's the date when they stop
[00:29:04.860 --> 00:29:11.820]   training the model but with this it knows exactly what time is because it's running this command on the server
[00:29:12.780 --> 00:29:20.860]   so the tool is an eroku tool so i'm specifying the type to run this on eroku the tool that i'm executing
[00:29:20.860 --> 00:29:28.780]   is the dino run command and then the parameters for this tool are okay the target app name remember i told
[00:29:28.780 --> 00:29:37.340]   you use the name of the application you deploy and then the command to run is date and a description of
[00:29:37.340 --> 00:29:43.500]   pretty much what's going on with the with the output of this command
[00:29:43.500 --> 00:29:52.620]   and i'm calling it i'm just calling the agents eroku endpoint i'm passing that payload that has the tool
[00:29:52.620 --> 00:30:00.380]   this is also a stream endpoint so i'm having the the stream output here and i'm just extracting the tool
[00:30:00.380 --> 00:30:09.260]   calls and this is a standard also shape like api shape that other api support for tool calling but
[00:30:09.260 --> 00:30:18.220]   this is specifically running the tools on eroku so let's execute and see the example and i'm hoping you
[00:30:18.220 --> 00:30:25.500]   can execute this tool in your in your jupiter notebook so it is running this on my ai engineer workshop
[00:30:25.500 --> 00:30:32.700]   application is going to execute the dino run command so now it is waiting until it runs the command of my
[00:30:32.700 --> 00:30:41.900]   app we get the the date and time and then the inference response cool i mean it's a basic example but
[00:30:41.900 --> 00:30:48.620]   powerful instead of running date imagine if you deploy your own screen that does your data extraction
[00:30:49.180 --> 00:30:55.100]   or connects to external services you can just call it call it from here from this endpoint as well
[00:30:55.100 --> 00:31:04.140]   the other one code execution with code execution i am asking the inference service to perform a
[00:31:04.140 --> 00:31:12.620]   operation and i am passing that code execution tool so now that it has that tool enabled it will try to
[00:31:12.620 --> 00:31:17.420]   generate code to generate code in that language run it on eroku and give you the response back
[00:31:17.420 --> 00:31:26.700]   for this example i will invite you to change node to python ruby or go to see different responses
[00:31:26.700 --> 00:31:33.980]   i'm a node developer even though i have a bunch of python here some of you might recognize this is llm generated so
[00:31:34.860 --> 00:31:43.340]   sorry not sorry that's what tools are for and i'm going to be executing that a code exec node to perform
[00:31:43.340 --> 00:31:49.580]   this operation what is the 30th fibonacci number this is a basic algorithm i just wanted to do something
[00:31:49.580 --> 00:31:55.660]   easy i will invite you to change this to perform a different operation and see what you can do
[00:31:55.660 --> 00:32:01.340]   like break this thing like break this thing and then for the execution i am just parsing the response so i
[00:32:01.340 --> 00:32:09.020]   get like beautiful markdown code highlighting and everything so let's perform the operation
[00:32:09.020 --> 00:32:22.460]   and it will generate the algorithm let's see okay i will execute code exec node this is the code that i'm
[00:32:22.460 --> 00:32:28.780]   passing as the input this is the beautiful markdown syntax highlight code that it will execute
[00:32:28.780 --> 00:32:35.580]   that's javascript yes that's javascript and at the end it's going to execute that code on eroku and then
[00:32:35.580 --> 00:32:43.740]   i am getting the response back the fibonacci number is 233 but i want to do that in go so just change
[00:32:45.660 --> 00:32:53.820]   from node from node to go execute this and it will do the same but now the code that we are going to
[00:32:53.820 --> 00:33:01.180]   see here is a is a go code and it will do the same get this go code on an eroku dino compile it run it and
[00:33:01.180 --> 00:33:08.300]   get you the response back that looks like a go code to me i am not not a go developer but that definitely
[00:33:08.300 --> 00:33:16.140]   looks like go and it executed the response and gave me the same thing and an explanation like the inference
[00:33:16.140 --> 00:33:23.500]   operation over that tool execution but that's cool so far we have just called one tool the good thing
[00:33:23.500 --> 00:33:30.540]   about the agents is that we can chain calls together mix and match we have like different agents acting
[00:33:30.540 --> 00:33:36.780]   together so now let's complicate things a little bit more and we are going to use two tools one is the
[00:33:36.780 --> 00:33:45.100]   html to markdown so go to a website do something and then get that result and use it on this other agent
[00:33:45.100 --> 00:33:54.700]   for that we are going to use two tools html to markdown and code execution python so the prompt here is
[00:33:55.420 --> 00:34:04.060]   use the python snippet from the wikipedia page for euclidean algorithm to calculate the common divisor of
[00:34:04.060 --> 00:34:16.300]   200 252 and 105. so it doesn't know the algorithm i am entailing directly go fetch the exact one that is on
[00:34:16.300 --> 00:34:24.940]   wikipedia then run this code on eroku and give me the response i'm enabling those two tools html to markdown and
[00:34:24.940 --> 00:34:32.300]   code execution python and let's run this and now we are going to see multiple tool calling
[00:34:32.300 --> 00:34:39.180]   getting the page in markdown so now it's recognized that the euclidean algorithm page is this one
[00:34:39.180 --> 00:34:46.460]   now it is reading the whole content of that page in markdown attempting to get the algorithm from there
[00:34:46.460 --> 00:34:51.420]   then it's going to generate the code then it's going to run the code and at the end i'm going to get the
[00:34:51.420 --> 00:34:57.660]   response this execution takes a little bit more time because it is performing multiple tool runs at the
[00:34:57.660 --> 00:34:58.220]   same time
[00:34:58.220 --> 00:35:07.020]   any questions so far is anybody doing it if not you have access to the workshop you can do it
[00:35:07.020 --> 00:35:12.780]   at home with more time modify the code analyze it and make sure
[00:35:13.500 --> 00:35:23.100]   and the concept is understood so it got the algorithm here and it executes the thing on eroku now i'm just
