
[00:00:00.000 --> 00:00:21.160]   All right so prompt engineering is dead and this is a bold statement but I'm saying that it never
[00:08:33.740 --> 00:08:36.740]   And what you'll see that the evaluator is doing is running evaluations, right?
[00:08:36.740 --> 00:08:45.740]   So it's taking questions, calling the rag, getting an answer, and then checking that answer against each of the facts that I've given it.
[00:08:45.740 --> 00:08:51.740]   And then I'm going to create a score and you'll see the score, you know, slowly progressing as I'm running the evaluator.
[00:08:51.740 --> 00:08:57.740]   This is like a super slow process and I don't have enough time to actually show you it to the end, but it works.
[00:08:57.740 --> 00:09:07.740]   It takes just a couple of minutes.
[00:09:07.740 --> 00:09:08.740]   Okay.
[00:09:08.740 --> 00:09:09.740]   Okay.
[00:09:09.740 --> 00:09:10.740]   Okay.
[00:09:10.740 --> 00:09:11.740]   Great.
[00:09:11.740 --> 00:09:14.740]   Last step is our agent.
[00:09:14.740 --> 00:09:16.740]   The agent that will optimize the prompt.
[00:09:16.740 --> 00:09:17.740]   We have everything set up.
[00:09:17.740 --> 00:09:19.740]   Now we can actually build the agent.
[00:09:19.740 --> 00:09:24.740]   So I'm going to build a researcher agent and it's going to take, you know, as I said, the prompting guides online.
[00:09:24.740 --> 00:09:25.740]   It's going to crawl the web.
[00:09:25.740 --> 00:09:27.740]   It's going to find prompting guides.
[00:09:27.740 --> 00:09:29.740]   It's going to get an initial prompt.
[00:09:29.740 --> 00:09:34.740]   And then it's going to take, you know, it's going to take, it's going to run the evaluator once to get like the initial score.
[00:09:34.740 --> 00:09:39.740]   And then if we get the initial score, it's going to get the reasons why we failed some of the evaluations.
[00:09:39.740 --> 00:09:44.740]   It's going to combine the reasons for failures plus prompting guides to get a new prompt.
[00:09:44.740 --> 00:09:55.740]   And then we're going to get a new prompt and then we're going to feed it back to the evaluator, run it again, get a new score, and then run it again with the agent so we can actually even improve the score a bit more.
[00:09:55.740 --> 00:10:03.740]   If you've ever done kind of ML, classic ML training, this is kind of like a classic machine learning training but with a bit of vibes.
[00:10:03.740 --> 00:10:08.740]   So let's see it in action.
[00:10:08.740 --> 00:10:12.740]   We're going to -- I've used the crew AI for doing that.
[00:10:12.740 --> 00:10:13.740]   And I'm going to kick off.
[00:10:13.740 --> 00:10:15.740]   And you can see it will take a couple of seconds.
[00:10:15.740 --> 00:10:20.740]   We can actually see the agent, you know, thinking and then calling the evaluator.
[00:10:20.740 --> 00:10:24.740]   And then the evaluator will run and get the responses and get the score.
[00:10:24.740 --> 00:10:29.740]   And I hope -- yeah, I hope I can -- yeah, it's running the evaluators.
[00:10:29.740 --> 00:10:31.740]   It's calculating the score.
[00:10:31.740 --> 00:10:34.740]   And then, you know, the agent is running back.
[00:10:34.740 --> 00:10:36.740]   I skipped a couple of minutes here.
[00:10:36.740 --> 00:10:38.740]   And then, you know, we got a response.
[00:10:38.740 --> 00:10:43.740]   And then now the agent, the researcher agent is trying to understand, okay, why the prompt wasn't working.
[00:10:43.740 --> 00:10:47.740]   Can I find ways to improve RAD pipeline-based prompts?
[00:10:47.740 --> 00:10:56.740]   And then it's going to, like, regenerate new kind of, like, prompt with maybe a bit more instructions or kind of best practices on how to write prompts.
[00:10:56.740 --> 00:11:05.740]   And then, you see, calling the evaluator again to get a new score so we know if we need to optimize or not.
[00:11:05.740 --> 00:11:08.740]   Great.
[00:11:08.740 --> 00:11:09.740]   Okay.
[00:11:09.740 --> 00:11:11.740]   This is when I run it once.
[00:11:11.740 --> 00:11:14.740]   Actually, the initial score was okay.
[00:11:14.740 --> 00:11:15.740]   It was 0.4.
[00:11:15.740 --> 00:11:17.740]   And I ran it just two iterations.
[00:11:17.740 --> 00:11:24.740]   And I got, like, a really -- like, a long kind of prompt that you expect, like, to see from, like, someone who's done a lot of prompt engineering.
[00:11:24.740 --> 00:11:29.740]   It's, like, giving it a lot of instructions and telling it how it should react and, like, how it shouldn't.
[00:11:29.740 --> 00:11:33.740]   You're, like, an expert in answering users' questions about Tracetap.
[00:11:33.740 --> 00:11:38.740]   It was really nice to see it happening without me having to -- I wrote a lot of code to make the agent work.
[00:11:38.740 --> 00:11:41.740]   But I didn't need to do -- I didn't need to do a lot of prompt engineering.
[00:11:41.740 --> 00:11:43.740]   I didn't need to do any prompt engineering.
[00:11:43.740 --> 00:11:44.740]   Right?
[00:11:44.740 --> 00:11:45.740]   So it kind of worked.
[00:11:45.740 --> 00:11:46.740]   It was really, really nice.
[00:11:46.740 --> 00:11:47.740]   And the score actually jumped by a lot.
[00:11:47.740 --> 00:11:52.740]   And I stopped at 0.9 because it means that, like, 90% of the effects were correct.
[00:11:52.740 --> 00:11:53.740]   Great.
[00:11:53.740 --> 00:11:54.740]   I can stop.
[00:11:54.740 --> 00:12:02.740]   So if there's something you want to get out of this talk is that you can also vibe engineer your prompts.
[00:12:02.740 --> 00:12:04.740]   You don't need to manually iterate in prompts.
[00:12:04.740 --> 00:12:06.740]   You just need to build evaluators.
[00:12:06.740 --> 00:12:11.740]   And, again, you kind of can run gradient ascend on your evaluators.
[00:12:11.740 --> 00:12:12.740]   So you have your score.
[00:12:12.740 --> 00:12:23.740]   You can kind of slowly try to optimize on your score either automatically with an agent like I did or manually by just, like, reading those manuals about how to write the best prompts.
[00:12:23.740 --> 00:12:27.740]   And then fixing them again and again and again.
[00:12:27.740 --> 00:12:29.740]   Some future thoughts to wrap it up.
[00:12:29.740 --> 00:12:30.740]   We have two minutes.
[00:12:30.740 --> 00:12:31.740]   Okay?
[00:12:31.740 --> 00:12:33.740]   Am I overfitting?
[00:12:33.740 --> 00:12:37.740]   So I have 20 examples and then I run the evaluators.
[00:12:37.740 --> 00:12:42.740]   So maybe, maybe, maybe the prompt that I'm getting will work really well for those 20 examples.
[00:12:42.740 --> 00:12:45.740]   But then if I give it, like, another example, it will be horrible.
[00:12:45.740 --> 00:12:50.740]   So, yes, I was overfitting that because I just gave it the entire 20 examples.
[00:12:50.740 --> 00:12:52.740]   Ideally, it would have more examples.
[00:12:52.740 --> 00:12:54.740]   And then kind of, like, again, classic machine learning.
[00:12:54.740 --> 00:12:58.740]   Split it into train test sets or train test eval sets.
[00:12:58.740 --> 00:13:01.740]   And then run them, like, separately.
[00:13:01.740 --> 00:13:02.740]   Right?
[00:13:02.740 --> 00:13:03.740]   You take the train set.
[00:13:03.740 --> 00:13:04.740]   This is what you're trying to optimize.
[00:13:04.740 --> 00:13:11.740]   But then you also use the test set to make sure that you actually -- you're not overfitting to your training data set.
[00:13:11.740 --> 00:13:12.740]   Right?
[00:13:12.740 --> 00:13:21.740]   So you don't want to give the optimizer too much context unless it just will know how to answer those specific questions and nothing else.
[00:13:21.740 --> 00:13:23.740]   I told you that prompt engineering is dead.
[00:13:23.740 --> 00:13:29.740]   But I've actually done a lot of prompt engineering for this demo because I needed to engineer the agent that is optimizing my prompts.
[00:13:29.740 --> 00:13:30.740]   So it was horrible.
[00:13:30.740 --> 00:13:33.740]   But I've done a lot of prompt engineering for that.
[00:13:33.740 --> 00:13:39.740]   Maybe I can also do this work for the evaluator prompts or even for the agent prompt.
[00:13:39.740 --> 00:13:43.740]   It's kind of like this meta talk where who's even writing prompts here?
[00:13:43.740 --> 00:13:46.740]   Like, I'm using the agent to optimize itself.
[00:13:46.740 --> 00:13:47.740]   Maybe it will work.
[00:13:47.740 --> 00:13:48.740]   Maybe it won't.
[00:13:48.740 --> 00:13:49.740]   I might try it some weekend.
[00:13:49.740 --> 00:13:50.740]   It's kind of interesting.
[00:13:50.740 --> 00:13:51.740]   Some links.
[00:13:51.740 --> 00:13:53.740]   You can try this out.
[00:13:53.740 --> 00:13:56.740]   It's available in our repo.
[00:13:56.740 --> 00:13:58.740]   It's trace loop slash auto-prompting demo.
[00:13:58.740 --> 00:13:59.740]   And you can run it.
[00:13:59.740 --> 00:14:00.740]   It should run.
[00:14:00.740 --> 00:14:01.740]   I tested it yesterday.
[00:14:01.740 --> 00:14:05.740]   And if you have any questions, you're welcome to ask me outside.
[00:14:05.740 --> 00:14:10.740]   Or you can even book some time with me just by not clicking this link but just following this link.
[00:14:10.740 --> 00:14:11.740]   Thank you very much.
[00:14:11.740 --> 00:14:12.740]   Thank you very much.
[00:14:12.740 --> 00:14:13.740]   Thank you very much.
[00:14:13.740 --> 00:14:14.740]   Thank you very much.
[00:14:14.740 --> 00:14:18.960]   We'll see you next time.

