
[00:00:00.040 --> 00:00:05.060]   Despite having dozens of cards and millions of points, I recently went deep on Citibank,
[00:20:10.320 --> 00:20:15.100]   not as valuable as some other ones. But it really depends on how you travel and spend money. You get
[00:20:15.100 --> 00:20:21.480]   $120 a year for booking Avis and budget car rentals and paying for them directly on the card. You get $10
[00:20:21.480 --> 00:20:27.720]   a month for $120 a year on Grubhub. To me, it feels like those two would be reasonably easy to use. We do
[00:20:27.720 --> 00:20:33.420]   use Grubhub probably once a month. But if we had this card, we'd be doing it twice. So twice a month. I don't
[00:20:33.420 --> 00:20:38.540]   know if we use it that much. And then you get $10 a month credit with Lyft, but only after three rides
[00:20:38.540 --> 00:20:43.980]   each month. So I think that for us would be really hard to use. And then you get TSA Global Entry
[00:20:43.980 --> 00:20:49.240]   covered, which for someone playing this game, I'm guessing you already have a card that covers that.
[00:20:49.240 --> 00:20:55.340]   So those credits to me aren't worth nearly what they're marketed as. But the other big benefit here...
[00:20:55.340 --> 00:20:59.960]   Now, if we go back to American status, I was saying that the base level status, you need 40,000 loyalty
[00:20:59.960 --> 00:21:06.140]   points. The next level is 75,000. And the next level is 125. One of the things this card offers,
[00:21:06.140 --> 00:21:11.580]   even without spending money on the card, is that after you earn 50,000 loyalty points with
[00:21:11.580 --> 00:21:17.020]   American, holding this card gives you an extra 10,000. And then again, after you hit 90,000
[00:21:17.020 --> 00:21:22.940]   loyalty points, you get another 10,000. So if you were going for American Platinum Pro status,
[00:21:22.940 --> 00:21:29.340]   you need 125,000 loyalty points. Just having this card, not even spending on it, would get you 20 of
[00:21:29.340 --> 00:21:36.460]   those 125,000 points. If you're going for Platinum status, you need 75. So you'd get 10 towards that and
[00:21:36.460 --> 00:21:41.980]   only need 65. So if you're really making a go for American status, this card is pretty interesting.
[00:21:41.980 --> 00:21:48.380]   The only other perks that it has are World Elite MasterCard perks, which any World Elite MasterCard
[00:21:48.380 --> 00:21:53.100]   would have. There are some discounts and statuses with maybe some rental cars and stuff like that.
[00:21:53.100 --> 00:21:57.260]   Nothing too compelling, but you can go search World Elite MasterCard and look at those perks.
[00:21:57.260 --> 00:22:04.540]   So for this card, I think that if you travel American, getting lounge access potentially for up to four
[00:22:04.540 --> 00:22:09.660]   people is pretty compelling. So I'd put it at A tier. Obviously, if you don't fly American ever,
[00:22:09.660 --> 00:22:15.660]   all of these American cards are going to be D tier. But the last one I want to mention is probably my
[00:22:15.660 --> 00:22:20.940]   favorite and the one I recently got, which is the Advantage Business Platinum card. And the reason it's
[00:22:20.940 --> 00:22:25.740]   interesting might not be interesting every year and might only be interesting this year, but it has the
[00:22:25.740 --> 00:22:31.580]   highest signup bonus of all the cards right now. So that's interesting. 75,000 after spending 5K in
[00:22:31.580 --> 00:22:38.460]   five months. It also has a $99 annual fee, but the first year is free. So that's interesting.
[00:22:38.460 --> 00:22:43.100]   You got no foreign transaction fees, which is interesting. And then on the benefits side,
[00:22:43.100 --> 00:22:48.860]   you get first bag free for up to four people. And then if you spend $30,000, you get a companion
[00:22:48.860 --> 00:22:55.580]   certificate, which is $99 plus taxes and fees for a companion. So out the gate, it is a similar price
[00:22:55.580 --> 00:23:03.660]   to the personal platinum card. But I think it's a lot better for two reasons. You do earn 2x on rental
[00:23:03.660 --> 00:23:10.700]   car and gas, but also 2x on telecom, cable and satellite. So if you're spending your bills on phone
[00:23:10.700 --> 00:23:16.460]   bills and cable bills, you can earn a little bit of extra American points. But the most interesting
[00:23:16.460 --> 00:23:22.700]   thing is as a business card, it has a couple unique features. So one thing that's very different about
[00:23:22.700 --> 00:23:28.220]   the way American business cards work than almost every other one is that if you add an authorized
[00:23:28.220 --> 00:23:35.100]   employee and that employee is using the card, the loyalty points accrue to the employee, not to the primary
[00:23:35.100 --> 00:23:41.100]   cardholder. So if you want to earn status, you want to use the primary card. But the miles from both
[00:23:41.100 --> 00:23:46.700]   primary and authorized users all accrue to an advantage business account. And that advantage
[00:23:46.700 --> 00:23:52.620]   business account can choose who to transfer those miles to. So in effect, you get this new account that
[00:23:52.620 --> 00:23:57.180]   lets you dole out those miles to any of the employees or authorized users on the card. However,
[00:23:57.180 --> 00:24:03.340]   there is a promotion in 2025. And it says it's targeted, but I did never got an email about it.
[00:24:03.340 --> 00:24:08.140]   And I see it in my promotions tab. And I've heard pretty much everyone has been targeted for this
[00:24:08.140 --> 00:24:14.220]   promotion. And it was also effective last year that all the authorized user or employee cards that are
[00:24:14.220 --> 00:24:20.300]   earning loyalty points for themselves, the primary cardholder will also get those loyalty points.
[00:24:20.300 --> 00:24:29.260]   Meaning if you need to spend in America's platform $75,000 to earn platinum status, if you do it on the
[00:24:29.260 --> 00:24:35.980]   authorized employee card, then the primary user and the employee or authorized user get that status
[00:24:35.980 --> 00:24:41.900]   because they're both accruing the loyalty points. So if you and any other person are both gunning for
[00:24:41.900 --> 00:24:48.940]   American status, this card is excellent because it effectively lets you spend once and earn those
[00:24:48.940 --> 00:24:54.220]   loyalty points for two people. So I was a little torn on this. If you're going for American status,
[00:24:54.220 --> 00:24:59.260]   this card has to be S tier because it lets you earn status for two people at the same time.
[00:24:59.260 --> 00:25:04.780]   But I still don't think the earnings is that exciting. And so, and not everyone's going for
[00:25:04.780 --> 00:25:09.740]   American status and not everyone wants a business card and not everyone is trying to get status for
[00:25:09.740 --> 00:25:14.540]   two people. Because if you are in a family and you're often traveling together, we don't really need
[00:25:14.540 --> 00:25:18.780]   the status for both of you. You're going to get free bags for four people. You're going to get preferred
[00:25:18.780 --> 00:25:23.580]   boarding. Your status will let others board with you. So I'm going to put this in a tier,
[00:25:23.580 --> 00:25:28.940]   but I think that it's definitely the best of the American cards, unless you really rely on lounge
[00:25:28.940 --> 00:25:35.260]   access, which by the way, at some tier of milestone perks, meaning as you earn loyalty points, you get
[00:25:35.260 --> 00:25:42.060]   perks. One of those benefits is an admiral's club membership. So there is a way to spend your way to
