
[00:00:00.000 --> 00:00:18.160]   Hello, everyone. Who's excited to chat about MCP today?
[00:07:05.680 --> 00:07:12.680]   But our goal here is really to make it maximally useful for you all and for model providers.
[00:07:12.680 --> 00:07:21.680]   So thank you for your help in even getting us to the point where I can be speaking on stage about this less than one year later.
[00:07:22.680 --> 00:07:34.680]   So just to get a little bit deeper into what we were solving for at the start of building MCP is, again, this kind of idea of model agency.
[00:07:34.680 --> 00:07:40.680]   And part of that means agents is kind of the direction that we think is going to be the future.
[00:07:40.680 --> 00:07:42.680]   That's no surprise to anyone in this room.
[00:07:42.680 --> 00:07:49.680]   You are probably going to hear the word agents said in every talk, if not almost every talk.
[00:07:49.680 --> 00:08:02.680]   But the way that we think about agents is that you are giving the model, or you're rather depending on the model's intelligence to choose actions and decide what to do.
[00:08:02.680 --> 00:08:17.680]   In the same way that, you know, maybe when you talk to a human and you ask them for a response, you don't know exactly what the response is, but based on your understanding of maybe the task that you've given them, your hope is that they are going to give you the right response.
[00:08:17.680 --> 00:08:26.680]   And we want to kind of enable that world where you're depending on the model's intelligence scaling over time.
[00:08:26.680 --> 00:08:33.680]   So that leads to principles in how we actually build the protocol itself.
[00:08:33.680 --> 00:08:41.680]   Recently, we launched the support for Streamable HTTP, which changes the transport from SSE.
[00:08:41.680 --> 00:08:48.680]   And as you all might know, Streamable HTTP enables more bidirectionality.
[00:08:48.680 --> 00:08:52.680]   And so that was a very controversial decision, actually.
[00:08:52.680 --> 00:09:00.680]   But if you're keeping agents in mind as the future, it makes a lot of sense because you want to make sure that agents can kind of communicate with each other.
[00:09:00.680 --> 00:09:07.680]   The other thing that we believe is that there will be a lot more servers than there are clients.
[00:09:07.680 --> 00:09:09.680]   We could be totally wrong on this.
[00:09:09.680 --> 00:09:12.680]   I would love to see where the future plays out.
[00:09:12.680 --> 00:09:24.680]   But because we think that there will be a lot more servers than there are clients, we optimized for server simplicity and for the server builders to have better tooling.
[00:09:24.680 --> 00:09:33.680]   And that does mean when we have to make a trade-off between client complexity or server complexity, we tend to optimize for pushing the complexity down to the client.
[00:09:33.680 --> 00:09:38.680]   So I apologize in advance to client builders, but it was an intentional decision.
[00:09:38.680 --> 00:09:46.680]   Again, I would be curious to see if this plays out the way that we thought it would.
[00:09:46.680 --> 00:09:53.680]   So I'm going to speed run through some project updates, mostly because other talks are going to go much more in detail here.
[00:09:53.680 --> 00:10:00.680]   But last six months, we launched ability for folks to build remote MCPs.
[00:10:00.680 --> 00:10:04.680]   We fixed auth, which we got wrong initially.
[00:10:04.680 --> 00:10:05.680]   Thank you.
[00:10:05.680 --> 00:10:11.680]   So I know that was a huge, huge thing that we got wrong initially, but it is now fixed in the draft spec.
[00:10:11.680 --> 00:10:20.680]   And so we'd love folks to continue helping to push on these things that they see don't match their mental model.
[00:10:20.680 --> 00:10:32.680]   This was actually fixed via a series of people from the community jumping in to work on saying, hey, this is how auth works with identity providers,
[00:10:32.680 --> 00:10:34.680]   and here's how we can update the protocol.
[00:10:34.680 --> 00:10:38.680]   So very much a community effort.
[00:10:38.680 --> 00:10:42.680]   Again, launched renewable HTTP as the primary transport.
[00:10:42.680 --> 00:10:56.680]   And lastly, made a couple of updates to the developer experience by updating our SDKs and also making updates to inspector, which if you aren't familiar with, is a really good debugging tool for your server.
[00:10:56.680 --> 00:11:01.680]   I think it is probably our most underutilized tool.
[00:11:01.680 --> 00:11:06.680]   Looking forward, we're going to be focusing a lot more on that agent experience.
[00:11:06.680 --> 00:11:11.680]   So we just added elicitation to the draft spec.
[00:11:11.680 --> 00:11:17.680]   This allows servers to ask for more information from end users.
[00:11:17.680 --> 00:11:28.680]   So you can imagine you're building a-- maybe you're building a flight booking tool, and the end user says, hey, book me the best flight to Atlanta.
[00:11:28.680 --> 00:11:33.680]   And so as the server, you have a question, which is what does best mean to you?
[00:11:33.680 --> 00:11:35.680]   Is it cheapest or is it fastest?
[00:11:35.680 --> 00:11:39.680]   So you ask the end user, and now you can pass through that elicitation.
[00:11:39.680 --> 00:11:43.680]   The end user can respond and have that response ultimately sent back to the server.
[00:11:43.680 --> 00:11:55.680]   We are also making progress on the registry API, which would make it a lot easier for models to actually find MCPs that weren't already given to them upfront.
[00:11:55.680 --> 00:11:59.680]   So this is, again, kind of on that theme of model agency.
[00:11:59.680 --> 00:12:03.680]   We're really betting on the intelligence of models going up over time.
[00:12:03.680 --> 00:12:17.680]   Again, working on developer experience, we've heard often from you all that there are-- that, you know, you'd love to understand what kind of the best patterns are in the ecosystem or what the standards are.
[00:12:17.680 --> 00:12:27.680]   And so we want to make sure that there are open source examples that both we've contributed to and also the community can contribute to to kind of help build those standards and patterns together.
[00:12:27.680 --> 00:12:40.680]   And lastly, we're making sure that MCP stays open forever, and we are investing heavily in thinking about the next phase of governance.
[00:12:40.680 --> 00:12:43.680]   So there will be more updates on that soon.
[00:12:43.680 --> 00:12:55.680]   And just to do a quick call-out to the graphic in the bottom, so a lot of people have asked us what it looks like to actually build an agent with MCP.
[00:12:55.680 --> 00:13:08.680]   So our take is that an agent really is just a server acting as a client and vice versa, where you can then kind of chat back and forth with other agents, other servers, other clients.
[00:13:08.680 --> 00:13:10.680]   So I won't go into too much detail there.
[00:13:10.680 --> 00:13:21.680]   I know a lot of other people are going to be talking about agents in more detail, but I just wanted to make sure that I call that out here.
[00:13:21.680 --> 00:13:34.680]   So the thing that everyone has probably been waiting for and that I've been told over and over again when I talk to founders, what they're asking me about is what should I build in this space?
[00:13:34.680 --> 00:13:40.680]   If MCP becomes a standard, where are the interesting opportunities?
[00:13:40.680 --> 00:13:47.680]   So before jumping into this, the first thing I'll say is that we are really early right now.
[00:13:47.680 --> 00:13:52.680]   And that means that even if the standard exists, we still need the ecosystem to be filled out.
[00:13:52.680 --> 00:13:56.680]   And I would urge you to build more and more and more servers.
[00:13:56.680 --> 00:14:05.680]   If I had to put a weighting on these three bullet points, I would put 80% on the first one, 10% on the second one, and 10% on the third one.
[00:14:05.680 --> 00:14:14.680]   So we have a lot of opportunity to build a lot more servers that are higher quality and for different verticals.
[00:14:14.680 --> 00:14:27.680]   And just to touch quickly on what I mean by higher quality, a lot of people, you know, maybe hot take, but I think a lot of people are wrapping their API endpoints one-to-one and just exposing that as tools.
[00:14:27.680 --> 00:14:30.680]   So I don't think that's the right way to build an MCP server.
[00:14:30.680 --> 00:14:33.680]   That in and of itself could probably be a 20-minute talk.
[00:14:33.680 --> 00:14:38.680]   But what you really have to remember when you're building a server is that you have three users.
[00:14:38.680 --> 00:14:42.680]   You have the end user, the client developer, and the model.
[00:14:42.680 --> 00:14:45.680]   So a lot of people forget that the model is a user here as well.
[00:14:45.680 --> 00:14:51.680]   You want to, just as you would for API design, you want to think about what are the use cases that your end users are going to have?
[00:14:51.680 --> 00:14:56.680]   What are the prompts that they might actually be putting into the model?
[00:14:56.680 --> 00:15:04.680]   And ultimately, what are the tools that you then need to expose to the model to enable the model to respond correctly to those prompts?
[00:15:04.680 --> 00:15:10.680]   So higher quality servers and also servers for different verticals.
[00:15:10.680 --> 00:15:14.680]   A lot of the servers today have been for DevTools.
[00:15:14.680 --> 00:15:25.680]   We would love to see this expand to be useful beyond engineers into verticals like sales, finance, legal, education, pick your poison, whatever you know best.
[00:15:25.680 --> 00:15:29.680]   We would just love to see more servers.
[00:15:29.680 --> 00:15:33.680]   The next piece is on simplifying server building.
[00:15:33.680 --> 00:15:40.680]   So again, as I mentioned, we believe strongly that servers are going to be the vast majority of the ecosystem.
[00:15:40.680 --> 00:15:49.680]   There will, of course, be a lot of clients as well, but we think the order of magnitude of servers is going to outweigh the order of magnitude of clients.
[00:15:49.680 --> 00:16:07.680]   And so we would love to see a lot more tooling to actually make it easier and easier to build servers, both for enterprises that are deploying MCPs internally as interfaces between teams and for indie hackers and everything in between that are building MCPs for external users.
[00:16:07.680 --> 00:16:15.680]   So anything from hosting tooling, testing tooling, evals, deployment, et cetera.
[00:16:15.680 --> 00:16:26.680]   And then I snuck a bullet in here that's maybe a little bit more of a moonshot and a bet on the future, but there's a bullet for automated MCP server generation.
[00:16:26.680 --> 00:16:46.680]   And again, if you kind of think back to our bet on model intelligence and model agency for the future, at some point models will be so good writing code and interacting with the external world that they will actually be able to write their own MCPs on the fly in real time.
[00:16:46.680 --> 00:16:59.680]   And so this might be a little early for where we are today, but I do think that there will be an opportunity for automated MCP generation as models get smarter and smarter.
[00:16:59.680 --> 00:17:09.680]   And last but not least, I wanted to do a quick call out for any tooling around AI security, observability, auditing, et cetera.
[00:17:09.680 --> 00:17:12.680]   I don't think this is actually specific to MCP.
[00:17:12.680 --> 00:17:26.680]   This is true for any AI application, but I think the more that you enable those applications to have access to the outside world, to start playing with real data, of course, the security and privacy, et cetera, implications also go up.
[00:17:26.680 --> 00:17:34.680]   And so I think if you're going to build a startup in that space, now is the time.
[00:17:34.680 --> 00:17:36.680]   So with that, happy MCP-ing.
[00:17:36.680 --> 00:17:37.680]   Thank you.
[00:17:37.680 --> 00:17:44.680]   Thank you.

