
[00:00:00.040 --> 00:00:18.720]   Hi everyone, I'm Will Brown. I'm at Prime Intellect. Today I want to talk about training
[00:02:58.720 --> 00:03:04.400]   agentic software and agentic applications. But it's also complicated. So on the left here,
[00:03:04.400 --> 00:03:09.920]   this is the like architecture diagram of Veral, which is kind of the most popular software people use in
[00:03:09.920 --> 00:03:16.240]   the research world for writing papers to do RL. So if you want to like take a model and go do RL,
[00:03:16.240 --> 00:03:22.720]   Veral kind of expects that you understand all of this. On the left, we have, right, we have GRPO as presented
[00:03:22.720 --> 00:03:27.760]   in the original DeepSeq math paper back from early 2024. And like, there's a lot of pieces here. There's a lot of
[00:03:27.760 --> 00:03:33.680]   like complicated steps going on that I think a lot of people who are used to thinking about APIs,
[00:03:33.680 --> 00:03:39.120]   used to thinking about building agents, kind of like are hoping they don't have to worry about it.
[00:03:39.120 --> 00:03:46.240]   And are hoping that like, you can just set it aside and like, something else will work and we'll just
[00:03:46.240 --> 00:03:51.520]   use the APIs, it'll all be great. And I think the reality is like somewhere in the middle where like,
[00:03:51.520 --> 00:03:55.680]   I think it doesn't need to be this complicated. But I think you also kind of do have to be aware of it if
[00:03:55.680 --> 00:03:59.200]   your goal is really like building the most performing agents, not necessarily just like
[00:03:59.200 --> 00:04:04.400]   today, you need to know about it. But as a piece of the toolkit to potentially make really powerful
[00:04:04.400 --> 00:04:11.440]   agentic software, I think the people who are willing to do this and take the best open models and really
[00:04:11.440 --> 00:04:15.600]   RL them for their tasks and configure how to do that well, are going to have a huge advantage. And that's
[00:04:15.600 --> 00:04:20.480]   the kind of thing that also allows you to like build a moat beyond just like being a wrapper API and
[00:04:20.480 --> 00:04:25.520]   towards something where it's like, oh, I actually have my own model now, but not everyone can be
[00:04:25.520 --> 00:04:29.120]   a big lab. And so we kind of need to meet in the middle somewhere of like, okay, how do we make this
[00:04:29.120 --> 00:04:36.960]   a thing that starts to become feasible for startups for individual researchers to actually do? And like,
[00:04:36.960 --> 00:04:42.240]   at what scale does this become like feasible? And so agents are like, the type of product that everyone's
[00:04:42.240 --> 00:04:48.720]   excited about, we all like, love cloud code and Devin and Manus and O3 and deep research. And like,
[00:04:48.720 --> 00:04:51.600]   these are the sorts of products that are really capturing people's attention.
[00:04:52.320 --> 00:04:57.120]   They're products that in their current iteration happen to work kind of because the models that
[00:04:57.120 --> 00:05:03.040]   are being used have like been RL to basically do these kinds of things. Like Claude is a very good
[00:05:03.040 --> 00:05:08.000]   coding agent, probably because it has been RL done a lot of code. And so it's like, not very surprising
[00:05:08.000 --> 00:05:13.200]   that if you plug Claude into essentially a while loop with some tools, it's like quite good at doing
[00:05:13.200 --> 00:05:19.440]   these things because it's basically most likely been trained in almost that exact setting. Same for things
[00:05:19.440 --> 00:05:24.240]   like O3, like it can do GeoGuessr and whatever, because whether it's literally GeoGuessr or something
[00:05:24.240 --> 00:05:30.160]   close to it, they have talked about training it to do this image cropping trick. Like that's a technique
[00:05:30.160 --> 00:05:34.560]   that it didn't just know how to do out of the box. They said, hey, let's give it these tools to do that
[00:05:34.560 --> 00:05:39.120]   and use reinforcement learning to train it to do that. And so that is kind of the recipe that we have seen
[00:05:39.120 --> 00:05:43.920]   coming from the big labs as if you want a powerful agent that can do a certain type of task,
[00:05:43.920 --> 00:05:46.800]   you can use reinforcement learning to train it to do that task better.
[00:05:48.640 --> 00:05:52.720]   And so these are kind of the same thing, actually, like building an agent, the pieces of
[00:05:52.720 --> 00:05:59.440]   making an agent in terms of the harness, the environment, the tools and the iteration is
[00:05:59.440 --> 00:06:05.920]   essentially the same conceptual framing as canonical reinforcement learning in the sense of policies,
[00:06:05.920 --> 00:06:10.880]   actions, states, rewards, transition probabilities. And I think the more that we start to view
[00:06:10.880 --> 00:06:18.160]   agents as this umbrella, which is not just about static chaining of API calls, but as this interaction
[00:06:18.160 --> 00:06:24.800]   loop with evaluations, that framing really is the way to think about RL, which is you build a system
[00:06:24.800 --> 00:06:29.760]   where a thing is interacting with an environment, and you have some way of evaluating how good it's
[00:06:29.760 --> 00:06:35.440]   doing. And RL is simply an algorithm to improve based on the scores of these evaluations.
[00:06:36.560 --> 00:06:40.880]   And if you're building agents, and you're tuning your prompts, and you're fiddling with your harnesses,
[00:06:40.880 --> 00:06:44.960]   this is kind of like doing RL by hand. What you're doing is you're saying like,
[00:06:44.960 --> 00:06:50.240]   okay, currently, my evals are saying this, let's make sure the evals are like capturing what I want.
[00:06:50.240 --> 00:06:55.760]   Let's look at the data. Let's see if the data matches what my evals are saying. And then, oh,
[00:06:55.760 --> 00:07:00.800]   let's try a new prompt. Let's try giving it a new tool. Let's try switching out the model.
[00:07:00.800 --> 00:07:07.600]   This is the process which is also being targeted by reinforcement learning in the general sense
[00:07:07.600 --> 00:07:12.960]   beyond individual algorithms. About these algorithms, there's a few of them that are
[00:07:12.960 --> 00:07:17.120]   very important. All of them have different implementation details. But in general,
[00:07:17.120 --> 00:07:21.520]   the idea is you have a bunch of tasks, like versions of your problem, which are essentially prompts.
[00:07:21.520 --> 00:07:25.680]   You have rollouts, which are just completions, potentially involving many steps of interactions,
[00:07:25.680 --> 00:07:31.200]   but like one sequence of stuff happening. And then you have evaluation, potentially interleaved
[00:07:31.200 --> 00:07:35.840]   throughout or at the end of the sequence. And what you're estimating is the advantage. The
[00:07:35.840 --> 00:07:40.800]   advantage here is the idea that sometimes your model would be better than others. Like these
[00:07:40.800 --> 00:07:47.600]   LLMs are all non-deterministic. You have temperature above zero. You have different things happen in
[00:07:47.600 --> 00:07:54.240]   different rolls of the dice. And this forking process of saying like, okay, this time it did better than
[00:07:54.240 --> 00:08:02.160]   that time. Why was it different? RL is really about saying like, okay, this is the actual thing that
[00:08:02.160 --> 00:08:08.240]   changed, that resulted in the reward being better, the eval being better. This is the token at which
[00:08:08.240 --> 00:08:13.440]   I went down the good path versus the bad path. And whether you're doing PPO or GRPO,
[00:08:14.480 --> 00:08:20.800]   like this is the mechanism by which you get the signal of like, you have something that sometimes
[00:08:20.800 --> 00:08:27.200]   went better, sometimes went worse. Now you can kind of very surgically have the model, learn to do more
[00:08:27.200 --> 00:08:32.400]   of the good stuff without changing too much overall. I think this is also kind of maybe a reason why DPO,
[00:08:32.400 --> 00:08:37.280]   I think people were hoping DPO would like really work well. In my view, DPO does not necessarily have
[00:08:37.280 --> 00:08:42.320]   this like fine grained advantage estimate. Like it's not really clear just from like a full good completion and
[00:08:42.320 --> 00:08:46.880]   a full bad completion where you're really getting the signal about these complex branching processes.
[00:08:46.880 --> 00:08:52.160]   PPO has this, but it's also very expensive. GRPO I think has taken a lot of people kind of
[00:08:52.160 --> 00:08:58.400]   by storm in terms of like being a very nice like middle ground where it's more computationally efficient.
[00:08:58.400 --> 00:09:04.960]   It's like simple to implement. But also it does have this kind of forking process that comes just from sampling.
[00:09:06.560 --> 00:09:11.520]   There's also just too many papers. So like, I think a lot of people just see a new paper every day and
[00:09:11.520 --> 00:09:17.760]   are like, do I have to read this one? And I feel that too. Like, I think it's difficult to know up front,
[00:09:17.760 --> 00:09:22.720]   like which of these are going to be important, which of them are just going to be like noise, especially
[00:09:22.720 --> 00:09:26.080]   because lots of them have very sensationalist titles, like, oh, Quen doesn't work.
[00:09:27.040 --> 00:09:32.320]   Or like, or Quen, everyone, everything only works with Quen is like kind of true. But like, there's also
[00:09:32.320 --> 00:09:36.240]   more to the story than that. And I think there's like different implementation details of like, oh,
[00:09:36.240 --> 00:09:41.520]   if you change the loss function like this in this experiment, then it works. And I think for most
[00:09:41.520 --> 00:09:48.400]   people, it is best to just like kind of set this aside and to not get too caught up in the individual
[00:09:48.400 --> 00:09:54.240]   details of individual experiments, individual papers, and kind of think more holistically about what is the
[00:09:54.240 --> 00:09:59.040]   process of reinforcement learning doing? What implementation details am I willing to kind of
[00:09:59.040 --> 00:10:02.880]   leave to other people to figure out and eventually come to me with like software that like has the
[00:10:02.880 --> 00:10:08.240]   knob set correctly? And which pieces are actually important for solving the problems I care about?
[00:10:08.240 --> 00:10:12.640]   And so for a lot of people, I think the things that are going to be really interesting
[00:10:12.640 --> 00:10:18.560]   are things that are relating to actual software to actual problems that they want to sell in the world.
[00:10:18.560 --> 00:10:23.680]   And agents, I think are kind of the instantiation of that where this makes sense. And the thing that makes
[00:10:23.680 --> 00:10:28.720]   an agent an agent is tools, the ability to interact with an environment with a system.
[00:10:28.720 --> 00:10:33.600]   A lot of people here are like very excited about MCP at the conference. Like MCP is just tools. MCP is
[00:10:33.600 --> 00:10:41.440]   about giving your LM the ability to like interact with stuff, to go solve problems that involve changing
[00:10:41.440 --> 00:10:47.600]   files, making requests, editing code, running code. And so I think these are the papers that I get excited
[00:10:47.600 --> 00:10:51.360]   about because they feel like, like there's parts of the puzzle that are not fully solved yet of like,
[00:10:51.360 --> 00:10:54.400]   what's the right way to do all of this? Like there's still some open questions,
[00:10:54.400 --> 00:11:01.280]   but I think those are getting kind of refined. We're starting to see more and more, but like a lot of
[00:11:01.280 --> 00:11:05.520]   the code, the tools we have out in the wild, they're like, go do this. Like if you want to like go play
[00:11:05.520 --> 00:11:12.320]   around with RL, most code bases are like very set up for like either code and math tasks or things that are
[00:11:12.320 --> 00:11:19.360]   quite similar to that. That's kind of my fault. I had a snippet go viral that was like, here's how you do
[00:11:19.360 --> 00:11:25.600]   RL on like GSM AK, which is like a kind of easy math data set. And then I think I've seen a lot of people like
[00:11:25.600 --> 00:11:30.640]   stick with this as like, Oh, we're going to RL on math. And I like, this is also just like math is easy to evaluate.
[00:11:30.640 --> 00:11:37.760]   And I think people are the evals, writing evals are hard. Like there's a whole track going on in parallel to this about like how to build a good eval.
[00:11:38.480 --> 00:11:43.120]   And so I think a lot of researchers gravitate towards things that like look like the benchmarks
[00:11:43.120 --> 00:11:47.040]   that are also really easy to eval because there's like a very clear signal of like, okay,
[00:11:47.040 --> 00:11:53.200]   this thing is like, right. This thing is wrong. Good. Okay. We're doing RL. But like real world tasks are
[00:11:53.200 --> 00:12:00.960]   messier than that. We are not going to like get great software systems just by like hill climbing on
[00:12:00.960 --> 00:12:06.000]   whatever question answer benchmark is popular today. What we're going to do is we're going to have to do is
[00:12:06.000 --> 00:12:11.040]   start thinking about like the actual systems at hand and the challenges that emerge when we're
[00:12:11.040 --> 00:12:15.440]   trying to design these rewards. And so like reward hacking is like a real thing. Um, I think this is
[00:12:15.440 --> 00:12:20.960]   one of the lessons that like RL works, but also it's not like always going to work. There are things that
[00:12:20.960 --> 00:12:26.640]   can go wrong. And to me, reward hacking is really a message about the difficulty of building good evals.
[00:12:26.640 --> 00:12:32.960]   Like, uh, what you really want with an eval is for it to be easier for your model to do the task
[00:12:32.960 --> 00:12:38.320]   than to hack the eval. You want to build a reward signal that actually captures what you care about
[00:12:38.320 --> 00:12:45.840]   where, uh, gaming it is like more difficult than not gaming it. If you can, if the model can learn to do
[00:12:45.840 --> 00:12:53.680]   the task directly just by doing what you want it to do in the spirit of the task, then like that is
[00:12:53.680 --> 00:12:57.680]   what will happen. It will flow in the path of least resistance. This is like models just want to learn,
[00:12:57.680 --> 00:13:02.000]   but they want to learn to do better on reward signals. And so your reward signals have to point
[00:13:02.000 --> 00:13:07.360]   in the direction of the thing you actually care about. Um, otherwise like models will find cheats.
[00:13:07.360 --> 00:13:13.280]   Um, and I think thinking about these things in combination kind of points a little bit towards
[00:13:13.280 --> 00:13:16.480]   a direction that I think is going to be very promising. And there's some very early signs
[00:13:16.480 --> 00:13:22.720]   that like this actually can work, um, which is like when R1 came out, I was kind of like speculating,
[00:13:22.720 --> 00:13:28.560]   like what's next? What are the things that are going to unlock this sort of technique being used more
[00:13:28.560 --> 00:13:34.080]   generally? Um, and you people talk a lot about like generator, verifier gaps, like what are the
[00:13:34.080 --> 00:13:37.760]   differences between like solving a problem versus checking if you have a solution? And a lot of
[00:13:37.760 --> 00:13:42.240]   problems like are much easier to check than solve, but this isn't like a binary thing.
[00:13:42.240 --> 00:13:48.640]   This is a spectrum of how difficult is it to verify a thing. But, um, there's some kind of signs that
[00:13:48.640 --> 00:13:56.160]   you kind of can do evaluations on more ambiguous tasks by just breaking them down into smaller pieces
[00:13:56.160 --> 00:14:03.120]   and by using LLMs as subroutines in your evaluations, like LLMs that judge on steroids,
[00:14:03.120 --> 00:14:06.800]   or maybe you want to actually like train a specialized LLM who is really good at doing
[00:14:06.800 --> 00:14:12.160]   these fine grained evaluations. I like using the term rubric as a conceptual general umbrella around
[00:14:12.160 --> 00:14:17.760]   reward models, reward functions, LLMs judge setups, like the criteria on which you are evaluating a
[00:14:17.760 --> 00:14:21.760]   thing. There's a cool paper from deep seek that I was found very exciting when it came out a couple
[00:14:21.760 --> 00:14:26.240]   months ago about like how to train reward models that like generate these rubrics on the fly.
[00:14:26.240 --> 00:14:30.080]   There was a paper very recently that does this for creative writing and kind of found that like,
[00:14:30.080 --> 00:14:35.840]   yes, you actually can train reward models that will come up with nuanced fine grained
[00:14:35.840 --> 00:14:41.520]   evaluation criteria for a task on the fly, given the actual problem. And this gives you something that
[00:14:41.520 --> 00:14:46.880]   results in a very like fine grained score that allows you to actually do LL and like keep getting better.
[00:14:46.880 --> 00:14:52.400]   And I think like this is an area that I'm really excited about to keep watching.
[00:14:52.400 --> 00:14:57.520]   But also like multi-turn. Multi-turn is probably where we're headed. We want to do agentic search,
[00:14:57.520 --> 00:15:03.040]   we want to do tool calls, software, games, long horizon planning, computer use, memory. Scaling on tool
[00:15:03.040 --> 00:15:08.960]   calls lets you solve harder problems. And so how do we actually like do this? What's the way to go about
[00:15:08.960 --> 00:15:16.560]   building multi-turn agentic systems to do and that we can use RL with. And I think the conceptual pieces
[00:15:16.560 --> 00:15:22.000]   here are environments are basically harnesses, rewards are basically evals, tasks are just prompts,
[00:15:22.000 --> 00:15:27.280]   and your policy in the RL sense hopefully should just be as simple as like an LLM API.
[00:15:27.280 --> 00:15:31.200]   I think the programming interface that makes sense for a lot of people is to have an API
[00:15:31.840 --> 00:15:36.960]   that you're writing code as if it's just a normal agent in a loop. But then this is a thing that you
[00:15:36.960 --> 00:15:42.000]   can use to go do RL. And so that's what I've been building over the past couple of months. I maintain
[00:15:42.000 --> 00:15:49.520]   a repo called verifiers. It's finally on pip out in the world, you can just install it, but it's been a
[00:15:49.520 --> 00:15:57.280]   long time coming. And what it really is, is a toolkit of these pieces to make it so that building an agent
[00:15:57.280 --> 00:16:01.760]   that you can actually train with RL feels just like building an agent. So the interaction
[00:16:01.760 --> 00:16:06.960]   protocol here is like quite simple. Like this is the entire rollout function on the left of like
[00:16:06.960 --> 00:16:11.920]   what happens in the code when you're running an agent to do RL, which is that you kind of set up some
[00:16:11.920 --> 00:16:17.520]   initial state stuff, have a while loop for is it done yet? If it's not done, do a turn. And the thing
[00:16:17.520 --> 00:16:24.000]   you're passing here is a client object that's just an open AI compatible API. And I think this is the kind
[00:16:24.000 --> 00:16:29.760]   of interface that you really want if you want people to be able to go from their agent applications to
[00:16:29.760 --> 00:16:34.080]   something that's trainable, something that they can use with RL. It's been a lot of fun thinking
[00:16:34.080 --> 00:16:37.840]   about like, what are the abstractions? What are the pieces here? And so like, there's things like
[00:16:37.840 --> 00:16:41.440]   parsers and rubrics that I think are like nice building blocks that you sometimes want to use.
[00:16:41.440 --> 00:16:45.440]   You can also like not use them if you don't want to, but like I've tried to make it fun and user-friendly.
[00:16:45.440 --> 00:16:50.240]   The other day, I was like, let's train a Wordle agent. I think this was like a fun little toy
[00:16:50.240 --> 00:16:55.040]   problem where it's like, it's not that hard of like a game for us as humans, but like,
[00:16:55.680 --> 00:17:00.400]   it's actually like kind of tricky to get your code to be this sort of thing where you have this like
[00:17:00.400 --> 00:17:05.680]   multi-turn interaction protocol that you actually can do learning with. But now it's like much easier,
[00:17:05.680 --> 00:17:10.880]   like the code to do these things is like quite simple. And the reward functions can kind of be
[00:17:10.880 --> 00:17:14.000]   relatively simple for this sort of setup where it's like, okay, you want to reward it for like
[00:17:14.000 --> 00:17:19.760]   solving the thing eventually, but also like give it more rewards for doing it in less turns. And like,
[00:17:19.760 --> 00:17:24.640]   this is a 7b model like works reasonably well, but one of the reasons it works, um,
[00:17:24.640 --> 00:17:26.720]   which I'll talk about in a sec is, uh,
[00:17:26.720 --> 00:17:31.520]   Sft warmup as a way of kind of lowering the barrier of entry. Like this, the code as it is,
[00:17:31.520 --> 00:17:36.240]   is very much set up so that like your environments for RL are also just like synthetic data loops or evals
[00:17:36.240 --> 00:17:42.160]   where you can plug in clod or deep seek or open AI and like test. So you don't have to like do RL to debug.
[00:17:42.160 --> 00:17:46.080]   You can like debug with an API in terms of seeing, is this a good eval?
[00:17:46.080 --> 00:17:50.080]   Is this a good reward? Once you're kind of comfortable with it, you can like use whatever
[00:17:50.080 --> 00:17:55.200]   API you like that you are allowed to use and make synthetic data, do some SFT on it.
[00:17:55.200 --> 00:17:58.080]   And now you can start doing RL and this like helps a lot with small models.
[00:17:58.080 --> 00:18:03.120]   I think there's a lot of efficiency challenges that are like, I've been kind of hard at work
[00:18:03.120 --> 00:18:06.960]   trying to solve in terms of like having all of your computation be utilized effectively,
[00:18:06.960 --> 00:18:10.400]   having everything be like fully async. So you don't have to worry about like batching
[00:18:10.400 --> 00:18:14.080]   and that your trainer and your inference can kind of go at the same time.
[00:18:14.080 --> 00:18:18.320]   You can be like a little bit off policy. A lot of engineering that I'm hoping like,
[00:18:18.320 --> 00:18:23.120]   if you want to worry about that, great, dig into it, fork the repo, mess with things.
[00:18:23.120 --> 00:18:29.760]   If you don't want to, you shouldn't have to. And like the idea here is that this should become
[00:18:29.760 --> 00:18:34.800]   something that more people are trying out, more people are having fun with, with exploring
[00:18:34.800 --> 00:18:41.200]   and getting a feel for it. Because if it's going to be a thing we have to worry about, if this is the future of
[00:18:41.200 --> 00:18:48.080]   building better agent models for your applications, like now's a good time to start. And so this stuff
[00:18:48.080 --> 00:18:53.920]   is set up so you can like on a couple GPUs like do a lot of interesting research. Like the barrier of entry
[00:18:53.920 --> 00:18:59.200]   is like much lower now than it used to be. I have a lot of fun doing this on like a couple GPUs.
[00:18:59.920 --> 00:19:16.320]   We sell GPUs by the way. Thanks everybody. I don't think we have time for questions. But yeah.

