
[00:00:00.000 --> 00:00:04.720]   [Intro Music]
[00:09:50.880 --> 00:09:53.400]   temptation, defeat the devil's lies?
[00:09:53.400 --> 00:09:54.940]   Oh, my!
[00:09:54.940 --> 00:09:56.480]   God is answering.
[00:09:56.480 --> 00:10:02.880]   Let us not make too little of these glorious acts of God.
[00:10:02.880 --> 00:10:03.880]   Amen.
[00:10:03.880 --> 00:10:07.920]   Wow, there's a lot to meditate on here for all of us in our prayer lives.
[00:10:07.920 --> 00:10:10.080]   Thank you, Pastor John, for that response.
[00:10:10.080 --> 00:10:12.240]   And thank you for the great question, Richard.
[00:10:12.240 --> 00:10:13.240]   Thanks for sending that in.
[00:10:13.240 --> 00:10:17.420]   Over at our online home, you can explore all 1,250 of our episodes.
[00:10:17.420 --> 00:10:21.960]   You can scan a list of our most popular ones, read full transcripts, and even send us a
[00:10:21.960 --> 00:10:24.760]   question of your own like Richard did today.
[00:10:24.760 --> 00:10:27.160]   To do all those things, go to DesiringGod.org/AskPastorJohn.
[00:10:27.160 --> 00:10:33.000]   And to get new episodes delivered to you three times per week, subscribe to the Ask Pastor
[00:10:33.000 --> 00:10:35.760]   John podcast in your favorite podcast app.
[00:10:35.760 --> 00:10:41.720]   Well, how does Jesus change our relationship to the Old Testament?
[00:10:41.720 --> 00:10:42.720]   It's a massive question.
[00:10:42.720 --> 00:10:47.560]   And it's one we get in the inbox every single day, it seems, and it's the question we will
[00:10:47.560 --> 00:10:52.080]   close the week out with on Friday when we return with John Piper in the studio.
[00:10:52.080 --> 00:10:54.600]   I'm your host, Tony Reinke, and we'll see you then.
[00:10:54.600 --> 00:11:02.500]   [BLANK_AUDIO]
[00:11:02.500 --> 00:11:28.580]   [ Silence ]

