
[00:00:00.500 --> 00:00:03.200]   NICHIL CHOI:
[00:15:16.560 --> 00:15:24.560]   Great question. So basically what, uh, the quick answer to that is about 50% of the labor costs inside any kitchen is line cooking labor.
[00:15:24.560 --> 00:15:41.560]   And that's where we are going at first. And the advantage there, I mean, uh, speed does play a factor, but there's another, uh, variable that we have in our control, which is, we are able to speed up recipes, uh, more than any human being is able to do.
[00:15:41.560 --> 00:15:46.560]   Because we know exactly like we've had several instances where we've recorded risk.
[00:15:46.560 --> 00:15:51.560]   Like we've observed the chef in motion and realized that, Oh, this process that takes them 20 minutes to do can actually be done in 14 minutes.
[00:15:51.560 --> 00:15:56.560]   So if the robot does even like 10% slower, it doesn't really matter. That's how it works.
[00:15:56.560 --> 00:15:57.560]   Yeah.
[00:15:57.560 --> 00:16:06.560]   Unlike a human being who, uh, after working 40 hours a week, uh, goes into overtime treasury, robot can work for like one minute.
[00:16:06.560 --> 00:16:16.560]   168 hours. Like there's nothing stopping robot from working for 24 seven.
[00:16:16.560 --> 00:16:20.560]   The practical constraint is most facilities don't operate 24 hours.
[00:16:20.560 --> 00:16:25.560]   So the robot will operate as long as the facility is operating. And then there are some tasks that you can do overnight.
[00:16:25.560 --> 00:16:30.560]   So once we get into cutting, chopping, et cetera, the robot will just be doing that overnight before the actual stuff comes in.
[00:16:30.560 --> 00:16:40.560]   Sorry, mine was kind of related to before. So did this, did you find new bottlenecks and things like dishwashing or cross contamination stuff that you maybe weren't expecting to deal with this process?
[00:16:40.560 --> 00:16:55.560]   So dish washing, et cetera, not that much. And even for things that cross contamination, we just put small gloves on the robot and then like our customers switch that out every day.
[00:16:55.560 --> 00:16:58.560]   They were these are washable, small silicone.
[00:16:58.560 --> 00:17:20.560]   I can pull up the video on that. But basically that's how we take care of it. And then, uh, for things like dishwashing, those are not tasks that we are envisioning doing in the short term.
[00:17:20.560 --> 00:17:27.560]   We want to do more of the tasks that actually add to the quality of the food that's being put out.
[00:17:27.560 --> 00:17:34.560]   So that's why we are mostly focused on line cooking for now, maybe sometime later, like prepping, chopping, et cetera.
[00:17:34.560 --> 00:17:35.560]   Last question.
[00:17:35.560 --> 00:17:38.560]   Oh, yeah. Sorry.
[00:17:38.560 --> 00:17:43.560]   Um, so there was, uh, it learns from chefs, right? The recipes from chefs.
[00:17:43.560 --> 00:17:48.560]   Is it able to modify steps of a recipe to cook things faster?
[00:17:48.560 --> 00:17:56.560]   So that is still an experimental phase. There are cuisines in which we are able to do this really well, but we aren't yet able to do this across all cuisines.
[00:17:56.560 --> 00:18:03.560]   So for cuisines for the thermodynamics modeling of what's happening in the process is straightforward.
[00:18:03.560 --> 00:18:12.560]   It is much more easier to, uh, basically like, uh, uh, like speed recipes up, uh, do minor variations, et cetera.
[00:18:12.560 --> 00:18:20.560]   And there are some cases where it's not that easy. It's a little, it, it is still like experimental territory. We're still working on that.
[00:18:20.560 --> 00:18:43.560]   Uh, uh, in the current version, it alerts somebody in the facility that the robot needs ingredients to work and then they, they take care of it.
[00:18:43.560 --> 00:18:52.560]   Hopefully once there are enough robots in the facility, they'll just talk to each other and, uh, uh, thank you so much.
[00:18:52.560 --> 00:18:53.560]   We'll see you next time.
[00:18:53.560 --> 00:18:53.560]   We'll see you next time.
[00:18:53.560 --> 00:18:53.560]   Bye.
[00:18:53.560 --> 00:18:54.560]   Bye.
[00:18:54.560 --> 00:18:57.680]   We'll be right back.

