
[00:00:00.000 --> 00:00:04.920]   [AUDIO OUT]
[00:03:58.040 --> 00:04:01.560]   Because what turns out is when we start throwing longer
[00:04:01.560 --> 00:04:07.120]   sequences, the connections are no longer
[00:04:07.120 --> 00:04:09.840]   storing the gradient updates in a way it should be doing.
[00:04:09.840 --> 00:04:13.360]   So what the researchers from Google said,
[00:04:13.360 --> 00:04:15.040]   instead of having just an attention
[00:04:15.040 --> 00:04:19.240]   layer at the very last encoding, we
[00:04:19.240 --> 00:04:21.280]   would just have these attention mechanisms
[00:04:21.280 --> 00:04:23.640]   at every single layer, which in a way
[00:04:23.640 --> 00:04:25.280]   would just learn what's important
[00:04:25.280 --> 00:04:28.240]   for a particular problem at that particular layer.
[00:04:28.240 --> 00:04:31.920]   And we keep on doing it over and over again.
[00:04:31.920 --> 00:04:35.920]   So then the whole idea of transformers and attention
[00:04:35.920 --> 00:04:39.520]   mechanism cascaded one after the other came.
[00:04:39.520 --> 00:04:40.880]   And I'll not go into the details,
[00:04:40.880 --> 00:04:43.400]   because this is the last class of the course.
[00:04:43.400 --> 00:04:46.600]   But then usual tricks do help across the neural net
[00:04:46.600 --> 00:04:50.680]   literature, which is like having multi-header tensions,
[00:04:50.680 --> 00:04:52.280]   having skip connection and layer norm.
[00:04:52.280 --> 00:04:54.440]   So all of these things, they are not only
[00:04:54.440 --> 00:04:57.800]   like giving gains for transformers themselves,
[00:04:57.800 --> 00:05:01.520]   but they can be just applied to any single other architecture
[00:05:01.520 --> 00:05:03.440]   also.
[00:05:03.440 --> 00:05:05.960]   The other thing which is helping this research
[00:05:05.960 --> 00:05:09.360]   is basically the compute bar is getting better and better.
[00:05:09.360 --> 00:05:12.640]   So all of these big companies are just
[00:05:12.640 --> 00:05:14.880]   throwing massive amounts of computing resources
[00:05:14.880 --> 00:05:18.920]   at solving very, very simple and trivial tasks.
[00:05:18.920 --> 00:05:21.560]   The top of the hill being the switch transformer, which
[00:05:21.560 --> 00:05:23.000]   was discussed in the course also.
[00:05:23.000 --> 00:05:28.240]   But one other thing which I think
[00:05:28.240 --> 00:05:30.080]   started all of this trend was ELMo,
[00:05:30.080 --> 00:05:33.200]   which was just learning these contextualized representations
[00:05:33.200 --> 00:05:34.920]   for natural language processing.
[00:05:34.920 --> 00:05:37.400]   And that model right here was perhaps
[00:05:37.400 --> 00:05:45.640]   one of the first kind of like model 0.0 or something,
[00:05:45.640 --> 00:05:48.320]   or 0.1 in terms of bringing and ushering
[00:05:48.320 --> 00:05:50.760]   in the whole revolution.
[00:05:50.760 --> 00:05:53.520]   You can see that how similar these kind of models
[00:05:53.520 --> 00:05:54.560]   look like.
[00:05:54.560 --> 00:05:57.280]   BERT was basically inspired heavily
[00:05:57.280 --> 00:06:00.200]   from ELMo, in which they just replaced
[00:06:00.200 --> 00:06:03.800]   some of the LSTM layers with transformer modules.
[00:06:03.800 --> 00:06:08.360]   So a point to note also is irrespective
[00:06:08.360 --> 00:06:10.760]   of natural language processing or other domain,
[00:06:10.760 --> 00:06:13.000]   these can be adopted in a variety of domains.
[00:06:13.000 --> 00:06:17.720]   And for today's talk, I'll be just adopting them to audio.
[00:06:17.720 --> 00:06:21.240]   So I'll basically start with introducing people
[00:06:21.240 --> 00:06:23.400]   what audio representations are, and just
[00:06:23.400 --> 00:06:28.240]   for the sake of completeness, talk about spectrograms.
[00:06:28.240 --> 00:06:31.400]   So you can take any time domain signal,
[00:06:31.400 --> 00:06:34.560]   and you can decompose that signal
[00:06:34.560 --> 00:06:39.600]   into a variety of basis functions.
[00:06:39.600 --> 00:06:41.680]   And if you take up a Fourier transform,
[00:06:41.680 --> 00:06:46.040]   you're kind of like decomposing the actual time domain
[00:06:46.040 --> 00:06:49.400]   signal into its sinusoidal basis components.
[00:06:49.400 --> 00:06:51.880]   So if you have like a waveform here
[00:06:51.880 --> 00:06:55.240]   like this, which is a sum of three pure sinusoids,
[00:06:55.240 --> 00:06:57.440]   then their sum basically is this.
[00:06:57.440 --> 00:07:00.120]   And you can see that when you take a Fourier transform
[00:07:00.120 --> 00:07:03.280]   and its magnitude, you kind of have
[00:07:03.280 --> 00:07:08.800]   the strength of the individual components shown here.
[00:07:08.800 --> 00:07:10.960]   So you can take up another waveform,
[00:07:10.960 --> 00:07:13.720]   let's say a square wave, and what you have
[00:07:13.720 --> 00:07:17.680]   is basically a much richer sinusoidal decomposition
[00:07:17.680 --> 00:07:19.960]   because it is kind of a discontinuous signal.
[00:07:19.960 --> 00:07:21.640]   So you need like many more sinusoids
[00:07:21.640 --> 00:07:24.400]   to represent that particular signal as close
[00:07:24.400 --> 00:07:26.960]   to the actual signal as possible.
[00:07:26.960 --> 00:07:29.880]   And here also you can see that, OK, if this was a square wave,
[00:07:29.880 --> 00:07:35.960]   then it is actually made up of a lot of sinusoids
[00:07:35.960 --> 00:07:39.200]   where each of the bar here represents
[00:07:39.200 --> 00:07:42.280]   the strength of the particular sinusoid.
[00:07:42.280 --> 00:07:44.120]   From an optimization perspective,
[00:07:44.120 --> 00:07:47.040]   I mean, this right away is suboptimal, right?
[00:07:47.040 --> 00:07:51.080]   Because you're kind of fixing up the number of sinusoids
[00:07:51.080 --> 00:07:53.240]   you're using for representing a square wave.
[00:07:53.240 --> 00:07:56.080]   I would have rather used a basis function
[00:07:56.080 --> 00:08:01.360]   which was a square wave itself than a sinusoidal signal.
[00:08:01.360 --> 00:08:05.320]   The second thing is even if you are taking a sinusoidal signal,
[00:08:05.320 --> 00:08:09.440]   we kind of are just putting them in an equidistant space.
[00:08:09.440 --> 00:08:11.760]   So you're kind of dividing the whole frequency
[00:08:11.760 --> 00:08:14.440]   axis into equidistant bins.
[00:08:14.440 --> 00:08:16.040]   And each of the bins is responsible
[00:08:16.040 --> 00:08:19.400]   for a particular sinusoid a lot.
[00:08:19.400 --> 00:08:22.360]   So that is like a traditional Fourier representation
[00:08:22.360 --> 00:08:25.840]   for representing any signal.
[00:08:25.840 --> 00:08:28.840]   What we do for--
[00:08:28.840 --> 00:08:30.480]   what are spectrograms?
[00:08:30.480 --> 00:08:34.880]   But in reality, all of these signals are discontinuous.
[00:08:34.880 --> 00:08:37.360]   All of these signals vary quite a bit, right?
[00:08:37.360 --> 00:08:39.960]   So you can have a signal while I'm
[00:08:39.960 --> 00:08:42.680]   speaking which is like a square wave for a certain period
[00:08:42.680 --> 00:08:44.720]   of time, and then it gets sinusoidal,
[00:08:44.720 --> 00:08:46.680]   and then it becomes something else.
[00:08:46.680 --> 00:08:48.880]   So what we really need is in a way
[00:08:48.880 --> 00:08:52.840]   to kind of take batches of input signal
[00:08:52.840 --> 00:08:56.320]   and take Fourier transform of these individual batches.
[00:08:56.320 --> 00:08:58.000]   I'm deliberately using the word batches,
[00:08:58.000 --> 00:08:59.520]   but you can-- in traditional terms,
[00:08:59.520 --> 00:09:02.240]   you are windowing the signal.
[00:09:02.240 --> 00:09:05.120]   So right here, you can see that you have a continuous signal.
[00:09:05.120 --> 00:09:07.320]   You keep on windowing it.
[00:09:07.320 --> 00:09:10.280]   You apply the Fourier transform, and what you get
[00:09:10.280 --> 00:09:14.320]   is basically like a spectrogram representation of the signal.
[00:09:14.320 --> 00:09:16.360]   So right here, what you're seeing basically
[00:09:16.360 --> 00:09:19.520]   is for each of the slices, the signal kind of
[00:09:19.520 --> 00:09:21.560]   look like this after taking the Fourier
[00:09:21.560 --> 00:09:24.840]   transform with the waveform which is there below.
[00:09:24.840 --> 00:09:26.920]   And what you do is for spectrogram representation,
[00:09:26.920 --> 00:09:29.160]   you keep on stacking these Fourier transform
[00:09:29.160 --> 00:09:31.760]   slice, the magnitude of the Fourier transform slices.
[00:09:31.760 --> 00:09:34.760]   And in this way, you kind of get like a 2D representation
[00:09:34.760 --> 00:09:36.720]   of audio signals.
[00:09:36.720 --> 00:09:38.640]   And if you're coming from a vision background,
[00:09:38.640 --> 00:09:40.160]   it is basically all of the things
[00:09:40.160 --> 00:09:42.240]   which you're doing in vision would just work well
[00:09:42.240 --> 00:09:47.240]   if you just apply them to these 2D spectra representations.
[00:09:47.240 --> 00:09:49.960]   I'll quickly play how these spectrograms look
[00:09:49.960 --> 00:09:53.400]   like for a wide area of common sounds.
[00:09:53.400 --> 00:09:56.400]   [VIDEO PLAYBACK]
[00:09:56.400 --> 00:09:59.400]   [MUSIC PLAYING]
[00:10:00.400 --> 00:10:03.400]   [BIRDS CHIRPING]
[00:10:03.400 --> 00:10:07.400]   [MUSIC PLAYING]
[00:10:07.400 --> 00:10:25.400]   [WHISTLING]
[00:10:25.400 --> 00:10:28.400]   [MUSIC PLAYING]
[00:10:28.400 --> 00:10:31.400]   [WHISTLING]
[00:10:31.400 --> 00:10:34.400]   [MUSIC PLAYING]
[00:10:34.400 --> 00:10:35.400]   [WHISTLING]
[00:10:35.400 --> 00:10:38.120]   So you can see like for spectrograms,
[00:10:38.120 --> 00:10:40.880]   you have kind of like a time axis on your x-axis.
[00:10:40.880 --> 00:10:43.680]   And then you have a frequency axis on y-axis.
[00:10:43.680 --> 00:10:46.120]   And then for whatever is your signal of interest,
[00:10:46.120 --> 00:10:48.880]   you're basically like putting these slices together.
[00:10:48.880 --> 00:10:50.960]   And different sound gives you like different spectra
[00:10:50.960 --> 00:10:51.760]   representation.
[00:10:51.760 --> 00:10:54.080]   So it's kind of a vision problem just
[00:10:54.080 --> 00:10:58.040]   in this sort of like Fourier space.
[00:10:58.040 --> 00:11:01.200]   So there can be like different kinds of representations also.
[00:11:01.200 --> 00:11:06.320]   So one, you could just take these slices of Fourier
[00:11:06.320 --> 00:11:09.320]   transform and then do like a linear mapping to them
[00:11:09.320 --> 00:11:13.400]   so that you're kind of in a way making these as
[00:11:13.400 --> 00:11:14.680]   close to how humans hear.
[00:11:14.680 --> 00:11:17.960]   So you can have like log of the frequency on the y-axis
[00:11:17.960 --> 00:11:19.240]   instead of common frequency.
[00:11:19.240 --> 00:11:22.040]   And then you get like a constant Q-like representation.
[00:11:22.040 --> 00:11:23.640]   The advantage of this being like you
[00:11:23.640 --> 00:11:25.880]   can see that for different frequencies,
[00:11:25.880 --> 00:11:28.960]   the spacing between the harmonics kind of remains same.
[00:11:28.960 --> 00:11:31.040]   So if you're like training convolutional filters,
[00:11:31.040 --> 00:11:33.680]   then that's of a huge advantage because the signal,
[00:11:33.680 --> 00:11:35.800]   like one component of the invariance is gone.
[00:11:35.800 --> 00:11:37.280]   And you can just learn these filters
[00:11:37.280 --> 00:11:41.880]   which are catching onto these constant templates of Fourier
[00:11:41.880 --> 00:11:43.200]   slices.
[00:11:43.200 --> 00:11:45.080]   You can have melt filter bank coefficients,
[00:11:45.080 --> 00:11:48.960]   or you can have like the raw waveform also.
[00:11:48.960 --> 00:11:50.520]   For raw waveforms, basically there
[00:11:50.520 --> 00:11:53.200]   are two things which we have to keep in mind.
[00:11:53.200 --> 00:11:54.320]   One is the sampling rate.
[00:11:54.320 --> 00:11:57.200]   So we kind of like take the continuous signal
[00:11:57.200 --> 00:11:59.400]   and then we discretize the continuous signal.
[00:11:59.400 --> 00:12:03.360]   So one parameter is like how fast we are sampling
[00:12:03.360 --> 00:12:04.280]   the continuous signal.
[00:12:04.280 --> 00:12:07.720]   So that's typically on the order of like 16,000 or 8,000
[00:12:07.720 --> 00:12:10.440]   times a second if you're on telephonic speech.
[00:12:10.440 --> 00:12:13.720]   The other thing which we also is like how many levels
[00:12:13.720 --> 00:12:15.480]   we are dividing your vertical axis.
[00:12:15.480 --> 00:12:17.760]   So in this case, you can see that each of the dots
[00:12:17.760 --> 00:12:19.400]   is basically one level.
[00:12:19.400 --> 00:12:22.280]   And typically, people use 8-bit quantizers or 16-bit
[00:12:22.280 --> 00:12:23.280]   quantizers.
[00:12:23.280 --> 00:12:25.400]   So in a way, you can think about that for every one
[00:12:25.400 --> 00:12:27.480]   second of audio which we would hear,
[00:12:27.480 --> 00:12:29.720]   you would have like 16,000 samples.
[00:12:29.720 --> 00:12:32.720]   And then in each of the 16,000 samples
[00:12:32.720 --> 00:12:36.800]   are allowed to take one of the levels between 0 to 55.
[00:12:36.800 --> 00:12:41.560]   And that's like if I can take the problem of continuous audio
[00:12:41.560 --> 00:12:45.320]   and just have it in terms of this sort of discrete space,
[00:12:45.320 --> 00:12:47.520]   then basically I'm just going to the territory
[00:12:47.520 --> 00:12:50.600]   of doing language modeling.
[00:12:50.600 --> 00:12:53.480]   So the first papers I discuss is how
[00:12:53.480 --> 00:12:57.880]   can we do generative modeling for raw audio, which
[00:12:57.880 --> 00:13:01.480]   is similar to WaveNets using transformers.
[00:13:01.480 --> 00:13:05.560]   I'll be putting QR codes if you like the stuff what I'm doing.
[00:13:05.560 --> 00:13:07.800]   And if you think that this is relevant to you,
[00:13:07.800 --> 00:13:10.080]   please cite or please have a look
[00:13:10.080 --> 00:13:13.000]   in terms of the QR codes.
[00:13:13.000 --> 00:13:16.400]   So yeah, so I'll start with the first subtopic
[00:13:16.400 --> 00:13:22.640]   of today's talk, which is like what are WaveNets
[00:13:22.640 --> 00:13:26.960]   and how do we do this generative modeling over raw audio?
[00:13:26.960 --> 00:13:28.360]   So in a single word, you can think
[00:13:28.360 --> 00:13:31.360]   about this as doing language modeling over these 255
[00:13:31.360 --> 00:13:33.120]   states of audio.
[00:13:33.120 --> 00:13:35.760]   So you can throw in your favorite transformer model
[00:13:35.760 --> 00:13:41.520]   like transformer XL or GPT or whatever you want to call it.
[00:13:41.520 --> 00:13:43.160]   And just treat the problem as if you
[00:13:43.160 --> 00:13:45.800]   are trying to predict one of the levels out of 255.
[00:13:45.800 --> 00:13:49.480]   And you have to predict the next level given a certain context.
[00:13:49.480 --> 00:13:50.760]   That's what WaveNet was doing.
[00:13:50.760 --> 00:13:55.320]   So the way you are modeling the probability distribution
[00:13:55.320 --> 00:13:57.320]   of a continuous space is basically
[00:13:57.320 --> 00:13:59.360]   you're trying to predict what's the probability
[00:13:59.360 --> 00:14:02.560]   of the next sample given some parsed context.
[00:14:02.560 --> 00:14:04.720]   And WaveNet has been hugely popular
[00:14:04.720 --> 00:14:07.080]   because it has over 3,000 citations
[00:14:07.080 --> 00:14:11.040]   and it has been a core building block for almost all speech
[00:14:11.040 --> 00:14:13.000]   and audio related problems.
[00:14:13.000 --> 00:14:16.600]   You can think about speech to text, text to speech synthesis,
[00:14:16.600 --> 00:14:19.040]   instrument conversion, packet loss
[00:14:19.040 --> 00:14:21.680]   concealment over the internet, speech denoising.
[00:14:21.680 --> 00:14:25.560]   So wherever there's some sort of element of modifying audio,
[00:14:25.560 --> 00:14:30.440]   people have been using WaveNet as a core building block.
[00:14:30.440 --> 00:14:32.880]   And raw waveform synthesis has been difficult
[00:14:32.880 --> 00:14:35.920]   because just the magnitude of the problem,
[00:14:35.920 --> 00:14:38.880]   if I'm just trying to synthesize 10 seconds of audio,
[00:14:38.880 --> 00:14:41.680]   it would just amount to me having a probability
[00:14:41.680 --> 00:14:45.760]   distribution over 160,000 samples.
[00:14:45.760 --> 00:14:49.120]   And that itself is tough because our ears are very, very
[00:14:49.120 --> 00:14:51.000]   sensitive to subtle changes.
[00:14:51.000 --> 00:14:55.600]   If I'm off by one pixel in an image,
[00:14:55.600 --> 00:14:59.200]   my eyes would not be as susceptible to noticing
[00:14:59.200 --> 00:15:04.240]   that effect versus if I'm off by, say, a few samples
[00:15:04.240 --> 00:15:08.600]   in an audio, it would just catch our ears pretty quickly.
[00:15:08.600 --> 00:15:10.960]   People have been trying raw audio synthesis a lot
[00:15:10.960 --> 00:15:12.440]   in the past.
[00:15:12.440 --> 00:15:15.720]   And before all of the WaveNet and transformer-based
[00:15:15.720 --> 00:15:20.280]   approaches, WaveRNNs and SampleRNNs
[00:15:20.280 --> 00:15:25.600]   were kind of like state-of-the-art models.
[00:15:25.600 --> 00:15:28.600]   On the right, I've shown a SampleRNN model, which
[00:15:28.600 --> 00:15:33.280]   kind of models the probability distribution of what's
[00:15:33.280 --> 00:15:36.400]   going to come next given the past at multiple levels.
[00:15:36.400 --> 00:15:40.200]   And this was work done by Yoshua Bengio at Mila.
[00:15:40.200 --> 00:15:42.560]   But you can closely see, if you just
[00:15:42.560 --> 00:15:45.520]   see this architecture versus a transformer architecture,
[00:15:45.520 --> 00:15:48.680]   in a way, these are starting to get very, very similar.
[00:15:48.680 --> 00:15:50.200]   Because what you're trying to do is
[00:15:50.200 --> 00:15:52.320]   that for the probability distribution here,
[00:15:52.320 --> 00:15:56.040]   you're trying to see a lot of local substructures.
[00:15:56.040 --> 00:15:58.120]   And then you keep on doing it over and over again.
[00:15:58.120 --> 00:16:00.840]   And you can draw parallels, like attention mechanism
[00:16:00.840 --> 00:16:04.000]   should also kind of be doing the same thing.
[00:16:04.000 --> 00:16:09.280]   So this was kind of like the literature in the past.
[00:16:09.280 --> 00:16:13.120]   What we tried to do was we just had the WaveNet model.
[00:16:13.120 --> 00:16:15.800]   And we tried to see whether transformers can beat them.
[00:16:15.800 --> 00:16:18.160]   And our intuition was it should be able to beat them
[00:16:18.160 --> 00:16:23.000]   because they are successful all over the other domains,
[00:16:23.000 --> 00:16:24.120]   like in language modeling.
[00:16:24.120 --> 00:16:28.720]   So it should do that for raw waveforms also.
[00:16:28.720 --> 00:16:31.400]   We also tried to see whether we can circumvent the order
[00:16:31.400 --> 00:16:35.560]   n squared constraint by conditioning of the context
[00:16:35.560 --> 00:16:37.160]   itself.
[00:16:37.160 --> 00:16:40.560]   And we did not go for specific applications.
[00:16:40.560 --> 00:16:43.000]   And we just said, OK, just in terms like modeling behavior,
[00:16:43.000 --> 00:16:45.440]   how will they do?
[00:16:45.440 --> 00:16:47.200]   So the data set for this was just
[00:16:47.200 --> 00:16:48.760]   like real-world kind of recording.
[00:16:48.760 --> 00:16:53.440]   So actual sound should not matter
[00:16:53.440 --> 00:16:57.880]   because the model is agnostic to what it is being thrown in.
[00:16:57.880 --> 00:16:59.520]   And the setup was exactly the same,
[00:16:59.520 --> 00:17:01.360]   like you are giving a certain context.
[00:17:01.360 --> 00:17:03.600]   And I have to predict the next sample.
[00:17:03.600 --> 00:17:05.520]   You do the same thing with WaveNets.
[00:17:05.520 --> 00:17:09.240]   You do the exact same thing with transform-based,
[00:17:09.240 --> 00:17:14.000]   like GPT kind of model and see how well they do.
[00:17:14.000 --> 00:17:18.040]   I'll briefly chat about what WaveNet models are.
[00:17:18.040 --> 00:17:21.360]   So WaveNet was kind of like a convolution-based model, which
[00:17:21.360 --> 00:17:25.360]   was getting rid of all of the vanishing gradient problem
[00:17:25.360 --> 00:17:28.680]   by just treating a sequential problem
[00:17:28.680 --> 00:17:31.120]   as being learned by a convolutional model.
[00:17:31.120 --> 00:17:33.880]   So what they did was basically have this sort
[00:17:33.880 --> 00:17:38.320]   of dilation layers, or convolution with dilations,
[00:17:38.320 --> 00:17:42.000]   which is basically I kind of skip in every subsequent layer
[00:17:42.000 --> 00:17:43.240]   by one sample.
[00:17:43.240 --> 00:17:47.080]   So you can see if I have a dilation factor of 2
[00:17:47.080 --> 00:17:50.400]   with a kernel size of 2, I would get this kind of a topology
[00:17:50.400 --> 00:17:52.720]   where my convolution filters in the very first layer
[00:17:52.720 --> 00:17:55.120]   are just combining the first two samples.
[00:17:55.120 --> 00:17:57.520]   Then I skip by one in the next layer.
[00:17:57.520 --> 00:17:59.360]   And then I skip by three, which is
[00:17:59.360 --> 00:18:03.400]   like I look at the fourth one in the next layer and so on.
[00:18:03.400 --> 00:18:04.600]   The loss is still the same.
[00:18:04.600 --> 00:18:06.640]   So I have this network.
[00:18:06.640 --> 00:18:08.000]   I learn a latent space.
[00:18:08.000 --> 00:18:11.200]   And then I have a categorical cross-entropy loss,
[00:18:11.200 --> 00:18:13.960]   which is basically I have to predict the next sample given
[00:18:13.960 --> 00:18:16.640]   the previous one.
[00:18:16.640 --> 00:18:20.800]   And I just do the exact same thing with transformers also.
[00:18:20.800 --> 00:18:22.760]   But then I have to make sure that I
[00:18:22.760 --> 00:18:24.120]   do it in a causal manner.
[00:18:24.120 --> 00:18:26.840]   So I have something which is very similar to GPT,
[00:18:26.840 --> 00:18:30.320]   in which I have causal masks in my attention mechanism.
[00:18:30.320 --> 00:18:32.360]   And I keep doing it over and over again.
[00:18:32.360 --> 00:18:35.520]   So you have self-attention.
[00:18:35.520 --> 00:18:37.400]   After that, you have feedforward layers.
[00:18:37.400 --> 00:18:40.400]   You just have a stack of these transformer blocks
[00:18:40.400 --> 00:18:43.320]   and see how they do.
[00:18:43.320 --> 00:18:45.320]   So I said intuitively it should work.
[00:18:45.320 --> 00:18:52.360]   So it should be doing better than our base wave net models.
[00:18:52.360 --> 00:18:55.120]   Because if you look at the topology,
[00:18:55.120 --> 00:18:57.640]   we are kind of defining a topology on our own, right?
[00:18:57.640 --> 00:19:01.520]   So what if the current prediction at, say,
[00:19:01.520 --> 00:19:07.760]   layer one were to depend on very way back sample, say,
[00:19:07.760 --> 00:19:09.640]   instead of the second sample, the 10th sample?
[00:19:09.640 --> 00:19:12.800]   So we are kind of ignoring all of that topology, which
[00:19:12.800 --> 00:19:14.480]   would have been important for prediction
[00:19:14.480 --> 00:19:16.040]   of this particular task.
[00:19:16.040 --> 00:19:19.640]   Whereas transformers with the self-attention mechanism
[00:19:19.640 --> 00:19:22.400]   can just learn, like, OK, which part of the samples
[00:19:22.400 --> 00:19:23.960]   are important and which are not.
[00:19:23.960 --> 00:19:26.760]   And you can keep on doing it iteratively.
[00:19:26.760 --> 00:19:30.880]   So it made sense to us that, OK, transformer layer
[00:19:30.880 --> 00:19:34.880]   should be doing way better than wave net models.
[00:19:34.880 --> 00:19:37.680]   The second thing which we came across was, OK,
[00:19:37.680 --> 00:19:40.640]   we cannot have a lot of context.
[00:19:40.640 --> 00:19:42.480]   For example, the attention mechanism
[00:19:42.480 --> 00:19:46.120]   needs to store all of those of order n squared.
