
[00:00:00.000 --> 00:00:21.000]   all right squabbert you ready to get packed up I don't know I'm pretty nervous oh relax you got
[00:07:15.980 --> 00:07:20.660]   left side is web sockets and you want to spend more time building your application and less time
[00:07:20.660 --> 00:07:26.060]   worrying about things like sample rates that's why you pick web RTC and this is real code using your
[00:07:26.060 --> 00:07:32.300]   open AI real-time API which you you offer both both options for developers so I hope we've convinced you
[00:07:32.300 --> 00:07:39.500]   that you should use web RTC if you're doing edge to cloud audio and especially audio and video we love talking
[00:07:39.500 --> 00:07:43.580]   about this stuff if you come find us later we will talk your ear off about jitter buffers and packet
[00:07:43.580 --> 00:07:48.140]   management and bandwidth shaping and all that stuff but what we want to do now is move on and talk about
[00:07:48.140 --> 00:07:52.940]   a whole nother category of fun stuff which is what you can actually do with web RTC I'll start by saying
[00:07:52.940 --> 00:07:59.180]   you can embed real-time audio in any app you write any website any iOS app any Android app lots of fun
[00:07:59.180 --> 00:08:05.720]   embedded stuff and the network connection connections will just work you will get good audio on any device any
[00:08:05.720 --> 00:08:11.480]   platform almost any real-world network connection and I bet you use web RTC web RTC today already if
[00:08:11.480 --> 00:08:17.240]   you used Facebook Messenger WhatsApp Zoom Discord you know any of these applications they're using web RTC
[00:08:17.240 --> 00:08:23.000]   but you didn't know that there's even more cool things happening with web RTC I worked with a company
[00:08:23.000 --> 00:08:29.560]   that was doing surgery over the internet people will tell it up can vehicles in the field it's super cool
[00:08:30.520 --> 00:08:35.800]   web RTC is kind of the standard language of the real-time world and that's why it makes so easy
[00:08:35.800 --> 00:08:40.920]   that we can go build conversational intelligence on top of it all the stuff's already been solved I mean
[00:08:40.920 --> 00:08:46.520]   in the new LLM era we know lots of people who spend hours talking to computers driving their developments
[00:08:46.520 --> 00:08:52.120]   environments with voice doing brainstorming treating the computer as a personal assistant a coach a therapist
[00:08:52.120 --> 00:08:58.600]   a researcher I'm convinced voice is going to be the core building block of the next generation of UIs of
[00:08:58.600 --> 00:09:04.200]   the UIs for the generative AI era we have to do a little iteration before we figure out really what
[00:09:04.200 --> 00:09:10.360]   those UIs look and sound like but that future seems very clear to me one of the things I say to people
[00:09:10.360 --> 00:09:16.440]   to kind of try to communicate how excited I am about building all this stuff is we all lived through the
[00:09:16.440 --> 00:09:23.080]   last platform shift it was recent enough that the move for most computing from desktop to mobile happened
[00:09:23.080 --> 00:09:32.120]   within our memories and so by analogy we are in late 2007 now we have the first iPhones but we haven't yet
[00:09:32.120 --> 00:09:39.480]   invented pull to refresh what keeps me so excited and motivated is I feel like voice is like the next
[00:09:39.480 --> 00:09:44.200]   bicycle for the mind you know today we've only been able to use computers with our eyes and our hands
[00:09:44.200 --> 00:09:50.120]   but now I can talk to it as well think of all those situations where like you you have your voice
[00:09:50.120 --> 00:09:55.640]   available you don't have your hands and the other great thing is you can keep all this computing power
[00:09:55.640 --> 00:10:02.680]   remotely and access it and have small devices near you so on the small devices front we brought a friend
[00:10:02.680 --> 00:10:07.160]   with us today uh he's a little shy sometimes so give him just a second
[00:10:07.160 --> 00:10:19.960]   so uh squabbert can you tell people a little bit about your tech stack
[00:10:23.000 --> 00:10:45.640]   i'm a friendly stuffed animal running a web interface locally on a raspberry pi i'm connected directly to a python
[00:10:45.640 --> 00:10:56.360]   process running on a laptop using mlx whisper gemma 3 and a mildly buggy custom logic sampler that quinn wrote
[00:10:56.360 --> 00:11:03.560]   i mean come on now like i had a good reason that i wanted to write a logit sampler and i i i wanted you to be able
[00:11:03.560 --> 00:11:09.800]   to do something that even the really amazing big llms running in the cloud can't do do you know what i'm
[00:11:09.800 --> 00:11:10.280]   talking about
[00:11:10.280 --> 00:11:18.760]   you're talking about my syllable counting talent it's pretty neat even if i do say so myself
[00:11:18.760 --> 00:11:26.040]   i mean counting syllables is like the 2025 version of how many r's are in strawberry and you know
[00:11:26.040 --> 00:11:32.520]   scrub why don't we why don't we demonstrate that a little bit can you make up a poem like a four-line poem
[00:11:32.520 --> 00:11:36.200]   about computer programming and use only two syllable words
[00:11:36.200 --> 00:11:47.480]   two okay listen logic coding people knowing system working future growing
[00:11:47.480 --> 00:11:53.960]   one more maybe uh that was good but i've heard you do better
[00:11:57.320 --> 00:12:03.720]   okay here's another one pixels dancing colors bright program running feels so right coding faster day and
[00:12:03.720 --> 00:12:05.560]   night making magic pure delight
[00:12:05.560 --> 00:12:10.520]   you forgot about the two syllable words thing but we'll we'll we'll let it go yeah definitely the
[00:12:10.520 --> 00:12:14.200]   first one had two civil words i think i think we should say goodbye just in the interest of time
[00:12:14.200 --> 00:12:19.560]   squabber but thank you so much
[00:12:23.320 --> 00:12:30.680]   i think squabber did really really well um so that that is a raspberry pi connected with a peer-to-peer
[00:12:30.680 --> 00:12:37.560]   web rtc connection directly to my laptop over the same local area network so that was the serverless
[00:12:37.560 --> 00:12:42.600]   web rtc connection squabber it's talking directly to the laptop but what's super cool about web rtc is you
[00:12:42.600 --> 00:12:46.680]   have all these different choices to how you want to connect to things so you could do this local
[00:12:46.680 --> 00:12:53.160]   connection or something like squabber could connect to a server um up running on another in the cloud
[00:12:53.160 --> 00:12:57.720]   and do all the ai stuff and then the third option is you can go and connect up to something like pipecat
[00:12:57.720 --> 00:13:04.440]   and make it multi-party so bring llms into meetings or other places like that um super awesome how like
[00:13:04.440 --> 00:13:08.200]   you get all this flexibility to build these things the way that like matches your application
[00:13:08.200 --> 00:13:13.080]   so we want to close the video with actually a builder who's in the audience
[00:13:13.080 --> 00:13:19.160]   um super excited and um what's the best part about this is that um when she built this she had
[00:13:19.160 --> 00:13:23.640]   never written any code before this and so what makes me so excited about the future of voice
[00:13:23.640 --> 00:13:28.280]   is we can make this easy enough people that have really innovative inspirational ideas can go and do
[00:13:28.280 --> 00:13:39.480]   stuff themselves hi i'm yashin i'm a mom of two bilingual kids i'm raising my kids bilingual because
[00:13:39.480 --> 00:13:44.920]   i want them to connect with my cultural roots and that's always shared by many parents of bilingual
[00:13:44.920 --> 00:13:52.600]   children but raising bilingual kids is hard it's expensive it's time consuming and it often feels like
[00:13:52.600 --> 00:14:00.600]   a big chore on both the kids and parents i believe we can do a lot better with today's technology i really
[00:14:00.600 --> 00:14:07.720]   believe we can make language education feel more natural and even fun for the kids here's a quick clip of
[00:14:07.720 --> 00:14:13.800]   what i've been working on hi there buddy ready to have some fun today
[00:14:26.440 --> 00:14:34.920]   let's say hello in mandarin we say nǐ hǎo can you say nǐ hǎo nǐ hǎo
[00:14:34.920 --> 00:14:43.160]   okay it's too early but i'm excited about what's possible i'm not technical but with just a little
[00:14:43.160 --> 00:14:51.560]   bit of guidance from a kind member of this community i was able to bring this first version to life i already
[00:14:51.560 --> 00:14:59.560]   have a group of eager testers mostly parents like me who are excited to try this if this also sounds
[00:14:59.560 --> 00:15:06.120]   exciting to you i would love to connect thanks so much for watching and let's build this future together
[00:15:12.840 --> 00:15:18.520]   so we put the qr code up here for yashin's project which i absolutely love she's here uh if you're
[00:15:18.520 --> 00:15:23.400]   interested if you're here in the audience and uh you're interested in multilingual stuff or building
[00:15:23.400 --> 00:15:28.920]   these kind of things please find her it's such a great great great thing um if you're watching on
[00:15:28.920 --> 00:15:34.920]   youtube here's the qr code sean and i are super excited about these kind of projects in i mean the
[00:15:34.920 --> 00:15:40.040]   the person yeah she shouted out in the video is of course sean who has done more than anybody i know
[00:15:40.040 --> 00:15:46.440]   to make web rtc accessible to everyone the idea that we want to leave you with is if you have an idea
[00:15:46.440 --> 00:15:51.720]   in voice ai and web rtc whether you've been a programmer for years or you're just getting started
[00:15:51.720 --> 00:15:57.160]   like we are here to support you we're so excited and we believe that things like pipe cat and live
[00:15:57.160 --> 00:16:01.880]   peer like if we can make this easier we're going to see the next generation of really exciting innovative
[00:16:01.880 --> 00:16:06.840]   projects come find us in the hallway or online we hang out on discord and twitter and linkedin
[00:16:06.840 --> 00:16:12.600]   and uh here are the resources that you can scan and hopefully they find helpful so quinn wrote an
[00:16:12.600 --> 00:16:19.000]   amazing book that i believe is in your bag um and then yeah so thank you so much we can't wait to see
[00:16:19.000 --> 00:16:29.000]   what you build

