
[00:00:00.040 --> 00:00:09.600]   cuál
[00:04:21.060 --> 00:04:21.060]   and so I want to talk to you and share with you hopefully some ideas that will help you to give a vision of it to be willing to put in the hard work of becoming debt free.
[00:04:21.060 --> 00:04:39.140]   I'm going to talk about the first one.
[00:04:39.140 --> 00:04:41.160]   I'm going to talk about the first one.
[00:04:41.160 --> 00:04:42.140]   I'm going to talk about the first one.
[00:04:42.140 --> 00:04:43.140]   I'm going to talk about the first one.
[00:04:43.140 --> 00:04:43.180]   I'm going to talk about the first one.
[00:04:43.180 --> 00:04:43.220]   I'm going to talk about the first one.
[00:04:43.220 --> 00:04:43.280]   I'm going to talk about the first one.
[00:04:43.280 --> 00:04:43.280]   I'm going to talk about the first one.
[00:04:43.280 --> 00:04:43.340]   I'm going to talk about the first one.
[00:04:43.340 --> 00:04:43.380]   I'm going to talk about the first one.
[00:04:43.380 --> 00:04:43.400]   I'm going to talk about the first one.
[00:04:43.400 --> 00:04:43.440]   I'm going to talk about the first one.
[00:04:43.440 --> 00:04:43.480]   I'm going to talk about the first one.
[00:04:43.480 --> 00:04:43.500]   I'm going to talk about the first one.
[00:04:43.500 --> 00:04:43.540]   I'm going to talk about the first one.
[00:04:43.540 --> 00:04:43.560]   I'm going to talk about the first one.
[00:04:43.560 --> 00:04:43.600]   I'm going to talk about the first one.
[00:04:43.600 --> 00:04:43.640]   I'm going to talk about the first one.
[00:04:43.680 --> 00:04:51.580]   sing
[00:04:51.580 --> 00:04:53.680]   but is
[00:04:53.680 --> 00:05:01.840]  �� page contact,,,,,, or go end guide cover the軍 demand mess along the Pieting, . Liv, 5, viv,..", concentrate, Tumb, Cong, spun, cur, Hoo,,,,,,,,,,,,,,.,,.,'t,îne el moved the東uks in the end? controversy do Das
[00:05:01.840 --> 00:05:12.440]   doors soный got the Rand scared check a circuit aGI Hm however i--ent the.» Orig—G, skincare COVID right? LG,� partner en tiny серд 내� the take the cr dumpedкуının him mue gi roaded the TAW istud giro-out the He corn Le的時候 colleg samplesל the why the go touring the shave the middle de induct the line of the wöz a:" bulletswhich the car mean the非 the험 the n----o the 100AANet the tilted therole the perk the barely the
[00:08:34.080 --> 00:08:43.800]   get
[00:08:43.800 --> 00:09:01.540]   cows Ich I at me
[00:09:02.620 --> 00:09:12.480]   образ
[00:09:12.480 --> 00:09:13.000]   Mr
[00:10:00.380 --> 00:10:00.380]   and
[00:10:00.420 --> 00:10:10.080]   reaches
[00:10:10.080 --> 00:10:11.240]  ign. Kim is.
[00:10:11.240 --> 00:10:18.880]   bestינ
[00:10:18.880 --> 00:10:30.420]   green work and I have a nice shéc homemade ch из plaster of in was inform Reverend thank de wontертв, a Dan, I, I, I, i, I, P, I, ., ,, ., ., ., ., ., ., ., ,, ,., ., ,, ., ., ., last buy a --ap-- � arises� after就是說 won Wieder good lost bus check love acre oatmeal d CEO know that you're only measures barelyuna like the personG end call aenz 제 기대 sale очень τον check a canopy том intel season através the Bes đấy vào the fais the continue the two figure of the bought the market is the He, the already the
[00:10:30.460 --> 00:10:40.300]   Hot
[00:10:40.300 --> 00:10:40.580]   Đây 150 in rather
[00:10:40.580 --> 00:10:59.240]  , I, I, I,,,,,,....
[00:11:59.940 --> 00:11:59.940]   ------
[00:11:59.940 --> 00:11:59.940]   ------
[00:11:59.940 --> 00:11:59.940]   ------
[00:11:59.940 --> 00:11:59.940]   ------
[00:11:59.980 --> 00:12:03.300]   es
[00:12:03.300 --> 00:12:05.860]  க
[00:12:05.860 --> 00:12:09.920]   might in the
[00:12:09.920 --> 00:12:15.940]   cabbage
[00:12:15.940 --> 00:12:28.200]   ,'s,剛剛,,,,,,,,, i en didnt深 voiceYE A N III C Can Close S местеßen 3 giant's are Eoster Gill saved Deixa П scriblight but you don Assassin im
[00:12:28.360 --> 00:12:38.380]   If you don't have any debt on your car and you lose your job and you have no source of income and you only have a little bit of savings, you can simply park your car.
[00:12:38.380 --> 00:12:45.380]   You can drop the insurance from it and you can let your car sit there and now your car is no longer consuming money from you.
[00:12:45.380 --> 00:12:50.380]   You can turn your car expenses from normally say $300 per month to zero.
[00:12:50.380 --> 00:12:53.380]   But you cannot do that if you have debt.
[00:12:53.380 --> 00:12:56.740]   If you have debt, let's say you have a car payment.
[00:12:56.740 --> 00:12:56.740]   You have to make that monthly payment.
[00:12:56.740 --> 00:12:56.740]   If you don't make that monthly payment, you have to pay your car.
[00:12:56.740 --> 00:12:56.740]   If you don't make that monthly payment, you have to pay your car.
[00:12:56.740 --> 00:12:56.740]   If you don't make that monthly payment, you have to pay your car.
[00:12:56.740 --> 00:12:56.740]   If you don't make that monthly payment, you have to pay your car.
[00:12:56.740 --> 00:12:56.740]   If you don't make that monthly payment, you have to pay your car.
[00:12:56.740 --> 00:13:25.780]  , and you may have to sell the car.
[00:13:25.780 --> 00:13:25.780]   So you could say, "Well, I have debt and I could always sell the car."
[00:13:25.780 --> 00:13:25.780]   Yes, but if you sell the car, now you can't just turn it on quickly again.
[00:13:25.780 --> 00:13:25.780]   If you need another car, you have to go and buy a car.
[00:13:25.780 --> 00:13:25.780]   Whereas if you're debt-free and you have a $20,000 car sitting in your driveway,
[00:13:25.780 --> 00:13:25.780]   and for some reason your cash flow drives up, you can park the car, drop the insurance, not put any gas in it, and ride a bicycle.
[00:13:25.800 --> 00:13:26.820]   Immediately, you can remove massive levels of spending from your life.
[00:13:26.820 --> 00:13:27.820]   Immediately, you can remove massive levels of spending from your life.
[00:13:27.820 --> 00:13:27.820]   Immediately, you can remove massive levels of spending from your life.
[00:13:27.820 --> 00:13:29.820]   Immediately, you can remove massive levels of spending from your life.
[00:13:29.820 --> 00:13:29.820]   What about something like having debt on a cell phone?
[00:13:29.820 --> 00:13:29.820]   What about something like having debt on a cell phone?
[00:13:29.820 --> 00:13:29.820]   What about something like having debt on a cell phone?
[00:13:29.820 --> 00:13:29.820]   You go and you buy a cell phone, and it's a $1,000 new cell phone, and you set it up on an Apple Pay loan.
[00:13:29.820 --> 00:13:29.820]   You go and you buy a cell phone, and it's a $1,000 new cell phone, and you set it up on an Apple Pay loan.
[00:13:29.820 --> 00:13:45.820]   You go and you buy a cell phone, and it's a $1,000 new cell phone, and you set it up on an Apple Pay loan.
[00:13:45.860 --> 00:14:07.860]   and it's a $1,000 new cell phone, and you set it up on an Apple Pay loan.
[00:14:07.860 --> 00:14:09.860]   and it's a $1,000 new cell phone, and you set it up on an Apple Pay loan.
[00:14:09.860 --> 00:14:10.860]   and it's a $1,000 new cell phone, and you set it up on an Apple Pay loan.
[00:14:10.860 --> 00:14:11.860]   and it's a $1,000 new cell phone, and you set it up on an Apple Pay loan.
[00:14:11.860 --> 00:14:12.860]   and it's a $1,000 new cell phone, and you set it up on an Apple Pay loan.
[00:14:12.860 --> 00:14:13.860]   and it's a $1,000 new cell phone, and you set it up on an Apple Pay loan.
[00:14:13.860 --> 00:14:14.860]   and it's a $1,000 new cell phone, and you set it up on an Apple Pay loan.
[00:14:14.860 --> 00:14:14.860]   and it's a $1,000 new cell phone, and you set it up on an Apple Pay loan.
[00:14:14.900 --> 00:14:25.240]   이
[00:14:25.240 --> 00:14:43.660]   learned. I in work,,,,,
[00:14:44.920 --> 00:14:54.780]   Best
[00:14:54.780 --> 00:14:55.820]   or solve
[00:14:55.820 --> 00:15:14.780]   in a yelling I It It Keeping效 podiumhd, we, ,, ,,,,,,,,,,,,,,. ich이어 punch輕三 temporada die clean the era nei Herman the love theetic. I. And, play the. We, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,aji. We, the, the, the, continued the, bread. And, ma,視 a God. The, de can get avez the In the Looking the Donc headed a cumin akra i desses a gambling a fire be on provide abare� logo can repar 10 되� La, overall di found a co het deserve a Reverend aMin a錢
[00:15:14.800 --> 00:15:24.820]   and you have a mortgage on the house. If you stop paying the mortgage fairly quickly, your mortgage company can foreclose on you and forcibly eject you from the house.
[00:15:24.820 --> 00:15:30.820]   Now, if you don't have a mortgage, you have additional layers of safety.
[00:15:30.820 --> 00:15:43.820]   It's not possible to remove all housing expenses. At the very least, unfortunately, in the United States, although you can move to a country where you don't have property taxes, unfortunately, in the United States, you always have to deal with property taxes.
[00:15:45.580 --> 00:16:14.700]  ,
[00:16:14.740 --> 00:16:44.720]  ,
[00:16:44.720 --> 00:16:44.720]   and you have to deal with property taxes.
[00:16:44.720 --> 00:16:44.720]   So, you're dramatically safer if you don't have a mortgage.
[00:16:44.720 --> 00:16:44.720]   It'd be nice if we didn't have property taxes. I'm not going to die on that hill, but it's, but at least they're not going to evict you. Now, you do want to be careful. This is one of the reasons why I don't like homeowners associations because one of the most dangerous institutions is a homeowners association. If you live in a community, at least in Florida law, I'm not sure about every state law, but if you live in a community that has a homeowners association and you don't pay your homeowners association, you don't pay your homeowner's money,
[00:16:44.740 --> 00:17:14.740]   then they can foreclose and evict you from your house, even if you have no mortgage on the property. So, I consider homeowners associations to be extremely dangerous from a financial perspective. It's like a mortgage. So, be cautious about them. The point is, though, that if you don't have a mortgage, you can at least stay in the house. And then, if you need to do something dramatic to pay your property tax bill, you could do something fairly simple, like take on one part-time boarder, rent out one room of your house, and that could provide enough income for you to cover your house.
[00:17:14.740 --> 00:17:14.740]   You could rent out one room of your house, and that could provide enough income for you to cover your house.
[00:17:14.740 --> 00:17:14.740]   You could rent out one room of your house, and that could provide enough income for you to cover your house.
[00:17:14.740 --> 00:17:14.740]   You could rent out one room of your house, and that could provide enough income for you to cover your house.
[00:17:14.760 --> 00:17:44.760]   Or, you're going to simply let the lien accrue on the property until your cash flow comes back in, and then go ahead and pay off the tax lien.
[00:17:44.760 --> 00:17:44.760]   If you don't have a mortgage, you have tremendous safety, and you can drop your expenses to almost zero.
[00:17:44.760 --> 00:17:44.760]   Now, what about if you're renting?
[00:17:44.760 --> 00:17:44.760]   Well, if you don't have a mortgage, if you're renting an apartment, one of the nice things is the time horizon of your decisions is much smaller.
[00:17:44.760 --> 00:17:44.760]   If you're renting an apartment, you're renting an apartment, you're renting an apartment,
[00:17:44.760 --> 00:18:14.780]   and you need to go now, you can go now.
[00:18:14.780 --> 00:18:14.780]   If you need to move to a tent in the woods, or to a camper parked on some government land,
[00:18:14.780 --> 00:18:14.780]   or if you need to move to the spare bedroom at your mom and dad's house or the garage or move into the mother-in-law quarters out back of grandma's house or something like that,
[00:18:14.780 --> 00:18:14.780]   you can do that. You can just simply leave the apartment. You'll probably forfeit a security deposit. You may break a contract and impose a fee, but it's a lot simpler to do if you don't have any debt.
[00:18:14.780 --> 00:18:14.780]   You can do that. You can just simply leave the apartment. You'll probably forfeit a security deposit. You may break a contract and impose a fee, but it's a lot simpler to do if you don't have any debt.
[00:18:14.780 --> 00:18:14.780]  , but it's a lot simpler to do if you don't have any debt.
[00:18:14.780 --> 00:18:14.780]   I'm not a lot simpler to do if you don't have any debt.
[00:18:14.800 --> 00:18:22.720]   But if you have to do that when you have debt, it's a lot tougher.
[00:18:22.720 --> 00:18:24.900]   So I think that's enough examples.
[00:18:24.900 --> 00:18:34.140]   The point is that because you can stop almost any outflow except debt, you can remove almost all fear from the present.
[00:18:34.140 --> 00:18:36.580]   What about outflows that you can't stop?
[00:18:36.580 --> 00:18:38.020]   Things such as food.
[00:18:38.020 --> 00:18:43.780]   You can cut those things pretty deep if you've got frugal skills.
[00:18:43.780 --> 00:18:44.800]   You can cut those things pretty deep if you've got frugal skills.
[00:18:44.800 --> 00:18:44.800]   You can cut those things pretty deep if you've got frugal skills.
[00:18:44.800 --> 00:18:44.800]   You can cut those things pretty deep if you've got frugal skills.
[00:18:44.800 --> 00:18:44.800]   You can cut those things pretty deep if you've got frugal skills.
[00:18:44.800 --> 00:18:44.800]   You can cut those things pretty deep if you've got frugal skills.
[00:18:44.800 --> 00:18:44.800]   You can cut those things pretty deep if you've got frugal skills.
[00:18:44.800 --> 00:18:44.800]   You can cut those things pretty deep if you've got frugal skills.
[00:18:44.840 --> 00:19:14.820]  ,
[00:19:14.820 --> 00:19:14.820]   If I had to, I could feed my family of six on one to two hundred dollars a month if I had to.
[00:19:14.840 --> 00:19:44.840]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:19:44.840 --> 00:19:44.840]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:19:44.840 --> 00:19:44.840]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:19:44.840 --> 00:19:44.840]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:19:44.840 --> 00:19:44.840]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:19:44.840 --> 00:19:44.840]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:19:44.840 --> 00:19:44.840]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:19:44.840 --> 00:19:44.840]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:19:44.840 --> 00:19:44.840]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:19:44.840 --> 00:20:14.860]  ,
[00:20:14.860 --> 00:20:14.860]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:14.860 --> 00:20:14.860]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:14.860 --> 00:20:14.860]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:14.860 --> 00:20:14.860]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:14.860 --> 00:20:14.860]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:14.860 --> 00:20:14.860]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:14.860 --> 00:20:14.860]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:14.880 --> 00:20:44.880]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:44.880 --> 00:20:44.880]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:44.880 --> 00:20:44.880]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:44.880 --> 00:20:44.880]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:44.880 --> 00:20:44.880]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:44.880 --> 00:20:44.880]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:44.880 --> 00:20:44.880]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:44.880 --> 00:20:44.880]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:44.880 --> 00:20:44.880]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:20:44.920 --> 00:21:14.900]  ,
[00:21:14.900 --> 00:21:14.900]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:21:14.900 --> 00:21:14.900]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:21:14.900 --> 00:21:14.900]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:21:14.900 --> 00:21:14.900]   I could feed my family of six on one to two hundred dollars a month if I had to.
[00:21:14.900 --> 00:21:14.900]   I could feed my family of six on one to two hundred dollars if I had to.
[00:21:14.900 --> 00:21:14.900]   I could feed my family of six on one to two hundred dollars if I had to.
[00:21:14.900 --> 00:21:14.900]   if I could feed my family of six on one to two hundred dollars if I had to.
[00:21:14.920 --> 00:21:44.920]   I could feed my family of six on one to two hundred dollars if I had to.
[00:21:44.920 --> 00:21:44.920]   I could feed my family of six on one to two hundred dollars if I had to.
[00:21:44.920 --> 00:21:44.920]   I could feed my family of six on one to two hundred dollars if I had to.
[00:21:44.920 --> 00:21:44.920]   I could feed my family of six on one to two hundred dollars if I had to.
[00:21:44.920 --> 00:21:44.920]   I could feed my family of six on one to two hundred dollars if I had to.
[00:21:44.920 --> 00:21:44.920]   I could feed my family of six on one to two hundred dollars if I had to.
[00:21:44.920 --> 00:21:44.920]   I could feed my family of six on one to two hundred dollars if I had to.
[00:21:44.920 --> 00:21:44.920]   I could feed my family of six on one to two hundred dollars if I had to.
[00:21:44.920 --> 00:21:44.920]   I could feed my family of six on one to two hundred dollars if I had to.
[00:21:44.920 --> 00:21:44.920]   I could feed my family of six on one hundred dollars if I had to.
[00:21:44.920 --> 00:21:44.920]   I could feed my family of six on one hundred dollars if I had to.
[00:21:44.920 --> 00:22:14.940]  ,
[00:22:14.940 --> 00:22:14.940]   I could feed my family of six on one hundred dollars if I had to.
[00:22:14.940 --> 00:22:14.940]   I could feed my family of six on one hundred dollars if I had to.
[00:22:14.940 --> 00:22:14.940]   I could feed my family of six on one hundred dollars if I had to.
[00:22:14.940 --> 00:22:14.940]   I could feed my family of six on one hundred dollars if I had to.
[00:22:14.940 --> 00:22:14.940]   I could feed my family of six on one hundred dollars if I had to.
[00:22:14.940 --> 00:22:14.940]   I could feed my family of six on one hundred dollars if I had to.
[00:22:14.940 --> 00:22:14.940]   I could feed my family of six on one hundred dollars if I had to.
[00:22:14.960 --> 00:22:44.960]   I could feed my family of six on one hundred dollars if I had to.
[00:22:44.960 --> 00:22:44.960]   I could feed my family of six on one hundred dollars if I had to.
[00:22:44.960 --> 00:22:44.960]   I could feed my family of six on one hundred dollars if I had to.
[00:22:44.960 --> 00:22:44.960]   I could feed my family of six on one hundred dollars if I had to.
[00:22:44.960 --> 00:22:44.960]   I could feed my family of six on one hundred dollars if I had to.
[00:22:44.960 --> 00:22:44.960]   I could feed my family of six on one hundred dollars if I had to.
[00:22:44.960 --> 00:22:44.960]   I could feed my family of six on one hundred dollars if I had to.
[00:22:44.960 --> 00:22:44.960]   I could feed my family of six on one hundred dollars if I had to.
[00:22:44.960 --> 00:22:44.960]   I could feed my family of six on one hundred dollars if I had to.
[00:22:44.960 --> 00:22:44.960]   I could feed my family of six on one hundred dollars if I had to.
[00:22:44.960 --> 00:22:44.960]   I could feed my family of six on one hundred dollars if I had to.
[00:22:44.960 --> 00:22:44.960]   I could feed my family of six on one hundred dollars if I had to.
[00:22:44.980 --> 00:23:14.980]   I could feed my family of six on one hundred dollars if I had to.
[00:23:14.980 --> 00:23:14.980]   I could feed my family of six on one hundred dollars if I had to.
[00:23:14.980 --> 00:23:14.980]   I could feed my family of six on one hundred dollars if I had to.
[00:23:14.980 --> 00:23:14.980]   I could feed my family of six on one hundred dollars if I had to.
[00:23:14.980 --> 00:23:14.980]   I could feed my family of six on one hundred dollars if I had to.
[00:23:14.980 --> 00:23:14.980]   I could feed my family of six on one hundred dollars if I had to.
[00:23:14.980 --> 00:23:14.980]   I could feed my family of six on one hundred dollars if I had to.
[00:23:14.980 --> 00:23:14.980]   I could feed my family of six on one hundred dollars if I had to.
[00:23:14.980 --> 00:23:14.980]   I could feed my family of six on one hundred dollars if I had to.
[00:23:14.980 --> 00:23:14.980]   I could feed my family of six on one hundred dollars if I had to. I could feed my family of six on one hundred dollars if I had to.
[00:23:15.000 --> 00:23:45.000]  ,
[00:23:45.000 --> 00:23:45.000]   I could feed my family of six on one hundred dollars if I had to.
[00:23:45.000 --> 00:23:45.000]   I could feed my family of six on one hundred dollars if I had to.
[00:23:45.000 --> 00:23:45.000]   I could feed my family of six on one hundred dollars if I had to.
[00:23:45.000 --> 00:23:45.000]   I could feed my family of six on one hundred dollars if I had to.
[00:23:45.000 --> 00:23:45.000]   I could feed my family of six on one hundred dollars if I had to.
[00:23:45.000 --> 00:23:45.000]   I could feed my family of six on one hundred dollars if I had to.
[00:23:45.000 --> 00:23:45.000]   I could feed my family of six on one hundred dollars if I had to.
[00:23:45.000 --> 00:23:45.000]   I could feed my family of six on one hundred dollars if I had to. I could feed my family of six on one hundred dollars if I had to.
[00:23:45.000 --> 00:24:15.020]  ,
[00:24:15.020 --> 00:24:15.020]   I could feed my family of six on one hundred dollars if I had to.
[00:24:15.020 --> 00:24:15.020]   I could feed my family of six on one hundred dollars if I had to.
[00:24:15.020 --> 00:24:15.020]   I could feed my family of six on one hundred dollars if I had to.
[00:24:15.020 --> 00:24:15.020]   I could feed my family of six on one hundred dollars if I had to.
[00:24:15.020 --> 00:24:15.020]   I could feed my family of six on one hundred dollars if I had to.
[00:24:15.020 --> 00:24:15.020]   I could feed my family of six on one hundred dollars if I had to.
[00:24:15.020 --> 00:24:15.020]   I could feed my family of six on one hundred dollars if I had to.
[00:24:15.020 --> 00:24:15.020]   I could feed my family of six on one hundred dollars if I had to.
[00:24:15.020 --> 00:24:15.020]   I could feed my family of six on one hundred dollars if I had to. I could feed my family of six on one hundred dollars if I had to.
[00:24:15.040 --> 00:24:45.040]   I could feed my family of six on one hundred dollars if I had to.
[00:24:45.040 --> 00:24:45.040]   I could feed my family of six on one hundred dollars if I had to.
[00:24:45.040 --> 00:24:45.040]   I could feed my family of six on one hundred dollars if I had to.
[00:24:45.040 --> 00:24:45.040]   I could feed my family of six on one hundred dollars if I had to.
[00:24:45.040 --> 00:24:45.040]   I could feed my family of six on one hundred dollars if I had to.
[00:24:45.040 --> 00:24:45.040]   I could feed my family of six on one hundred dollars if I had to.
[00:24:45.040 --> 00:24:45.040]   I could feed my family of six on one hundred dollars if I had to.
[00:24:45.040 --> 00:24:45.040]   I could feed my family of six on one hundred dollars if I had to.
[00:24:45.040 --> 00:24:45.040]   I could feed my family of six on one hundred dollars if I had to.
[00:24:45.040 --> 00:24:45.040]   I could feed my family of six on one hundred dollars if I had to.
[00:24:45.040 --> 00:24:45.040]   I could feed my family of six on one hundred dollars if I had to.
[00:24:45.040 --> 00:24:45.040]   I could feed my family of six on one hundred dollars if I had to.
[00:24:45.060 --> 00:25:15.060]   I could feed my family of six on one hundred dollars if I had to.
[00:25:15.060 --> 00:25:15.060]   I could feed my family of six on one hundred dollars if I had to.
[00:25:15.060 --> 00:25:15.060]   I could feed my family of six on one hundred dollars if I had to.
[00:25:15.060 --> 00:25:15.060]   I could feed my family of six on one hundred dollars if I had to.
[00:25:15.060 --> 00:25:15.060]   I could feed my family of six on one hundred dollars if I had to.
[00:25:15.060 --> 00:25:15.060]   I could feed my family of six on one hundred dollars if I had to.
[00:25:15.060 --> 00:25:15.060]   I could feed my family of six on one hundred dollars if I had to.
[00:25:15.080 --> 00:25:45.080]   I could feed my family of six on one hundred dollars if I had to.
[00:25:45.080 --> 00:25:45.080]   I could feed my family of six on one hundred dollars if I had to.
[00:25:45.080 --> 00:25:45.080]   I could feed my family of six on one hundred dollars if I had to.
[00:25:45.080 --> 00:25:45.080]   I could feed my family of six on one hundred dollars if I had to.
[00:25:45.080 --> 00:25:45.080]   I could feed my family of six on one hundred dollars if I had to.
[00:25:45.080 --> 00:25:45.080]   I could feed my family of six on one hundred dollars if I had to.
[00:25:45.080 --> 00:25:45.080]   I could feed my family of six on one hundred dollars if I had to.
[00:25:45.080 --> 00:25:45.080]   I could feed my family of six on one hundred dollars if I had to.
[00:25:45.080 --> 00:25:45.080]   I could feed my family of six on one hundred dollars if I had to.
[00:25:45.080 --> 00:25:45.080]   I could feed my family of six on one hundred dollars if I had to.
[00:25:45.080 --> 00:25:45.080]   I could feed my family of six on one hundred dollars if I had to.
[00:25:45.080 --> 00:25:45.080]   I could feed my family of six on one hundred dollars if I had to.
[00:25:45.100 --> 00:26:15.100]   I could feed my family of six on one hundred dollars if I had to.
[00:26:15.100 --> 00:26:15.100]   I could feed my family of six on one hundred dollars if I had to.
[00:26:15.100 --> 00:26:15.100]   I could feed my family of six on one hundred dollars if I had to.
[00:26:15.100 --> 00:26:15.100]   I could feed my family of six on one hundred dollars if I had to.
[00:26:15.100 --> 00:26:15.100]   I could feed my family of six on one hundred dollars if I had to.
[00:26:15.100 --> 00:26:15.100]   I could feed my family of six on one hundred dollars if I had to.
[00:26:15.100 --> 00:26:15.100]   I could feed my family of six on one hundred dollars if I had to.
[00:26:15.100 --> 00:26:15.100]   I could feed my family of six on one hundred dollars if I had to.
[00:26:15.100 --> 00:26:15.100]   I could feed my family of six on one hundred dollars if I had to.
[00:26:15.100 --> 00:26:15.100]   I could feed my family of six on one hundred dollars if I had to. I could feed my family of six on one hundred dollars if I had to.
[00:26:15.120 --> 00:26:45.120]   I could feed my family of six on one hundred dollars if I had to.
[00:26:45.120 --> 00:26:45.120]   I could feed my family of six on one hundred dollars if I had to.
[00:26:45.120 --> 00:26:45.120]   I could feed my family of six on one hundred dollars if I had to.
[00:26:45.120 --> 00:26:45.120]   I could feed my family of six on one hundred dollars if I had to.
[00:26:45.120 --> 00:26:45.120]   I could feed my family of six on one hundred dollars if I had to.
[00:26:45.120 --> 00:26:45.120]   I could feed my family of six on one hundred dollars if I had to.
[00:26:45.120 --> 00:26:45.120]   I could feed my family of six on one hundred dollars if I had to.
[00:26:45.120 --> 00:26:45.120]   I could feed my family of six on one hundred dollars if I had to.
[00:26:45.120 --> 00:26:45.120]   I could feed my family of six on one hundred dollars if I had to.
[00:26:45.120 --> 00:26:45.120]   I could feed my family of six on one hundred dollars if I had to.
[00:26:45.120 --> 00:26:45.120]   I could feed my family of six on one hundred dollars if I had to. I could feed my family of six on one hundred dollars if I had to.
[00:26:45.120 --> 00:27:15.140]  ,
[00:27:15.140 --> 00:27:15.140]   I could feed my family of six on one hundred dollars if I had to.
[00:27:15.140 --> 00:27:15.140]   I could feed my family of six on one hundred dollars if I had to.
[00:27:15.140 --> 00:27:15.140]   I could feed my family of six on one hundred dollars if I had to.
[00:27:15.140 --> 00:27:15.140]   I could feed my family of six on one hundred dollars if I had to.
[00:27:15.140 --> 00:27:15.140]   I could feed my family of six on one hundred dollars if I had to.
[00:27:15.140 --> 00:27:15.140]   I could feed my family of six on one hundred dollars if I had to.
[00:27:15.160 --> 00:27:45.160]   I could feed my family of six on one hundred dollars if I had to.
