
[00:00:00.600 --> 00:00:01.560]   Guess what's back?
[00:04:27.620 --> 00:04:37.060]   it is intertwined in probably not 80% of financial decisions, certainly more than 50% of financial
[00:04:37.060 --> 00:04:37.600]   decisions.
[00:04:37.600 --> 00:04:46.320]   I'm going to estimate 67.34% of financial decisions involve marriage in some way.
[00:04:46.320 --> 00:04:51.980]   Just go through something like the CFP curriculum and what you will see is that so many decisions
[00:04:51.980 --> 00:04:55.760]   are impacted primarily based upon marriage.
[00:04:55.760 --> 00:04:57.600]   For example, how long of an engagement?
[00:04:57.600 --> 00:05:00.840]   How big of an emergency fund does a married couple need?
[00:05:00.840 --> 00:05:06.080]   Well, generally three months if both spouses are working versus a single person, generally
[00:05:06.080 --> 00:05:06.800]   six months.
[00:05:06.800 --> 00:05:10.540]   What tax benefits do we have and what tax rules?
[00:05:10.540 --> 00:05:14.100]   Well, there's a whole set of tax rules for married couples filing jointly and they're
[00:05:14.100 --> 00:05:15.420]   different than single couples.
[00:05:15.420 --> 00:05:19.140]   What about insurance planning?
[00:05:19.140 --> 00:05:22.540]   Well, if you're married and have children, you probably need to get life insurance.
[00:05:22.540 --> 00:05:23.980]   If you're single, you probably don't.
[00:05:23.980 --> 00:05:27.580]   If you need disability income insurance, well, if you're married, you probably need to get
[00:05:27.580 --> 00:05:27.640]   it.
[00:05:27.640 --> 00:05:31.480]   You probably should have it, but it's not as fundamental as if you're single and you're
[00:05:31.480 --> 00:05:32.580]   all on your own.
[00:05:32.580 --> 00:05:33.880]   What about estate planning?
[00:05:33.880 --> 00:05:38.280]   Well, if you're married, you have a whole path you're going to go down and a whole set
[00:05:38.280 --> 00:05:42.060]   of goals that you're going to pursue that you're not going to pursue if you're single.
[00:05:42.060 --> 00:05:43.520]   What about children?
[00:05:43.520 --> 00:05:50.120]   A huge portion of financial planning is focused around providing for children in every way,
[00:05:50.120 --> 00:05:50.820]   shape, and form.
[00:05:50.820 --> 00:05:56.940]   And so the decision to marry is fundamental to financial planning, but it goes even more
[00:05:56.940 --> 00:05:57.400]   than that.
[00:05:57.560 --> 00:06:03.640]   The decision to marry and have children is fundamental to money, to how much money you
[00:06:03.640 --> 00:06:03.920]   make.
[00:06:03.920 --> 00:06:07.920]   We know that married people earn more than unmarried people, to how much money you keep.
[00:06:07.920 --> 00:06:14.180]   We know that married people not only are richer on average than unmarried people, but
[00:06:14.180 --> 00:06:20.820]   even married couples of the same age as cohabitating couples tend to have, I think it's three to
[00:06:20.820 --> 00:06:25.580]   four times as much net worth, three to four times higher net worth of a married couple
[00:06:25.580 --> 00:06:27.540]   rather than a cohabitating couple.
[00:06:27.540 --> 00:06:32.420]   And so these decisions are fundamental, but they're also fundamental at the things that
[00:06:32.420 --> 00:06:33.740]   people are most scared about.
[00:06:33.740 --> 00:06:40.700]   The divorce and losing half your money in a divorce and everything associated with that
[00:06:40.700 --> 00:06:41.640]   is a huge deal.
[00:06:41.640 --> 00:06:46.880]   And so I'm very concerned because not only do we need good guidance on these issues,
[00:06:46.880 --> 00:06:52.500]   but I see a present catastrophe in human relationships.
[00:06:52.500 --> 00:06:57.520]   Those of us who have been able to figure out how to develop and maintain a relationship
[00:06:57.520 --> 00:07:04.740]   and maintain a healthy, normal relationship, I think we consider ourselves to be fairly
[00:07:04.740 --> 00:07:08.260]   lucky and grateful for that.
[00:07:08.260 --> 00:07:13.280]   Just last night, my wife was telling me about close friends of hers growing up, seemingly
[00:07:13.280 --> 00:07:18.040]   wonderful couples just flipped on social media and found out that they were divorced and
[00:07:18.040 --> 00:07:18.600]   divorcing.
[00:07:18.600 --> 00:07:19.580]   Divorced, I guess.
[00:07:19.580 --> 00:07:20.440]   It's been a while now.
[00:07:20.440 --> 00:07:21.740]   She goes on social media once a year.
[00:07:21.740 --> 00:07:27.240]   So the point is, and it's not only, by the way, let me just go one more minute on this.
[00:07:27.240 --> 00:07:27.500]   It's not only, by the way, let me just go one more minute on this.
[00:07:27.500 --> 00:07:32.940]   It's not only divorce and various issues associated with that, but it goes so much
[00:07:32.940 --> 00:07:33.240]   deeper.
[00:07:33.240 --> 00:07:38.300]   Right now, we're in a crisis of relationship formation.
[00:07:38.300 --> 00:07:44.880]   We're in a genuine crisis of relationship formation among young men and women, to say
[00:07:44.880 --> 00:07:49.580]   nothing at all of marriage, to say nothing at all of children.
[00:07:49.580 --> 00:07:54.200]   We are in a crisis of relationship formation.
[00:07:54.200 --> 00:07:57.280]   And it is a deep, deep burden.
[00:07:57.480 --> 00:07:58.580]   It is a deep burden on our young people.
[00:07:58.580 --> 00:08:03.540]   And it is something that we have to step in and we have to fix.
[00:08:03.540 --> 00:08:12.140]   We, you and I, must be leaders in our society to discuss these issues, to identify potential
[00:08:12.140 --> 00:08:17.700]   solutions to these issues, and then to bring in those solutions to those issues and give
[00:08:17.700 --> 00:08:24.560]   guidance and counsel to our younger generation so that our younger generation is able to
[00:08:24.560 --> 00:08:26.960]   form successful relationships.
[00:08:27.460 --> 00:08:47.300]   And so I feel a great burden to talk about these subjects, most focusedly in the manner
[00:08:47.300 --> 00:08:49.860]   in which they connect with financial planning.
[00:08:49.860 --> 00:08:51.900]   So that's why I'm doing this series.
[00:08:51.900 --> 00:08:55.860]   But I haven't known where to start over the last couple of weeks, just thinking, okay,
[00:08:55.860 --> 00:08:56.440]   where do I start?
[00:08:57.440 --> 00:08:58.160]   What's the first show?
[00:08:58.160 --> 00:09:00.900]   And so the mic's been silent because I didn't know where to start.
[00:09:00.900 --> 00:09:03.140]   So today, I decided just to start in the middle.
[00:09:03.140 --> 00:09:05.760]   It's always where you start when you don't know where to start.
[00:09:05.760 --> 00:09:06.740]   It's just start in the middle.
[00:09:06.740 --> 00:09:09.460]   And then go back and fill in the beginning and fill in the end.
[00:09:09.460 --> 00:09:12.300]   And the middle that I have chosen to start with has to do with this.
[00:09:12.300 --> 00:09:19.160]   I want to give one among many benefits and one among many reasons for people to consider
[00:09:19.160 --> 00:09:21.620]   being married and having children.
[00:09:21.620 --> 00:09:24.360]   And that is simply this.
[00:09:24.360 --> 00:09:27.420]   When you look forward in your life...
[00:09:27.420 --> 00:09:31.420]   And you look back on your life...
[00:09:31.420 --> 00:09:46.400]   Your children will give you a wonderful set of automatic goals, benchmarks, and milestones
[00:09:46.400 --> 00:09:51.000]   that will break up the monotony of your life.
[00:09:51.000 --> 00:09:54.100]   I have a personal theory and a personal goal.
[00:09:54.100 --> 00:09:57.400]   My personal goal is that I want to remember...
[00:09:57.400 --> 00:09:58.420]   My life.
[00:09:58.420 --> 00:10:02.520]   And I want all those that I love to remember their lives.
[00:10:02.520 --> 00:10:06.380]   And I want to be a catalyst in building those memories.
[00:10:06.380 --> 00:10:14.220]   My theory about memory is that memory is enhanced by emotion and variety.
[00:10:14.220 --> 00:10:19.540]   If we do the same thing again and again and again and again, and there's little to no
[00:10:19.540 --> 00:10:27.380]   variety in the event, and there's little to no emotion in the event, then all of the events
[00:10:27.380 --> 00:10:34.140]   of that day or that week or that month or that year will be over time systematically forgotten.
[00:10:34.140 --> 00:10:42.260]   And so we want to incorporate as much emotion and as much variety into our lives as is possible.
[00:10:42.260 --> 00:10:43.940]   This is good for our brains.
[00:10:43.940 --> 00:10:44.800]   We should...
[00:10:44.800 --> 00:10:48.060]   If we always brush your teeth with your right hand, regularly you should switch to your
[00:10:48.060 --> 00:10:48.640]   left hand.
[00:10:48.640 --> 00:10:52.500]   If you always go the same route to work, sometimes you should take a different route.
[00:10:52.500 --> 00:10:56.360]   We want to incorporate variety into our lives on a daily basis.
[00:10:57.360 --> 00:11:02.900]   We also want to incorporate this intentionally into the big events of life.
[00:11:02.900 --> 00:11:07.700]   We want to think about the big events and how we can make them peak experiences.
[00:11:07.700 --> 00:11:11.840]   And so I want to be a catalyst for this in my own life and in the lives of those that
[00:11:11.840 --> 00:11:13.580]   I love, bringing in variety.
[00:11:13.580 --> 00:11:17.240]   And again, this can be done just by doing something out of the ordinary.
[00:11:17.240 --> 00:11:21.740]   If you always go to your parents' house for dinner on Tuesday evening, then go on Tuesday
[00:11:21.740 --> 00:11:24.500]   evening, but this time bring your mom an enormous bouquet of flowers.
[00:11:24.500 --> 00:11:27.140]   Or if you always go to an Italian restaurant,
[00:11:27.540 --> 00:11:33.000]   on the weekends, then go to a restaurant where you sit on the floor and eat with your
[00:11:33.000 --> 00:11:35.720]   hands or eat your sandwiches on a boat.
[00:11:35.720 --> 00:11:39.320]   You know, just anything you can do will help to remember things.
[00:11:39.320 --> 00:11:45.220]   At the end of our life, our memories, both in our minds as well as our memories that
[00:11:45.220 --> 00:11:50.100]   are encapsulated in the bodies and the experiences of others that we have impacted in our lives
[00:11:50.100 --> 00:11:52.000]   is basically what we are going to have.
[00:11:52.000 --> 00:11:53.420]   That's it.
[00:11:53.420 --> 00:11:56.300]   Everything else is dust and to dust it returns.
[00:11:57.320 --> 00:12:02.740]   So in order to do this, in order to build a life of satisfaction, we want to incorporate
[00:12:02.740 --> 00:12:04.300]   variety into our life.
[00:12:04.300 --> 00:12:15.840]   Now that variety and change is something that we can and should plan for in advance.
[00:12:15.840 --> 00:12:19.160]   And we can do this in every aspect of our life.
[00:12:19.160 --> 00:12:22.120]   We can do this in our physical form.
[00:12:22.120 --> 00:12:24.200]   We can do this in our sport life.
[00:12:24.200 --> 00:12:25.640]   We can do this in our relationships.
[00:12:25.640 --> 00:12:27.060]   We can do this in our business.
[00:12:27.300 --> 00:12:34.340]   One of my favorite things personally about being an entrepreneur is that I have control
[00:12:34.340 --> 00:12:37.520]   over how I spend my time and I don't have to make big decisions.
[00:12:37.520 --> 00:12:44.640]   I've always been inspired by the idea that if I change 10% of my life per year, 10% of
[00:12:44.640 --> 00:12:49.760]   my work life, 10% of my business per year, then over the course of a decade, I'll wind
[00:12:49.760 --> 00:12:52.780]   up living an entirely new and different life.
[00:12:52.780 --> 00:12:55.980]   I'll wind up with an entirely new and different business.
[00:12:55.980 --> 00:12:57.280]   This has been meaningful.
[00:12:57.280 --> 00:13:00.380]   This has been meaningful to me as I reflect back on a decade of radical personal finance
[00:13:00.380 --> 00:13:01.820]   and the work that I have done.
[00:13:01.820 --> 00:13:08.560]   And I am continuing to do radical personal finance, but it's not been my 100% focus along
[00:13:08.560 --> 00:13:08.860]   the way.
[00:13:08.860 --> 00:13:12.240]   I've had other things that I've worked on and that has led to a different life today
[00:13:12.240 --> 00:13:14.840]   than I had 10 years ago, which I'm very grateful for.
[00:13:14.840 --> 00:13:17.160]   So we can do this in business.
[00:13:17.160 --> 00:13:18.200]   We can do this in money.
[00:13:18.200 --> 00:13:25.620]   We can think about those stages of life and what our milestones and our benchmarks are
[00:13:25.620 --> 00:13:26.500]   along the way.
[00:13:27.260 --> 00:13:37.600]   But what's very difficult is what to do when you are a single man or a single woman or
[00:13:37.600 --> 00:13:48.660]   even a married couple without children and you have been highly successful at life and
[00:13:48.660 --> 00:13:50.640]   you no longer have to do anything.
[00:13:50.640 --> 00:13:55.440]   What do you do when you reach that point?
[00:13:55.440 --> 00:13:57.240]   What do you do when you retire at 35?
[00:13:57.240 --> 00:13:59.980]   What do you do when you retire at 35 with millions and millions of dollars in the bank
[00:13:59.980 --> 00:14:01.380]   and no need to make more money?
[00:14:01.380 --> 00:14:09.920]   When you look forward and life has very little texture to it.
[00:14:09.920 --> 00:14:15.600]   Now, if that is you, I want to coach you.
[00:14:15.600 --> 00:14:20.760]   I want to tell you that you can insert texture into your life and you should so do.
[00:14:20.760 --> 00:14:25.360]   You should think about, okay, I'm 35 years old.
[00:14:25.360 --> 00:14:27.120]   I may have six decades.
[00:14:27.220 --> 00:14:27.520]   I may have six decades remaining.
[00:14:27.520 --> 00:14:31.840]   So with those six decades, I need to make a plan for decade number one, decade number
[00:14:31.840 --> 00:14:35.100]   two, decade number three, decade number four, decade number five, and decade number six.
[00:14:35.100 --> 00:14:40.920]   It's wonderful that I've achieved this success at an early age, but I can't just have a sea
[00:14:40.920 --> 00:14:42.560]   of sameness out in my future.
[00:14:42.560 --> 00:14:45.520]   Otherwise, I don't have anything to pull me forward into the future.
[00:14:45.520 --> 00:14:51.500]   One of the maxims that I live by is that your future must always be bigger than your past.
[00:14:51.500 --> 00:14:53.500]   Your future must always be bigger than your past.
[00:14:53.500 --> 00:14:55.040]   It needs to be bigger and more exciting.
[00:14:55.040 --> 00:14:57.200]   And so you have to insert.
[00:14:57.200 --> 00:15:00.820]   You have to insert variety and texture, and you can do that in your activities, in your
[00:15:00.820 --> 00:15:01.980]   business life, et cetera.
[00:15:01.980 --> 00:15:04.500]   But here's what's cool.
[00:15:04.500 --> 00:15:09.380]   What about the rest of us who may not be so accomplished?
[00:15:09.380 --> 00:15:22.940]   Being a parent is something that automatically gives you texture and variety to your life.
[00:15:22.940 --> 00:15:26.960]   And well, that's not the only benefit.
[00:15:27.180 --> 00:15:27.240]   It's not the only benefit.
[00:15:27.240 --> 00:15:27.240]   It's not the only benefit.
[00:15:27.240 --> 00:15:27.260]   It's not the only benefit.
[00:15:27.260 --> 00:15:28.160]   It's not the only benefit of having children.
[00:15:28.160 --> 00:15:31.100]   When I think about it, it's an enormous benefit.
[00:15:31.100 --> 00:15:39.220]   It is fundamental to the experience of humanity, to desire to have children, and then to enjoy
[00:15:39.220 --> 00:15:44.420]   the different stages of your life as associated with those children.
[00:15:44.420 --> 00:15:53.160]   And if you don't have that, you miss out on a whole kind of automatic set of goals and
[00:15:53.160 --> 00:15:55.060]   of potential satisfaction.
[00:15:55.060 --> 00:15:57.120]   Also, the risk for trial and trial.
[00:15:57.120 --> 00:15:59.580]   Trauma and difficulty and frustration.
[00:15:59.580 --> 00:16:04.360]   But a whole set of goals and a whole set of things that you can look forward to.
[00:16:04.360 --> 00:16:11.480]   What's so interesting to me is that ideally these two things can and should go together.
[00:16:11.480 --> 00:16:15.980]   I don't think that you have to choose in life one or the other.
[00:16:15.980 --> 00:16:17.100]   That's a false choice.
[00:16:17.100 --> 00:16:20.620]   Either I'm going to be really great at business or I'm going to get married and have children.
[00:16:20.620 --> 00:16:26.560]   But what we're finding is that many of our fellow citizens,
[00:16:27.100 --> 00:16:35.040]   are making a choice to choose one or the other, or to deal with things in a linear format.
[00:16:35.040 --> 00:16:43.080]   And so one of the big fundamental problems that we're facing in the population problems,
[00:16:43.080 --> 00:16:48.220]   potential crisis, I try to be careful with that word crisis, but I do think it's apt here,
[00:16:48.220 --> 00:16:54.580]   in population, is that people are not having enough children to sustain and grow our cultures.
[00:16:54.580 --> 00:16:55.840]   And one of the things that we're finding is that people are not having enough children to sustain and grow our cultures.
[00:16:55.840 --> 00:16:55.900]   And one of the things that we're finding is that people are not having enough children to sustain and grow our cultures.
[00:16:55.900 --> 00:16:55.940]   And one of the things that we're finding is that people are not having enough children to sustain and grow our cultures.
[00:16:55.940 --> 00:16:56.000]   And one of the things that we're finding is that people are not having enough children to sustain and grow our cultures.
[00:16:56.000 --> 00:16:56.020]   And one of the things that we're finding is that people are not having enough children to sustain and grow our cultures.
[00:16:56.020 --> 00:17:06.520]   And one reason that they're not having children is that we have made life decisions linear.
[00:17:06.520 --> 00:17:17.660]   With the separation of natural sexual urges from marriage, that separation enabled by contraception,
[00:17:17.660 --> 00:17:23.420]   with that separation, we have made family formation optional.
[00:17:23.420 --> 00:17:26.000]   And due to its optionality, we have made family formation optional.
[00:17:26.000 --> 00:17:55.980]   And due to its optionality, we have made family formation optional.
[00:17:55.980 --> 00:18:00.820]   And so people are often financially successful, have great jobs, great careers, etc.
[00:18:00.820 --> 00:18:06.120]   And yet then they're not able to form families for a variety of reasons.
[00:18:06.120 --> 00:18:09.640]   And they're not able to enjoy that other aspect of life.
[00:18:09.640 --> 00:18:22.260]   Now, from time immemorial, human beings, due to their natural urge to be with the one that they love and to procreate,
[00:18:22.260 --> 00:18:25.260]   throughout history, human beings have...
[00:18:25.260 --> 00:18:30.140]   have borne these things forward at the same time.
[00:18:30.140 --> 00:18:36.740]   They have had children and moved into a starter house and enjoyed the stages of life of moving up.
[00:18:36.740 --> 00:18:48.780]   But our modern society has stripped away so many of those pleasures in favor of money, money, money, money, more money, more money, more career success, more career success.
[00:18:48.780 --> 00:18:54.780]   And it doesn't seem to me that we have done a very good job of...
[00:18:54.780 --> 00:19:04.920]   of showing the vague emptiness that occurs if you don't bear these things forward together.
[00:19:04.920 --> 00:19:13.340]   This is why married people and people who have children have an enormous advantage.
[00:19:13.340 --> 00:19:15.760]   Because they can look forward.
[00:19:15.760 --> 00:19:24.560]   And there's always something to look forward to due to simply natural family formation and natural reproductive cycles.
[00:19:24.560 --> 00:19:26.620]   I myself keep a chart.
[00:19:26.620 --> 00:19:27.980]   I look at it every day.
[00:19:27.980 --> 00:19:30.620]   And in that chart, I lay out the decades of my life.
[00:19:30.620 --> 00:19:32.040]   This is something that I didn't used to do.
[00:19:32.040 --> 00:19:33.640]   I started doing it a number of years ago, though.
[00:19:33.640 --> 00:19:35.640]   And it's been something that's been really helpful to me.
[00:19:35.640 --> 00:19:41.560]   And it's part of my really big focus on trying to say, how do I make my future bigger than my past?
[00:19:41.560 --> 00:19:46.080]   And it started with kind of the next few years, which I could see and what I want to accomplish in the next few years.
[00:19:46.080 --> 00:19:50.260]   But as my wife and I got out of baby mode, where we're just dealing with little babies all the time,
[00:19:50.260 --> 00:19:54.540]   and we started to deal with actual human beings that we can interact with and relate with in some way,
[00:19:54.540 --> 00:19:59.100]   then I started to be very, very conscious of the time-bound nature of things.
[00:19:59.100 --> 00:20:01.040]   And so I started laying out my charts.
[00:20:01.040 --> 00:20:03.560]   And so on my charts, I show the decade of my life.
[00:20:03.560 --> 00:20:05.580]   I have the ages of my children at certain times.
[00:20:05.580 --> 00:20:14.060]   And what is really cool about that is as I look forward into the future on those goal-setting charts,
[00:20:14.060 --> 00:20:21.580]   on that timeline, on that visioning that I do, there's never not something to look forward to.
[00:20:24.080 --> 00:20:26.200]   There's always a change.
[00:20:26.200 --> 00:20:31.980]   My wife and I can look back on baby mode and say, that was what babies were like.
[00:20:31.980 --> 00:20:35.480]   But then we can look forward to high school graduation, teenagers.
[00:20:35.480 --> 00:20:36.360]   What is it going to be like?
[00:20:36.360 --> 00:20:42.580]   How exciting is it going to be to interact with our teenage children when they're somewhat responsible and yet still need us?
[00:20:42.580 --> 00:20:48.400]   And then, again, the series of graduations and excitement of people getting their jobs and building their careers
[00:20:48.400 --> 00:20:53.580]   and getting married and grandchildren and grandchildren's graduation and great-grandchildren and great-great-grandchildren.
[00:20:53.580 --> 00:20:57.900]   You look forward through the decades and you imagine what it's like.
[00:20:57.900 --> 00:21:02.280]   And it brings this incredible joy to thinking about the future.
[00:21:02.280 --> 00:21:10.060]   And that joy runs alongside all of the other joys of business success and world domination
[00:21:10.060 --> 00:21:13.680]   that ideally will be a part of your and my future.
[00:21:13.680 --> 00:21:16.720]   But they don't have to be in conflict.
[00:21:16.720 --> 00:21:19.340]   They do affect one another, but they don't have to be in conflict.
[00:21:19.340 --> 00:21:20.300]   You don't have to choose.
[00:21:20.300 --> 00:21:21.360]   You can have them both.
[00:21:23.120 --> 00:21:25.380]   I want to speak carefully but candidly.
[00:21:25.380 --> 00:21:36.460]   I feel a great sympathy for people who don't have a full experience of life.
[00:21:36.460 --> 00:21:43.120]   And I believe that if you narrow your ambitions exclusively to the financial,
[00:21:43.120 --> 00:21:51.120]   it will seem to you in the shortness of time that you have won
[00:21:51.120 --> 00:21:52.440]   because your lifestyle will be the same.
[00:21:52.440 --> 00:21:52.660]   Your lifestyle will be the same.
[00:21:52.660 --> 00:21:53.760]   Your lifestyle will be easier.
[00:21:53.760 --> 00:21:59.700]   You will have more time to work.
[00:21:59.700 --> 00:22:02.560]   You'll probably make more money in the short term.
[00:22:02.560 --> 00:22:04.960]   You can have full control over that money.
[00:22:04.960 --> 00:22:07.580]   You don't have to interact with anybody, etc.
[00:22:07.580 --> 00:22:09.340]   You can just decide what you want to do.
[00:22:09.340 --> 00:22:15.400]   But if you pull it back and you look over the course of your entire lifetime,
[00:22:15.400 --> 00:22:19.400]   you will want...
[00:22:22.200 --> 00:22:24.880]   All of those non-financial things as well.
[00:22:24.880 --> 00:22:31.120]   But you have to make your decisions early.
[00:22:31.120 --> 00:22:33.120]   That's what's so hard about it.
[00:22:33.120 --> 00:22:35.960]   Maybe you don't have to make them as early as you once did.
[00:22:35.960 --> 00:22:37.180]   I was...
[00:22:37.180 --> 00:22:40.260]   A couple of years ago, I was at a conference and I heard Tony Robbins speak.
[00:22:40.260 --> 00:22:45.320]   And he shared that he and his third, second wife, third wife, second...
[00:22:45.320 --> 00:22:45.580]   I don't know.
[00:22:45.580 --> 00:22:49.480]   He and his wife, Sage, had just welcomed a baby.
[00:22:49.480 --> 00:22:51.800]   And I looked it up and I think he was 60 years old.
[00:22:51.900 --> 00:22:52.740]   61 years old.
[00:22:52.740 --> 00:22:55.100]   And so here he was.
[00:22:55.100 --> 00:22:59.140]   He already has three adopted children, one biological.
[00:22:59.140 --> 00:23:00.380]   So this was his fifth child.
[00:23:00.380 --> 00:23:04.240]   But here he was at 61 years old, starting over again with a baby.
[00:23:04.240 --> 00:23:07.400]   And more power to him.
[00:23:07.400 --> 00:23:10.900]   I get concerned with the morality of surrogacy and whatnot.
[00:23:10.900 --> 00:23:12.680]   But a friend, okay, fine.
[00:23:12.680 --> 00:23:14.780]   Wonderful that they can do that.
[00:23:14.780 --> 00:23:17.500]   And I thought, isn't it incredible to be...
[00:23:17.500 --> 00:23:21.440]   Wouldn't it be incredible to be 60 years old and have all of the...
[00:23:21.440 --> 00:23:25.700]   All of the resources, all of the everything, and be able to go through that again?
